,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,209,24.074074074074073,858.9590040390678,7.895515647855767,1.3632511519658286,0.19780998513094505,162.12709277105708,9.269996519437298,0.7220232797036481,0.0003887888466707796,0.07316989144542442,5.622463080735568,3.614651890062827,1.561632015538122,0.3968504098987236,19.133132933436677,0.08940924249028027,0.17497907875896176,0.2580046063523987,0.5223929276016408,187.74477527854393
1,1,200,23.032407407407405,859.7349482113345,5.735347462556315,0.9363056955486402,0.15813809870565487,158.82270102505413,6.73955087250377,0.48869667623022606,0.0003839432493390274,0.04889940731748926,3.951886162584833,2.6972958655672055,1.1282809271324636,0.28838494263172787,18.004391130280982,0.0635333958424448,0.13542834405008927,0.20079708360973708,0.39975882350227115,177.44374373999926
2,2,206,23.72685185185185,858.5853282961752,5.455488014761648,0.8902421729088758,0.139025451928032,188.3884431602487,6.3786009432290625,0.4652160213764956,0.0004399149839057204,0.050314388639919744,3.763976041795029,2.535937565436549,1.094563719581872,0.24876478408270178,20.851271806519858,0.06347536356349914,0.12652748834669597,0.1843916491632817,0.3743945010734768,206.02143063825125
3,3,201,23.148148148148145,856.1691642639905,5.418697538877185,0.8685441953425534,0.12428146573318746,168.31120420399327,6.257501759367378,0.470365484285871,0.00035578921032314753,0.04839713293096977,3.5021951737239947,2.58561627609653,1.0688833574012024,0.2520284792646613,18.817460873940977,0.06376352017297761,0.12771903716049415,0.18293823960006766,0.3744207969335394,185.78029647943669
4,4,202,23.26388888888889,853.1664407988642,8.772939409854292,1.45522754766234,0.2184002258992736,164.81919286525152,10.288189937959913,0.7066621575951403,0.00035392837209269817,0.07732708217846729,6.152797937451473,3.7470552774313304,1.754022112860075,0.40843576838964,19.723522533450463,0.10307725528529306,0.19606830894981508,0.3125254196744952,0.6116709839096033,192.8594772973637
5,5,208,23.958333333333332,854.4968004989379,7.9117902106950755,1.3598765933202517,0.18168326287683495,164.5644085766388,9.298102821848905,0.6709847055681959,0.0003793761070099142,0.06817168206876897,5.546620862258318,3.5148134244813725,1.5772865866152075,0.37596725923503166,19.38041207755512,0.08649965256099446,0.18515783878534525,0.27239812371878946,0.5440556150651292,190.06752011452065
6,6,207,23.84259259259259,853.0172925931821,8.202466070034445,1.3920060404617194,0.21560417920133537,151.54272124286544,9.70397118998651,0.7254463523070135,0.0003386976319342308,0.07154217695742435,5.34736059932471,4.031247838782373,1.661918053507336,0.3838933856944822,18.20545823310209,0.09691523922941947,0.18002451920098855,0.28405437069165557,0.5609941291220636,178.4921493565521
7,7,211,24.305555555555554,856.4790277141353,9.476927499471104,1.626169332890011,0.24752811747627543,153.2832396415914,11.199068031700008,0.8203773326015625,0.00037266477815804775,0.08853866436532254,6.7002514818861005,4.020657751969646,1.8927132933883748,0.4633609579617182,18.849421517155253,0.11153913239607227,0.21915572769748465,0.32788256929707676,0.6585774293906337,183.77753071758423
8,8,206,23.72685185185185,852.8200389059795,7.640303564895587,1.206758216466322,0.17777375557195368,167.04995689774188,8.844743813038352,0.6607562337695743,0.00036610730193630165,0.06912661263454734,5.037133132604527,3.5596796871204566,1.5012593393943623,0.3609644576871363,19.5046349590741,0.08635933886673884,0.17147418855739896,0.2675759141784391,0.525409441602577,191.59709812722468
9,9,204,23.49537037037037,859.0164837719454,11.132561276022185,1.7110841728707487,0.2609049002293074,161.57627612528955,12.874362814350787,0.9071095125320808,0.00037041680714903146,0.08937007972069021,7.7835017860439475,5.006210472427653,2.213694379623007,0.4947107354960696,20.232803149677622,0.12079439386668622,0.25534542359526013,0.39208531716644407,0.7682251346283904,197.0348800199976
