,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,198,22.800925925925924,779.2929279186424,20.160106675766755,3.3547696507346605,0.4725130307688567,408.4221379618186,23.469610907052473,1.7390102909543106,0.0009297900083397834,0.16660780643562123,14.052999298459262,9.61885321666827,3.988898674347021,0.9597385329956708,48.2610143503395,0.2352150864367408,0.46085827429001774,0.6801468793892257,1.3762202401159842,473.7293967776665
1,1,198,22.800925925925924,782.8451076646836,15.578649723894578,2.5267904262969,0.4242168890064529,430.3302934917581,18.276658677457462,1.3130704139482738,0.0010302909640839204,0.13001987706279308,10.693524924583386,7.382295766042131,3.0650787114005027,0.7754693172001299,48.791717727297105,0.17359337190856686,0.3697962241880297,0.5483539709676521,1.0917435670642486,480.89531715209563
2,2,191,21.99074074074074,782.214155552458,13.310689658182381,2.065019734976627,0.3086927608782482,451.5652336666352,15.385963222206117,1.0472207328910852,0.0009802555378171205,0.10470474302501542,8.915097912343587,6.544086769222913,2.669179442125049,0.5626322175705265,50.033335606692276,0.16108560695803562,0.3211756027324521,0.4690467130820786,0.9513079227725663,494.5157111260235
3,3,199,22.916666666666664,778.5818274379874,14.158882411388696,2.2540359498855382,0.3207341364359732,438.7722699081648,16.32713502803989,1.2160646115415292,0.0009185949281025009,0.12383076817655148,9.11978455354231,6.806305619499114,2.7932295995782033,0.6520226498541349,49.062995738058845,0.16749127391214227,0.33548182975736374,0.4807488862430793,0.9837219899125853,484.40915126740515
4,4,190,21.875,777.5330982547921,22.864118224955682,3.6367235688277066,0.5265520354558002,423.30197432136276,26.559342832273142,1.725341923860612,0.0008568297547887315,0.1771292628989738,15.71760470782583,10.274399391708183,4.5703255860133645,1.0003473782670798,50.73053811100608,0.2772415623117984,0.5289364767977012,0.8400519369322855,1.6462299760417851,496.28334133142
5,5,195,22.453703703703702,782.2534183205671,20.084732744719936,3.300181503132977,0.42619574795021054,411.2590087914621,23.36587201194443,1.5889285665966308,0.0008908311577109306,0.1509833096045716,13.758210243306216,9.389084416471663,4.0038551880662645,0.8947117152674461,48.504805518790896,0.22801682964761713,0.4860065557123612,0.7158689232429466,1.429892308602925,475.8943371349769
6,6,196,22.569444444444443,781.1913762417171,23.406538273156357,3.8328669268750204,0.5764459886164586,426.466303420609,27.443779155599266,1.9506589713964362,0.0009043609355159651,0.18180215761623225,14.952367905729648,11.948291505663967,4.738130104008459,1.0363844062032834,51.306050833768914,0.2843781403090562,0.5303338681355511,0.8345369436179172,1.6492489520625244,503.23135422274254
7,7,192,22.10648148148148,779.8013959773956,26.169590751448354,4.213268174830986,0.6080894484073279,413.4268298755595,30.46144042533417,2.0467471881592076,0.000917963046776036,0.200250072176905,17.936240177294902,11.998228794941264,5.225280242528277,1.1635455836891255,50.97877744914881,0.3230208526969219,0.6357014330128041,0.9513066846860786,1.9100289703958047,497.4242174905178
8,8,202,23.26388888888889,781.558548649956,18.31993896688511,2.8561725037142858,0.41632956229143286,398.70512108767457,21.147458697976774,1.5517055396250152,0.0008574844584674861,0.1590584936891431,11.997771950957608,8.663562596626784,3.600680293687436,0.8489585078510599,46.57239428491118,0.2093745698880905,0.41579059227632803,0.6483181042498569,1.2734832664142754,457.54332700089446
9,9,193,22.22222222222222,779.7315721107378,28.803518711327673,4.266130475812888,0.6301534539498446,412.75501753863625,33.04877166158709,2.2124823033431533,0.000897068806353726,0.2058049551034134,19.716429988356168,13.525931100701069,5.728067482611124,1.2108601899737854,51.77050491764452,0.32299240836019893,0.6807228702931988,1.0439320548715219,2.0476473335249197,504.4352822753776
10,10,192,22.10648148148148,776.5409177527396,16.55949119042967,2.4751937149519208,0.3821227728511739,412.7902453264348,19.004293611643515,1.3462120578479668,0.0008836855113022033,0.13652311241342152,11.367845532538992,7.826974333473351,3.269618090195209,0.7333151756066449,47.32141585852507,0.19669004027460366,0.3909136106723011,0.574544655225106,1.1621483061720108,465.6870213775311
11,11,192,22.10648148148148,783.3450803738438,29.222526363928807,4.866890126802173,0.7013375950904218,418.00831213684114,34.402695681942575,2.196625692331955,0.0008616738153046766,0.2273752074364221,19.545382945349115,14.447471070138592,5.850297027379316,1.3284907306489762,52.578325239602854,0.34817968544033595,0.676477838842113,1.0252019651041084,2.0498594893865576,513.3027427957422
