,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,183,21.064814814814813,580.3841131373973,30.518488995418455,4.805653470945526,0.6469928405690114,606.9923790301879,35.1196125375547,2.4186694825254467,0.001280716563328334,0.2135363857999806,20.559512718512142,15.405055244838003,6.041490247863252,1.3422801260479849,71.8523017870408,0.3708705311070992,0.7277870476152557,1.0754169987592774,2.1740745774816324,705.6795136557953
1,1,189,21.75925925925926,581.8121696609595,19.898200407768922,3.1306364029132903,0.5110047587601932,543.527108738447,23.17457290650799,1.5949949433063793,0.0012443101356511474,0.15047558383906087,13.409217916148949,9.756474593925262,3.9171481505326695,0.9453222752035545,61.676526736443016,0.22768875798868551,0.4836366175122507,0.7175394611208687,1.428864836621805,608.0360479079617
2,2,187,21.527777777777775,579.6978858432093,17.279049174487238,2.6422231823631965,0.3900382946635485,583.4255454622111,19.91220038594695,1.3291966957588592,0.0012408297506962276,0.1300097449554342,11.470268430614157,8.623030903025551,3.4644608618845028,0.7150256743391243,64.66190533174921,0.21131577110965308,0.4213529312533595,0.6156929093210548,1.2483616116840675,639.1603828210702
3,3,194,22.337962962962962,578.3872453742152,20.604420463192408,3.2232338455573397,0.452090480920642,634.8197099413999,23.674388023326262,1.7225053035964346,0.001296738950585513,0.17082591479045436,13.152178678111973,10.089651033193366,4.065778392592685,0.9251150374838031,71.01222730008193,0.2469665895418368,0.4946507681609816,0.7096578833462278,1.4512752410490464,701.2002904160531
4,4,192,22.10648148148148,578.9376414512559,31.618028542862373,5.065705681006063,0.7380321567104008,586.8028617677646,36.78630361476627,2.412655589432924,0.0011998562485846154,0.2504062122899231,21.81373948731991,14.088365314853569,6.32038710854733,1.3981187633530645,70.30783037170345,0.38137975917528505,0.7272538854873573,1.1557162606111,2.2643499052737424,687.746414513109
5,5,185,21.296296296296294,578.101167285934,27.2203590541872,4.30781902865196,0.5405516309191131,550.6796228457661,31.4211710126506,2.035115775633158,0.0011335890383170374,0.18311507942066715,18.26229393044939,13.233473789279705,5.426103131304726,1.150302215783532,65.02320934585367,0.31811215873021365,0.6758191309916823,0.9963893429147436,1.9903206326366396,638.1890877852717
6,6,186,21.412037037037035,581.8384543775022,31.330718429353606,4.953582748107539,0.7235539608619834,563.6638650092632,36.436205809621875,2.4668940218502082,0.0011364180469012808,0.21779587324824115,19.5946520383145,16.55445711918229,6.336956421582878,1.3154186289870637,67.90033610563368,0.39042689935258307,0.7307194570968198,1.147043677496228,2.268190033945631,666.2687744740516
7,7,181,20.833333333333332,578.2598604897032,35.70473486588349,5.516833555426283,0.7689952582003057,556.4150680883546,41.19845672992703,2.6215756976757896,0.0011670955944151494,0.24124777428444796,23.931029577487116,17.121867803485607,7.128167572548512,1.4959097957342469,68.72079958674607,0.4530316611537099,0.8923901159552934,1.3356143533137679,2.681036130422771,670.8950603675374
8,8,193,22.22222222222222,580.9462706830691,26.508043169300613,4.007909441579206,0.5697258374778746,570.9336109092534,30.403301775278383,2.1393054651134706,0.0011751675488288161,0.2091445341068333,17.07676282166955,12.963210997329192,5.213122490268796,1.1744099808345558,66.7547085056646,0.3105848826241375,0.6169769188011883,0.9603491885923647,1.8879109900176907,656.0108707581087
9,9,191,21.99074074074074,581.9915777944294,35.710631634395455,5.251935945197816,0.7710593945238701,510.5486704592288,40.91526157597882,2.7128357339592286,0.0010985200538546258,0.24963861233240578,24.342299113375724,16.902024372357385,7.101782821043465,1.4856420464421987,64.05566048443261,0.4028500365664264,0.8485637514789844,1.3010268409985566,2.5524406290439674,624.2030217445571
