,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,149,17.12962962962963,373.70981133059666,14.757861315975966,2.09916323588153,0.25978585505067875,341.17548922558217,16.70977311995935,0.9208909710406575,0.0005539008907843063,0.07056639437140318,8.84779730324824,8.558328847402663,2.9592227939199507,0.5248931388370741,39.47049634727675,0.19921433990282175,0.39565655537125227,0.5961756512832569,1.191046546557331,389.2275753454696
1,1,146,16.78240740740741,373.01035370840043,14.404868888701273,1.8157860573898268,0.2351557634165145,349.80768507156284,16.07197262707416,0.8363947696072178,0.0005529609262881988,0.06140074959571254,8.299633888383589,8.295124667531764,2.832852879026364,0.5072431903008444,40.144643388144715,0.19134166324151694,0.39098093711411647,0.5791680747688804,1.1614906751245138,396.03052830025734
2,2,147,16.89814814814815,370.94832058261886,9.682504843605212,1.2432452622502763,0.14594190653398695,353.80253437820335,10.853076029086921,0.5356365315397853,0.0005531869286473549,0.04025099541158653,6.009927846546638,5.177262674574691,1.941421705643869,0.31080090030616836,38.854511894182224,0.12636750671781874,0.25323272263621793,0.3894463344378462,0.7690465637918829,384.50227497787637
3,3,148,17.01388888888889,371.30103962875523,16.394691305576913,2.213068119259775,0.2876710742400413,317.45759962153136,18.50698762949713,0.9805268983986482,0.0005049119814216048,0.07681799368683676,10.23451263241372,8.956082909057695,3.316034851676737,0.5368484870908968,37.67907120461821,0.22948071662129263,0.4460260214782082,0.6607319683845715,1.3362387064840724,370.0630725084815
4,4,152,17.47685185185185,372.5354167876627,19.89117066902655,2.394334477078674,0.3323649870748421,325.3447462323929,22.14095595127324,1.1688515009252862,0.0005555149074287602,0.08065448197804341,12.12536181123347,10.997054219230792,3.943037525682824,0.6605671919366422,39.641577678347424,0.25508989528999776,0.5319113072777641,0.771729920420121,1.5587311229878829,388.51302387449516
5,5,150,17.24537037037037,371.89122585177,16.459032812969454,2.1745702901121033,0.27846487902714523,309.9748545845586,18.461751172190077,1.0091564277645992,0.0005396181921214102,0.0754355410139403,9.957721495559081,9.206994375490964,3.2486179110881914,0.5949637620666336,36.92981662454634,0.22490341954085344,0.4372294423026986,0.6798253552434634,1.3419582170870155,362.82633959156084
6,6,154,17.708333333333332,370.7529878342004,11.654683717219115,1.577913969560949,0.194095125471395,353.45440612793436,13.091971250647017,0.7491778082370548,0.0006038116013018608,0.056120425963461965,6.758675918269998,6.783279264718648,2.325816847709289,0.40890006231198855,39.54702671268832,0.14857717057493647,0.30746408853254154,0.4572945534734146,0.9133358125808926,391.21030422395546
7,7,148,17.01388888888889,372.15505678911757,18.923439553196296,2.2850844574856155,0.3102572432419909,320.98690812744064,21.05287195676923,1.111017115704595,0.00048457562461035866,0.08573334019102816,10.964285999318598,11.003041523174508,3.780641748266665,0.6055022591161853,38.883731766046935,0.25195290094537975,0.5209319205994215,0.7621242408806184,1.5350090624254196,381.6799909626368
8,8,153,17.59259259259259,373.6741211193597,18.805771496229184,2.625563758373227,0.3234404734019164,335.15487285384006,21.31426991562694,1.1577449023163162,0.0005819121772248256,0.08569942853371515,10.833311513208333,11.26482180107563,3.7605530754363525,0.6714052179507765,40.303431624708814,0.2497612747205466,0.48168824152305945,0.7091835028920362,1.4406330191356425,396.60535785409695
9,9,149,17.12962962962963,370.83653924781106,14.318480548222578,1.9335967475189284,0.22267512756955582,359.91833599994004,16.075684899515963,0.8758822082363161,0.0005586993373712312,0.06595751704978572,8.903686452963328,7.655637074560673,2.862501119637949,0.4892901383566329,41.15824804378033,0.19375460819040655,0.3777761094649032,0.5883939216461791,1.1599246393014888,405.57852471924735
10,10,150,17.24537037037037,373.79593886639014,10.29884258375352,1.3761807496900806,0.17665255371583957,346.9660188888279,11.611382872328853,0.5943459997214383,0.0005483810692908726,0.0438685600835278,5.901033041960268,5.942532818256785,2.061923714153245,0.3491216203388109,38.40856768686718,0.13782928068018924,0.2840715370873152,0.39942101592030643,0.8213218336878109,380.24274057562707
11,11,150,17.24537037037037,369.63967567016397,17.012994423530802,2.3846284907005963,0.2971063042907114,318.70261440672596,19.23615799806864,1.0976399874806615,0.0005732736278291902,0.07893308830952095,10.630602751909452,9.461855336647183,3.432614261938937,0.5838258446434266,38.03513036627297,0.22805288735707357,0.455869892880116,0.6710147248080615,1.354937505045251,373.64388092100944
12,12,147,16.89814814814815,369.8814132789916,14.199842750393719,1.9456634156840584,0.2433122922850942,328.75495245198186,16.00530359225299,0.8803993578652077,0.000543191693702278,0.06309169372156166,8.566769648729368,8.078813296438062,2.865546570318561,0.47173847476208786,38.007372808740186,0.18834413830384672,0.38013453899562866,0.5666978179185931,1.1351764952180685,374.64438358261486
13,13,147,16.89814814814815,373.7005296228245,24.078192959248074,3.1027151131246007,0.37332004525640555,327.5934767677825,26.9747637690151,1.3625942466903405,0.0005490174286307498,0.09936899025993946,14.567730219209944,13.629950182791577,4.727756117027883,0.868446260971913,41.411549346515876,0.333839853392684,0.6489219623060575,0.9814199897952613,1.9641818054940028,404.7753152750909
14,14,149,17.12962962962963,369.46532051899254,13.065164194388327,1.734161449849459,0.2340065666860727,345.97135871850946,14.765021509768339,0.7682760617422539,0.0006078517755129497,0.053690568391205604,7.963731915505063,7.2392098433365994,2.6171020790539212,0.4506050588550883,39.32336588057422,0.16710152292336403,0.36681409101703566,0.5327706023487939,1.0666862162891935,387.96589011864546
15,15,148,17.01388888888889,373.66055625199203,14.827105797738296,1.8565656524694965,0.23426827012849674,306.8089750047838,16.540741247448715,0.8621603321768828,0.0004953217375901602,0.06302666960824552,9.205454376634236,8.027884305801916,2.9389589216656486,0.5020031806006583,36.001641567284096,0.19459579141253505,0.40140851903064423,0.6072423100585447,1.2032466205017238,353.8654313246615
16,16,146,16.78240740740741,369.919273073909,18.300915472789026,2.225583850864991,0.2735331539661997,300.44311272827184,20.36938973245047,1.0090832025495584,0.00048293643337394296,0.06846234323827305,10.521882797471308,10.66818588625207,3.5666948799031704,0.6516938724429291,36.572494987826,0.24973423579908097,0.4900547969116651,0.7138576805432352,1.4536467132539812,359.0307847724159
