,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,144,16.550925925925924,313.6704727544792,28.306764967392347,3.7317042605607535,0.43253334865804494,536.6344822894059,31.608824945268363,1.7376083243194143,0.0008971331169410515,0.1196893660619103,16.851724407511057,16.542907841453435,5.611068352971897,0.9783039820224686,63.82696133161236,0.3824156092531841,0.7535030859101253,1.117003337982636,2.2529220331459454,627.9577068443774
1,1,142,16.319444444444443,316.13373839051144,24.024087300218763,3.092800569942535,0.41828879936192154,618.8864075885778,26.933658621373556,1.4185163250148263,0.0010737246346422924,0.09946713899701141,14.08494135592106,14.076874390805495,4.74328574404323,0.8564103205016363,70.53733704317814,0.3157606309519145,0.6606914252556128,0.9829160945610259,1.9593681507685532,696.51023867424
2,2,143,16.435185185185183,312.86918027818876,17.300729394676836,2.180150938683172,0.27100681986840164,554.508315663916,19.279329352260497,1.002627723781564,0.0009083768909059864,0.07426702379307541,10.048368000997993,10.17682327845295,3.4634178605145105,0.5468201090199146,61.655766304727976,0.2374604452312606,0.4738235819076517,0.6966669708437044,1.4079509979826166,610.2123475398403
3,3,144,16.550925925925924,315.7358925589856,19.268389277002843,2.4248448459093663,0.28284438613961466,560.144283327905,21.35685268034772,1.1767054926084195,0.0008561712865084761,0.08568345160154821,10.75758444911729,11.352561494610354,3.8114050364609495,0.6426205089837953,62.90888248807351,0.26343235357417305,0.5274317341873198,0.7654682823536161,1.556332370115109,622.1033790429713
4,4,141,16.203703703703702,312.5835640770462,31.155615279299603,3.983011390717012,0.4759725248476366,543.2000967609848,34.8121662824144,1.7155206716884028,0.0008228038302312469,0.12919620669100856,18.807683130194164,17.2267944086935,6.2220271988436515,1.0073640400314305,65.50910385286586,0.42966045590880775,0.8298153104757565,1.298528506228534,2.5580042726130987,642.4865918406549
5,5,143,16.435185185185183,311.768585843611,29.096324220455458,3.794646137421944,0.4081967608520998,559.4642838975013,32.50420009526976,1.6538081054241995,0.0008962872806862884,0.11400592090053502,17.24731842963053,16.6768493754129,5.799042083091145,0.9496938424798774,66.39016421003105,0.3840466274795823,0.8047280116526422,1.191126793183986,2.3799014323162107,652.8418481584064
6,6,140,16.087962962962962,312.1672672845656,33.62538505461752,4.337813320390767,0.5322368351067474,570.6591762574584,37.664131663801115,1.9518069488908774,0.000873027553853647,0.12850687045568654,18.265504003857156,20.82098682284432,6.77523354950461,1.0581791270648089,69.17177509672347,0.470851853343192,0.8959031082731164,1.3905368230699375,2.757291784686246,680.3116212623751
7,7,139,15.972222222222221,312.5039955531492,34.607755315898196,4.400170910909209,0.517793469505851,511.8530559113905,38.621194525956675,1.919883022405091,0.0008307757948413959,0.1343791907286431,20.488691295703948,19.70030042059549,6.905486166484749,1.1111787137962987,63.618525305469696,0.4878388998732727,0.9643695981883559,1.4440924184831274,2.8963009165447557,622.6683293400102
8,8,142,16.319444444444443,315.0083429321242,27.672011656219283,3.3539319139791424,0.3954169392650388,561.8003360575545,30.603259301414443,1.6169294575898419,0.0008585917430603625,0.11499357819296475,15.466803904742159,16.36424844338229,5.460504181554664,0.9047378467818685,66.05868540357774,0.3733007560467979,0.7428973015019452,1.1450401359780158,2.2612381935267587,650.5484661612039
9,9,143,16.435185185185183,315.4616921572278,37.96257343952434,4.535191433414145,0.5544027946871203,513.2770430583408,42.025801121215,2.124672899663879,0.0008339687172460418,0.14492310812380788,22.497644986480978,21.705331869322524,7.552662852586386,1.1813723475660054,64.877529901903,0.49440183219426836,1.0278603944132025,1.5672318702534216,3.089494096860893,634.1543029900224
