,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,187,21.527777777777775,879.124195281894,14.077518276592894,2.2509704856053436,0.30689365109141775,281.3710878754629,16.249992132932164,1.1418810691932775,0.0006062053433389296,0.10309912796770866,9.576255320115811,7.000048723834129,2.786430735022715,0.6327669996930828,33.29125867491195,0.1692266971832491,0.3319476509028333,0.49034178824900565,0.9915161363350881,326.91281141907405
1,1,188,21.64351851851852,877.2237718048557,10.574262516151597,1.657842522879467,0.26972520264938216,288.48074688131413,12.305404938758961,0.842776365067369,0.0006570576219845975,0.07907216686673069,7.1103613642486385,5.204459017220623,2.081773317251592,0.499694241920795,32.73822521600119,0.12135519462988058,0.25768959040895195,0.38233920611943556,0.761383991158268,322.75779821886096
2,2,185,21.296296296296294,884.4144065457662,9.069539262923264,1.376658709497963,0.20191242738243378,305.5086590672815,10.435716670477294,0.6897566686189868,0.0006430275483033092,0.06671694550971834,5.992790768409066,4.560066042686494,1.8183201306750039,0.3712796175509942,33.864824691458054,0.1115000958601721,0.22233278019121036,0.32497048822613056,0.6588033642775131,334.75807193442944
3,3,186,21.412037037037035,880.0904431183308,8.79305066578462,1.3357400480150052,0.1828527910386523,268.40836432377625,10.045179241163668,0.7030144552036373,0.0005263733674654722,0.06673774707979059,5.524600238567692,4.435152435790023,1.7357688812081264,0.3785859986816115,30.043405189525703,0.10763678571327641,0.21557334937594574,0.30984686697100083,0.633057002060223,296.7180299631691
4,4,190,21.875,883.5499647008403,14.211668240945862,2.260481175600122,0.32728936956444127,263.1121465347584,16.508511953801392,1.0724221587228868,0.0005325803555694318,0.11009837752395436,9.769604121716903,6.386266642487832,2.840780927673593,0.6217867195120859,31.532621123842834,0.17232525949224228,0.32877146867526913,0.5221517539134731,1.0232484820809846,308.4752331630272
5,5,192,22.10648148148148,883.2927387047691,13.265265033701676,2.155845542179471,0.27609152912438395,270.64028573620055,15.396274370067777,1.0320906864008692,0.0005775132100652242,0.09650811059791231,9.032888918163083,6.274512164356814,2.6443735388376433,0.5818219730114467,31.930906088909975,0.1519121286210023,0.3234745893423939,0.47659964588707515,0.9519863638504714,313.31563256153913
6,6,183,21.064814814814813,877.1036283761882,14.617649285217647,2.285730182215603,0.3307917326688449,261.9855406536867,16.958098376375364,1.1308824730951428,0.0005199632305237902,0.09817859557541198,9.079118131818348,7.8039579013006595,2.9558342478070903,0.6036742972884707,31.57189730513096,0.1835481548014571,0.3438969299789963,0.5394329944467192,1.0668780792271726,309.83773578768864
7,7,192,22.10648148148148,880.2838146467194,16.40455892937425,2.6411114608449413,0.38118437867342636,259.15899327935153,19.09492965622171,1.2830152821488223,0.0005754304314060376,0.12552791294436533,11.24343562550972,7.521158935350774,3.2754970635643588,0.7293752613836735,31.956340729773586,0.20248748495197993,0.3984931105110631,0.5963320831823368,1.1973126786453798,311.8132402689347
8,8,194,22.337962962962962,881.2655440114879,12.796341407070711,1.9415542677435265,0.27678959394980357,275.9282074666096,14.687200371495955,1.0383855069719887,0.0005707862757214587,0.10206206977421688,8.25948610967243,6.2345152564011945,2.516385772030438,0.5698261255991148,32.2586058791478,0.14951616829416373,0.2970034151438992,0.46238676247169047,0.9089063459097535,317.00074496983194
9,9,191,21.99074074074074,884.1627153162773,17.283193752766856,2.5418264075325774,0.37317651076245806,247.09480588591538,19.802125050671943,1.312955371091425,0.0005316605745439321,0.12081983173204837,11.781160195415302,8.180223890525594,3.4371133432415824,0.7190194673338285,31.00159085530112,0.19497093489045558,0.4106869875205514,0.6296695953389557,1.2353275177499627,302.10111868989827
10,10,181,20.833333333333332,878.2744715263055,11.639391830946066,1.6720902144151921,0.2492284448477692,286.44821831116275,13.25228537707316,0.8891476896736653,0.0005792237058457507,0.08480530444523707,7.794417019890513,5.744081335820657,2.2993220578341105,0.48595939203655586,32.87199606283798,0.14242835641777585,0.2831732341396658,0.41668204203781367,0.8422836325952553,323.6073928145563
11,11,184,21.180555555555554,876.6735618876509,16.350412687401995,2.643969659814546,0.3717810702391425,231.4762829077003,19.11766552272437,1.1741066923687256,0.000458016654632055,0.11626631297348773,10.743665160341415,8.325617310350243,3.272628917824933,0.7122012897954413,29.154526147002336,0.19904993723093933,0.3872033400833664,0.5865539344182172,1.1728072117325228,284.73419759958034
12,12,183,21.064814814814813,877.7633200512246,12.008102494960806,1.7302979363952586,0.25668244398374285,269.68224074695127,13.754553379521242,0.8374212752601441,0.000587537638201852,0.07850603597116232,8.132177030748297,5.697922998418111,2.394181124072423,0.47911000519884034,31.331866084641952,0.14210165358072863,0.298929225984611,0.4363649724936829,0.8773958520590226,307.7970018304302
13,13,182,20.949074074074073,880.3092680158471,11.595415863327347,1.6810193583763906,0.24060485420666652,254.50914342096544,13.283442171349698,0.8276971193132553,0.0005434862022364245,0.07063816006635881,7.817398529042639,5.510645870807179,2.3037610159583677,0.4746862274251559,29.66717410472189,0.13904008982646918,0.2769310575781541,0.4272741038350245,0.8432452512396478,291.34084279923775
14,14,183,21.064814814814813,883.150564483603,12.592531883490846,1.8546011791099366,0.2843012961710388,278.11260471556477,14.498978142255604,0.8795003074369726,0.0005564510345411064,0.08083541826462774,8.552051198523815,5.88380913278755,2.4975860587828165,0.5315387989445077,32.40352258088507,0.14995043437828467,0.30116134479735135,0.46974901855823387,0.9208607977338699,318.13770418157713
15,15,188,21.64351851851852,880.8915994925462,9.459328010417352,1.4460105404552765,0.22142039363607766,298.87680040895157,10.973222042763323,0.714423976128059,0.0006175807007044344,0.062374638716713844,6.20156794075496,4.664516577859803,1.8865090851153619,0.40915732571863994,33.36148722187179,0.11115395242021571,0.2382693300524823,0.3542372299542605,0.7036605124269585,329.41804109288984
16,16,185,21.296296296296294,881.2754779238227,14.304959613638664,2.0530700054448063,0.3055993696238318,242.0129452840359,16.326801932092966,1.0538000913137673,0.00048735707202069816,0.10317121836930869,8.970611426325858,7.265675421433265,2.79386979235603,0.6253543468632895,29.391618417647287,0.16121916000271078,0.36237808436164376,0.5085354485462631,1.0321326929106176,287.8778671251544
17,17,180,20.71759259259259,879.4801565638787,12.344473228949116,1.961442036147641,0.29147930061106436,262.59996754208663,14.371992780731924,0.9236163723240856,0.0005217749379469543,0.07557189934927226,8.351696706068703,6.151820061496314,2.4991890006743946,0.5083253817217299,30.803129965091358,0.15716095335366245,0.3096575327934729,0.4458224398881927,0.9126409260353281,302.6410403050655
18,18,187,21.527777777777775,883.7824943381677,14.498764124039363,2.243317785198328,0.313518485119752,257.4159558285019,16.746653185357097,1.0687670454386997,0.0005298381012896139,0.09889463539706028,10.169980677293534,6.4106195639546,2.899754126215461,0.6081642770138543,31.053083057150484,0.17419295828589837,0.3475601126188759,0.5500428644498623,1.0717959353546367,303.37673482969194
19,19,187,21.527777777777775,876.9531025873894,13.213190642934519,1.8594013048243634,0.27576128731457833,254.28934431076377,15.022544024668113,1.00867768804249,0.0005525541519011943,0.0905743224747818,8.91848162308427,6.025405848795996,2.626032081132295,0.5283252467984881,30.228398881824447,0.1649411371867882,0.32311066757320234,0.49312413016072554,0.9811759349207161,295.92098524682194
20,20,189,21.75925925925926,877.7339060337805,10.33500911338512,1.6083346029757049,0.2239381831754295,250.81624061129062,11.896258054271602,0.795850237736554,0.0005313762142932754,0.07420961969504886,6.970505595629593,5.03136024330682,2.0213306879923336,0.47395265955123567,28.845784932038978,0.11946631145090214,0.24686335827843098,0.3469327909610709,0.713262460690404,283.99027785028517
21,21,193,22.22222222222222,879.5424871009529,15.647183161269608,2.5475113838458383,0.3582652890071761,250.48287136815682,18.24775802736836,1.2514089083227136,0.0005059436034471344,0.11856969547259448,10.92358769252187,7.33231004671424,3.1614656290788417,0.6726809021049357,30.80938049351246,0.19166115156671987,0.3709544048657639,0.535046593222182,1.0976621496546657,300.91819250459935
22,22,189,21.75925925925926,879.3823227851742,14.214197110954158,2.2275764285520614,0.34788251090923156,272.79739167329825,16.506200136107072,1.1521155752317491,0.000589219337401557,0.10573040524675704,9.17335744535683,7.322069437526568,2.8941426806392476,0.5851304702243489,32.5259908638541,0.17191015191937004,0.339217097636323,0.5360207339753873,1.0471479835310804,319.2001736315578
23,23,185,21.296296296296294,877.009218911727,11.453358438310552,1.651094411972608,0.2654259683722003,272.4392771715218,13.226352348406097,0.8058794860202373,0.0005144158190137117,0.07300088716921792,7.468168989734438,5.775406051718477,2.2584585970834006,0.4997391534673379,31.414664831797918,0.1436909149313256,0.2709229493949628,0.39509377283718145,0.8097076371634699,309.2582145670243
24,24,190,21.875,876.73863146572,10.360079596871453,1.634442914913742,0.2286297774664379,267.67131461113934,11.979820124157689,0.8204838465385625,0.0005639306653968703,0.08033910520709794,6.898135640716136,5.030845756008396,2.073292041850108,0.44659787448318666,30.569599733510056,0.12026195238879546,0.25883000066788797,0.36809106626357146,0.7471830193202549,301.0735925986216
25,25,186,21.412037037037035,877.6955425134155,12.507540791173074,1.861632327462316,0.29476614472020474,257.3057417011815,14.424134057560163,0.932155470353431,0.0004948070325887094,0.08674101157885732,8.05979383280973,6.381367692170555,2.450550748211102,0.5687556654793627,30.29542834509059,0.15656859008308305,0.2855335649959448,0.45121203329874926,0.8933141883777771,297.70719460530097
26,26,186,21.412037037037035,884.3626689243329,9.343981041957399,1.566015398090815,0.22576294382991594,272.2317567534761,10.916177688689052,0.7709831283807892,0.0005384934631495713,0.07435862328250378,6.161129866674896,4.952823269905426,1.9250044018079364,0.37943340017518196,30.68817347318313,0.1132813545835149,0.23308976760772118,0.33896794343502956,0.6853390656262657,303.0721742086845
27,27,184,21.180555555555554,881.4899212379191,15.381154434157501,2.4542444178097362,0.33444162116439596,257.78222632312924,17.71399580217007,1.269482288268531,0.0005395492903477584,0.11613189016278685,10.178203725867803,7.445482924769324,3.0674414617442016,0.6695947093280419,31.42501601717235,0.1982073487832164,0.3532620016167393,0.5747178325437735,1.1261871829437293,307.3609226049379
28,28,187,21.527777777777775,880.195319786153,10.163136226667694,1.4698067987165633,0.20434939306203706,282.03475953319554,11.582312053006948,0.7363540717919205,0.0005911582353061597,0.06526804299116573,6.79354363179427,4.799774494513055,1.970224279917096,0.44621696071743516,31.878150342495367,0.1215568113482186,0.249784486615411,0.361748174383384,0.7330894723470136,314.20588248516174
29,29,188,21.64351851851852,876.6473171217093,7.17167494076157,1.1983241340223765,0.17054311914436868,274.14946193630664,8.412845813751783,0.5679733999404065,0.0005536231389165247,0.05361084747270434,4.864641916208666,3.508886433051532,1.455260883656754,0.314245985165962,30.074322946517185,0.08810908767718238,0.1702607688554394,0.26497071918751175,0.5233405757201335,297.52672169213315
