,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,411,47.4537037037037,2613.0860603228803,14.002539235950595,3.642401552735453,0.7159559591752352,388.31221147626286,19.867435568869865,3.060586835338338,0.0019455098763474302,0.7260226372397125,10.442949589674427,2.693955836899499,2.7468160020412222,1.5249164238866628,44.660560854238504,0.0839690835336954,0.16051811579492184,0.23234115548737602,0.4768283548159933,437.77161539309174
1,1,396,45.71759259259259,2612.4036619835438,10.728438511948282,2.580180753820931,0.616915844708591,402.25890393193055,15.359526557533316,2.2365177183978937,0.002069565202778215,0.5367168324613458,7.653461046385861,2.117307001864385,2.0790026777878188,1.1897490851508663,44.699011201105606,0.06001957397649316,0.13742833355670916,0.20111328573659698,0.39856119326979933,440.10388967407664
2,2,387,44.675925925925924,2608.9032889213418,9.30220455138023,2.218299859294594,0.47258623068951,419.8410681888223,12.924223579580437,1.7894194779381676,0.0019881930279234245,0.43644829926637907,6.707980871562057,1.9528322559896092,1.8811870830883295,0.8852962561585909,45.79833237350482,0.061419624575028905,0.1220152872133751,0.17269163438628038,0.35612654617468437,452.0616805214108
3,3,400,46.18055555555555,2609.9546644125,9.768175184454572,2.397497112127383,0.4740791506589985,403.631640124335,13.463784066358041,2.03013411647295,0.0018278579284546422,0.4989635933885667,6.25202017685062,1.968794208841065,1.904148313323761,0.9951903917555293,44.35615300385245,0.0617514746968256,0.12390155360729203,0.16838566228437976,0.35403869058849735,437.48827281023284
4,4,418,48.263888888888886,2608.9969679137307,15.211847087213584,3.887512672416556,0.824015956552526,392.5519155896685,21.93745995754418,3.0578115430344797,0.0018541335113681837,0.8302861228216968,10.045026583712515,2.3111115059928093,3.0560868712501206,1.639457121991402,45.651444239667654,0.09279867258059273,0.1662551788538246,0.2849582053471433,0.5440120567815606,445.8533706187788
5,5,407,46.99074074074074,2607.174982555539,13.664993576452828,3.586480702797376,0.6372168574634817,381.0701531614385,19.41957700422322,2.75766482767153,0.0018391301207118784,0.6522963768258527,9.591970973097938,2.471467331966914,2.7269810777961547,1.3990466380041067,43.766070900177134,0.0761904775573459,0.17556046266702202,0.2528809100415058,0.5046318502658738,428.89234853502654
6,6,373,43.05555555555555,2607.0811337481364,16.251619371596377,3.9594206710840987,0.8100152586890869,395.2985970057274,22.966898973716187,3.241720292500225,0.001751187447764748,0.6992517019035644,10.96177222159626,3.9192599283353697,3.3521325346418185,1.575626581854666,46.291479325076565,0.11307184675842681,0.19541378293041553,0.32393428197087615,0.6324199116597184,452.70871341915637
7,7,390,45.023148148148145,2607.3578444949685,17.843416364487396,4.486225273608053,0.9189834967073887,383.0242412334894,25.305177486247114,3.507397216052597,0.0018713486413312686,0.8483090740549509,12.280895337768364,3.141973552097214,3.5739291989022113,1.8201087524921202,45.71290230205922,0.12106183713001085,0.23363548267753348,0.3486317434264175,0.7033290632339618,445.17496206001374
8,8,402,46.41203703703704,2609.3813043748137,13.736513870158271,3.2389693272446847,0.6451003224204866,398.9830440723557,18.957761711359808,2.804437120768402,0.0018415033031248503,0.6924373890382185,8.962586029505903,2.6878054697624623,2.6557384753548092,1.386940718980811,45.47971978843104,0.08093032587090891,0.15941085065925015,0.2599157926941625,0.5002569692243215,446.2908469499711
9,9,387,44.675925925925924,2608.335209544341,19.19636599984384,4.366050765847989,0.9137835404189094,364.75648474107595,26.247149810907278,3.614945214026486,0.0017275186109280821,0.8179166125898883,13.889801771622967,3.619551856329941,3.8097658605849563,1.819260762597566,44.262841125084556,0.10673791989196738,0.23931212398142787,0.376766404035882,0.7228164479092772,429.8858191307431
10,10,392,45.254629629629626,2606.4878735003667,11.834024557634573,2.6861349011094346,0.5890941222871551,393.0889701995714,16.22530532503807,2.3559073503760315,0.001848770159861478,0.5901174864078796,8.611969406469548,2.2470054215481374,2.3105017901884577,1.1829612657822663,44.127778011887735,0.074167593362247,0.14630378584552498,0.20987856078133324,0.4303499399891052,433.54222113009234
11,11,399,46.06481481481481,2610.808488685725,18.104057611725555,4.722770471160449,0.9599795666715616,359.2021516744849,26.494537067222403,3.4940665252387446,0.0016462511974374287,0.9110590274444345,12.765956206630973,3.6817928541568583,3.648712124396718,1.9070647754564964,43.4988362580966,0.11191359294350758,0.20981625955407382,0.32202296453981843,0.6437528170373998,423.7715907661929
12,12,398,45.94907407407407,2612.0603044457616,12.98088940863217,2.980956269336773,0.6576346481938864,395.11195794779303,18.112841026400034,2.3992194141173298,0.002014832578585392,0.5960590434450256,9.13762378702885,2.2278061617630196,2.5917561135709666,1.2551461801685877,44.814236005818664,0.07461341400234572,0.16794548871993795,0.23637738950980308,0.4789362922320868,439.39521733823153
13,13,413,47.68518518518518,2612.390743887197,13.133166316856528,3.072417756114417,0.6441200570646466,397.1567946332784,18.509072103345908,2.6072380469458896,0.002040632356914481,0.6024112240363814,9.045052919412496,2.1439255002392295,2.599222677318238,1.3483165591770745,45.129076247092925,0.07504845941922474,0.1486073512902096,0.23858938803032684,0.4622451987397612,442.28097070547335
14,14,377,43.51851851851852,2604.7891754442408,13.489390455388147,3.1191946558858317,0.7151501403489283,398.72750392388616,18.815993966073727,2.4139438169274636,0.0018009646577792407,0.5612504995090812,9.426752034398337,2.3745367395943604,2.660116011732673,1.343249936808119,45.3965287618806,0.08211607624390964,0.16579635289770953,0.2717038599867916,0.5196162891284107,444.74174739994066
15,15,383,44.21296296296296,2610.489184589878,9.793595984429079,2.294240826891646,0.5014509626852981,415.071099674572,13.797781137073219,1.884831991940805,0.0019019077951784112,0.40583674166935146,6.722828319270106,2.0063128814167017,1.9563130993395152,0.9709172813401291,45.546067372935056,0.059303674097797555,0.13835181232086458,0.203457926779223,0.4011134131978851,449.08539590235085
16,16,382,44.09722222222222,2611.19851715243,17.02012917484908,3.8125094964587705,0.8257502354399343,383.35044529692397,23.220647099674363,3.138401475378869,0.001739009817486852,0.778284495430011,11.162197085497706,3.6239329824757363,3.2378667386108675,1.707803876144005,45.193814406939076,0.09189381535621458,0.23915310078300323,0.3086086747907739,0.6396555909299917,441.3571654721331
