,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,198,22.800925925925924,857.0081935616848,5.6697392206136215,0.9121921684449034,0.14031775003859165,167.4733042686874,6.602073238929442,0.48267983143864934,0.0003373510905761056,0.04886232390638459,4.044370660651291,2.4716622113027062,1.1420532859729282,0.251620929314409,18.838960545856626,0.0661186681155341,0.13169339504394287,0.19910303271683802,0.396915095876315,185.59175767561595
1,1,203,23.37962962962963,857.6322961986813,6.23842953066223,1.049512635560737,0.1589515840818077,164.50405380764903,7.371544416557824,0.5184014657198924,0.00039152756990640925,0.05313954919731946,4.2492847581124655,2.921251448276677,1.2305398760495365,0.31431503259091315,18.763825628104545,0.0728737090172182,0.14990721229195306,0.2157717624271043,0.43855268373627554,184.79908355765215
2,2,209,24.074074074074073,859.5212130529484,8.29342249466334,1.3373637806465974,0.20584325057770456,174.35314175429548,9.707509681688435,0.6863531514074236,0.00038597579239504074,0.069786412448154,5.676150457950659,3.6817994488272623,1.6343260218834341,0.4041337343721705,20.486982646369523,0.09882079548771193,0.183743295996859,0.2746070152367438,0.5571711067213148,200.93123681332372
3,3,202,23.26388888888889,858.0356244136043,6.508254691960181,1.0380390407799456,0.15201383254475834,157.14451880482457,7.540425922029639,0.5489327391575584,0.00036963499097074305,0.057687657068394155,4.495215466138781,2.8931726783259064,1.293979308027099,0.2974117961689995,18.10457502614272,0.07705635761811265,0.15085467549657466,0.220290701031222,0.4482017341459093,177.9230078400239
4,4,205,23.61111111111111,858.731367005498,9.762733849808658,1.5037533945809958,0.22722785451123018,151.0323372597027,11.29771967904653,0.8029140686696364,0.0003334589421591558,0.08484295006056033,6.84713259500048,4.076437349638458,1.931511654451598,0.4457012172631003,18.681469710011264,0.11287655755402783,0.22584663721732445,0.3423365850632889,0.6810597798346412,181.84657251651026
5,5,205,23.61111111111111,858.9563968172082,5.990967234463573,0.9124820074123766,0.15596204771591402,171.46079558881226,6.9791711405728085,0.4734141136315569,0.0003788010168780043,0.049862314662376936,4.078860070560991,2.7129060102647253,1.1916328431499519,0.27161568074547815,19.34213956659855,0.06580320435974502,0.13815365134254345,0.20123938785994352,0.405196243562232,190.6043840260101
6,6,198,22.800925925925924,853.2903331638522,8.064330417613025,1.338189827928336,0.20214834298494244,174.99302595579346,9.438548573775813,0.6793516715816775,0.0003787343905658528,0.06583665791609902,5.659080470872343,3.6025203736552895,1.618325388797647,0.3698535134242275,20.48203487411095,0.09275471079106071,0.19487908386940642,0.28242782518324216,0.5700616198437093,200.94257107770483
7,7,204,23.49537037037037,855.5983923144504,8.452038240680034,1.4490165390872043,0.21682345142668846,161.96474183264937,9.929934007643295,0.7539212041094606,0.00036025663043170184,0.07341862115267207,5.89961993447993,3.8845681161715397,1.6947283516107747,0.39997979959544894,19.33419334775682,0.10445697001668731,0.204701832944731,0.2902569219405733,0.5994157249019916,189.4189461456589
8,8,205,23.61111111111111,856.5854038035429,7.882913448921124,1.2176643951392734,0.1939912941177871,151.2799746459856,9.140059790618256,0.656523961201005,0.0003436674657135948,0.06393645667060983,5.1941355435653875,3.718895344702796,1.5606030435077483,0.36249280423768543,18.01338407523827,0.08842842780785201,0.17632615010173341,0.2625163857333369,0.5272709636429224,176.6046698162105
9,9,201,23.148148148148145,853.3663448061645,7.159584727245793,1.3039823173981606,0.1784817005547683,167.00294462994728,8.51873449368801,0.6135313121129046,0.00036096611248255354,0.06355327962691738,4.787349112316488,3.5981317855063155,1.4631534107514919,0.33071937349527175,19.369530759394248,0.08638606524166469,0.15876498571875244,0.23789452306434578,0.4830455740247629,190.71622357046417
10,10,206,23.72685185185185,858.7842779959024,10.386827679735815,1.6746984762592827,0.2502472661287017,151.8563500686117,12.14159094895874,0.8103365615678503,0.0003377600490245172,0.08336448219738915,6.966190612136626,4.737073915414841,2.0532650247745505,0.4877309371647686,19.00041376311356,0.12293807250220404,0.23373819641306137,0.35574805332559806,0.7124243222408635,185.19424744310354
11,11,200,23.032407407407405,854.5628023684166,5.766066500570994,0.9450249433131249,0.14065485311050538,161.17753709614618,6.71863462946574,0.509814381002137,0.00035547188930154375,0.04900397727952443,4.008739002082348,2.6150828817472664,1.127722446814893,0.28602927352877605,18.239288648057297,0.06409479575930414,0.13415774162873773,0.19925221425411824,0.39750475164216015,179.7334312065106
12,12,215,24.76851851851852,854.1058391939574,8.539352404806982,1.472081401306049,0.21310696146909572,166.43605381378617,10.090987673046977,0.7349907083071661,0.0003812904467461741,0.07831413011075856,6.311990138531039,3.486558361204851,1.6633445475300763,0.45041911966239534,19.7980551887421,0.09648933294965102,0.1896208200734678,0.2798016642202433,0.5659118172433621,193.73150222892062
13,13,208,23.958333333333332,858.1778022995618,6.018381054614923,1.0731630610905336,0.1562163548255837,177.34297693922753,7.126499393325758,0.5143473094522746,0.0004376057208562955,0.05229070911608045,4.325803742114812,2.5420412795353777,1.205457269610642,0.2908561631827492,19.97182375038698,0.06886773276953954,0.13995019561211108,0.2135290964951619,0.4223470248768125,196.7450141645791
14,14,200,23.032407407407405,854.0533499490595,9.232263927620243,1.3645181300730385,0.22284994659099872,164.2343014096994,10.627211373312438,0.7730096154087635,0.0003516955647656684,0.07712334674537827,6.33112657171979,4.11434949428966,1.7979377375603114,0.4376770137558217,19.7909444334561,0.10811210808193639,0.20612980994637586,0.31810095593533866,0.632342873963651,193.5139365645845
15,15,213,24.537037037037035,855.490245885386,10.21049333328368,1.7486023353493516,0.2601807040031491,168.11206112715917,12.017035290860566,0.9170559920534842,0.0003655662418176323,0.093988493860566,7.091384056816534,4.617208768079731,2.0663279421665823,0.4716769599027955,20.59712703029963,0.11861529024305971,0.22872757224562168,0.3401319320142579,0.6874747945029394,201.20247130746387
16,16,199,22.916666666666664,854.3395180920701,7.505207127164547,1.2570695137113435,0.18871830089827138,165.6842645297364,8.828284469141995,0.6111805324420659,0.0003755542383816866,0.057214125544822164,5.056857733175972,3.5627396205202517,1.5257949131408666,0.32844904662870594,19.35162160209757,0.08567061473411089,0.18564346304826337,0.2693843362718702,0.5406984140542445,190.0899961472219
17,17,213,24.537037037037035,856.3289003793926,5.5800022035316506,0.91204082273433,0.149031600530097,181.55090972882206,6.544000045061251,0.4912408920820319,0.00041193086233460967,0.05453579452823734,4.082796491945821,2.3275605982230783,1.1172815488066097,0.26464822487214174,20.2204340493381,0.0650005860339153,0.12559944892678412,0.1894396087483197,0.3800396437090191,199.3717030337628
18,18,212,24.421296296296294,859.132874844736,8.155930750403302,1.20936626797371,0.2019313053633504,168.95678680519464,9.42877330910964,0.6868445813020196,0.0004030455033154225,0.0765908315161979,5.338671598368392,3.7929717864004453,1.5766190090545742,0.4082212742338696,19.875033747297945,0.09171331782807712,0.17931244821946912,0.2711612292545933,0.5421869953021395,195.03662596135717
19,19,206,23.72685185185185,852.9086673208291,6.878652791148317,1.1916153705436698,0.16899524595590437,158.28768254727677,8.05776004227614,0.6244796104338969,0.00034820971893512447,0.06252019005120622,4.80554351010417,3.1545450313735577,1.377897654653929,0.32877313448572304,18.384381568564827,0.07543661537912862,0.16258367795380405,0.25009257206909763,0.4881128654020303,180.62138269332002
20,20,212,24.421296296296294,857.5536284450741,7.496767518672811,1.269593771494658,0.1878974692075834,168.32871154329672,8.831403606457211,0.6459111590798668,0.0003895314781671391,0.07285927385792168,5.15010404339508,3.468707363895614,1.4876252497853086,0.37343627631056764,19.613054250179996,0.08913379213779275,0.17519681705910972,0.24913853591571364,0.5134691451126161,192.67677190864904
21,21,206,23.72685185185185,858.0440994209631,8.210505023064474,1.3675905311450092,0.20687876470299216,173.21274998367016,9.595890042372728,0.7175255588024937,0.00039971757771874037,0.07381500004835259,5.6203091422271765,3.7273281601085055,1.6114845703408034,0.41008537558541835,20.34560960220286,0.09910398969104707,0.1848457786272159,0.26669918805499665,0.5506489563732596,199.6849016837919
22,22,202,23.26388888888889,855.1046478543581,5.33308519802459,0.8583317580587837,0.13733467944906583,179.5727868266156,6.221349455279717,0.4391909800513617,0.00040454767206933985,0.04631287480266407,3.7947478257095213,2.35154527061996,1.0768764289388575,0.23364756019828278,19.92419021223786,0.060715625678362216,0.1209269371954838,0.19132416632826343,0.37296672920210944,196.64383230891306
23,23,201,23.148148148148145,858.3694358236764,8.040980862621906,1.2629501542567503,0.18470402203388453,160.13453684464835,9.260540154861625,0.6677555367329903,0.0003491676962850835,0.06899000939205914,5.239268389168072,3.7497133986633147,1.578217382496847,0.37140448958690303,18.95180864815547,0.09231022989879838,0.18437264745479287,0.282817138842442,0.5595000161960333,185.8796420391869
24,24,211,24.305555555555554,856.0866469146747,7.6755933573956465,1.2269469301616205,0.1829646252512984,181.82418141603034,8.908220478623363,0.6920333932293027,0.0004473715048875974,0.07301537212529974,5.291268507038452,3.23493182246455,1.4984898044313053,0.3808436396102829,20.998956875347854,0.08182831775489322,0.1807298361712646,0.2515204944485943,0.5140786483747521,206.21174685920263
25,25,206,23.72685185185185,858.0163480463824,8.63269301594904,1.3631215543417061,0.22220921063996543,157.88350558781664,10.046861146481444,0.7241010049887145,0.0003520281739741243,0.07694960473431957,6.010398311134418,3.805842616748847,1.7220298220247021,0.39506011687774756,18.95679443718384,0.0991823431487628,0.1891198846915454,0.281651220356123,0.5699534481964312,185.44267915697347
26,26,205,23.61111111111111,854.363608428417,5.678149423968173,0.8796615397426506,0.14082105703759784,181.16714550742398,6.583482425194823,0.4709675845500223,0.0004011640005525281,0.05212644994861131,4.053403115376355,2.388985447656348,1.1355464009170402,0.2500153349904519,20.198915920370077,0.06287485933053162,0.12669542217238336,0.2008075709921457,0.3903778524950607,199.1376801879253
27,27,199,22.916666666666664,856.9799359544313,7.971256888618771,1.1986335989043904,0.19980034921614848,152.8890990481933,9.266107571036843,0.6116234584595044,0.00033502479106089296,0.05895036118941092,5.402857468468092,3.688813152456011,1.5868572140674406,0.35356551469726394,18.200387975236364,0.0940627553169523,0.17186667861697602,0.26113011997654423,0.5270595539104725,178.3521017355406
28,28,204,23.49537037037037,855.4770959726393,5.315784464611991,0.8485071095826042,0.14206740326076342,181.45487279294818,6.251646540322386,0.41755444664563024,0.00038790901431803095,0.045549857979288955,3.563852765208323,2.5760127519738916,1.061964561293844,0.24578164687596615,20.105017444579346,0.05933306511901242,0.12434554828373409,0.18058050978973772,0.3642591231924842,198.72438860770131
