,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,150,17.24537037037037,468.67406025007074,21.193541075639317,2.8068293848837884,0.3642206953331096,590.6176916609005,23.779953002520184,1.3428921409866914,0.000909599907735479,0.10194095875604965,13.42171645800661,11.310587018883904,4.25737675044111,0.7099270233276055,66.70618667981846,0.28158808548118314,0.5614231782246,0.8471694405238196,1.6901807042296029,658.1760500158096
1,1,153,17.59259259259259,472.990918977521,23.953900330271647,3.3085300975605065,0.4244256135483336,593.483769978463,27.15926807658816,1.4692396741755689,0.0010747819168972852,0.11232921334244539,14.411022229144535,13.534146672765848,4.736377381998766,0.908875920439251,68.0226984870386,0.3193298412692087,0.6523279636668488,0.9485790245400122,1.9202368294760697,671.0121745705466
2,2,155,17.824074074074073,474.9556871288996,27.558580229951154,3.6089525598384165,0.4643032249962759,543.7291030164315,30.965630590949615,1.6584006733165582,0.0009011875213173384,0.12369205220919664,16.68477214722086,15.1057636791502,5.445910902184098,0.9952460099332255,64.27939929442704,0.3752352571402358,0.7110301120434837,1.063656017699457,2.149921386883176,631.8064055133648
3,3,150,17.24537037037037,470.9778250778618,25.410741120669034,3.2772549941486804,0.40061122390583676,577.3234098640891,28.34061163672989,1.5656575678547824,0.001018051319985509,0.12076826890317152,15.462754381893472,13.93205418326737,5.054597961538736,0.8603337967379054,66.85432693988061,0.34419730579645763,0.6775767302024653,0.996347428025822,2.0181214640247447,658.3051801331893
4,4,155,17.824074074074073,474.5255676934997,39.45596494651449,5.004998793787344,0.6408073330191385,575.9490579310914,44.0542748442557,2.4174329396039393,0.0009704212401009733,0.19104524532870418,24.84372979747889,20.407292661943263,7.819121056595526,1.362284994947465,71.75834508063176,0.521247708032913,1.0428214202722912,1.5766482696590123,3.1407173979642167,700.4439685662913
5,5,149,17.12962962962963,472.741671337366,20.993693540172643,2.5737132911638083,0.35849613213226617,563.3945239645077,23.45275473297903,1.1841623881512966,0.0009127833736891661,0.08957807948546634,12.444583541821348,11.816125709125638,4.177373632596738,0.6914880719466988,63.85549209242691,0.27152056016015796,0.5625095710865763,0.8259960427394041,1.6600261739861382,630.3928484996212
6,6,151,17.36111111111111,473.18724314573785,29.620321458609112,4.05224592086681,0.5171480982781373,606.2712619519573,33.390501445748455,1.8661072413597795,0.0010089606780479387,0.13660326879286755,18.50287902760217,16.03693392972847,5.933557111178133,1.0321817931823694,71.33806220486619,0.38837999227173703,0.8064560340311833,1.1783911235426638,2.373227149845584,701.2310983302251
7,7,154,17.708333333333332,470.15987239733295,31.662101617754892,4.441890964135039,0.5597955464906312,569.8933221154912,35.750900474708864,2.0866778570714044,0.0009663239082989964,0.15180862338669632,19.50319356650839,17.622939268149235,6.338253350126996,1.1286069161445673,68.46496562673909,0.4401200244732837,0.8668304858142927,1.2462706628727986,2.5532211731603747,672.1904842305282
8,8,149,17.12962962962963,467.5188806031764,32.534898981186636,4.0261304280684085,0.5256552684192027,585.1193971765231,36.221890691538235,1.9307852104008327,0.0009758980410399759,0.13508692827667404,18.61958460645848,18.864345588892867,6.451846923567163,1.0872241545762698,70.14667895225489,0.4272727809704882,0.8526844284010036,1.2720981189329654,2.552055328304457,689.4502925777947
9,9,155,17.824074074074073,474.6432023345995,27.146823329440583,4.090767403392478,0.4816674207964347,596.2503105531179,31.034460413814703,1.7567824459761998,0.0010017213548718597,0.13894199393617496,16.055335835155745,15.982132463726852,5.515166197544655,0.9609361942915542,69.50511042350635,0.36757591972936515,0.6888163530258045,1.032379373954808,2.0887716467099775,685.4477617841025
