,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,189,21.75925925925926,781.0371204883033,15.660947883997343,2.442468492177761,0.3658013119867969,457.57898196429164,18.109844152284797,1.268504859273525,0.0008813909193157939,0.12235718826567263,10.985366227379705,7.09115536025229,3.1529653064035608,0.6630187373793929,51.510724391096915,0.1871547623008419,0.37284005293437034,0.5634820407801017,1.1234768560153139,507.5804035032474
1,1,201,23.148148148148145,777.4739919220119,16.106757243262095,2.692074219727963,0.4055448178349372,423.6704033460656,19.00087805022341,1.3241634376019478,0.000998813977393013,0.1343462226732385,10.932114775330799,7.599136036912845,3.1773899454191157,0.8035084739071271,48.33423529996722,0.18914654829190047,0.38898160830444467,0.560116757670923,1.1382449142672681,476.05344552187296
2,2,200,23.032407407407405,781.6869230373571,19.235032109723285,3.012889456629079,0.4525003639681848,400.1305286986642,22.361887868921237,1.5183942487719855,0.0008490304087244835,0.14748772921956163,12.973466181706598,8.844619858995623,3.792270305085593,0.8969015110626888,47.06292620482963,0.23434885970133074,0.4371154946055161,0.6533790027919649,1.3248433570988118,461.718204538549
3,3,194,22.337962962962962,782.1544601693671,17.989455377693073,2.791573541974285,0.3995876526278029,430.3207765107586,20.720719051373077,1.4536140789849086,0.0009735859069651452,0.14646754893508745,12.251129363751865,8.259264419502523,3.576947577796904,0.7892904988662406,49.615155717757766,0.21744712734986993,0.42606250294917075,0.6228371946992497,1.2663468249982903,487.71501666941776
4,4,188,21.64351851851852,778.5099826198333,28.939705881729722,4.20733956387753,0.6056578162031055,438.9672829743678,33.08479991588099,2.1719041793159617,0.00089167541045977,0.2097320094144569,19.732784832879414,12.99603857544616,5.728812218370084,1.2118457143333572,54.428151091764846,0.35011614785630674,0.7004982007852493,1.0608834496967825,2.1114977983383385,530.2355083226878
5,5,197,22.685185185185183,779.0090815147762,15.903737125091295,2.3614372506388874,0.3941484632464056,451.0041102807876,18.416445899295685,1.204635211018179,0.0009587746232078796,0.12173591321759054,10.677204187182676,7.428987491457663,3.163507323140255,0.6928984759720276,50.91016404606974,0.17880800931535745,0.3746928601091937,0.546418846846873,1.0999197162714243,501.7925219247602
6,6,194,22.337962962962962,782.68901986613,20.276395595174066,3.3183810672388403,0.4953638678678618,437.8114301438068,23.655934333594764,1.67086626607501,0.0009290793317711608,0.15853467919619993,14.126007627341716,9.207351273381288,4.068389948316093,0.9108879807250116,51.266125884193805,0.2358310157149109,0.4949891420695471,0.7178628157143515,1.4486829734988094,503.02314720820647
7,7,205,23.61111111111111,779.7948069756679,21.557726016645905,3.708060660114257,0.5563861199260947,413.62331836779026,25.347352834731897,1.9331923734426932,0.0009243418890704884,0.18921799875822415,15.074166622221204,9.870089473077384,4.322706661960882,1.0252247094970073,49.36926775985031,0.265801734393014,0.5208330595117785,0.7383105089703628,1.5249453028751554,483.6591448607088
8,8,193,22.22222222222222,778.5415667767767,22.207918175246114,3.2968456154637864,0.5071253457266512,420.3104720185163,25.526424846752402,1.734053228590312,0.0009009449155549801,0.15862176382175927,14.31279396590578,10.950339018143275,4.398146921269022,0.9614949226352412,50.118700452098786,0.25768016144368183,0.5139046891581909,0.7654442064232053,1.537029057025078,491.58937185810544
9,9,191,21.99074074074074,778.761036724789,18.263621273399966,3.209239177854293,0.4272327393561783,420.4834690675534,21.542682460409292,1.480536060137523,0.0008651640002835322,0.14543650386133175,11.955975652102333,9.499848163283874,3.727622040447033,0.8006239777882264,48.82136877520387,0.22595814900534567,0.4170373882680585,0.6249248350698611,1.2679203723432653,480.84909700043477
10,10,195,22.453703703703702,777.8767644374342,25.911473149655468,4.024384086090294,0.5825006815406357,373.931242274319,30.03634748513739,1.9063660378855063,0.0007889672555570828,0.18525983647840288,17.050940890445762,12.325809152853921,5.124260517440884,1.1517639675977536,46.86452112364438,0.3153737138670981,0.6012409548017715,0.9143704713562428,1.8309851400251125,457.01118129627986
