,Protein / seconds,Polypeptide / seconds,Amino acid / seconds,Heteroploycondensate(HPC) / seconds,Polysaccharides / seconds,Oligosaccharides / seconds,Humic acid / seconds,Monosaccharides / seconds,Inorganic carbon/ seconds,Lipids / seconds,Pigments / seconds,Porphyrin / seconds,V-Phenol / seconds,S-Phenol / seconds,C-Phenol / seconds
0,8491280.433819365,1938482.529840345,853079.6715879929,934530841209.0835,24698447.456284348,7667172.524671427,23471236.7035909,24455747.505505033,2630448.968477356,1854545.3863566543,8921825.988899784,8704688.91589184,2567264.80004401,2553548.369051137,2579902.936302229
1,8284101.431249627,1942482.6077234556,813587.2597646305,810497376447.4443,26253609.05559385,7770226.536369622,23993107.575928636,25737166.975937687,2504566.647104234,2014848.1572149387,7965148.717359435,8397652.540823607,2598070.539703217,2695638.4568868023,2554959.828271227
2,8862342.273093194,1999508.638419688,862011.238502424,898773120606.2715,26920728.230525788,8067657.394849042,26449481.20742697,26832294.99295407,2534489.232772677,1987080.0631802834,8475200.41428515,8983133.6614239,2778837.1054474283,2532169.0814861413,2520925.3168582534
3,8855590.385967724,2049145.1232219187,856193.3068429014,817108869365.9617,25198098.766188692,7559246.711560739,24797506.80791197,26498551.344098166,2581374.112944703,1936989.2965598055,8784460.212394312,9095960.769962562,2690156.349609801,2615363.008694389,2527126.419940308
4,9106249.89230408,1984674.1855321254,840318.0380255409,882081626665.1877,26156016.66336524,7631298.166910866,25834046.751259334,27079371.08505367,2560331.880910843,1858988.3928418604,8839577.54484391,8787344.228963975,2656393.293229644,2657826.733077023,2694594.4607480564
5,8977740.128049951,1871405.3011438283,928848.4860087296,886974953687.2062,27363675.754385296,7643438.296340611,27878453.973005425,26067375.3613727,2581576.331824481,2001057.105925727,8922096.655613428,8644353.011295147,2480327.711782559,2635927.285219278,2539658.5019805017
6,8363923.3867412135,2002783.3232984133,879333.404870551,872272916344.9364,25197014.916159112,7995414.340635979,26117714.95267733,24728080.444227565,2564210.442893465,1891770.7836987975,8637208.969013764,8746617.139790937,2510556.6427290402,2678767.1691665906,2558992.2900563804
7,8337620.948792063,2044699.659257049,873412.8799806994,870106613717.6504,24657311.71116202,8219975.130504934,24073790.907451116,27075811.296116214,2616885.57582602,1988498.9482994128,8570874.204090191,8282986.850413225,2816447.7252377653,2739045.7116662194,2545814.881482657
8,9025569.137685347,1954271.5354662105,893178.386295496,858715028992.6157,26135362.75741536,8256946.546668537,25923941.02761611,27569894.864237294,2521545.7362722107,2087393.3982371155,8787855.759473857,8790047.713525578,2549402.3602827936,2539863.363683349,2516406.523395932
9,7916546.794699035,2108510.958235947,803508.1533099025,887280162680.5461,25374403.001698446,7621425.681371232,26713411.131601572,25878128.056637682,2522929.7145927395,2126138.2043022225,8811264.785595885,8456114.142114595,2652801.5275746314,2385301.3482259805,2382281.846281969
10,8940703.142734386,2088394.6255527625,902577.8205085053,879260879876.3557,28009267.632074244,7855050.993951066,25668365.81551265,26269628.928146724,2504167.9198166924,2020884.5896659123,8654009.08287283,8816405.35079038,2734043.8816484907,2561119.0880198595,2608556.145990376
11,8465563.02293115,1976192.44691171,827883.2099529157,863541779073.1251,24216554.76441008,8150472.297010006,24746330.013883743,25485618.32857337,2573498.7552875592,1940016.7253209483,7854782.319812654,7885288.734797986,2431704.7736487766,2574885.2020110786,2542286.4298941833
12,8667431.04057505,2107272.3665928845,834521.6442828724,890432534747.8083,26768818.75555307,7939801.268568032,25358053.003782026,27510400.809208654,2744946.658519463,1872804.4294151736,7948155.026181537,8260697.490331682,2629596.8535220064,2574076.2320520435,2524249.599499404
13,8353297.764958567,2183818.6049175956,926727.666213247,802779407197.706,26267544.59020935,8034722.757807402,25639733.131993838,27097147.447674327,2565405.0866038986,1865440.9563438746,8544736.152207848,8231629.755608102,2580739.0525727086,2633104.9401394883,2691377.9438703177
14,9048291.949112631,1848117.1779584382,858558.1018513769,888309012855.5513,25120716.17589749,7872710.448271867,25365362.564601585,27251767.418129455,2579918.3365529864,1935506.6444839584,8206735.009640177,8436003.606221555,2649357.422301833,2490814.8943102155,2582611.975189071
15,8612341.476414274,2072340.7736465815,853683.2778924085,931125619381.8429,25465748.119575217,8146354.585773179,27002494.883969482,24598288.441962123,2623109.145986683,2038885.0641258154,9205784.098381191,8512622.69788258,2699440.68203979,2579549.9096726687,2552642.269162748
16,8340756.174930899,2016072.8156130728,876326.7230122006,835957521281.4136,26391238.050878894,8305210.096885011,25224087.960544966,24998521.139913306,2498429.3600439136,2015357.8280769282,9126154.780185288,8470181.486876307,2493279.8610254633,2773249.9592066715,2650184.7337373616
17,8757455.06300825,1948439.341691667,892157.7873592642,895220157606.8223,25628618.653510544,7557364.327559787,26870472.257959962,26103673.235539336,2765271.4501971747,1898879.5299126704,8950478.389110308,8911337.842935981,2723076.1497618407,2607700.187675524,2625485.8953625862
18,9359170.294168245,1862989.5353892986,858289.5285228004,844918378209.4016,26235071.095850404,7476756.6761624,25891461.72670949,24727278.238114737,2523822.310144454,2129070.3543413654,8261590.212801043,9203318.834769048,2646816.649560068,2573581.8120211205,2599321.3373475256
19,8455014.806071874,2138570.367373697,859597.830416262,891620810418.8182,24333248.737737995,8071019.344296894,25902347.023451865,25394410.695251245,2655018.5050989147,2005795.8778527817,8656643.52006431,9196880.958787186,2442661.0587468874,2681505.923454006,2772808.608040359
20,8623480.030524675,2041887.056870049,827286.2155554659,870369323938.5286,26101337.21318402,7405887.132550454,25283418.792627633,26050492.328238662,2626894.8052985277,2078058.7327008278,8492297.718688883,9209795.158876173,2773858.8959194333,2711911.9874696643,2537842.549273291
21,8629001.289505016,2056845.9151006942,893555.2140093803,849063075724.541,25107012.643667556,7864436.593122256,25492791.34748992,25995021.19102415,2535571.4352214136,1995534.4518243955,8124658.563235671,8666841.93852459,2775992.456519018,2536282.2564213932,2419920.604520914
22,8680981.486646261,1989353.2055702305,944408.9579426644,854359235044.8048,25940936.95419606,7525127.5663581835,24920964.830161985,25604753.301345933,2709147.817947215,1913560.6169056671,9224641.230561353,8834715.062377635,2541317.2523768526,2528015.262680525,2709725.370964633
23,9087324.209856598,2130418.6706597116,927483.256555601,880044105775.6218,25356421.615477122,7649093.785809609,27521915.04631214,27082018.560592487,2422939.629957753,2034673.9947594805,8516775.706081372,8630233.59367992,2593556.5834018607,2589046.9587068995,2666280.7226332584
24,8978547.533927724,1996845.7255825787,809902.5339191575,814409377019.8043,24716950.188916143,7858653.286351085,24774669.50454476,25378635.13231706,2466382.5995042548,1912692.7087528508,8268777.920279282,8276628.463669941,2444782.777115196,2764106.1704308772,2515924.604994549
25,8881633.131575186,1959238.5817314947,929167.4579786758,877306823237.9324,25913398.653776325,7625848.50373319,24961314.223999925,26787402.95390788,2620722.2668702863,1952692.4546839837,8938110.837349903,8915094.451541666,2624608.5460133934,2473470.758755872,2452236.255659408
