,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,183,21.064814814814813,582.3599221695644,21.658004927036245,3.304446361975944,0.48559766650709074,628.215744178231,24.928801146367586,1.6948515289516415,0.00117302935115357,0.15809935128406197,15.00427345991005,10.057715634648677,4.358845796394732,0.8874176256196052,70.75477646103963,0.26307677146585245,0.5241537564911639,0.7919759220385816,1.579206449995598,697.3299036963634
1,1,188,21.64351851851852,580.6201558945968,23.631888321228416,3.7767083541498256,0.548242737449705,611.6275859437233,27.58031498656065,1.8074312800584234,0.0013520922520145898,0.17107767245677644,15.63398114484303,11.707398053896066,4.664807604063667,1.102509601343266,69.86351755239195,0.28721315391407876,0.5895877221596715,0.8512382769258102,1.7280391529995605,688.3473558001816
2,2,188,21.64351851851852,581.5211981435368,28.016312163082212,4.208583124288963,0.609972252057013,574.6438601806343,32.27616011841787,2.0698806207679947,0.0011486325846805714,0.18855332668406347,18.472175658818077,13.500311249402738,5.526955358652012,1.227851198001294,67.67911793751696,0.3516047459927175,0.6585898273934312,0.9846361735592822,1.9948307469454307,664.2644189715187
3,3,189,21.75925925925926,580.5988420875574,22.771025921858918,3.4706093037530645,0.4893718434565127,541.5244395462391,26.132386490862874,1.7897805648811758,0.0011947257468891497,0.1755063886032985,15.358210263477941,10.667543309529712,4.527901939828178,0.9731492967147556,62.466869439453525,0.2788290914662216,0.5466238309862222,0.7996127020953704,1.6250656245478141,614.1479749560225
4,4,189,21.75925925925926,578.836467246837,38.961282169592494,5.684754224090006,0.8208325903286996,591.6641989204381,44.57368290892876,2.940432565974158,0.0012080148652880718,0.2855164002899545,26.615808101895453,17.42171285000753,7.712396108673408,1.6401624088272866,73.3507226579879,0.4701032843754853,0.9405655108927677,1.42453130013823,2.835200095406483,714.541379257422
5,5,188,21.64351851851852,581.2522758857283,21.981631020288027,3.1658110900999006,0.5135249263275687,616.9560762378328,25.28373570818711,1.5843960463413753,0.0012534998437664453,0.1525226658693745,14.498282201851238,10.633336720164168,4.372770872390595,0.9139308061454405,69.69491970739213,0.2537187626287594,0.5305310406562666,0.7746814180604555,1.5589312213454816,687.1179208148355
6,6,189,21.75925925925926,578.3137420967747,28.0475159796617,4.508796558629544,0.662789383177633,601.8590039222826,32.591872687468836,2.2470532766287596,0.001245410252239518,0.20751118111197364,19.35207301965814,12.999320206757178,5.6265745148919555,1.227075493783082,70.51446033181807,0.3307940578247678,0.6934406906411437,1.0065480786510732,2.0307828271169845,692.0095414417625
7,7,193,22.22222222222222,581.5987979174323,31.13405333230934,5.139346856268767,0.7449550331366885,588.4623052950341,36.260040786127384,2.6151615970877615,0.0012410678178671095,0.24042160104343982,21.278619139073676,14.924904570782742,6.2404854345158025,1.3933437112295,70.34298974419984,0.39486062448779685,0.7746534482179308,1.101773005234224,2.2712870779399514,689.4275463632933
8,8,183,21.064814814814813,578.540995175666,27.957448900689716,4.003928280821552,0.5965153723881651,523.0325936041405,31.902856658677425,2.062646227961377,0.001064993349825258,0.17854879895469183,17.63720374772677,14.302469190389196,5.538467161040806,1.1477211645398036,62.44215672991183,0.3336522054915931,0.6655176467083126,0.9916306140067358,1.9908004662066414,612.7150608191597
9,9,193,22.22222222222222,579.1044902355956,23.246193212004396,4.114998611537804,0.5509668463225935,536.5978944328565,27.467529705663782,1.9058969088374234,0.00111524218879734,0.18925902305409584,15.28562546706936,12.008631183349513,4.745786885881375,1.0299873998803202,62.289712130318144,0.2861645995835203,0.5277104589813743,0.7907585174058971,1.6046335759707917,613.4628930275474
