,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,185,21.296296296296294,878.1165902346659,8.9976208320714,1.383036206402287,0.2045522021941902,261.6198716094513,10.37246251319311,0.7123258251017516,0.0004936537627772893,0.06720088179316994,6.260000987529607,4.143314907528702,1.8110486138954696,0.3727528357896464,29.460880407509272,0.10870044881401461,0.21656554506941325,0.3272482899707715,0.6525142838541993,290.337194365038
1,1,188,21.64351851851852,878.3647184873986,10.365069357107217,1.6564839635419502,0.24046212139094614,268.26304622182704,12.096869866711714,0.7927487774720832,0.0005930347071228049,0.07503555857929775,6.857145594600576,5.134925790542447,2.0460089222005795,0.48356645603027143,30.642502838485782,0.12597318589724063,0.25859624712233686,0.3733575438334595,0.757926976853037,301.91273704696374
2,2,191,21.99074074074074,881.0951112661753,12.581117147115807,1.9104579360107625,0.2794611209149339,258.9630275629787,14.527010948095153,0.9453695771492332,0.0005256100501929862,0.08754312773256527,8.34540752585717,5.991911363889958,2.481572915194726,0.5601990512039907,30.48935827768855,0.15672724847134165,0.2932567826513193,0.4384154848784838,0.8883995160011448,299.2165958763371
3,3,186,21.412037037037035,881.5864347180618,11.760834740153184,1.7727032218456844,0.24763878144704,278.7082987401298,13.467296548422642,0.9088682146157008,0.000605473109062996,0.08765292882035523,7.883725559473338,5.576671233326174,2.338645935090167,0.49457867652896687,32.15940046553848,0.1451327851019628,0.28461285403453684,0.4165043787151468,0.8462500178516464,316.2100445113405
4,4,187,21.527777777777775,881.2567341444571,16.037955691330517,2.323194584881319,0.33340412147406057,242.98696670710893,18.32198527153886,1.1968830961408934,0.0004910468041567466,0.11493900874541191,10.914877925416178,7.233111436587285,3.1749279270108923,0.668019919659986,30.13261348895186,0.19454721648982246,0.3892413967885275,0.589464121379336,1.173252734657686,293.56513154593995
5,5,185,21.296296296296294,880.0475698585747,9.161131994243998,1.305416726172467,0.20964548762049073,256.2402290237344,10.51369483806901,0.6491580053420433,0.0005125585232667146,0.06145662477647467,6.003742748387822,4.483514016279111,1.822447386285183,0.37481006445608567,28.953598317012222,0.1066702817354534,0.2228905100495888,0.3256051611637835,0.6551659529488256,285.47718267845136
6,6,183,21.064814814814813,876.5165217481634,12.223027290595242,1.9214610406820085,0.27704697774577974,260.3410524755037,14.135538751929406,0.9458301264786737,0.0005221755929641808,0.08447420999499192,8.328668660812733,5.805822526089823,2.4514885920532152,0.5175493246779483,30.522206126437496,0.14659050214475391,0.30683556800855954,0.4458473634722559,0.8992734336255694,299.6030869249693
7,7,186,21.412037037037035,879.603974065588,15.076135233982178,2.425482790320201,0.3440061110218315,282.46685446044114,17.46101055909578,1.2167782819231427,0.0005749158274491297,0.10765470313338821,10.149596649180879,7.423486907665724,3.0211584508847875,0.6500480389359584,33.79503486562062,0.19437747943067013,0.3816054778371304,0.543803122603544,1.1197860798713446,331.3129765331029
8,8,188,21.64351851851852,876.0542627213032,13.941627388903832,2.033534076399037,0.3079433228664074,262.33772370026867,15.966898333681465,1.058545062884642,0.0005482627609261295,0.09422859050765099,8.892865056537602,7.002128397189356,2.7614706782465706,0.5879735206918704,31.300362275292354,0.16405832345685759,0.32721398366541143,0.4874639578373094,0.9787362649595783,307.07135759936
9,9,190,21.875,876.2048255720539,11.5375634655888,2.019810507402422,0.26810843026375597,265.28246769624354,13.597202140989134,0.9299734067174191,0.0005430686838285321,0.09085637415532372,7.535772892766819,6.021960854375497,2.354525378481502,0.5030586668989331,30.804665155262285,0.14310135441261598,0.2642252531891877,0.3959400399697535,0.8032666475715573,303.4093366373717
10,10,192,22.10648148148148,880.9868090482022,17.207502764373796,2.644041982570759,0.37920752624942233,247.4431187374398,19.901269247280556,1.2452335225577535,0.000514351232220957,0.11908024663449207,11.258724380212264,8.280013171851012,3.40333908158939,0.7531045466725245,31.02603771411586,0.2110373837475381,0.4026282229888721,0.6121887437865754,1.2258543505229855,302.6022795289747
11,11,187,21.527777777777775,878.5819980483034,10.087273159680556,1.5797816853441333,0.22641920704066423,277.54228787762025,11.636902091558316,0.8295949975215099,0.0005737176642622971,0.0743715382833984,6.838106457368642,4.817396344344874,1.975217607119399,0.4682407082937214,31.444293948844273,0.11648373966314363,0.24309007482481715,0.3612732452122593,0.7208470597002201,309.95890599417135
12,12,185,21.296296296296294,884.1197984036822,14.421051209536044,2.241517528830035,0.2987180264220158,271.1073539359774,16.647187904550297,1.0560750861860286,0.0005374609092995419,0.09625291547898703,10.099060036937935,6.675834427444163,2.817828334705924,0.6556055035029656,32.36882971271554,0.17642748012733123,0.347569478025343,0.5140495871664007,1.0380465453190748,317.0560088788623
