,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,148,17.01388888888889,370.14954334868077,13.156442787850207,1.7252107611468908,0.2218961453076486,365.7517849891866,14.739226962488704,0.8218978516271177,0.0005559786806954089,0.06153050994133761,8.275284075585349,7.0807742823426,2.6425771548123858,0.4347529128504718,41.316281819344375,0.17575578807666284,0.3504320936024562,0.5287484031021914,1.0549362847813104,407.69158662101603
1,1,149,17.12962962962963,369.4331271957509,13.725920689720562,1.8591147810141984,0.23449611354875866,338.38040559870916,15.511292862507227,0.8184834196945961,0.0005972063388937235,0.06088336106415115,8.144399192841313,7.872651077727824,2.7145354454287034,0.507125780611697,38.79923544859778,0.18492437748791357,0.3775536240362768,0.5494662218528068,1.1119442233769972,382.7974505597428
2,2,148,17.01388888888889,369.3424090101858,16.144140504558557,2.042932791216464,0.2549925187073847,315.90607086323047,18.044172403713826,0.9251962613522609,0.0005005205173733097,0.06578378630051106,9.548198915244976,9.094306779002048,3.191429942084631,0.5565962329987622,37.37679832001022,0.2236513181252208,0.42483621262011156,0.6356064333392559,1.2840939640845883,367.510216567767
3,3,148,17.01388888888889,372.45588119449195,14.140218447438945,1.80534046426266,0.21874885323447849,320.5083048519412,15.747509287261737,0.8590599800055925,0.0005578409381945133,0.06534825560942167,8.545725237286664,7.815510066487543,2.812764337257611,0.4723107518218902,37.12256083913788,0.19252812633862124,0.37908581669308034,0.5575782391512453,1.1291921821829467,365.5748653184423
4,4,150,17.24537037037037,372.630748777994,21.810751332085015,2.700739004043929,0.33856696672574105,316.5269117285392,24.265632638785622,1.2912418121337919,0.0005165707550370719,0.098632987994014,13.520445737050162,11.524966989805352,4.323025852438899,0.7287368249784338,39.4660674996732,0.29200617393051176,0.5841890469956094,0.883012403902513,1.7592076248286341,385.3689303331137
5,5,147,16.89814814814815,370.5654574704491,12.937719288501212,1.5706086104339532,0.21673565812333762,346.40308784759344,14.431539580998548,0.7194841494309882,0.0005538554335984557,0.053670358691411256,7.615127946281094,7.338666166421212,2.5744130352697328,0.4204035395903292,39.26838293559371,0.16830848548618305,0.3485190234985765,0.5119168762400015,1.028744385224761,387.6956264757125
6,6,154,17.708333333333332,371.7335562533362,14.729263883908638,2.0447929250690127,0.26437577756897473,302.6082649368364,16.64389165656886,0.9475987248126951,0.0005133501003436884,0.07079201333036174,9.291579712582262,7.877406314862328,2.9509081375946384,0.5236081128492356,35.59461135532057,0.19152093195269576,0.3979843278020892,0.581228748736714,1.170734008491499,349.832149841993
7,7,152,17.47685185185185,372.8660139627453,17.37031729320074,2.4131004876992987,0.3015129150975476,311.86817714483584,19.582380802034905,1.1289232167372771,0.0005221379139153323,0.08102657153186497,10.62691070049484,9.74255015891697,3.4770365532501297,0.6110622837416132,37.47657292611978,0.24259472780361468,0.477893976136618,0.6874647667397102,1.407953470679943,367.98456303564
8,8,153,17.59259259259259,369.3085701344859,18.76911857717961,2.368257093754975,0.3147365696440229,339.1231666950971,20.95682929138102,1.145422183451373,0.0005803988599403332,0.0823665970232599,10.89060090267026,10.723551787877879,3.721571831259424,0.6440855598611013,40.63523396127122,0.2437307432411424,0.4863711721959743,0.7254982146326113,1.4556001300697279,399.3052867154595
9,9,150,17.24537037037037,368.5221323291829,14.705783640546539,2.161160060393056,0.24928713937460645,320.8883256442696,16.738871412617684,0.9188383378811895,0.0005221377835547521,0.07024168334911421,8.543022751733158,8.807936005724954,2.9857210730537114,0.503387489668801,37.4272924481062,0.201631711221202,0.37864585448008786,0.5675192733959012,1.147796839097191,369.17787146376
