,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,141,16.203703703703702,315.14070135498713,22.028840355205826,2.7860198686073927,0.34692200235798976,607.2201276533295,24.5458748981551,1.3075853328023026,0.0008804765114220077,0.09310288717614212,13.509308253678958,12.21085790140354,4.422909547946523,0.6930683293398522,68.63495723667097,0.29993297158936927,0.5981113651390608,0.9022058406384112,1.8002501773668413,677.4564394302025
1,1,140,16.087962962962962,313.62275276631124,23.667671870135703,3.059518608445689,0.3705577307053639,576.9488487256057,26.548048476820018,1.3209304673882312,0.0009582697619118793,0.0921220205134862,13.576579027616582,14.041581765094163,4.682723414762629,0.821382037699778,66.2136126001036,0.32653850478021246,0.6658468482127456,0.9708118835738122,1.9631972365667703,653.5175406234994
2,2,140,16.087962962962962,312.14877688343194,27.18097516267104,3.2984632337477615,0.3966498978589297,526.8790030436385,30.196548272324254,1.4690224983393432,0.0007906780405457941,0.09861639041742552,15.608389679155865,15.797344055981277,5.375445956160925,0.886238946048024,62.39710627263451,0.38406446070688843,0.731597383234483,1.0947125493756231,2.210374393316995,613.7894725285447
3,3,140,16.087962962962962,312.23620461184845,27.152098974259356,3.3230743354533367,0.38800499139204486,609.6916994704623,30.061775804106013,1.556312812821094,0.0010051669775933967,0.11176002007612093,15.935587519026722,15.499516678546229,5.401475427717088,0.8575048179990356,70.67476241315634,0.3774272011012689,0.7437823856473902,1.095161088912147,2.216370675660806,696.2605991754709
4,4,143,16.435185185185183,312.2171055315837,37.12973053456723,4.436661102003428,0.539024839545455,534.4597060975219,41.10234833860824,2.0910462186882595,0.0008325429033488674,0.152006702007466,22.47615344197359,20.216489166479146,7.361049151488577,1.1825918910926638,66.70929524582276,0.5064645946426349,1.01322126165133,1.5309521438048177,3.0506380000987825,651.7221245850045
5,5,140,16.087962962962962,312.27281304242,22.52570007128403,2.6383827820219286,0.35184194612557296,598.2769043232018,24.99527971535918,1.19022648429154,0.0009119460375417602,0.08441235225930355,12.914943878848243,13.129366186345845,4.482496070192793,0.6969870232389778,67.86247649340777,0.2990866693728404,0.6182925545313767,0.9090842928454914,1.8264635167497085,670.1989724171083
6,6,144,16.550925925925924,313.93746305858275,25.38749453024585,3.351277646617004,0.41427022307252753,515.1213485714046,28.459338534753613,1.5207368020114538,0.0008184712738173748,0.10599002847103166,15.475653412177412,14.144467712460592,5.0842886358469315,0.8431289895939587,60.66219092180924,0.3394386611417269,0.7035982862753869,1.0293539198656068,2.0723908672827207,596.5055510130342
7,7,143,16.435185185185183,315.5020438226051,33.03326102337721,4.381244375355814,0.5255499404863557,586.4149904133083,36.97484908158878,2.0117327226374826,0.0009251884202541492,0.1355487169687224,19.553920549965408,19.17717649597283,6.610363968894917,1.0926779145886913,70.5521197383179,0.47121057819839324,0.9290891806130022,1.3398599719938917,2.740159730805287,693.0984795724046
8,8,142,16.319444444444443,313.80805904203385,30.48992381194262,3.6404985841872706,0.4599905717788838,543.8977023222952,33.773254603535385,1.719995659077209,0.0008655420394120829,0.11449476358941775,17.00311461594514,18.14029126181317,6.047585873737737,0.9708989859906797,65.26236658590548,0.4083837298449996,0.8150726516261746,1.2162985056599707,2.439754887131145,641.6952568671181
9,9,146,16.78240740740741,316.31623456728477,24.56714273617696,3.535907374414379,0.400906845361835,533.267010406748,27.866530792563207,1.4912724810339018,0.0008451153972497493,0.11085349179747313,14.057483306465203,14.91821434971517,4.985318266307405,0.8180298682723683,62.226807065961104,0.3402353350810001,0.6400120706510333,0.9592787066583734,1.9395261123904068,613.9015578401784
