Protein_micromolar,Polypeptide_micromolar,Amino acid_micromolar,Heteropolycondensate_micromolar,Polysaccharide_micromolar,Oligosaccharide_micromolar,Humic acid_micromolar,Monosaccharide_micromolar,Inorganic carbon_micromolar,Lipid_micromolar,Pigment_micromolar,Porpherin_micromolar,CDOM_micromolar,VPhenol_micromolar,SPhenol_micromolar,CPhenol_micromolar,Phenol_micromolar,DOC_micromolar,,,Sam #5500,Protein_micromolar,Polypeptide_micromolar,Amino acid_micromolar,Heteropolycondensate_micromolar,Polysaccharide_micromolar,Oligosaccharide_micromolar,Humic acid_micromolar,Monosaccharide_micromolar,Inorganic carbon_micromolar,Lipid_micromolar,Pigment_micromolar,Porpherin_micromolar,CDOM_micromolar,VPhenol_micromolar,SPhenol_micromolar,CPhenol_micromolar,Phenol_micromolar,DOC_micromolar
14.73441426,3.574612835,0.697574563,384.5806266,20.57306834,2.699364992,0.001874284,0.631436307,10.00566674,2.681636274,2.876274771,1.465649343,44.43295829,0.086792235,0.156040587,0.240591698,0.48342452,434.999957,,,Average,13.65088101,3.310568726,0.693913644,395.3015615,19.19173678,2.705397468,0.00185714,0.64348353,9.5316198,2.628817329,2.718811492,1.383344632,45.16571709,0.085001054,0.170006072,0.255043533,0.510050659,442.7404239
11.13172219,3.108116278,0.594810135,405.0805424,16.71583656,2.171271444,0.00198228,0.530775092,8.184821681,2.383874545,2.356048205,1.182234121,45.30723307,0.067565087,0.150650054,0.229434211,0.447649351,445.7048626,,,Max,21.3946381,5.289223537,1.181581924,448.2959871,29.22010913,4.469984022,0.00231024,1.078702026,15.91422497,4.717178308,4.204449828,2.230618826,48.42447213,0.146379397,0.293793718,0.4487524,0.85571308,478.2048756
10.94830708,2.427680752,0.583386897,425.4224817,15.10077601,2.177144938,0.001911324,0.473542022,8.225081149,2.300440104,2.17058205,1.093952005,47.02960669,0.072164426,0.125203297,0.190492126,0.38785985,463.0880648,,,Min,6.637644304,1.607445109,0.323032098,346.8710296,9.326346409,1.254383352,0.001538504,0.294512673,4.58145848,1.126988454,1.31412929,0.649709583,42.20026416,0.037190488,0.077027672,0.114387129,0.239742884,411.5701824
9.509435119,2.383026671,0.48801025,409.8457167,13.62705658,1.934125345,0.001866274,0.431223609,6.539291794,1.833415977,1.917674668,0.98770249,44.95465693,0.058603907,0.108285114,0.177852157,0.344741178,443.3039949,,,% Max,56.72715983,59.76782161,70.27794949,13.40607546,52.25359466,65.22466939,24.39771997,67.63475289,66.96243976,79.44108386,54.64293279,61.24823667,7.215107494,72.20891904,72.81366133,75.95129573,67.77021363,8.010213163
9.143262402,2.317818632,0.455756113,428.8224884,12.80732324,1.937622185,0.002108953,0.433735842,6.303384242,1.74943756,1.835846618,0.937398642,46.69019284,0.064775709,0.115382042,0.184607384,0.364765135,460.8075638,,,% Min,51.37570756,51.4450464,53.44779555,12.25154075,51.40436473,53.63404576,17.15732063,54.23151351,51.93410379,57.12944976,51.66530325,53.0334258,6.565716472,56.24702781,54.69122284,55.14995914,52.99626022,7.040297167
13.19838004,3.173951242,0.680534752,399.5568177,18.38481499,2.830503163,0.001933056,0.74691529,9.482658785,2.276235872,2.593998433,1.412578245,45.44477297,0.080152878,0.154864985,0.257941281,0.492959144,445.3496219,,,SD,2.891377621,0.706790883,0.149858092,16.21206642,4.034090004,0.579850893,0.000114982,0.141242763,2.045187981,0.609709144,0.574754534,0.294785948,0.918318929,0.019056816,0.038144025,0.057389793,0.111327901,9.691603885
13.37462768,3.056533488,0.687488427,405.2522646,18.33496294,2.644167273,0.001811874,0.622328843,9.790279861,2.759064476,2.65133606,1.290667788,45.98183576,0.08407383,0.164876723,0.287845471,0.536796025,451.2120494,,,Variance,8.360064546,0.499553352,0.022457448,262.8310975,16.27388216,0.336227058,1.32207E-08,0.019949518,4.182793877,0.37174524,0.330342775,0.086898755,0.843309655,0.000363162,0.001454967,0.003293588,0.012393902,93.92718586
10.02792231,2.572564221,0.534045465,394.1552522,14.41377819,1.978402448,0.00183943,0.454964777,7.434452997,2.007323242,2.038927492,1.03038371,43.61260538,0.06748136,0.130167036,0.18106897,0.378717366,429.5941208,,,,,,,,,,,,,,,,,,,,,
12.04594031,2.603395753,0.611790302,414.6208172,16.68154492,2.484202874,0.002103725,0.57275105,7.849218336,2.307216324,2.441533581,1.149218946,46.38786672,0.062481989,0.139437752,0.193348254,0.395267995,455.915783,,,__,,,,,,,,,,,,,,,,,,
11.74527227,2.658020678,0.610434883,403.4470315,16.44381768,2.446551359,0.002096427,0.581966257,8.116306222,2.112856883,2.286958047,1.235674344,45.1852248,0.07725106,0.146133651,0.211045689,0.434430399,444.0051107,,,,,,,,,,,,,,,,,,,,,
13.90630958,3.616913593,0.672249502,401.5810275,19.66698846,2.77411515,0.001957067,0.66306182,9.735411985,2.517564738,2.788882992,1.40070537,45.91603813,0.094716256,0.174092625,0.269724628,0.538533509,450.1283093,,,,,,,,,,,,,,,,,,,,,
