,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,184,21.180555555555554,582.0382532435514,22.02429694937352,3.1908452789262896,0.47097032763022545,625.5726907595508,25.20520223304785,1.6075928365623116,0.0013000664952396625,0.1461552863051814,14.901341828207755,10.638154199954572,4.335231277712452,0.9353007627007277,70.56056729613206,0.27229779549003474,0.5346028615978334,0.800179599961947,1.607080257049815,695.734820235309
1,1,193,22.22222222222222,578.8425408545843,33.32743935824133,5.073378258064033,0.7796871336460256,531.0055120331319,38.564797211196215,2.639295618906706,0.0011834038869004417,0.2378160764974436,21.01041577081071,16.86178092203774,6.688300633729136,1.4119731544124714,65.31991267501566,0.41284368713335234,0.7696609795152838,1.2003551749777521,2.382859841626388,638.9740236453763
2,2,186,21.412037037037035,579.6932720813824,28.213721261814904,4.843058951251285,0.6201339544195047,582.7118989144016,33.03108662168718,2.2139540795392985,0.0011290913208661707,0.21629640534479863,18.701165971846994,14.370790669230725,5.6635861131262875,1.2595408440289821,68.70376362144374,0.3423606328587752,0.7027258875153526,1.0399881664950483,2.0850746868691763,675.2302715930347
3,3,188,21.64351851851852,580.0388266379982,21.828312382191243,3.510509418771663,0.5098497317233059,584.8274231154976,25.374713503711835,1.6998012793407844,0.0013130327826867078,0.1624379943304453,15.121797025303898,10.313656195967463,4.289509305842002,1.0278807409039883,66.50788271212171,0.2480415458303759,0.5370239251429838,0.8055985157140528,1.5906639866874126,655.1360706877506
4,4,187,21.527777777777775,583.3962596641117,30.348020390126077,4.36764518499011,0.6732338895255121,573.8656585187028,34.661246950293936,2.4222569688445184,0.0012314015335078352,0.21912529963108598,20.121800951498585,14.621150538931689,6.035220549872041,1.2664379591834147,68.4267633139476,0.34882429750078453,0.7186967047566989,1.0650151008008235,2.1325361030583068,670.613763754693
5,5,189,21.75925925925926,580.9313512729912,26.312619577841414,3.7323556811167307,0.5684323907975435,578.1751469024086,30.054556660434482,1.9632015237986942,0.0012114773881584055,0.17441866796721706,17.82511720131098,12.020922321409067,5.186000347160045,1.1077537913152293,67.36479166830445,0.31006905028425163,0.6524077205386312,0.9231622649473471,1.8856390357702297,661.1822583774075
6,6,191,21.99074074074074,582.5932251181523,17.658395493972517,2.7927096376306015,0.41315113658968333,607.0494828069033,20.649812884174754,1.2662413777032722,0.0012727001897473058,0.12487674417767027,11.372158540649703,8.935967777796924,3.5289130536439086,0.7744823011947289,67.18243606592408,0.2147639502006498,0.41975239274899895,0.6026135994681311,1.2371299424177797,664.4324358563948
7,7,185,21.296296296296294,582.5782058842549,27.811146338841223,4.480820414129577,0.6235359579766668,518.7451576882993,32.468073924101766,2.0462993511910614,0.0010177608425680044,0.18568734570643583,18.520196253292394,14.062793357426038,5.694514208596129,1.107523726328027,62.13618818867826,0.33440422542776127,0.6597188860799229,1.0619976492197332,2.0561207607274175,609.2826908341663
8,8,196,22.569444444444443,579.231065221739,41.515130960885664,6.704693079877388,0.9968173134886177,572.9806822561142,47.97826262644365,3.5188943213654875,0.0012186074029813991,0.37972314555858033,28.61636906759107,18.39683218983986,8.212740477785859,1.923294974801785,72.5165043706515,0.5010828016635257,0.9132387112729957,1.4065499911964359,2.820871504132957,705.4291614576971
9,9,190,21.875,578.4733785386858,22.730143940590654,3.6018796360360272,0.5255441056851966,554.6214304273262,26.331353008641447,1.786528393843629,0.0011242449946750296,0.17014275029511947,15.409511816826912,11.086330605580564,4.546123462601292,0.9939938612912953,63.8296373829073,0.2741218369815754,0.5654992465001683,0.8402656505273888,1.6798867340091324,628.0744811708952
