,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,180,20.71759259259259,880.4818314486243,9.975545804244598,1.423612903416027,0.20735298934735857,282.0442320489778,11.382671031844074,0.7113450088712091,0.000573818112213911,0.06321283400168269,6.6858926238224825,4.895632170987527,1.9640813388235254,0.4144861998752164,31.823356964571804,0.12462521701972697,0.24477602687905073,0.3663916062552266,0.7357928501540043,313.81853899865524
1,1,183,21.064814814814813,883.8959332497452,17.42977229663842,2.5605733099958834,0.38152599256669223,274.3781336203117,20.016092657106512,1.3036495496817397,0.0005808894154612369,0.11116793521197806,10.7568764721429,9.137020293265298,3.496520932646756,0.6999417186217396,33.79964582734217,0.2213191648073764,0.41411620722085274,0.6445421563919648,1.279977528420194,330.7949567238824
2,2,186,21.412037037037035,882.422150705414,13.361298680792949,2.2935491768657834,0.29367962170642237,275.9574908250335,15.642680028203978,1.0484721759238684,0.0005347088473721407,0.10243246002806114,8.85639515291843,6.80563987390837,2.6821299097573807,0.596486413882105,32.53634987466576,0.16213326238401843,0.33279305436839557,0.49251186641009276,0.9874381831625068,319.7718320581124
3,3,188,21.64351851851852,880.9229530347607,10.363004667547589,1.6666164958258936,0.24205147228455215,277.64717717711727,12.046660771227774,0.8069816980484144,0.0006233631174678748,0.0771175372589428,7.179082395887929,4.896414593438342,2.036447169145159,0.48798701105087516,31.574658036171822,0.1177578757432034,0.254952437247593,0.38245838855253195,0.7551687015433284,311.02625065760566
4,4,184,21.180555555555554,875.7805421261306,13.171978519689052,1.875524125504423,0.286386629934058,248.2015817341711,15.011841183696415,1.033420258442875,0.0005243225065478921,0.09193287420986787,8.677233636768447,6.421219246828171,2.619540113841235,0.5408297872218538,29.605796869232893,0.15274912798170068,0.3145643170444415,0.46623486643988377,0.9335483114660259,290.1883271075116
5,5,191,21.99074074074074,878.2706481966868,12.60146295703222,1.8000301236244174,0.2758434394399701,277.5196621477474,14.41390077251016,0.950780401686807,0.0005874295553316508,0.08539521697234662,8.569406113474736,5.709199806189892,2.4833650528263456,0.536085417052651,32.32795609752193,0.1476692680796093,0.3108745459496745,0.439617147076666,0.8981609611059498,317.27447372574346
6,6,188,21.64351851851852,883.6129800134414,7.99432865846997,1.2507535745825993,0.18333893559061132,273.83209906188034,9.325534869349823,0.563601733085861,0.0005653600960426879,0.05467667072837464,5.115412514090827,4.0892440647920525,1.5975304997844173,0.3450944642248619,30.31165657691139,0.0979884866880584,0.19158641631847137,0.2752397662876399,0.5648146692941697,299.8015825618792
7,7,187,21.527777777777775,884.0541289211557,12.768836345349921,2.0727160295040967,0.2902096032559295,238.7734086755373,14.932062548642676,0.9505043542898799,0.00047336006451432876,0.08721905451169298,8.54271880357931,6.4089226979723035,2.6152866337117655,0.51414232740999,28.59355978544318,0.1526938305275641,0.3011924315940395,0.4852238052502295,0.9391100673718331,280.3528916976219
8,8,189,21.75925925925926,879.7396882223608,17.604975461336032,2.7721670838321586,0.40308493599418566,240.90382965530634,20.240339942830996,1.436000131178783,0.0004947072964133058,0.1491956323873958,11.984042274445475,8.032680388009915,3.4835661343731603,0.7862822693878952,30.523559231954607,0.21634570567319353,0.3956140821100754,0.6087381410934253,1.2206979288766941,297.03331427080985
9,9,195,22.453703703703702,876.9303403183204,11.031275477972713,1.7795806453822636,0.26369114414495376,270.7963055277112,12.82881163166007,0.8915050934048742,0.0005628442813470267,0.08722545894586067,7.558433611205995,5.279129463030409,2.206540021852847,0.4953267001234692,31.150266390876435,0.13128107094405514,0.2710482142277656,0.40264516431826614,0.8049744494900869,306.4649284580001
