,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,142,16.319444444444443,316.4396942006873,22.5502926890157,2.7126494419093343,0.33902961318571734,610.315671031752,25.02037755755155,1.2520664280313112,0.0009860226449767222,0.087008744908077,13.430674418475764,12.872094238463232,4.450866223022236,0.7400360669866723,69.08560251012145,0.31104966655662725,0.6132856345894324,0.918403632295667,1.8427389334417268,682.1838169909125
1,1,143,16.435185185185183,315.62557537727423,36.02692120851386,4.442259358304905,0.5665818199843417,540.3574711834332,40.13365152374402,2.071994296418876,0.000900404420415004,0.13690549967494112,19.73805213623127,21.76634695201715,7.215956198542205,1.1285387869062102,66.9545962170733,0.5050436214629043,0.9589360197372668,1.4804506388912715,2.9444302800914426,656.7919575120517
2,2,143,16.435185185185183,312.0220141708207,30.511973615554155,4.294318283858294,0.4688476959193342,595.9930438107649,34.43656991721293,1.80711035302961,0.0008950052935953157,0.13439013504298572,17.735889913183424,18.179778112566567,6.113896769490432,1.0443789004527706,70.64085315350326,0.41545302975047754,0.8476255760587178,1.2583630333670017,2.521441639176197,695.5066442383619
3,3,144,16.550925925925924,313.2652689868232,20.81321441718419,2.7557364574972047,0.33738045249971266,528.1848642872998,23.35266148050467,1.2197798314141703,0.0009151477411090586,0.088385965520031,12.698146726993842,11.731274042326461,4.103067076569571,0.7499400699468959,60.3150684872954,0.26989693079870314,0.5735401264326464,0.8603613377096611,1.7037983949410105,595.0410176234448
4,4,141,16.203703703703702,314.43782106401517,30.729167600960285,3.630526976436497,0.46899690779150305,550.5318947929559,33.961847094370334,1.8201870167053953,0.0008976445352302249,0.12293966348915365,17.827572297623465,17.735222103004684,6.113448333879868,0.9658146402289309,66.01795325683176,0.4046517436141088,0.8276139653001101,1.2301101799686207,2.4623758888828395,648.5433186632407
5,5,142,16.319444444444443,314.7958492134606,25.700306744694892,2.9789823673099587,0.3782919170803609,535.5698167364155,28.395399696603274,1.4179324292657987,0.0008504042463659294,0.09377578060657325,15.311305138033191,14.281327706680866,5.078727263609056,0.8142036251330876,62.71057532392412,0.34532204111409565,0.717426315493765,1.0300761496676725,2.092824506275533,616.8024391779213
6,6,142,16.319444444444443,311.8319062993265,18.915821779056657,2.4173884231942746,0.2969441360013252,612.9461848749496,21.245272682116525,0.9893103192610023,0.0009627359325059286,0.07176358841818894,10.558074002947427,11.410464359784923,3.7769954901061067,0.6158533849215616,68.08091960377978,0.2612699839906609,0.5136884470742049,0.7458599427274815,1.5208183737923473,674.207780147535
7,7,140,16.087962962962962,314.40667599627284,30.449803467657432,3.999165007526023,0.4683748975139077,536.458767987449,34.22773356593339,1.661576304705559,0.0008026670705988066,0.11297247604413649,17.602495379441276,18.19133310591146,6.192887226612748,0.9111785303877012,64.63032514646616,0.4142361897254168,0.8199523401358654,1.2973334215176973,2.5315219513789797,635.2061171881909
8,8,140,16.087962962962962,311.81469701055164,38.69616220842914,4.881680531714297,0.5816762452675766,498.5484071447782,42.90028577566528,2.30390278798328,0.0007651300614649516,0.17522389240592032,23.05514793022161,21.662668683074475,7.670173215956932,1.2774108426219066,63.69237294441436,0.5393232492956981,1.0095158402918978,1.5430759119723554,3.0919150015599515,621.7902714595182
9,9,145,16.666666666666664,313.26391340054045,24.428522167152668,3.180207302466348,0.39021549962097374,564.4844960949647,27.325039954716342,1.4404027314006933,0.0008801876430621158,0.10365888854413463,14.508680235640437,14.1359287851428,4.881045829172742,0.8114815048087887,65.25183988610162,0.3319894198666691,0.679842419293492,1.0124430878349002,2.0242749269950613,643.2061538726282
