,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,211,24.305555555555554,856.2588332138139,5.670182822826366,0.8995347104972904,0.14369995100443417,166.12254511694195,6.619563385345293,0.4788994507499331,0.0003939262785153151,0.0502022288547947,4.042523318371222,2.459988406901452,1.11415940816835,0.2757969337431226,18.696179506762643,0.0653402221872062,0.12793256632494823,0.19142530504644367,0.3846980935585981,184.2196644348701
1,1,203,23.37962962962963,853.8978034048502,10.569520159449018,1.6629520379364835,0.2629478045734535,170.4461591110921,12.323835494375956,0.8838549069121194,0.00039878142550321173,0.08392198156651257,6.788239208311552,5.161136989924941,2.1219665363153046,0.4711448053717111,20.937481346845235,0.12773072133331564,0.237257419042092,0.37077573266733843,0.735763873042746,204.72360248198586
2,2,213,24.537037037037035,858.4553246853704,7.980302224248211,1.5074315708098418,0.2076774046398078,170.6820660093515,9.560346903408126,0.725291436508536,0.00037672339766741395,0.08159580574461493,5.5768471566914855,3.6836675660545266,1.603770931248022,0.4085424913342866,20.059989432590243,0.09008028344078203,0.1855995841582678,0.27413584951598524,0.5498157171150351,196.9908847838602
3,3,200,23.032407407407405,856.0815235073924,6.201671725324391,1.0406251498053087,0.15673679350407016,168.62860667768376,7.279228165936706,0.5161765509181133,0.00040190027180393256,0.052607149605828726,4.3998359477292714,2.792586692823921,1.2176411529355082,0.3107200156944208,19.155868459736695,0.06797839421052834,0.14792790594696978,0.22191021743627576,0.4378165175937739,188.63481849209762
4,4,206,23.72685185185185,859.0211351310352,8.894964217904866,1.3624811411606939,0.22176428601342052,171.98166915204038,10.298014950840525,0.7870936995466126,0.00040516521955585123,0.0787196866921993,6.109414876466503,3.977392628268731,1.7686246055043424,0.4090019327678266,20.460663510465544,0.0966559491675764,0.1997497154983745,0.2956356541184481,0.592041318784399,200.37217278474353
5,5,202,23.26388888888889,854.0082197929248,7.608760346459272,1.1274574623410445,0.17844361782906887,169.6523999468034,8.771083298356652,0.6093436484786652,0.0003789865009877648,0.057991037314996566,5.274237490060792,3.292769442912143,1.498527758755368,0.34215983701830505,19.740493590274586,0.0864658443645766,0.1825696813168921,0.25729770212046227,0.526333227801931,193.6656486105718
6,6,210,24.189814814814813,859.7344520836436,5.044819037250182,0.8498033297826552,0.13261226118275643,177.44374288571507,5.99248508320603,0.4006291783418212,0.0004077283414588736,0.043600099465090726,3.365642484703764,2.384816579867337,1.0085053016597003,0.24336022236006866,19.611293963631777,0.05840239447204856,0.1138839784575952,0.16278104317788494,0.3350674161075287,193.8798491232797
7,7,205,23.61111111111111,859.1260988607798,8.708506736558395,1.5049831130893314,0.22171896754582257,166.59669817079438,10.339267380789053,0.7162841165016609,0.00036088138291559454,0.07230635436029194,6.045557681711873,4.088899851741195,1.7884767995516466,0.38540549078646785,19.906074219359134,0.09912189360690052,0.19525887843324488,0.31674479852271725,0.6111255705628627,195.03403343366398
8,8,206,23.72685185185185,855.8045694490659,10.82397493684202,1.8085683101911039,0.27700233388003676,151.22967213365462,12.602228505017838,0.9670688377430624,0.00033739941181542323,0.1099154256898854,7.579126176406163,4.60041579793167,2.1405022130495417,0.5271978435078571,19.108848052250426,0.12733067692951897,0.23096084884790172,0.35620328829338405,0.7144948140708047,185.80137855099025
9,9,208,23.958333333333332,853.9406904316105,6.318958413696059,1.0648012557591995,0.16378034037839148,157.57145861528397,7.423341465481168,0.5473519837783397,0.0003484993176893092,0.05726874345395275,4.437762338558802,2.878289882205059,1.2643108850647828,0.30300934920487,18.10357969047591,0.07264951247561044,0.1503151843606296,0.22314970712815616,0.44611440396439617,178.03903383758788
