,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,193,22.22222222222222,778.7260495197396,15.116962300907149,2.261983731373452,0.3434569443879808,433.8381456087767,17.415423744329267,1.160881985795833,0.0009441491446679824,0.11091178889120168,10.429863263424219,7.045081382235469,2.973866246010004,0.6731143983449837,48.897776056851605,0.182566220951634,0.3581063566285912,0.5359474876568304,1.0766200652370557,482.01739234543373
1,1,200,23.032407407407405,782.4077423150467,24.116951508640092,3.7580164328770485,0.5893097822437753,387.51128754532425,28.055794798439482,1.9845988323764252,0.0008937464506538645,0.18555088721775895,15.40703740751527,11.902438314554983,4.841220274890729,1.0590486244627855,47.62156746402537,0.2936199672381635,0.5459927023478279,0.8527347827637534,1.6923474523497448,465.6974581998276
2,2,192,22.10648148148148,781.1797340736795,19.685902394229775,3.4573124190200875,0.45060505219396435,409.7540513953265,23.16531563697642,1.598637594141359,0.000818614621144262,0.16142448489668595,13.224259209729546,9.810103171188501,3.952717412556882,0.9074776373474849,48.27686342934192,0.23507048324796914,0.4829095733871976,0.7143623690676427,1.4323424257028095,474.3767082382016
3,3,199,22.916666666666664,780.0638287314654,16.050773027982835,2.6841424676550116,0.4031091438487069,435.8971402147902,18.824475355717468,1.328737110975541,0.0010338854072154623,0.13471612719936032,11.366420383135125,7.256631345431233,3.15164945288322,0.800155975352558,49.521518916682695,0.1764662240009578,0.3838456594542577,0.5758158867557011,1.1361277702109165,487.6686918774543
4,4,202,23.26388888888889,779.4594951800611,21.85327047511483,3.30612984614815,0.5323597633916317,420.55455600779027,25.228103050158275,1.8936641809014296,0.0009722263255085946,0.18557645888794483,14.909991484544332,9.926384754693824,4.3453314943591455,0.985289030604808,50.05691272611613,0.24029015554448646,0.49626762789107304,0.7346832858422243,1.4712410692777838,490.2828783576536
5,5,194,22.337962962962962,783.4948552709317,20.084236456893084,2.8986011629566963,0.44824941206784885,443.8068664482145,23.021698883915178,1.5406803201927908,0.0009536204767918561,0.14062507958048867,13.733733444947152,8.986290584699194,3.9573242741238186,0.8677192554359049,51.682708889264575,0.23339240296083183,0.49173747906738824,0.6947339640144854,1.4198638460427055,507.173109344599
6,6,189,21.75925925925926,779.7244063393099,13.305813144814916,2.0893176946256484,0.30720761954516307,456.31768101766045,15.534271159580205,0.9434138893221685,0.0009469798235401875,0.09202860475685175,8.532635858365666,6.78180909906236,2.658986299573297,0.5774456048367477,50.50813790000188,0.16266976383786733,0.31801227037482627,0.4567621456184898,0.9374441798311834,499.54636529343253
7,7,196,22.569444444444443,778.3544769454556,20.74316538849105,3.477812104095659,0.4999653769704531,392.3334166937162,24.44175053536109,1.6248345726384463,0.0008138961537922269,0.15654947033410394,14.151464766109202,10.069856392891719,4.254306997766541,0.876579281677761,46.93031712840779,0.24200428941555518,0.4770401645401082,0.7711756695072645,1.4902201234629278,459.96927083355973
8,8,195,22.453703703703702,783.556000272537,30.005287433692512,4.828745559499274,0.7156878970500735,413.61793381881097,34.65083063933215,2.5295878137186585,0.0008753548003948921,0.2715156841898851,20.647309148370095,13.352022597077628,5.936011817986955,1.3829344159698083,52.35602185692786,0.363091897513478,0.6620614834457011,1.0195541878915424,2.0447075688507215,509.336140600979
9,9,198,22.800925925925924,783.4368002716232,18.212546003931724,2.9688482994882253,0.44387127246487057,448.7049120827735,21.22976492190945,1.4961800582031368,0.0009464461583952771,0.14872768215086166,12.554824919339367,8.617034067763528,3.6432163639888793,0.8305923182413728,51.60079380110735,0.21502452772116046,0.44416677338033156,0.6597156995244905,1.3189070006259827,507.6155465177
