,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,149,17.12962962962963,372.3707148481328,12.52559299379662,1.5617146345727837,0.20162260007269164,341.74332299288466,13.969505967438874,0.7315439507880905,0.0005786630624277856,0.05343506319148635,7.658160390164609,6.953549059714742,2.471118831038934,0.43124859528912884,38.660716452670336,0.1696497686358611,0.3342555860781862,0.5005110927833766,1.004416447497424,381.64764979934785
1,1,148,17.01388888888889,372.241682319656,20.482730100194306,2.5904612798541784,0.3380190461748886,309.0804627915224,22.90446362700595,1.2217061210669171,0.0005325731634229292,0.0836419976637238,11.430823359724668,12.157395629979423,4.103356886182732,0.6642298393250996,38.26899492114291,0.2836075441302843,0.537506633823609,0.8306703870867375,1.6517845650406309,375.2787844571737
2,2,150,17.24537037037037,369.0585292484897,16.816262173091875,2.4566112346716866,0.2765474189135539,331.4732595700811,19.092795841079166,1.0479191387997988,0.0005214880439924766,0.08188916824174104,10.036343241574015,9.76701892030457,3.3705811737293323,0.6040785754546084,39.25393450321518,0.2247175427988609,0.4589291171090203,0.6809672180131167,1.364613877920998,386.3520985803324
3,3,145,16.666666666666664,369.65940904741694,14.381285881290829,1.914183287201657,0.23545609678723187,365.4102478058006,16.148960640344594,0.8490305688254444,0.0006374142771901696,0.06196414107577533,8.807001994234728,8.073512548472706,2.8348871076924436,0.5218016149361135,41.72331583938555,0.1859315095787885,0.39527834641005644,0.5929530168833829,1.1741628728722278,411.60612997957685
4,4,152,17.47685185185185,373.50313757968553,16.31975630487765,2.0363183650121846,0.2763952240689991,296.1839147631152,18.17888985047753,1.0461432570732196,0.0005196859833928951,0.07636605272081384,9.850117541472416,9.020765472658002,3.246443346078073,0.5531462395506496,35.46816390164083,0.20802839515190397,0.4262186452809751,0.633047532939309,1.267294573372188,348.2059531349879
5,5,150,17.24537037037037,373.0995037748225,16.12129045649555,1.9456420415507487,0.25633515283004976,339.00197812004103,17.91293577803673,0.9421633722881473,0.000567817674535372,0.06593538237037616,9.87749595333865,8.664676763027874,3.184351206413369,0.5394039683985452,39.659978739843204,0.2118288395204276,0.4410375491386816,0.6316690882428078,1.284535476901917,389.91981553602886
6,6,149,17.12962962962963,369.8824746776935,11.084970910382514,1.4687111374676056,0.18628733949638324,362.2454395282323,12.522055466117443,0.6100343725532574,0.0005964023075110866,0.04651083630293649,6.351730144860933,6.521003194281601,2.213647414670843,0.37880108849596666,40.21386493964454,0.15035068507014504,0.29535704644090444,0.42815709459877127,0.8738648261098207,398.1519225164181
7,7,153,17.59259259259259,370.15368507446533,17.21175313513149,2.4176119651479477,0.2999365923394152,308.2803059585418,19.560017652719498,1.0325194389615644,0.0005030129487927787,0.07695842039876301,10.451511709981258,9.798998490134913,3.507357008219259,0.5640801306660722,37.07711001512788,0.22594416157649444,0.446808905625635,0.7104801657530682,1.3832332329551975,364.1332750381647
8,8,147,16.89814814814815,370.83137777834224,22.69619445864885,2.9726471978943505,0.36651591622460444,294.9452748970476,25.29304175430553,1.4219335300076028,0.0004747155772822039,0.11376287080568075,13.86438723141246,12.33981582868651,4.49762634274745,0.7869975511718199,37.63521522812188,0.31068802971630904,0.5796153373309704,0.8868008712343965,1.777104238281676,367.21138930139887
9,9,151,17.36111111111111,372.32440149226073,13.735735619340195,1.8438130010767662,0.23252464638143572,319.71477905976394,15.436299083824592,0.8453962218055113,0.000518629310651976,0.06344764484380318,8.340837997654111,7.769269893482875,2.7448844090480393,0.4754835798142081,36.93534309363766,0.18372188461679292,0.37659292643809034,0.5606659067178255,1.1209807177727087,363.98313250646464
