,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,382,44.09722222222222,2611.2615303811986,10.916368409098991,2.47173184524747,0.5295606573176586,411.2755742449811,14.97990302547089,2.017984417780266,0.0019189003539226035,0.46318450562882707,7.968460844135297,2.0898316278195264,2.1150556281156265,1.0626474012023814,45.535881648644136,0.07284103426757182,0.1397344661866589,0.20858920838855263,0.42116470884278334,448.34492537185946
1,1,387,44.675925925925924,2608.6536525315596,17.65947773484522,4.062195142527064,0.8758213010515438,377.9138219722455,24.630399395137623,3.4922714899110447,0.0018378450417677868,0.7684961590829535,11.489015558615797,3.912530127490943,3.577810889041078,1.6991314335776107,45.05643201053876,0.12202748312116464,0.2093323883185628,0.341851392836041,0.6732112642757684,439.267004754228
2,2,403,46.52777777777778,2608.3778417178314,13.585131593977684,3.8676794067578593,0.704623350727172,394.88568530464835,19.923312875356945,2.878942073590706,0.0017698171604271968,0.7385033259152723,9.691480233060378,2.779703596125059,2.7571754372560493,1.474769223402181,45.25055519181951,0.08366438754335764,0.1777369187573051,0.25838306127104504,0.5197843675717078,444.11708037248934
3,3,415,47.916666666666664,2611.121960951777,11.00392177430136,2.850944300556048,0.6081416836815168,412.1265156134995,15.928370320815265,2.3292490538599826,0.002169642424428144,0.5914786936863341,7.901379958572064,1.8591868003154943,2.1206471419689277,1.260740932647377,45.82725953210338,0.057322000695914775,0.13805935159964033,0.20712688621041817,0.4025082385059733,451.0838741962622
4,4,392,45.254629629629626,2606.241789241176,14.93055730391331,3.278279550158325,0.7188594370558796,378.83382299919776,20.415268023463884,3.036048824291915,0.0018350600233566802,0.6940935446052157,10.265077381393082,2.8258065311133924,2.9627932770301473,1.4544388108033803,43.96759070619495,0.08420110262508733,0.18005006437566215,0.2627809180001857,0.5270320850009351,429.6788354466576
5,5,401,46.29629629629629,2609.640946987882,13.653276940541826,2.993703246266961,0.6574403120960512,401.9720562755691,18.754605674592725,2.635041523798773,0.001916001741128445,0.5974680466322265,9.21698527933919,2.240182210149546,2.652104762161476,1.339438913688583,45.71772279813611,0.08005389604098673,0.17981309124161415,0.23602937839908408,0.49589636568168494,447.99313027292004
6,6,395,45.60185185185185,2612.895465694616,9.035201277064449,2.2234456737395316,0.46828714005003375,422.45648884534774,13.037085743571694,1.665059384147799,0.0019926279200304458,0.4132230920273394,6.093075044132481,1.9211247770359554,1.8135443865029375,0.9218768615464522,45.98984818362538,0.05818846081261699,0.11051367382670599,0.15026126940542303,0.318963404044746,454.2762932129987
7,7,386,44.56018518518518,2609.1258824560105,14.724356100978605,3.779767760428171,0.7481872741099546,377.3414597428613,21.245799375994064,2.850953680006699,0.0016797661825263444,0.65879868034345,10.693012502211802,3.07698869268324,3.129887473172761,1.4244613632427534,43.95245472794307,0.09134937167603142,0.1771194759864459,0.311907840651354,0.5803766883138313,429.5627165983173
8,8,399,46.06481481481481,2611.083442579277,19.86928285713595,5.014705232570534,1.080919246993097,372.35292710251326,27.66939837713983,4.125160414253969,0.0017330269067547957,1.0967313089878288,13.336186361354768,3.2689582426220074,3.896347975327058,2.100528643561531,45.441102308649775,0.1288083138743443,0.21005703936745593,0.3338761431104879,0.6727414963522882,441.1494339243642
9,9,371,42.82407407407407,2608.1174184283122,12.237752316132033,3.013422004586455,0.6299737947698104,396.882343154365,17.033207198849556,2.349061753235436,0.0017342114105544399,0.5378089330641924,8.993153469830393,2.5430673782351265,2.460040647245526,1.2174320211398102,44.7567950415454,0.08069947603961818,0.17262940609651672,0.25367968183466066,0.5070085639707955,439.4128519770044
