,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,145,16.666666666666664,314.99333055969294,19.418492346580443,2.7092150571977363,0.3116480214900701,545.8531521559803,21.8346560873957,1.226499772081954,0.0008966561338890532,0.08626019070293707,11.408243259738388,11.187512033699685,3.92709709996333,0.6318698318529798,61.61035809489767,0.266253247000541,0.5212030771784762,0.8011094722612693,1.5885657964402866,608.7758650495194
1,1,143,16.435185185185183,313.11266298669483,22.39110618476056,2.93217356494802,0.3666669898618032,517.4536331547719,25.176365320382608,1.285814775389818,0.0007607304295272475,0.08634179843742307,13.296472055209659,13.017129239890131,4.519610858793983,0.71266778723078,59.83123855821431,0.3067560366116674,0.6108876530042391,0.9444350323122943,1.8620787219282007,589.8043491268246
2,2,141,16.203703703703702,312.10210160136364,30.261015687805223,3.7775644858926136,0.4901319294279235,551.4520984751309,33.81726916296384,1.690520564082445,0.0009159930524649259,0.11716246622712057,17.52008387979292,17.833896073550225,6.052457905300131,0.9662306069335045,66.00566401628245,0.427973617809415,0.8283811947818017,1.215354544242714,2.471709356833931,648.9309727072005
3,3,145,16.666666666666664,313.8914378331083,28.162334006399306,3.88869277745191,0.4655522061975525,549.1260803001118,31.86471616224375,1.59115429146879,0.0008903296337718257,0.11511769038329352,16.355598179562303,16.37657020473494,5.66034967284772,0.9503922163030667,65.0935190906667,0.38737652192598265,0.7744546705753839,1.122822658604095,2.2846538511054613,640.4865037088813
4,4,142,16.319444444444443,315.88236072678427,24.281118017133743,2.8275743745268644,0.3366224359102365,560.8012322224506,26.67211943528682,1.4447046616444355,0.0008499560032434816,0.10307719134595149,14.115138153058592,13.641616993017468,4.828637395738937,0.7379062185663705,64.70780779060334,0.3245870296709251,0.642331436021704,0.9513516929122403,1.9182701586048694,637.5937290602296
5,5,139,15.972222222222221,312.10576228179576,41.30340812713044,4.796385404007971,0.6278409614240095,516.8905205514886,45.65759160148475,2.2738232456599397,0.0008128607396114206,0.17152624422216184,22.638554875989943,25.08844152733295,8.157486218073124,1.3259759802213023,66.44289743069338,0.5890363161522603,1.1663926871872328,1.6992448285909263,3.4546738319304193,649.7484865537155
6,6,144,16.550925925925924,313.98405755985453,25.8889687924744,3.582282524227565,0.42703289344321016,551.6905417523634,29.101858690452943,1.606165476672668,0.0008964986683975449,0.12380035336607823,16.06431300531327,14.607106050114005,5.281246432801473,0.8008231679349278,64.55320996693362,0.3527711055681653,0.7041941004608908,1.1042145264358676,2.161179732464924,635.271902364984
7,7,141,16.203703703703702,314.9764939549703,16.473033619743777,2.0653694679243406,0.25312436173091346,595.9995032731689,18.319259517595132,0.9753723503903025,0.0009829444575262794,0.06285838516965236,9.261195146480706,9.986085080400917,3.283855063917374,0.52812446144228,65.50860964578436,0.2271907518068972,0.4459043496004835,0.6886516596030415,1.3617467610104224,649.3093152869516
8,8,143,16.435185185185183,313.85970022995093,27.525771508388274,3.5860338172597266,0.45810704050959133,531.7134160333042,31.003685403828914,1.5070058940794673,0.0008394262492942946,0.10541669538213497,16.238988812469387,16.016178024970756,5.535668033687679,0.888139028074244,63.095493303212415,0.38299075038769154,0.7361124147391045,1.1468589175436688,2.2659620826704647,620.6062229884046
9,9,140,16.087962962962962,312.8933083383159,22.022625386492443,2.6336987685025663,0.3022848763294532,570.8330348825384,24.291435503507763,1.2586804780305447,0.0009104073992465379,0.09504078783332405,11.994641104513025,13.25702971669821,4.354867658532242,0.7016449771140089,64.93102352122398,0.307299588358741,0.5820994907223911,0.8952823108419985,1.7846813899231306,641.5359348329015
