,Protein / seconds,Polypeptide / seconds,Amino acid / seconds,Heteroploycondensate(HPC) / seconds,Polysaccharides / seconds,Oligosaccharides / seconds,Humic acid / seconds,Monosaccharides / seconds,Inorganic carbon/ seconds,Lipids / seconds,Pigments / seconds,Porphyrin / seconds,V-Phenol / seconds,S-Phenol / seconds,C-Phenol / seconds
0,8759999.059149267,1944250.8949378072,875090.1153638326,871075474018.1934,23566274.954237286,8365680.028221909,26973791.825605117,24706666.768883437,2730575.5004757233,1904481.0197870508,8767337.572352411,9292273.404798688,2520715.5151203107,2602853.6397769027,2519320.343963094
1,9048545.774291396,1951283.57593038,864176.0354728077,803970672185.8861,27491676.60136392,7817997.613859781,25965844.34448572,27697889.507278245,2620875.576903872,1937703.07327903,8781183.246597508,8145930.602197323,2424800.281217081,2551914.576106664,2646929.6393798953
2,8945199.822817149,2029803.3970719778,847534.7046472457,848614903043.494,25926680.46208033,7365106.738824446,26234460.82725044,27223633.45116246,2602386.025659656,2038777.9288130312,8965084.56554456,9280277.610845001,2535049.266719031,2656827.3980241497,2711715.0258769584
3,9247365.277523048,2100839.7958056857,886159.1282544663,912200746942.1194,27638494.3012986,7900030.9401684925,25506286.207015894,26765561.175646577,2576741.341378211,1911850.8832805532,8271984.397213241,9258307.89557423,2696923.1077710884,2764978.9114913912,2511571.995524482
4,8304613.937825697,2030676.6804967853,895624.059613454,863802914869.9631,25165480.799216554,7559293.5234086225,25831843.156941406,27654598.354107507,2669788.0194775565,1979773.214251126,8443369.092443006,9123176.032168057,2405216.4590364886,2711313.46271364,2662157.546479632
5,8327126.514048984,2096428.8916572395,902748.9259723449,781115080642.275,24674435.703755587,7635040.937196635,26941139.284690287,25476235.65857934,2527534.0013277405,1874250.5924313199,9028833.41059617,8428451.451267589,2580969.1770314425,2737848.6531433677,2399866.789302746
6,8423704.210795239,2116653.829733109,825247.5875782168,807097948123.7408,27603223.46057287,8204180.461330801,25693007.22675379,26213528.043500118,2607637.826375519,2047747.8440904028,8582146.58768408,8606852.086911086,2553873.142913011,2605537.987453788,2624146.527335375
7,9142837.070169315,1928221.5757288903,846199.7857004179,930036669632.9669,25920463.08214473,7875023.993235868,28006597.53944156,24663492.100336574,2566079.642671891,2052131.944100362,8754776.073113631,8616233.612903345,2705554.315402439,2449334.8144636564,2531617.7698856667
8,8789636.964903496,2113488.3508463195,849824.9801494787,853372093488.9626,25131567.658942524,8147106.454718597,25617061.656083193,23628971.344305247,2700016.5960302977,2066069.4714515135,8808966.51002804,8467429.642406587,2394697.4484518534,2492125.1703389925,2667670.1289258283
9,8358358.398014702,2075538.609827835,906380.866906027,836394810287.3346,24609140.175826244,7646964.935650858,26321885.31360793,26835577.200212944,2700339.6531583676,2130563.7899613883,9232745.74504478,8491215.010300081,2615859.030775276,2542013.766894048,2729472.8634006814
10,8325958.058010574,2063109.8529468656,849620.0397312989,866923615553.6078,27772724.86720526,7805093.777238679,26623942.851807237,26666083.940815482,2780992.236097495,1902751.568429576,8910506.5401055,8611802.146093678,2435682.407850715,2580305.7695750846,2495814.1668497343
11,8425663.433554647,1994243.733061231,852619.8563692507,814973428606.137,26566000.097817197,7730247.422520459,26789061.442780875,25840292.277706075,2649824.8544719196,1960051.8484073156,8309903.528332113,8816790.701981448,2429087.252893066,2406756.7013349826,2545508.8901772434
12,8691556.492182195,1913223.6116947692,787761.2058131247,877371474718.8843,26066817.255294763,7844210.230817044,25564083.810847953,25239828.686807234,2647029.96703317,1964795.6235003686,8281456.028077263,9082210.459377449,2521723.0129136117,2630825.5397574655,2520707.2634584624
13,9298962.949486146,2133829.931963888,882758.5397309632,830352559367.7186,27163770.19609672,8187571.398941005,26601755.174993888,25844382.60633914,2392966.511977182,2163196.830325951,8616536.66982555,8554211.236639027,2434188.458555278,2448954.956657505,2658128.791062286
14,8670072.232371515,1839323.9330000116,835556.53317633,871793577808.684,26466876.470529296,7658703.730475986,25774825.674962807,25672461.634254634,2683940.7010279098,2068436.7150960038,8136880.69511834,8461698.398385331,2564460.5782809164,2373512.579681712,2577509.9927313193
15,9308906.338763688,1995145.8631217042,907344.2704610685,860561096524.6442,24807667.697319426,7961699.515899672,26561197.221415386,27121986.857082177,2523796.8669120194,2030313.6723250095,8137451.757384938,8213571.968283293,2428312.115186627,2531102.567753212,2551069.334158592
16,8807726.051041488,1983695.013098733,887061.3214289567,881702824401.2974,23605173.98295666,7936444.344356836,25965110.79272914,26290324.690137,2354465.960795659,1962151.3923070834,9055281.233138517,8457251.630032865,2594494.840664502,2531302.8134525744,2395251.398367376
17,8880921.133118976,2011462.7287545886,865589.6213468418,897203164749.5371,24679915.86327988,7982416.67931995,25230279.76513735,26683319.84386795,2512911.4490081863,2172607.629399171,7927123.314645953,8874673.916798608,2629694.4566169023,2556470.4438453973,2550270.420281799
18,9019716.410912773,2042314.5947942452,866793.5913395255,853786953913.2853,25084640.359415233,8083353.340504109,26841687.327717558,24631001.692385767,2611225.2027479364,1840016.7862743563,9172618.704931257,9041587.118645802,2742941.811822021,2466454.224255091,2538309.6127948854
