,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,373,43.05555555555555,2606.9183144815315,12.59831649732118,2.825170098271319,0.6310352961250567,418.60827062085446,17.39475789936077,2.2246107176789836,0.0018998394834108259,0.5134328443102694,8.755363547343457,2.700881311345121,2.4824686163212903,1.201323924924693,46.961480769428405,0.0764473853828229,0.15934318308289616,0.2400564508217162,0.4758470192874352,461.658014685284
1,1,388,44.791666666666664,2607.984665823458,13.160598127633216,3.0495253432326197,0.6677270412919621,399.4884351091957,18.265187596489927,2.562336735112009,0.0017868018542671897,0.591419870049512,9.393508793775844,2.21893565435275,2.5177512707608454,1.3597496574612147,45.31412970007484,0.08606533209900077,0.1779560610003714,0.25635875286995247,0.5203801459693247,444.4038333534034
2,2,374,43.1712962962963,2606.741330523098,15.710510410450702,3.3729566742388872,0.7116761428472195,393.035815436202,21.23214979890295,2.8226992809287106,0.0017024402691967686,0.6690656274712459,10.330563455695126,3.0851335723309385,2.9442771021608425,1.557389377375465,45.568247018966545,0.09511348722722247,0.18354260594661734,0.3030043758109346,0.5816604689847744,445.72503633216286
3,3,373,43.05555555555555,2607.31083504808,9.939128565284385,2.301290444692109,0.491054665210235,406.5032336573948,13.722047836955698,1.8264377828971465,0.0018222538404743462,0.3999438330032576,7.013871347001215,1.7395372394022965,2.032754710881323,0.9070902025123136,44.707018427882325,0.06408542329836102,0.11904787364702396,0.18940395220846762,0.3725372491538526,440.23687844122793
4,4,398,45.94907407407407,2611.95761964407,11.740151528927905,2.793756445720223,0.606398208049392,411.83453525123036,16.970056309750692,2.198393823631922,0.0018490250114648707,0.5329510329105556,8.898192543214352,2.004963671569668,2.3795178130071952,1.2039428297324424,46.09072669417293,0.08186878415255527,0.1583711045301477,0.21369154591562292,0.45393143459832586,452.7204473741402
5,5,391,45.138888888888886,2606.9365972418454,11.306067620634158,2.775117803598774,0.6091937179737701,406.4361404892032,16.073798358640126,2.3278983894438072,0.0019057066727321606,0.5430449478213147,8.255702699812081,1.9438906104590163,2.2920297526113775,1.1671346129156879,45.370179499703596,0.07090021316405526,0.15246667835319683,0.19116136058212146,0.41452825209937355,445.89075026207337
6,6,391,45.138888888888886,2606.737031229783,15.976478349643166,4.057911115829448,0.9106746216362509,391.4656563958558,22.949107730243867,3.1710566066704247,0.001872423019587266,0.777162792458127,10.702557946209076,3.1289138169947317,3.165449549190487,1.6948419931196965,45.80904798602932,0.10951656383220618,0.19769663366645385,0.31261398180206323,0.6198271793007233,447.9189525739623
7,7,390,45.023148148148145,2607.3487668106745,12.955820788892694,2.858938443047689,0.6274921122789916,406.27066615003406,18.120139184075942,2.4950437303005195,0.0019265707105881496,0.5620558324743793,8.742702027645924,2.648808009260093,2.4428783286509645,1.3935230554505056,45.91786129040316,0.0802142770589839,0.1589940717043534,0.24203774944578715,0.48124609820912445,450.85853830338544
8,8,408,47.10648148148148,2606.6784134515233,12.13083658215866,2.793112755974352,0.571910922913362,405.6145517742909,16.699059902765068,2.351776228174284,0.0018673095623471323,0.56929105291327,8.356383712250713,2.4189513676906764,2.3622105575984973,1.2185467548075317,45.5012067324867,0.06716873594270552,0.15469445165471932,0.2202900985714135,0.4421532861688383,447.1742684950177
9,9,387,44.675925925925924,2608.3437728061886,13.682470442432997,3.2351378645118745,0.7048224156791225,391.03107315798496,19.344501374635282,2.7846005919848666,0.0016781785916332888,0.6508834011229443,9.800065318218916,2.6488877020096497,2.8079612243665033,1.372053491932084,44.822776639335345,0.07982149216880238,0.1963923008919474,0.24320306449973333,0.5194168575604832,438.7834867028124
10,10,383,44.21296296296296,2610.9795579208308,17.380006960248622,4.332849882738357,0.8578464059026669,369.42509204282464,24.104832702803645,3.39570293941833,0.0018337935353915187,0.7975378890774818,11.692199975353173,3.5409146095452995,3.5493644325735056,1.672003242521593,44.116179701111115,0.11945417222646727,0.21152943141305958,0.318416777295889,0.6494003809354159,429.7073852821251
11,11,395,45.60185185185185,2612.622776491569,16.497386838845383,3.875524543486114,0.7900512953523559,389.00187494004695,22.956589414298836,3.3334223189228065,0.0019350678701929996,0.8244595003047311,11.732833359742969,3.1753145564318204,3.3327067523475424,1.6224769970790893,45.697359085105425,0.10850186418866894,0.1802763332656911,0.2937950079685472,0.5825732054229072,445.99431543040873
12,12,384,44.3287037037037,2609.928776695954,20.138347126785355,4.444820858051145,0.9477883584869692,374.30891823013656,26.89507260861518,4.103407292227437,0.0017898219568257198,0.9571817877831745,13.44820901778042,3.7385855261501355,3.78531978524147,2.0356808996474953,45.506401308437525,0.11266301295369262,0.22729507088441334,0.38935733390845745,0.7293154177465634,442.08622771282825
13,13,384,44.3287037037037,2610.1542620706523,15.571813919388893,3.665039203339454,0.6997885259686869,383.8680998343005,21.337432490773207,2.905964059065912,0.0018436987441844443,0.6889374594985825,10.45318912143535,2.6286361336360895,3.1709779249626604,1.4447002526970234,44.75780249405758,0.09485625528944272,0.20107037039175382,0.30447622592169166,0.6004028516028882,436.583636353978
14,14,391,45.138888888888886,2606.816244650423,13.284062716893908,3.303606521427926,0.669852041323428,386.28441621571693,18.75824909023733,2.6623518538150783,0.0018484287578295288,0.595984279954407,9.144750789038644,2.7976736463011593,2.7038390312284033,1.3294576976452568,44.15867385331366,0.08714636237442325,0.16674157760994573,0.2568066999517432,0.5106946399361122,432.9020361632378
15,15,377,43.51851851851852,2605.5857005744274,10.296197980440757,2.584598480603241,0.5466554654951713,427.48117073757,14.84603595189977,1.9534783467995622,0.002144241953222319,0.45359899673027515,7.669653530877678,2.0275627756001824,2.129123229490072,1.039891896076942,47.08380166693925,0.06782045282230129,0.15417138333684074,0.1933101928443789,0.4153020290035209,463.7757601316626
16,16,392,45.254629629629626,2606.222933710941,19.167411413372765,4.438309331127194,0.9585483541883733,370.3178911340345,26.10524333397105,3.8707733514428186,0.001735817380731816,0.9371503566659841,13.750692936105436,3.6593650943572658,3.6412669804011104,1.9727591190072313,44.799580931443764,0.12096748291676418,0.21618726721907597,0.3811015446965558,0.7182562948323961,435.78871058078136
17,17,391,45.138888888888886,2606.8979766277607,11.430224655189171,2.7873100742719674,0.5506666487252131,404.82510991619614,16.10554022416255,2.096094849600771,0.0020443341165356692,0.47746993867459936,8.086997072002472,1.9055845014514696,2.3378121985991442,1.1005739655468165,45.20270904108632,0.06735570563301525,0.13566205849674767,0.21755623526970194,0.4205739993994648,444.03900530593376
18,18,410,47.33796296296296,2605.9113194156257,13.020998911789608,2.8881061600749103,0.6229584333372306,399.60241963298097,17.80500664214676,2.646704634885195,0.0019094274508780064,0.6344844000610489,8.864333256599098,2.7056100206324825,2.4902162620295485,1.3464519450821204,45.246158576748165,0.07519017389091284,0.14327176384079057,0.22744265366052344,0.4459045913922268,444.21077106186294
19,19,395,45.60185185185185,2612.8593426680823,16.14724429492596,3.8455255197586657,0.8032124891683069,371.23355071811613,22.62427625376201,3.0492175409692486,0.001749228375709981,0.7699333016424064,10.315691294658192,3.0799915981999195,3.113279387488791,1.6441024771203914,43.697116166097416,0.10244035517947538,0.2041628404567275,0.3044719564365872,0.6110751520727901,426.92315796160034
20,20,381,43.98148148148148,2612.2599035194294,15.587294402913708,3.938211077607905,0.7243239267986374,385.6773915834691,21.940778237679723,2.788947637457325,0.0018652543019482858,0.6597826272612534,10.55794827891172,3.062160010301258,3.1123437195727797,1.5032287603222216,44.95429647071781,0.10413112623046543,0.21906160488078663,0.3200054270236692,0.6431981581349213,439.63952539582084
21,21,403,46.52777777777778,2608.31445082716,8.730518570047241,2.178700837705727,0.44682400411618517,412.58682853822216,12.494698503408944,1.732625550545493,0.0018480728192161082,0.41170064834383396,5.982510694523371,1.707937663025043,1.6845379120070632,0.9345752824809521,44.8602781908583,0.05417941463503873,0.11715738874728801,0.16027012250659944,0.33160692588892615,443.2424025086107
22,22,379,43.75,2612.6761963519,9.883095261957838,2.3915176604269677,0.49755985629959176,414.99585338685426,13.688759068350697,1.8680594872163179,0.0018169215293946963,0.4354952933371195,7.052444945423412,1.8580695276014185,2.0110477747587234,0.9135966233387696,45.5359792957523,0.0646358722694507,0.11250162407904063,0.1969232090260508,0.3740607053745421,448.9189315670456
23,23,383,44.21296296296296,2610.7051337591142,13.342045048210512,3.3443194531970297,0.6756511817794687,390.3104207177532,18.613285872583248,2.495418086241118,0.0018006702030913643,0.6354836914456574,9.803648341959207,2.511627938528485,2.6796082195806092,1.3159929015098621,44.5378134402023,0.08242454688322963,0.1839600623298656,0.26987521659131525,0.5362598258044105,436.4619136068365
24,24,399,46.06481481481481,2610.818459221018,15.667133073217345,3.5990777795724367,0.7598181189953197,384.4156425954885,21.725182402137577,3.144047343364373,0.0018068688082873879,0.7860504460845285,10.59800967299453,2.5632035522773267,3.0326368629401834,1.6117184726533658,44.83964129369927,0.09840743133792898,0.18540733473772217,0.28287732857628944,0.5666920946519406,437.87300961019116
25,25,410,47.33796296296296,2605.80751920815,18.68459874243037,4.364317374686292,0.8716750512528094,374.0847254406064,26.22147270268541,3.7607072740038436,0.0017087556665370141,0.9102980236096482,12.171060508367999,3.2855750948546016,3.717974102492222,1.889486276103284,45.104239047138606,0.11953637263517973,0.22976323840543428,0.31690114726067087,0.6662007583012849,438.45873959669274
26,26,377,43.51851851851852,2604.748780928675,11.747860945967304,2.8814063209334337,0.5567369373554346,399.9153333828885,16.375989982733067,2.4178443417476347,0.0018749451680833988,0.5177385100539934,8.40999840886356,2.817739863813191,2.3202878377915033,1.1890609197037587,44.82859160461593,0.08012410057387818,0.15462196013635457,0.22865822485062207,0.4634042855608548,441.2052782737168
27,27,412,47.56944444444444,2612.5448317680134,11.709784882071018,2.9591266118535233,0.5955916783045279,412.51760632611206,16.847933435634328,2.491421300001723,0.0019826405031941816,0.6099987788593734,8.049325276990183,2.1156060368481358,2.430234038668007,1.1733294520253328,46.17066089098235,0.07737630260593507,0.12236898155116732,0.2377040475722578,0.4374493317293602,453.8900645126106
28,28,397,45.83333333333333,2612.310126451758,14.676041172695996,3.9438810179682737,0.7622858316276038,387.6677935929767,21.39318489778668,3.1712801375238477,0.0018615791105230572,0.7836617870854483,10.183620831804403,3.214921070129356,3.113767213354117,1.5344483094997732,45.064533974161186,0.09146187677584044,0.2031477669907706,0.25670846150617543,0.5513181052727865,440.81444471503113
29,29,393,45.37037037037037,2605.9584591861285,18.423266569978416,4.26401933539851,0.8399961743308862,397.45273114093436,25.413412796787068,3.420638369611474,0.002031805866988316,0.7614749245375504,12.67440433874712,3.095733139027927,3.6387665621101952,1.7543880167480645,47.20715998810167,0.1063313644486485,0.22613001524949275,0.3536163116719637,0.686077691370105,459.7525365267015
30,30,387,44.675925925925924,2609.0112255844524,15.626692183654088,3.56591476531381,0.85243325619182,378.9422850985539,21.770439350724576,3.0688088786514314,0.0017172279559714194,0.7312000388050519,11.480813201790228,3.0643646820452903,3.1832775420441553,1.5281920376690463,44.36381763072248,0.09771046393569016,0.20811632199700664,0.28644691948696843,0.5922737054196652,432.9275987670288
