,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,200,23.032407407407405,783.2720814338848,19.86666937746865,3.1682003950937454,0.5028139745863125,452.5216731128589,23.262993154728708,1.6002491922637283,0.0009471840000751662,0.1635868653660484,14.26986535044467,8.520846044333432,4.010341934518184,0.8739891323611273,52.57128508601647,0.24336130264060457,0.4448817264933952,0.669695668152085,1.3579386972860847,515.8502490648648
1,1,189,21.75925925925926,775.9318424568795,13.660191661558944,1.968153074663165,0.3033932252857337,437.49036733174086,15.692697785486379,0.992045809358049,0.0009074285385383576,0.09770993688127631,8.850616229802439,6.556629639930913,2.6591731734074955,0.617573052679868,48.71819220888671,0.15800761973571495,0.32316970076356943,0.507883538498794,0.9890608589980784,481.0279029785293
2,2,191,21.99074074074074,782.0275010666512,18.023155270388372,2.76983360725657,0.4252493526479991,407.2764016429099,20.851937290882066,1.432491052532932,0.0008546373711432327,0.13966540941502284,12.180771666210845,8.640940914722682,3.6337204686316738,0.7553818716898308,47.35035133924922,0.22034114759520196,0.4365040329715362,0.6501042363966043,1.3069494169633424,465.2565809354116
3,3,188,21.64351851851852,776.4792218677271,19.36727640179424,3.061018499685073,0.4586974908573052,419.6593712320624,22.39241264655619,1.5535459548867547,0.0008975019414434288,0.14206769167364922,13.290348533251258,9.335579409517026,3.9023644165080245,0.8102455553938275,49.07879393970546,0.2315996299254412,0.47008637217278637,0.7029176476531145,1.404603649751342,482.0880804506273
4,4,197,22.685185185185183,782.5565456565351,16.99306891617543,2.7655612994860093,0.4022175428624532,424.058978781455,19.705442854651036,1.4173588971114044,0.0009193261407511231,0.13925679788254094,11.576340486645911,8.163439096395724,3.43754686487096,0.7235914762413451,48.66465834663248,0.19205703029646176,0.41516386020831375,0.5997949754259131,1.2070158659306887,479.0143977192034
5,5,197,22.685185185185183,778.1146857662319,22.811844507369923,3.888987954580794,0.5475451042274981,419.3274765487881,26.88852039916172,1.872116740676799,0.0009391385592868778,0.18260395576171543,15.756930392837976,11.16320075444872,4.565788311285868,1.0874079634294311,50.40393442620905,0.26977063586867817,0.540458706040519,0.8164556455997058,1.6266849875089031,493.9631163657987
6,6,193,22.22222222222222,781.2964363836886,23.526677856088074,3.5489686037718466,0.5805184729600764,413.943721147476,27.11962337584705,1.9418864558095146,0.0008904437482941377,0.19104611615800846,15.405570427635215,11.824829580106325,4.746853291699259,0.9737916408179483,50.017087156389465,0.2848669581273491,0.544132860775606,0.8358557069026207,1.6648555258055757,490.063662510288
7,7,192,22.10648148148148,777.8736054104654,16.87616833292545,2.3565019237302427,0.3607818205011647,418.9276580329867,19.276416107092146,1.2858722231079973,0.0009016612547241121,0.13245041919786052,11.32264791641879,7.8072702575483115,3.2738055673920585,0.7721550965216739,48.018974825278534,0.20248405953838827,0.3911125555797726,0.5961958841957288,1.1897924993138895,472.25977394157223
8,8,192,22.10648148148148,780.5637219146505,15.458018268972099,2.3134090281629125,0.38519323546527645,464.6981458306552,17.832191544168506,1.250028534633023,0.001061208851323531,0.11394994612353194,10.541414245289147,7.439171285916231,3.070316419674405,0.6794765018898667,52.12956605125046,0.17538771733981848,0.38301668513803777,0.5451008088053102,1.1035052112831665,514.3444670157955
9,9,200,23.032407407407405,780.830763805579,21.710711018168684,3.3799333098323183,0.5207896879235195,403.6197084301118,25.307806389011926,1.6385834275217397,0.000855874070688931,0.15433894574000456,15.015283175770143,9.964691342167278,4.321375591673901,0.9683029247019705,48.3180551444633,0.26094883677193464,0.480164253783269,0.7599011011398562,1.50101419169506,473.0881111326189
10,10,193,22.22222222222222,783.3862484738303,20.209827014303993,3.0931644367833018,0.4427030037329306,430.22908919747744,23.225895470949695,1.6529008152845002,0.0009082662295893626,0.15761269124878108,14.41916925436618,8.901488160037617,4.010672082722988,0.8807700714767338,50.39762908089432,0.24210477644198372,0.4684159422399212,0.6903741465194485,1.4008948652013533,494.20592607544893
11,11,193,22.22222222222222,779.3135366041674,24.785877701462606,3.701363565336395,0.5114848359565105,368.8086470593611,28.479473755604147,1.8508753869010093,0.0007186166225447137,0.1791306837127792,16.31328642315604,11.447151323968518,4.88987896879232,1.069091845347148,45.89918875104734,0.28773622087542267,0.5883626716180589,0.883796443341369,1.7598953358348506,447.4835890789
12,12,200,23.032407407407405,777.9901741333546,22.13785602402734,3.40924791820199,0.47544117633906136,410.3292820605041,25.40742586521083,1.8487563693536577,0.0009482446826628867,0.18793951842376674,15.289352016981065,10.180528839725264,4.308052992108993,1.032371802529806,49.08782170856923,0.25140492407431136,0.5109567050941396,0.7548599025808703,1.5172215317493212,480.8350723428568
13,13,196,22.569444444444443,778.8479661990273,15.090903463650049,2.2387268387255914,0.34749563253785537,464.8248923148964,17.458825568050045,1.1154615140407993,0.001035528374735408,0.10359852215781687,9.873453590152202,7.242448289123945,2.9853591653220635,0.6593615512435744,51.99210144053629,0.17424427744869658,0.36287143603918903,0.5410695777727249,1.0781852912606107,513.1462936793835
14,14,196,22.569444444444443,780.4510348366063,17.33543959478096,2.7056163570136276,0.42201534398409524,454.1510059603742,20.245365989243787,1.3369154796477547,0.0009804564131985804,0.12620880697289377,11.901539871174398,8.227983355186918,3.479884942651115,0.7639234652676231,51.78769770212585,0.20154577243654512,0.38971576354633986,0.6064497933855353,1.1977113293684203,509.99305108090454
15,15,195,22.453703703703702,781.2907872272941,21.926166322571436,3.581420003175553,0.5224717154580129,413.2851140467988,25.440691478803924,1.843416255846533,0.0008936876580348247,0.18974433259831305,14.41602344104778,10.65917651709294,4.341910825041733,1.0191161324115368,49.40807918866772,0.25099670588663636,0.5452211344858285,0.7974918392560697,1.5937096796285346,484.40383099708527
16,16,201,23.148148148148145,781.3050838503377,15.820704485322388,2.451069912190322,0.35179749531668203,442.0957709882777,18.308891729285293,1.2644932367414703,0.0009436719941508093,0.11869763235934935,11.352611929411601,6.838030001218242,3.1476037665849828,0.6946698125628299,50.00563231464848,0.18394840975401278,0.37551540381677173,0.5669337262493734,1.126397539820158,492.21907027167356
17,17,189,21.75925925925926,779.9749393208416,18.602544925890147,2.982464352374723,0.4310258812106515,410.7164646103964,21.66249268309128,1.4139216725395412,0.0008809833526600125,0.1346055856261295,12.189738740486995,9.639830646093847,3.728153387472364,0.8100859571164196,47.89918068005665,0.22518312691266526,0.4493828426340651,0.6255563996629939,1.3001223692097241,471.4225930543738
18,18,199,22.916666666666664,777.3556027413954,16.418742824399313,2.7270339412075617,0.4304846239375821,436.86267178003544,19.248015011860623,1.4050276851071613,0.0010061617173526321,0.1334291254624896,11.571447683885463,7.64831877870379,3.302041941779203,0.7542892708938024,49.77163644028436,0.19114896627245961,0.3695484535582775,0.612526117041628,1.173223536872365,490.10428468197665
19,19,199,22.916666666666664,777.9419268730101,19.71501145741764,3.1021811602054825,0.47028787253410115,390.86074219106496,22.932448229733886,1.5714754669230555,0.0008915563868655076,0.15083249277442642,13.472816587310247,8.962405608586026,3.8871976084877438,0.9196310588503013,46.31630027297747,0.22394567359817766,0.44990394684921053,0.6955329274046442,1.3693825478520325,453.94248725081655
20,20,196,22.569444444444443,777.4240461570749,20.81447415045662,3.1435844123797496,0.4702821596480922,449.3120754020901,23.87784288892522,1.6918190595017135,0.0010285518569402169,0.16144061202280924,13.538398305012906,10.154754157145167,4.099941913358511,0.9286453799738699,52.53092673710371,0.23873049662008294,0.49947348438411593,0.7456884084401854,1.4838923894443843,516.1397810768032
21,21,190,21.875,783.2333896907863,30.062717071183833,5.094746397510209,0.7409151015650215,410.799271033864,35.505695617107506,2.3645232102463862,0.0008849191381775169,0.20701024890832878,21.21200470629624,13.953314584020958,6.106278628408209,1.339300640182574,52.25858638667641,0.3813852891878287,0.7326747281199266,1.088389399603909,2.202449416911664,508.3771068690469
