,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,187,21.527777777777775,880.1296812480886,12.89344631023613,2.03641658972381,0.2736630783060519,285.18886987220554,14.942569702374795,0.9593370849614751,0.0005755638697473822,0.09145766777287248,8.733642784697713,5.983843420913225,2.5366972327009947,0.5865237396263269,33.235130245062855,0.152096504761507,0.3112384480832113,0.4569003637957639,0.9202353166404822,326.4136355793314
1,1,191,21.99074074074074,880.9091019020453,10.395922513671174,1.70450347501897,0.25569239792619036,258.0064863248719,12.184609056140875,0.8125877237243582,0.0005474023406620849,0.08339262677637516,7.004448860450034,4.9898520496628365,2.0535427489818057,0.4996435615378607,29.634143767765583,0.12786345966671098,0.24577523524287817,0.3558054668831548,0.7294441617927439,291.71622404244573
2,2,189,21.75925925925926,881.4777801241248,15.048939333623853,2.2522782546948052,0.3537177616115942,263.5310350195874,17.42959759913373,1.1344945244509177,0.0005829586846897218,0.10056905744186072,10.129562119647892,7.198278599507283,3.0055432250203897,0.644416700835334,31.872251195180528,0.17334528245769457,0.37629855653470623,0.554276870109657,1.1039207091020578,311.803373743694
3,3,181,20.833333333333332,877.9572322384945,13.13195815043519,1.9259986718936168,0.27186155196814027,285.7526514287262,15.054895328051149,0.9282153317219489,0.0006053160485766208,0.08420631671416662,8.314692880807037,6.6415679804524705,2.5836445487099993,0.5601479489984525,33.349070031916916,0.16007988964799488,0.30483226872742153,0.495138072813411,0.9600502311888275,327.8958028049088
4,4,187,21.527777777777775,879.9989912617252,14.87644305102985,2.167138800965204,0.35474994993748665,263.19514776992355,17.104344774354352,1.1177523928752602,0.0005094555632464706,0.10600571704097317,10.137151443578565,6.926446500800452,2.9286449468126796,0.6581673477054303,31.74511474561107,0.1780182157087805,0.34505762696879816,0.5409949724667209,1.0640708151442997,310.49942152215283
5,5,182,20.949074074074073,876.4106149626211,17.213137197885064,2.544720408962041,0.34875280795392266,239.1789419610426,19.656430318116396,1.2966514031322434,0.00046999853439622053,0.11761116703202765,11.319121054469637,8.54920969199536,3.3864689466424873,0.7353625289512291,30.170833476653428,0.2106782277926678,0.40612217747733814,0.6249998528116367,1.2418002580816427,294.2695566883294
6,6,188,21.64351851851852,883.588918558973,6.870171489083862,1.060482535422487,0.1503518103694045,268.93710689023027,7.908385704017096,0.5401293263468085,0.0006009294506127536,0.053730412359403575,4.579788612521193,3.4124615423101954,1.3650247750073998,0.29813149674380324,29.40860797016732,0.08188817784210907,0.16736023015726795,0.24991480559064358,0.4991632135900206,291.0957401249314
7,7,190,21.875,881.0198697066052,16.94339672657111,2.853519177832839,0.408529656634092,261.10469321563124,19.94171200993666,1.266263348852871,0.0005421742842381988,0.11663213909943586,11.288516082148536,8.36283126485729,3.449056863090568,0.7210977188138231,32.376987604486146,0.19939911014093362,0.39274784005116087,0.6261076812064296,1.218254631398524,316.3865289270027
8,8,195,22.453703703703702,878.2314589855812,13.437334890572883,2.0026002029761343,0.29732212328383706,243.35799486801133,15.485916564796176,1.0046888107279421,0.0004904038707707482,0.09273523614491348,9.364936801967922,5.963222698838581,2.624373883486276,0.6082249744211679,29.226510428610784,0.16307069988583411,0.31084862506479216,0.4787430836703321,0.9526624086209583,285.827567065751
9,9,189,21.75925925925926,878.0290978814695,8.918319247551093,1.418794149044403,0.20453050583988705,290.01217003773496,10.409599430532651,0.6486738864008187,0.0006198896928294095,0.06032821092159115,6.252684315984622,4.1039587938048685,1.7970258378543322,0.3779570322005307,32.27933453222691,0.10422437724597272,0.21217773795490763,0.3239091988701585,0.6403113140710388,318.592288335649
10,10,184,21.180555555555554,877.4393969732396,15.602018569564704,2.3168995224855227,0.30698410308270047,249.25793249541812,17.853873289023777,1.147323898634148,0.000511507687023979,0.1082952211357422,9.867073426162667,7.798742914552983,3.0682031427398404,0.6725779370186814,30.60476523388017,0.19504979550194296,0.3906466701261665,0.5597248908063315,1.1454213564344409,299.2787839577776
11,11,193,22.22222222222222,884.0412186797878,12.640853599599733,2.066431317959039,0.2861486001055697,268.99084364975556,14.708556437965104,1.0407917595776355,0.0005466917174145226,0.09610194524995179,8.198829662240962,6.2043385175130235,2.4903901446463066,0.6020104377618885,31.54524221791544,0.14801158064910774,0.3043698878850613,0.4254121998649704,0.8777936683991394,310.00480677025035
12,12,186,21.412037037037035,879.4773696555898,10.13259238582068,1.591242871004364,0.2197435726198369,262.0571487179064,11.70821356553532,0.7795055838480699,0.000554129146068078,0.07212129516639176,6.71256866070622,4.964034885634718,2.055411117403774,0.40346401485177397,29.92098165392248,0.12228891293048551,0.24743493248824344,0.3670410372910456,0.7367648827097746,294.7207970216471
13,13,185,21.296296296296294,875.561362058655,9.850670356396844,1.6235823220090013,0.22945476274804014,297.0677267310332,11.562060524627793,0.7325856992820494,0.0005940901463653214,0.0650363097808512,6.683664129130219,4.594310814640884,1.9905588852119411,0.42881469336609146,33.348573783680806,0.11247470607592942,0.23179584220689534,0.37500368311040877,0.7192742313932335,328.8646694206363
14,14,189,21.75925925925926,877.2360852783809,11.499080698276549,1.9401860424721245,0.2967545083157421,283.4015383604421,13.527250331378358,0.9544926315048945,0.0005953008517489583,0.0933838264638974,7.491513418867717,6.126568481388659,2.373662096107199,0.4838998915511202,32.62309868783952,0.13327043632714403,0.2893869194007179,0.41211474823983973,0.8347721039677016,321.53218427272003
