,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,184,21.180555555555554,578.4838068645872,22.8269845261004,3.547551296421066,0.5259929221044171,560.3741547234173,26.361554610272645,1.8208380359773373,0.0011254168962943306,0.1595470396510371,14.949440841458136,11.682984837004607,4.556853930159917,0.986210830967284,64.42319441962469,0.2851537352105811,0.5537525200616742,0.8581111191087221,1.6970173743809773,634.5408155433531
1,1,192,22.10648148148148,579.7893014288494,32.500061358456,5.052334644080238,0.6752042603299776,524.2002954700213,37.35652122756564,2.568005087873591,0.0010881616941078613,0.2617564463767713,21.187722679288758,15.573114477429801,6.426517627595509,1.4316800698809053,64.29706481474253,0.37402955777812447,0.7682647005383808,1.1874979671937445,2.32979222551025,628.3763710568143
2,2,191,21.99074074074074,581.8927191092797,20.109546575786702,2.985580220705058,0.4420547019956597,590.8953213105417,23.12782422542302,1.5538288456356661,0.001290611549874951,0.14631156938863352,13.852571908406777,9.412313420328415,3.9494166165835085,0.9071286146479204,66.42472462243778,0.2350583517615983,0.4684773831112874,0.7137145759559346,1.4172503108288201,654.9478670234149
3,3,186,21.412037037037035,580.2682478736285,25.04221682024334,3.89013045156157,0.5577838880816325,532.3183864242134,28.814646583151003,1.986981892227663,0.001051662296923293,0.18933053402039846,17.1111649721354,11.653563828021932,4.9335235958558625,1.1130264305580497,62.37351445960527,0.31604791281710004,0.6161104238362157,0.8584601746972567,1.7906185113505724,612.2912606215823
4,4,191,21.99074074074074,582.7923832950926,28.719818618888418,4.678552749281656,0.6444895946786364,569.0123476397127,33.29467902605234,2.4231294937973495,0.0011719254373210879,0.21558285498026614,19.660203187319002,14.281858056231632,5.646095921165112,1.361824081512942,67.48489406140781,0.34792336486723524,0.7050112756228977,1.0796636409330507,2.1325982814231836,662.4121482431617
5,5,197,22.685185185185183,582.7206426949421,17.529489193898517,2.9236677760709258,0.4291534347063144,610.8336928191497,20.590538569192276,1.408150760009289,0.0013848754854452372,0.12825476280513212,11.3367397287573,8.577080061896037,3.51422099038698,0.803390333479659,67.57169753157613,0.20538267932504642,0.4346727850150767,0.6259081914316097,1.2659636557717329,668.004987232852
6,6,182,20.949074074074073,578.6092985637154,16.9830914283013,2.7175880213039685,0.34616209497821726,592.7898237315909,19.628000568550778,1.2667736059071184,0.0011027862369036297,0.11952639997519436,11.220214478419047,8.505741926895789,3.3559691345799076,0.7548833201861961,65.49573959122677,0.20821251631587,0.40470136489209113,0.622224362644922,1.235138243852883,647.703801262359
7,7,193,22.22222222222222,578.4390842980487,21.712879081971412,3.378718161467892,0.4820253369160564,580.7337595952682,25.111961455297024,1.6909139227176038,0.0012047170941954682,0.1724487612639561,14.883275218814218,10.114321648653656,4.298910435640308,0.9658042993802829,65.99811527950662,0.26143126241081777,0.4848312668572727,0.7347577033442191,1.4810202326123094,650.143967648283
8,8,189,21.75925925925926,580.7976793784552,18.843877543900412,2.859849564983983,0.4067565366538114,543.3728985051627,21.68793912374947,1.4483217119061043,0.0011423103161142096,0.13588834487698517,12.651005828373016,8.89411274374154,3.79662770335336,0.7591931845447714,61.22222504090766,0.22772950262340225,0.43011738605702055,0.6898093176929758,1.3476562063733986,603.5542634795628
9,9,193,22.22222222222222,580.8249995454843,30.973843348477633,5.3015213387853235,0.7968588354382332,558.6894190480772,36.53860207402649,2.5202481516632806,0.0012120258851410744,0.23663450489763985,21.77499815095016,14.715727438130326,6.271269308166752,1.3973985292715672,67.40452731928258,0.393674295916264,0.765710862104228,1.1725337577030646,2.3319189157235565,659.7746535185431
