Protein_micromolar,Polypeptide_micromolar,Amino acid_micromolar,Heteropolycondensate_micromolar,Polysaccharide_micromolar,Oligosaccharide_micromolar,Humic acid_micromolar,Monosaccharide_micromolar,Inorganic carbon_micromolar,Lipid_micromolar,Pigment_micromolar,Porpherin_micromolar,CDOM_micromolar,VPhenol_micromolar,SPhenol_micromolar,CPhenol_micromolar,Phenol_micromolar,DOC_micromolar,,,Sam #1700,Protein_micromolar,Polypeptide_micromolar,Amino acid_micromolar,Heteropolycondensate_micromolar,Polysaccharide_micromolar,Oligosaccharide_micromolar,Humic acid_micromolar,Monosaccharide_micromolar,Inorganic carbon_micromolar,Lipid_micromolar,Pigment_micromolar,Porpherin_micromolar,CDOM_micromolar,VPhenol_micromolar,SPhenol_micromolar,CPhenol_micromolar,Phenol_micromolar,DOC_micromolar
13.30408842,3.09984429,0.640482085,401.0266335,18.52612651,2.689330246,0.00179236,0.665991285,8.631590994,2.766788019,2.656321962,1.344891633,45.5981373,0.085558476,0.151989405,0.258971856,0.496519737,447.21881,,,Average,13.6515672,3.311189822,0.693655337,395.295657,19.19121483,2.705117226,0.001857452,0.643689331,9.530696878,2.630990491,2.719413553,1.382857931,45.16528866,0.084974934,0.169949387,0.25505976,0.509984082,442.7371943
18.61645734,4.338780477,0.887200355,387.4198618,25.67637987,3.504118963,0.001767883,0.890069825,13.47914029,3.150169685,3.640305465,1.864562308,46.33376303,0.124311223,0.240473433,0.317831523,0.682616179,450.6722902,,,Max,21.66084052,5.157832884,1.09541084,442.822976,29.48023384,4.324564485,0.002257604,1.040882211,15.72203451,4.652257211,4.364727341,2.183908857,48.24025337,0.138051085,0.284118178,0.429372386,0.827794451,475.0672076
9.122576427,2.236984577,0.472454368,414.4731834,12.69734463,1.78125991,0.001827242,0.440245094,6.387887687,1.813024524,1.831342896,0.91589085,45.22419778,0.061988618,0.123984969,0.1697478,0.355721387,446.1418553,,,Min,6.390036502,1.652764079,0.330531068,350.131742,9.384282595,1.326606236,0.001520796,0.300251887,4.717564233,1.128357726,1.332197371,0.682320607,42.39979586,0.037882051,0.076918158,0.112734986,0.231988676,412.7371169
10.80588812,2.365008783,0.46121713,401.6686652,14.61355395,1.969114633,0.001901732,0.459055754,7.496502118,2.041844984,2.006953148,1.085666541,44.46810934,0.068269423,0.1271537,0.192559651,0.387982774,437.8668528,,,% Max,58.66925895,55.76977347,57.91860624,12.02323327,53.61317197,59.86606583,21.54307616,61.70568014,64.9620664,76.82531454,60.50252216,57.92720337,6.808247673,62.4609504,67.17811277,68.34187621,62.31770378,7.302303415
14.60126229,3.17738584,0.73607673,392.3897427,20.03251193,2.925270363,0.001790234,0.628597693,9.985318884,2.799381862,2.965277148,1.344447829,45.19448046,0.103143179,0.200100203,0.25934748,0.562590863,442.1643355,,,% Min,53.19191997,50.08549289,52.34938003,11.42535069,51.10115395,50.95938087,18.12458364,53.35453414,50.50137158,57.11281626,51.01159331,50.65866191,6.12304909,55.41973469,54.74054984,55.80055981,54.51060448,6.776046321
14.96743455,3.684125013,0.765028699,400.5581447,20.75490808,3.107087564,0.001967703,0.767162266,9.37320579,2.797279069,2.888849294,1.532354389,46.14489351,0.074750916,0.17878702,0.265043592,0.518581528,452.3429228,,,SD,2.892802388,0.709114325,0.148778768,16.23944338,4.030026554,0.579317745,0.000120416,0.142393725,2.041610698,0.61741902,0.577524398,0.292285874,0.921497604,0.018982653,0.037892484,0.057441664,0.111077482,9.72245888
12.94108806,3.335119647,0.732541287,408.7293131,18.38698222,2.757561806,0.001892351,0.657533971,9.55938919,2.862564045,2.692357216,1.319476636,46.34950828,0.091174662,0.153136215,0.272762788,0.517073665,454.933504,,,Variance,8.368305655,0.502843125,0.022135122,263.7195212,16.24111403,0.33560905,1.45E-08,0.020275973,4.168174241,0.381206247,0.33353443,0.085431032,0.849157834,0.000360341,0.00143584,0.003299545,0.012338207,94.52620668
9.76780152,2.3032658,0.484305253,413.6927557,13.42061266,1.939539379,0.002026119,0.458036363,6.787580862,2.14207893,1.905580414,0.991278785,45.36050889,0.059617631,0.112736566,0.183991161,0.356345358,447.4636263,,,,,,,,,,,,,,,,,,,,,
8.555007582,2.049210451,0.417752668,426.6669162,11.90624411,1.5421866,0.001981113,0.354390129,6.087212923,1.783238031,1.739833024,0.807030438,46.18048914,0.056672657,0.110737107,0.170266924,0.337676688,456.161467,,,,,,,,,,,,,,,,,,,,,
15.72046599,3.700671783,0.751217454,393.1243881,21.7635903,2.964739256,0.001970633,0.789984123,10.28098747,2.338436633,2.965610161,1.622076616,45.65256069,0.101726356,0.195185635,0.249719856,0.546631847,446.2897829,,,,,,,,,,,,,,,,,,,,,
