,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,147,16.89814814814815,372.9286270705444,10.301248820738612,1.421259432205039,0.17150654071745963,374.7899053848005,11.663442601362902,0.5972926724955278,0.000626342468495219,0.04581895758266077,6.398721919473983,5.663272264566464,2.0509183289264046,0.3713490298949093,41.21064969359054,0.1417430898357571,0.28488120468920713,0.4196390818850713,0.8462633764100356,407.92290375216896
1,1,147,16.89814814814815,369.09543078245014,20.487082479952694,2.703757744863144,0.349074649499232,316.794261033255,23.062147147458475,1.1854059061324251,0.0005131575966011674,0.0853339342772422,12.14515942139778,11.78028672667925,4.0910427451057005,0.6987484205148096,39.0753987213933,0.279832051334034,0.5572127498661228,0.852267939563535,1.6893127407636919,382.92696668609824
2,2,147,16.89814814814815,369.3009016043073,17.282653529179527,2.2155022405797817,0.2747313618295699,322.0006358438866,19.272175699162656,1.0552972259830196,0.0005255435727700864,0.07512290824953968,10.046433616635058,9.770505966879185,3.4763703132616146,0.5450093256690604,38.410417994508755,0.23269912474001742,0.47466179954720017,0.6887282219899455,1.3960891462771632,377.36461910453045
3,3,152,17.47685185185185,371.9886731825465,19.370103096294557,2.3542950132534335,0.3010767278809516,315.32986783629616,21.490269584639467,1.1492534836501178,0.0005366617008137,0.09254186308595573,11.545728732276556,10.916901684890249,3.7992164488675413,0.6690079875854945,38.423701777955316,0.2415662409434064,0.4980604160161779,0.7315256104440784,1.4711522674036628,376.9442226555484
4,4,150,17.24537037037037,369.7005744138321,18.06034108844987,2.2381661140404687,0.2985977877803825,324.3582766599057,20.217246033571694,0.996016299704266,0.0005115719350147076,0.07488567382659717,11.070508840174453,9.516646098918981,3.6082980921800782,0.5824001000276482,38.90117329102394,0.2443448792473504,0.4560350115745036,0.719660484877098,1.4200403756989521,381.3714258960397
5,5,153,17.59259259259259,368.9297792258888,17.900959993553986,2.534259820383279,0.3079615063744194,317.53495218078655,20.284284883805224,1.1025415068086526,0.0005577084092894269,0.09124232941170816,11.218701737739364,9.828994708919188,3.5780565503173016,0.6486276983755038,38.24880125578306,0.23903049604795343,0.4792742306600454,0.7317734237653118,1.4500781504733107,375.2625170376185
6,6,148,17.01388888888889,369.79033369373707,17.99963920080398,2.1969359146457705,0.292914378850955,286.11408196488355,20.04968400631749,1.0632856853493602,0.00044915024730556133,0.07460489174960422,10.149977001925627,10.586111821424652,3.575475450746621,0.5966562598155378,35.07127261561838,0.25014819390734105,0.5025869880631745,0.7253520558703023,1.4780872378408176,344.0279259626756
7,7,147,16.89814814814815,369.33920182047893,14.278719734992762,1.8082395421609598,0.2477901575147164,340.14389344986,16.002436991471185,0.8356273604126312,0.0005746629998390119,0.06176658083983428,8.594521017414221,8.141200062513837,2.8468133590606857,0.4786656875700823,39.148227628589154,0.1990437501640321,0.37425980424766225,0.579688153082559,1.1529917074942535,385.9987192968908
8,8,154,17.708333333333332,369.81029537771525,19.28899770847127,2.7491095712890634,0.3743993436945334,293.05271311493766,22.06559805261366,1.173349701818325,0.0005067542424586466,0.08558562052319142,11.868373967446574,10.471599805987257,3.9129663600395244,0.6778812110867857,36.34653161710234,0.25520772880937626,0.5217219988865234,0.8034125863499744,1.580342314045874,355.4330495587496
9,9,151,17.36111111111111,369.06920073649775,16.492695340358186,2.178191137153767,0.27203050356826697,316.12298022874046,18.491659792961194,1.0414810311488663,0.0005261405960674763,0.074871060427701,10.052118362156124,8.908621047970344,3.3209216244209516,0.5380738284524762,37.55351678614487,0.20784619881502506,0.43722049111611594,0.666914450558473,1.311981140489614,368.75403287628797
