,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,152,17.47685185185185,373.7567923061392,14.980802400997648,2.0904215050087696,0.24567306811688716,340.45217367988533,16.956268232226517,0.8881134087172626,0.000554582917760228,0.06662244974000198,9.411353210445151,8.093515684319437,2.984126053025943,0.5389587479272715,39.45925082383804,0.20416094417108083,0.3973634219363476,0.5889859817607966,1.190510347868225,388.48774016075106
1,1,151,17.36111111111111,371.0591279105496,13.827397837811164,1.7296269430881617,0.23306216223637546,330.68787082446124,15.483336659308677,0.803625693275716,0.0005542459613880004,0.0644265805826632,8.416646368570976,7.730085703189521,2.7347001090302667,0.4834165449034557,38.034783185788534,0.18215497486239576,0.3722492290699305,0.5520796313027403,1.1064838352350665,374.88458713908364
2,2,152,17.47685185185185,373.62422327015884,13.553978325587845,1.8060468715110134,0.2479061716906522,308.8607773226623,15.309100694448581,0.8194167791229756,0.0005299951067112597,0.06462474796431646,8.108978112135956,7.795454922102673,2.701065318699686,0.48249460012184986,35.77990950069247,0.18809116764273562,0.3604855332888779,0.5267991082984386,1.075375809230052,352.71677155824875
3,3,150,17.24537037037037,370.59268404601295,12.826728013063931,1.7054412086349329,0.2145759574488238,339.7868648059036,14.373548670967857,0.8176324073644796,0.0005630125834480229,0.059229626086023585,7.758606429684028,7.2595560255188145,2.538390573699046,0.461970307942151,38.603929752353096,0.17076467543331206,0.339966173527117,0.526267905024843,1.036998753985272,381.0814993631983
4,4,149,17.12962962962963,372.29947028858874,19.571004299823883,2.58617192461342,0.30521018959498775,289.5387774534363,22.006120903940644,1.1150655919952934,0.0004880532608209108,0.07920766825673324,12.485603520098024,10.334590819431025,3.9053088817180432,0.6626591881260366,36.00333236055927,0.24940231087078285,0.5329888548459595,0.8066576687958913,1.5890488345126337,351.69365380870977
5,5,147,16.89814814814815,372.43691961625143,15.96893922360785,2.0337336942287556,0.2499375073651757,310.61309353691865,17.770541484709298,1.0015686246034265,0.000496347515769604,0.07429262859301594,9.29221645850171,9.179593347450027,3.1930991069182673,0.5187419699352774,36.78748466123679,0.20962648625227345,0.41361756116098325,0.6417265838915569,1.2649706313048137,361.86900810315035
6,6,149,17.12962962962963,369.25583816937365,19.715196706841425,2.7387774785197805,0.3494258700498013,329.58973365731447,22.29866862234421,1.215844008570957,0.0005327899384238835,0.09546324659912626,12.47454856046123,10.654655735862098,3.938006384069024,0.7058252668619325,40.10797051186383,0.2649189113952769,0.5326987713331192,0.8194908764148919,1.617108559143288,392.91923832611457
7,7,152,17.47685185185185,373.53906712434093,19.55371176595118,2.6094441191177897,0.31274136592866036,299.4058966386525,21.99473173476015,1.1415639019760981,0.0005076024853952523,0.08241741430462514,12.202782263601398,10.608357516093916,3.9101274834721007,0.6593584828125809,36.98694139627724,0.26146355734028087,0.5130733194736156,0.8057497581321202,1.5802866349460167,361.859144660501
8,8,148,17.01388888888889,369.92882058310875,9.9918311299993,1.3493619123221576,0.16694971554800467,345.74984510074273,11.29209571584026,0.5570287273831149,0.000561291629331501,0.040571617993610455,5.972526031632769,5.691084060238025,1.9699586117817696,0.36789055992206093,38.182854568173354,0.14018124734470597,0.2776024775419646,0.40293680055367803,0.8207205254403487,377.9978989688407
9,9,150,17.24537037037037,373.3157507368258,12.252375674964105,1.5543299489189617,0.20416617912376667,309.2454990701299,13.648407371450029,0.7838433610703431,0.0005143708795594734,0.05837373251580875,7.393557957415788,6.960467808697321,2.4508907200263637,0.40123797788585835,35.32396342025004,0.15822749282759993,0.31183775553986665,0.5058355026277589,0.9759007509952254,348.53600696665717
10,10,147,16.89814814814815,372.73773937820704,16.477452201301567,2.0767207503660705,0.2519338908868288,347.3538470049326,18.29710129986689,1.0342779645977025,0.0005889270535372326,0.07403579744753411,9.612857573191945,9.386840118285054,3.253361371160707,0.5655852521354079,40.63258664711633,0.22427487203927085,0.44917152019821843,0.6311296780558363,1.3045760702933256,400.0763206483272
11,11,146,16.78240740740741,369.5988648612336,13.723464435185207,1.921573123267004,0.23435941143169184,346.7248107565644,15.499505214289508,0.8514508525914131,0.000530051850662741,0.0627777590012441,7.90634843419444,8.163226364789434,2.7284071656269355,0.4980602853083702,39.64100226648624,0.18559152982664726,0.37804444478949295,0.5566891659171068,1.120325140533247,391.52849056043914
12,12,149,17.12962962962963,372.4864739099549,12.248920210559662,1.5215567813032806,0.18724098776697434,309.0511474898578,13.579647561624332,0.7498693098892444,0.0004739363741384397,0.05637963282003853,7.516020113804866,6.566132383397891,2.3840455540359384,0.4446972758588166,35.2808086063964,0.15765958453976345,0.3256702323372084,0.4926065663348698,0.9759363832118417,347.76604750669986
