,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,143,16.435185185185183,312.61030415640414,38.53006067393168,5.002412369651057,0.6160533963536683,478.93067385960285,43.20545663693198,2.1694288072578303,0.0007635293680282036,0.1622866397533246,22.317766272318753,22.92840528074262,7.734338568741006,1.233175909208847,61.74266982078292,0.5216966888690509,1.05728610139633,1.5394471778546854,3.1184299681200662,603.631485639663
1,1,145,16.666666666666664,312.8978840814023,30.25462059623952,3.709127420348283,0.48126126830256993,577.3412667458899,33.58112397758512,1.8041884349458772,0.000932351751237845,0.1423309345042634,17.198808123811922,17.489613311388958,5.965209184339726,1.0303671681320317,68.54494355580647,0.3894322053159291,0.8018133820192475,1.202022500912604,2.3932680882477806,674.1933094816752
2,2,143,16.435185185185183,313.34461967239787,27.529927314855826,3.398715513438617,0.40032794124293664,533.8957344973118,30.591845274585857,1.5520652331411544,0.0008289762322460103,0.10877840353255547,16.284457048091603,15.735740563634813,5.425659378970331,0.9250444057521678,63.21792877170823,0.36139416634850274,0.7489720991061708,1.0855695096028177,2.1959357750574915,621.7606032777558
3,3,142,16.319444444444443,314.59948680559836,20.12972616335782,2.547583290287823,0.3124579468497743,603.1984676625884,22.472980780164608,1.1368597022461635,0.0009380182067198838,0.07621312248806449,11.857782940461577,11.571727937293328,4.0429242864215125,0.6263338821687848,67.52409744855824,0.26745860062386434,0.521205729656064,0.7932141466088968,1.581878476888825,667.6980912689619
4,4,144,16.550925925925924,314.74505011078395,25.35439229115637,3.1967932196338236,0.3815243997994395,549.185627529365,28.366781947787352,1.3564476201670796,0.0009322103236099823,0.0958356495042984,15.358807695422396,14.100649987209314,5.053018840805165,0.8251335382240644,64.00757336420526,0.34363549925004266,0.6573644942188552,1.0457242584216537,2.0467242518905517,629.963861485866
5,5,140,16.087962962962962,314.837416059054,27.71819535812404,3.295389288154353,0.4394203870821469,548.9091937312328,30.669178480095717,1.6212824196022013,0.000807862371667987,0.10946983057885265,15.841072134381337,16.272463422881025,5.4371041385966405,0.9437357716722191,64.78836369290075,0.3633999817445295,0.753085825427077,1.1404380525138444,2.256923859685451,637.6731645500772
6,6,140,16.087962962962962,316.50823073953023,29.048665130890203,3.649410631710547,0.4317049939527587,537.5019118635198,32.259244030068295,1.7507340412390755,0.0008952459011139891,0.11894963685762155,16.85970234678809,16.962469791902326,5.803217664010468,0.9225441672367429,64.16348643451268,0.39062999752570005,0.789153094833669,1.1919347980177777,2.3717178903771465,630.8214650876662
7,7,143,16.435185185185183,312.4197988912444,17.446751229011234,2.2967765830274427,0.2756087999518517,588.2947730011576,19.61061483685277,0.9967267661044014,0.001022831948116955,0.06846465894072803,10.558895078787712,9.808030227254113,3.5204494201862926,0.5548530635863405,65.11837795385922,0.22956749184147063,0.4752616057546796,0.7161498329180859,1.4209789305142362,644.2950503485353
8,8,144,16.550925925925924,315.7311786353496,28.02647705620422,3.535699932632903,0.4379685539495937,567.71353342945,31.390630697645985,1.4866170851231308,0.0009837830784365936,0.11080994005199643,15.815193983270088,16.773727750134896,5.575388473856496,0.9211621816640914,66.82938144625183,0.3805897796848575,0.7545360580815644,1.164358229402781,2.299484067169203,658.272482950961
9,9,146,16.78240740740741,314.5064240753285,34.72066412671671,4.14694270289813,0.5015615205192452,520.2484501715717,38.33247710422304,2.0738699493594326,0.000860879456691685,0.15654318120176636,19.321161690290577,20.631331197019882,6.898177997226738,1.0971497096660208,64.40999231279088,0.4571808431557617,0.9060984903199136,1.4177908970372741,2.7810702305129498,631.5890987703723
