,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,213,24.537037037037035,856.2419264737579,8.385100146665556,1.4157218930979982,0.2244159575606034,167.9539891415764,9.919529939301993,0.7370121701200772,0.00039216034086116125,0.08122297787240802,5.898535223702625,3.769507133505444,1.6925506186328372,0.3987611635697861,19.911775217967023,0.08872337539136392,0.19371986537395497,0.2828734469322665,0.5653166876975855,195.14351998994152
1,1,210,24.189814814814813,858.6071055455923,8.764917448263832,1.4385529884832118,0.22390796929174683,151.31082846153177,10.26111530395409,0.7534225264566322,0.00035167268053412875,0.0833926137019862,6.036398140536214,3.877782001606065,1.77700580882245,0.3884936499415144,18.371460641535492,0.09663102189983687,0.20690346305616872,0.29763700532267434,0.60117149027868,179.48094193501254
2,2,207,23.84259259259259,856.5402365404033,11.011955222975372,1.7823720240135614,0.2656727447163403,156.0097088459743,12.85383362506841,0.9095322062621569,0.0003567687536741894,0.09653312533863181,7.891918678398309,4.631739334377862,2.1328158784379827,0.5611707684268662,19.63856472042528,0.13111833233491452,0.23527320370687985,0.3681892720353667,0.7345808080771611,190.99027135242233
3,3,210,24.189814814814813,854.7384290902863,6.19734555754988,1.0872501380707569,0.1647308346968725,185.49868131884784,7.3585049413890795,0.5608763628098468,0.00043760911800179783,0.05622876482858683,4.420839132894332,2.6886429891987174,1.245861904704772,0.3068524705917374,20.858954116713388,0.07604335558516216,0.13614600208265168,0.2018623204446188,0.4140516781124326,205.5794645699185
4,4,206,23.72685185185185,857.3998419891731,6.686830944274708,1.1523021031529868,0.1785144596027047,178.1473575376175,7.92113014991593,0.5703591244585194,0.00040757676358798705,0.055610388150743595,4.823689901705516,2.834563000890432,1.3402348341022483,0.3243202781180976,20.299060325209425,0.0734997339334045,0.14749043177990226,0.23684730337716225,0.457837469090469,199.66946786613798
5,5,207,23.84259259259259,856.343739453428,7.673832691563836,1.298530235834482,0.19646438931847068,169.77362870487502,9.08322274127977,0.6541275559355383,0.00036795565874124303,0.06837624815933317,5.202105848577902,3.570723015495074,1.521655335180845,0.3863499208561104,19.8317389781414,0.08984758876537072,0.18144973774664258,0.27108928700482215,0.5423866135168355,194.76966540767404
6,6,205,23.61111111111111,855.2464265099356,4.838369372878226,0.8565316112201938,0.131711806019445,178.29927785193053,5.732793626972496,0.4408188550094416,0.00039966298890609455,0.046164631598396795,3.387111995338518,2.3434662090595686,0.9800342545233198,0.23168641038945248,19.636534747014824,0.05927360852855504,0.11260863023490414,0.16463097220979953,0.3365132109732587,194.23776750356325
7,7,215,24.76851851851852,856.5552358708512,5.878463656538685,0.9398828368903542,0.144750969633629,181.47046034349376,6.837456683862604,0.4920002841989922,0.0003922705102485978,0.05390029555974819,3.889172377605678,2.649549026418022,1.1302971339859669,0.3039514304468536,20.298069610101425,0.0647313947188258,0.12883831405951024,0.19712315687427243,0.39069286565260847,200.29179779719146
8,8,200,23.032407407407405,853.6857334278712,7.584079119091076,1.175171493071534,0.17787111096195068,172.11471470203065,8.74849956526803,0.6460800382297117,0.00038521693896850307,0.06672241360978025,5.402316338831687,3.217890740082374,1.505586859020357,0.34339246909243193,20.000833721943827,0.08897284996093771,0.18497706080392165,0.27748951868623645,0.5514394294510958,196.13183315684793
9,9,216,24.88425925925926,859.6555376080655,8.232006372145802,1.485236346009249,0.2345034718484228,158.17619993236954,9.841165814016989,0.7740304928987083,0.000382488410815559,0.08421912445929816,5.97136624717614,3.6565873506031226,1.6786983718452668,0.4040265577669316,18.911995208635513,0.0945870124147782,0.19126072078747403,0.28521180792434153,0.5710595411265937,185.1381158635008
