,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,154,17.708333333333332,473.04115562020735,22.627008342737092,3.010475817505381,0.40351796841555465,597.6414328305873,25.40143804311326,1.4587038251277251,0.0009389624020332038,0.10314804799141486,14.093380410430742,12.239562756942364,4.4576410349549604,0.8403096323419139,67.90951935657702,0.3039811380110341,0.59823267635232,0.869678827902491,1.7718926422658452,669.9560699043849
1,1,155,17.824074074074073,474.7167889025854,27.453458828922383,3.620111137278334,0.448874677353994,552.4966756600799,30.67626247125278,1.7904589827246102,0.0009671411894716011,0.14388774044301908,16.628241478228514,14.822925093159371,5.438732006501038,0.9717544309831724,65.11668511153908,0.35730704640396066,0.722930816388735,1.0748688801002062,2.155106742892902,640.0192149127811
2,2,152,17.47685185185185,471.8634758757328,29.742989435367885,4.0188056132561325,0.5194503591299006,556.5189431349592,33.58710230250823,1.8422777816605669,0.0008990466879320716,0.1317405575535199,18.114641831512905,16.85322743773629,5.939792095812521,1.0581457193435757,66.43000389474216,0.39693366673822106,0.8108832983719524,1.234221891112176,2.442038856222349,652.6554123402381
3,3,151,17.36111111111111,471.1008564291314,28.79734974962655,3.625989806341985,0.4955543789962801,529.2599875273578,32.187501971987444,1.754525520424084,0.000904872899713024,0.1352413794843337,17.288991684339017,16.03676462328665,5.6898148740468795,1.012838530655991,63.26185468005243,0.38101951266361395,0.738179387878338,1.1640360923402298,2.283234992882182,621.2797082279899
4,4,153,17.59259259259259,470.90415657574044,25.211956273771666,3.3896525759607306,0.44789144882402376,598.2957024563069,28.543518576159283,1.4713741512023295,0.000979561713606025,0.12069990633264033,15.370130927139895,13.978552319890763,5.088704157531173,0.8396349183388334,68.94582698867652,0.339353014918478,0.6647797473601356,1.016237055293031,2.0203698175716447,679.4090361636037
5,5,153,17.59259259259259,474.3136955996662,29.373204627259614,4.133608215657284,0.5314347980681399,608.4919134627228,33.35330571637004,1.846504709736675,0.0010307685495869428,0.15050742549194718,18.365444267150714,16.144649862551507,5.885427963774339,1.0685346913933198,71.50780807293185,0.39218267104815524,0.7659644422302271,1.1671062466184814,2.3252533598968634,703.3053756014722
6,6,151,17.36111111111111,471.06713894270547,25.626243860009314,3.6276217187855315,0.4483748802958674,618.2482963696847,29.11073873194962,1.5806320241619065,0.0011243180539408,0.10966321188955101,14.976801502824532,15.33593852149566,5.175444747276388,0.8888728658710454,71.13038492191194,0.34594526920321295,0.6539968182805953,1.056461808864975,2.056403896348783,702.2093551458222
7,7,150,17.24537037037037,473.16966814742096,23.48311027136282,3.108143141528854,0.39291211336286674,631.3580284244381,26.335966704796217,1.4600703067372325,0.0010810471203680284,0.10640924993877095,14.594130870077965,12.746902148546488,4.707950604871557,0.7817134479659797,71.58205436912738,0.3130406271709507,0.6204798064633356,0.9097415260922457,1.843261959726532,706.3255494203958
8,8,151,17.36111111111111,470.42271770361464,31.75341974213785,4.279147191129193,0.5463411597813618,561.9010821998859,35.95502537336208,1.7777295976083303,0.0009296672550592308,0.13495207213817684,20.29986043231933,16.877657090177472,6.350390910138928,1.1045311217699372,67.65359230131558,0.4060990482779901,0.8588665484151546,1.259943722107886,2.524909318801031,663.2061154441851
9,9,154,17.708333333333332,470.93120420114656,37.44397059372811,5.101011240721906,0.6668373943162206,551.4640713909477,42.33860630354367,2.2945044477030136,0.0008673652121636684,0.18310335850644827,22.797996213063417,20.88761294560038,7.474870228020867,1.3455984970140416,68.69857278547249,0.4919939961367013,1.033009236689462,1.466814530719345,2.9918177635455083,672.19287152886
10,10,155,17.824074074074073,473.95488787471055,34.9159326380393,4.71604366902315,0.6230849240368515,524.1611523067396,39.20827271242727,2.321310654322412,0.0009454287775004992,0.18982169685652925,21.02241948094231,19.441510386594643,6.9658312771635815,1.2487743720284956,65.03000190630935,0.46569587314156985,0.9355103192519495,1.349362785301543,2.750568977695062,636.5432490437043
