,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,194,22.337962962962962,782.8726481104235,16.359328922255536,2.650565973655432,0.3990357796540493,417.81843352347965,19.078396306885068,1.3349559539010802,0.0009639189454477813,0.12951744811872032,11.433803717028688,7.582624171005285,3.2790580331147248,0.7305628183719709,47.81011910063469,0.1908090901997102,0.3917928650159012,0.5771616950100595,1.159763650225671,470.5232064996127
1,1,200,23.032407407407405,783.0160293990069,22.79337835965689,4.1842455878047815,0.5838826305971171,394.72798976657594,27.26130685623604,1.8511282282383619,0.0008910793454695983,0.2003039622800911,16.326897339069422,10.76873796491672,4.595235061594281,1.119657723642947,47.98631573049472,0.2741860984160693,0.5352459769952981,0.7641622659043943,1.5735943413157616,469.6603515622044
2,2,190,21.875,778.8096656924442,12.97797831904597,1.8748404985744278,0.27496610799367965,489.09809651108816,14.808503496966651,0.9975063532743568,0.00104709935034713,0.09406698153358617,8.531988882742546,6.3758878486395565,2.584385990347837,0.5271918884130774,53.6167343399571,0.1521439779148554,0.2913849376163658,0.458134654719631,0.9016635702508522,530.5161346654786
3,3,196,22.569444444444443,781.5009145069143,21.602474755518685,3.334348749505867,0.5013665588125402,399.7957829542846,24.948695217286627,1.7575737286903934,0.0008361679480836915,0.16681044130434883,14.371556794174378,10.49694983966119,4.32123338034967,0.932786066176351,47.88757817773068,0.25119571418518555,0.5268193278699732,0.7181454434731217,1.4961604855282804,469.35501834506664
4,4,191,21.99074074074074,777.2480119552736,27.25889622229202,4.205708468356828,0.6332119241197547,406.51150000610716,31.629118257781016,2.0403431405819874,0.0007952643150157761,0.19225714007498837,18.8739756658306,12.965263341562599,5.483438461041783,1.1397619619767507,50.637697420001935,0.3113151296017815,0.6840379789606846,0.9363359039935145,1.9316890125559807,493.9919832007659
5,5,198,22.800925925925924,779.142670350709,23.83907828655047,3.8915824716784027,0.598705859479844,410.59615496692294,27.829586267869697,2.1139791088932802,0.0008644072990619323,0.21577164063803936,16.422770039298694,11.742938561093021,4.693224820849223,1.1747968185977393,49.87608068193015,0.29051386459233924,0.5501635363103309,0.8700368934483687,1.7107142943510387,488.4073975042226
6,6,197,22.685185185185183,778.3234169727679,12.961168304150384,2.040240467598645,0.3067998347243488,427.561029292208,15.009022188682586,1.0813365346908441,0.0009008667579740252,0.10417443761011445,8.705983719739486,6.04331458963904,2.5862603933749035,0.5737307352564438,47.50892378368788,0.16050570243711454,0.2977850892959143,0.4408391943902774,0.8991299861233062,469.16710763081664
7,7,189,21.75925925925926,777.4021113761293,21.878104481519674,3.593737318563628,0.5307386187254737,401.3938677206228,25.670924217518007,1.6332483317918176,0.0008796970197502363,0.14289927169459232,14.767231653520984,10.2796865617277,4.410238815364019,0.9475053720632389,48.20730790708931,0.2659143417421436,0.5477296057835616,0.7692848386797729,1.582928786205478,472.06475919281615
8,8,194,22.337962962962962,780.3003358167821,22.48496207093026,3.2894401543019454,0.4959682384391102,419.506729640563,25.91457028683379,1.6210182790335532,0.0009547838461542279,0.16499498095401532,14.77505150692179,10.90010726510954,4.4786590333095315,0.9365461462499753,50.12924359978363,0.262706645883091,0.5290981154988921,0.7684050842991987,1.560209845681182,491.35416072525203
9,9,189,21.75925925925926,781.8955180957903,12.500424015035554,2.061933366402668,0.3096557992249235,484.234254424266,14.689379369061621,0.9481138648742784,0.0010699761158005556,0.08551641438148895,8.232732517952536,6.168357427878662,2.497352767157097,0.5771158290723019,53.04209077705308,0.15161504727043643,0.29785223505068303,0.44190949614409375,0.8913767784652131,524.9645500319355
10,10,194,22.337962962962962,776.7510409537252,19.108224671558848,3.1743495672089184,0.452518638306732,396.9808587274041,22.424368001461957,1.5144296288390173,0.0008855164691787744,0.14853559137718148,12.97682488247278,9.297885859117747,3.8205900079506567,0.8840910199877768,46.74412304511686,0.23669126271474805,0.42403055288741653,0.6439256913133662,1.3046475069155308,459.1113847365977
11,11,196,22.569444444444443,779.134259246195,16.95078686338563,2.985542011919662,0.433249485957222,407.9676752213918,20.108337222746943,1.382921667196681,0.0008738649763817538,0.12503154181338139,11.83964932034483,8.058876970799917,3.38536330378265,0.8210562506685927,47.09197945137369,0.2015878287570292,0.40189106597208557,0.5895928884366517,1.1930717831657665,463.4127861878047
12,12,190,21.875,776.652373085339,15.642323410027364,2.3834796101977966,0.360502412456564,428.4367993323047,18.135652887769957,1.1534357576126981,0.000885434579943416,0.10363638894688391,10.238590319405882,7.7373791493478645,3.098238016287939,0.6889771216945332,48.56462043761927,0.18707488028287284,0.37593416855677636,0.5566667857166706,1.1196758345563198,478.86098535578265
13,13,196,22.569444444444443,781.213537576119,22.33360840809937,3.1982039353398157,0.5093742025177941,406.0565694972585,25.68124276370312,1.67414497506267,0.0009061820358317704,0.153285384748844,14.922094191319749,10.63549432414579,4.402937404724778,0.9728269136251666,48.72501769374365,0.2566678734435177,0.5222330889261113,0.7672674765937492,1.5461684389633783,477.16476243022504
14,14,192,22.10648148148148,778.0540979770832,27.896686191194576,4.324001293657581,0.6272290792791241,423.9962753491412,32.43352759824011,1.994822283672317,0.0008482810792433165,0.19950672001259456,18.471153209408428,12.991271119627404,5.513715574056481,1.2455737154913389,52.61410669315533,0.3313747580017567,0.6986801576743407,0.9866761436388374,2.016731059314935,513.2401882647669
15,15,198,22.800925925925924,778.1191560274573,19.719888780955348,3.222778041309346,0.455818986239741,412.9381535896916,22.977761729061008,1.6148101731696156,0.0009478996934497296,0.14976702126438202,13.629748682947568,8.72623583637712,3.8916072670992943,0.9253873038070921,48.54646485544765,0.23501909352281883,0.4755845236938714,0.6944450115001789,1.405048628716869,476.02820525738485
16,16,199,22.916666666666664,781.8547888151783,17.487438904914207,2.8690565214617316,0.4065975469774137,410.11384928175846,20.38343569643684,1.4402661095155416,0.0009021223540188144,0.149582643278449,11.604441986559921,8.305186092792345,3.442986481397917,0.8359741713330762,47.43585599986958,0.19331681587942598,0.4043674563439082,0.6046385413260962,1.2023228135494304,466.6375983857694
17,17,195,22.453703703703702,780.6454479282902,21.098407261170358,3.5655214381677003,0.4659208824738985,412.23033913938264,24.65715908493413,1.6991206602487856,0.0008920175854699153,0.16636815059292645,14.359552669527899,9.672869709798299,4.217977116573936,0.9602349498553556,49.01268202569396,0.24095194956293126,0.48459800410670717,0.7944358621163514,1.5199858157859898,480.2547962265695
18,18,203,23.37962962962963,781.1979157566119,16.206045468732906,2.827394707488847,0.40282125927310153,454.0574462528306,18.96883227877611,1.497173950339607,0.0010405533480889796,0.1445770014165723,11.281611403836475,7.7268013490112075,3.307164428703754,0.7130345015296833,51.42177225532807,0.19110126800163627,0.3942410022092589,0.5517006174808485,1.1370428876917438,506.9893746391422
19,19,195,22.453703703703702,777.7915286873017,21.852881255528857,3.44683420867985,0.5776206881169086,406.9624601291611,25.644535482099087,1.6667773414453146,0.0008465836087356498,0.16204495242259814,14.769810961208554,10.546258926645502,4.400334853947054,0.9593749314290907,48.75794142329577,0.25915713057508954,0.5188716798658396,0.7877211878943131,1.5657499983352423,477.7857193514194
20,20,190,21.875,779.0561873344501,16.538839863002586,2.6789694486275932,0.37011607496050525,412.99814403517615,19.14237762356048,1.3795092927221069,0.0008343272972860265,0.12926846248218385,10.932895961128501,8.398542704581516,3.29880436038208,0.7355989987241335,47.37009808517495,0.19483093763246084,0.39672859070435595,0.5660051269688515,1.1575646553056682,466.8285698468223
21,21,196,22.569444444444443,782.7929781512479,17.77063607304962,2.758248644658815,0.3623141868347661,414.9113147574249,20.41914496259658,1.4248440879275555,0.0009218749508491245,0.13243361112899676,11.739434071710086,8.134616135693133,3.5195086333846084,0.773705743329764,47.97434551685412,0.20411598528356895,0.4191354490873447,0.6280699507572528,1.2513213851281666,471.45901009610776
