,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,186,21.412037037037035,883.6109837157582,15.9664157584157,2.426875343239987,0.35497578570240185,265.3755409572739,18.37291444108555,1.254904214134214,0.0005499355884117296,0.1090877063208379,10.112662106892692,8.292308343966129,3.220173150353446,0.6481755514507853,32.39462112220764,0.19236844917466536,0.40098253653741434,0.5947603743922943,1.188111360104374,317.21003254763576
1,1,186,21.412037037037035,876.3793415288526,18.49415075800262,2.582954205751379,0.3748762329256908,243.94824587700006,21.10388039306806,1.324915608265217,0.00047972983999329234,0.12402803899544405,11.992337233463877,9.448856524094772,3.6483111357786413,0.7631187603100795,31.094918474452367,0.21875429799917387,0.4467806029856182,0.665522416783023,1.331057317767815,303.1448745817997
2,2,187,21.527777777777775,879.2158879939743,16.412250714951192,2.712639677932946,0.361437637741944,256.97159103014735,19.143896839928008,1.2730523474945075,0.0005197286174112862,0.12050331308638323,10.532839077417828,8.415479580932237,3.3156219989119973,0.70292601070428,31.747650204846074,0.1860722613646973,0.39804301499463224,0.599878725822311,1.1839940021816406,310.61391288262985
3,3,183,21.064814814814813,883.5361079568376,17.107620957231582,2.5871312936062383,0.35274429178368566,261.7578142677392,19.647569755564696,1.2866350192712892,0.0005024458436554477,0.11925082363207881,11.69277151476716,8.106374158282053,3.426329140207559,0.6983974896286925,32.41963134881474,0.19493061541834225,0.4188301498192236,0.6236974059182092,1.237458171155775,316.32782781394644
4,4,191,21.99074074074074,884.3137785259772,6.9477642578207925,1.152530170197685,0.1765075836414224,261.8653585082001,8.168944552489354,0.5354631082011012,0.0005467970261502144,0.04980285029020848,4.751718517716862,3.480261603421871,1.3938545520496042,0.31646734511440533,28.757122251513326,0.08195795117926137,0.16776627052522314,0.25175480177197274,0.5014790234764572,284.58898035192925
5,5,185,21.296296296296294,881.7465734018648,17.709513481530102,2.7127450330572285,0.3944154160736299,246.9547469911796,20.498012247301432,1.2842828216709723,0.0004929940108671126,0.11263568940883668,11.553820783093393,8.562025762336788,3.506422951627956,0.7687261408185465,31.155279550607528,0.22142698278927417,0.4323616524682609,0.5998610947123241,1.253649729969859,303.7576692589858
6,6,195,22.453703703703702,879.2554534343946,13.425322640710142,2.0693696654071974,0.2985783694964699,255.78453348167463,15.482921056655373,1.1093777293890545,0.0005438644439321514,0.10787870799462626,8.968518990910942,6.731323472932565,2.685413212827457,0.5808044040209815,30.510338915109063,0.1666327918199476,0.3168171160622498,0.4957491406697756,0.979199048551973,299.2552656541044
7,7,186,21.412037037037035,881.5920346204922,11.045322090622864,1.6506524609762523,0.23554171643851085,270.8509670035868,12.649516773529314,0.8382899182211048,0.0005960742264297113,0.0845613930283069,7.007335917242714,5.597290613985073,2.1826810886320964,0.4757489298004178,31.11254758561319,0.13548755730893206,0.2564802078224773,0.4095130159586077,0.8014807810900171,306.4126488441372
8,8,185,21.296296296296294,880.0306725558206,11.121772983165746,1.6506847088319003,0.25048858558204684,291.7320861468642,12.731074987323357,0.900995657674722,0.0006070222049020115,0.08289242017524469,7.403611338618042,5.329926029141482,2.18890466407217,0.4919455758178809,33.228245660676585,0.12638859463934363,0.27544896415942854,0.3921306466058816,0.7939682054046537,327.27534698625846
9,9,186,21.412037037037035,880.6544576221372,10.330737595080338,1.6177688384788076,0.22455836865943415,283.9629501347498,11.911138166729362,0.8027548489962517,0.0005935689806740144,0.0715579790404464,6.804882185838424,5.0498656023328925,2.057814041265302,0.44500944792811364,32.18105035111632,0.13016279213052834,0.25236539937928737,0.371587229520128,0.7541154210299437,317.22886401327133
