,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,183,21.064814814814813,581.3622536020499,31.717985182686796,4.936280310013486,0.721107953228915,583.4157757790662,36.60614235037352,2.4913930808529465,0.0010936944926412961,0.21262460898196212,21.335416781902488,15.185788257953726,6.347373859886243,1.3384475601081667,69.98304386681185,0.387856683285451,0.7625296874178216,1.224905600939603,2.3752919716428758,685.3493046092874
1,1,182,20.949074074074073,582.6774487446636,30.278784132622654,4.119615170455472,0.6375384564326882,574.0910591018301,34.28306274028229,2.2268683955694204,0.0011829169659581034,0.19782972765624074,20.570466147349126,14.184289871466028,5.929696245643841,1.2538851624936287,68.31786916724604,0.3633014426318207,0.6939025535931246,1.055836717906277,2.1130407141312224,669.3168526355495
2,2,195,22.453703703703702,581.9746939358592,31.281514515134727,4.9258675564644285,0.73563867795493,605.5332995493376,36.29363414432717,2.531692838253692,0.0012996587506496626,0.2412608968477128,22.261056443058205,14.108974902580112,6.139147057788443,1.479223532204681,72.03076509382113,0.36877579721759274,0.7578089232471248,1.0883034534163902,2.214888173881108,705.4864415035253
3,3,188,21.64351851851852,579.3039301183151,20.463293362666185,3.1994276772722543,0.4444877673402132,630.7309327176808,23.586485529056944,1.6050480495283308,0.0013390549056561038,0.1582348222156973,13.080059084475925,10.666800482843675,4.099465441789188,0.8599862321781353,70.5744305378127,0.24906607546908224,0.5138345010163214,0.7387850471832835,1.501685623668687,697.3171867611458
4,4,185,21.296296296296294,579.5162554502201,16.689764119431032,2.6680549912717675,0.3738780294105229,584.8046207719636,19.384241620189055,1.264485361570547,0.0011513342060936146,0.11888417954449644,11.12954530863461,8.599537002748914,3.354758570919659,0.7042678735683737,64.61413191177397,0.20401338755661202,0.42084542047297574,0.6044350651415342,1.229293873171122,639.1929377279952
5,5,185,21.296296296296294,582.5731584187592,21.08465794518342,3.3462740616423683,0.4644789446866806,567.1771268789741,24.34345095229664,1.6368366346811676,0.0011009219484696576,0.15302312660568348,13.998143838141901,10.363380547872234,4.191897995418145,0.9203204543264806,64.45548253113768,0.25005372131660136,0.5098384154670541,0.8070339207233297,1.5669260575069852,635.2494745211422
6,6,186,21.412037037037035,583.0534316057405,21.037711224036112,2.9051283201068934,0.4397082459706681,637.722554529092,23.856075406491104,1.6045261928173065,0.0014027099442015904,0.13917549751637837,13.866523287254767,10.210212708202786,4.096717796229289,0.9104543963926682,71.38365143010456,0.25446092939978926,0.49347108422281405,0.7685912050737311,1.5165232186963344,704.4401902454956
7,7,191,21.99074074074074,578.9137830750686,23.684308396547134,3.532237071742519,0.5079340133784466,528.6870857799421,27.059085982538072,1.8555276512376226,0.001087616170529283,0.16744824444355072,15.627475571647086,11.382078643764329,4.631947370553288,1.0458247182842848,61.47644227317553,0.2853303514574914,0.5699930932833878,0.8462849391652773,1.7016083839061564,604.2561738725078
8,8,189,21.75925925925926,580.8786801886273,28.225687803773326,4.452840190412497,0.5885285055577969,610.8527531157962,32.594833089042965,2.135660439607313,0.0013204708108747998,0.19666285344367473,18.8922034236738,13.605937058226273,5.579610127783537,1.23313083447412,71.37985966126823,0.33188147695359954,0.6590480369945597,1.0068723256082384,1.9978018395563977,701.464766328485
9,9,181,20.833333333333332,578.2336529825704,36.885392200349415,5.6726065707587825,0.7711849824276792,554.9315108814678,42.47695176838083,2.7057450678366384,0.0010513581236361717,0.228190563846874,23.840274566094074,18.58890945366806,7.433373948802373,1.4567098289456268,68.95098368567872,0.4599886042076812,0.8865416219618677,1.3177412882213833,2.664271514390932,673.8158981389985
10,10,183,21.064814814814813,580.5155985899409,27.698016585308334,4.150692344396941,0.6228127141308348,513.7734355564578,32.0207908988242,1.9850061746817824,0.001044089068367412,0.18972491949295,17.9229512074565,14.427857031625084,5.466188090831992,1.2137754190918262,61.48755402341924,0.3213416176916307,0.6675858591896361,1.0124219149939362,2.0013493918752028,603.5506932157854
11,11,185,21.296296296296294,580.6359250518514,35.91871102095458,5.521489442218964,0.7367551902785286,532.6314591550961,41.01367139620307,2.8966162018102466,0.0011381282016673737,0.24549776638580398,24.32705501217714,17.1381191649454,7.105017315338205,1.5316414216439032,66.33614550847187,0.44774528562793225,0.8537280904223814,1.2575258781457663,2.55899925419608,647.2991154572725
12,12,195,22.453703703703702,582.6906088738787,19.29500159593684,3.173367879141429,0.4877179187221541,663.1595747936993,22.77869118159022,1.5361672286808965,0.0014374703761325996,0.14422963348763096,13.294358288875271,9.414151920369756,3.8578286487715148,0.9049761154773253,73.47025622291389,0.22946625902857581,0.4574122126057484,0.7131028001881546,1.3999812718224787,726.1531256580756
13,13,185,21.296296296296294,580.1627716582434,31.641932439388327,4.60190074281534,0.701538795946242,522.7526844048421,36.215350535277395,2.37496792119395,0.0011265607096625746,0.21704506172662236,21.82492873536831,14.654341239977553,6.303162617283542,1.301661329068212,63.78633867615702,0.37538611204743755,0.7433610013148552,1.1298984787050594,2.2486455920673523,623.014357240296
14,14,192,22.10648148148148,581.3289962218422,36.599809360385144,5.5342174930951105,0.8349768322205454,567.0552176602038,42.285382899991795,2.7549828503986773,0.0011991483207410508,0.25692491876686474,24.448507874305836,17.24044865428146,7.225627157887535,1.6310812078182713,70.0891149078685,0.456175687997755,0.8737212055032809,1.2970844401468529,2.6269813336478887,684.0468495170179
15,15,186,21.412037037037035,580.1227416761903,24.202285818014126,3.7607625946313354,0.5180861939236865,558.3560413482719,27.860448855408148,1.8476527464776507,0.0012077120879424024,0.16563340486440467,15.762311070189721,11.607460371234147,4.841469352786517,1.0029759687273985,64.69172348471155,0.3036057651594747,0.586687554102743,0.901965609734824,1.7922589289970416,635.9562832954242
16,16,187,21.527777777777775,578.89003130019,27.766389695084552,4.46942162228421,0.6285969334295013,582.8548286035757,32.24888792137975,2.2273915913457,0.0011749937765973073,0.2142374715455687,18.500266989276188,13.540786726669587,5.589103553505811,1.1994296262644268,68.51729817851951,0.3303717379091705,0.6896896583508911,1.0000694185376222,2.020130814797684,672.7603795536589
17,17,185,21.296296296296294,581.4353720529665,29.280983484492353,4.925156188688312,0.6766199638534572,538.5795248844447,34.21367151931068,2.283619019903347,0.0011770066936003646,0.19220729456191935,18.973660257657237,14.894645867124103,5.927243781453941,1.243902860597677,64.64947033973733,0.35747454274797186,0.7036628587542392,1.0366591463523975,2.0977965478546086,634.3165484189788
