,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,153,17.59259259259259,471.35100964082676,25.513143432586,3.295406290950899,0.4377322028815524,607.7079715239485,28.636887361276194,1.5516776947923443,0.001052623141529854,0.11745806627490216,15.65029450297902,13.596647654917156,5.076912286581334,0.8881923075387959,69.95914491486532,0.33078711482121587,0.6756944714461549,1.0296663685560736,2.0361479548234445,688.8592293997126
1,1,153,17.59259259259259,472.5182186679393,36.25357820244083,4.899925890045255,0.593865592168673,531.826801982381,40.57243565831187,2.4216912381986506,0.0008922500217967108,0.18280658911413067,21.770266771550155,20.14845607361399,7.197559449614418,1.2912346882056722,66.24660463849281,0.4974529737067008,0.9795380778231114,1.401107379350552,2.878098430880364,648.2673460449965
2,2,152,17.47685185185185,470.7035746005479,25.335892696196893,3.144722591226921,0.39635158438876184,606.7085983679818,28.160681168737543,1.5022711141939882,0.00112275003644743,0.11730079503611174,14.541078849320627,14.338983021732718,5.039736013194538,0.8238164271377278,69.71639167078165,0.32067372840570213,0.6468749498575113,0.9972698794080225,1.964818557671236,687.5342950875347
3,3,154,17.708333333333332,473.29593361321463,22.953004740840587,2.9775834568384436,0.37564222249144386,592.8044597020745,25.63968052046797,1.4581541506996816,0.001066796208542634,0.10930445818510354,13.718119419916514,12.73575855146254,4.530758580576164,0.8192576050210305,67.52270730763098,0.29476425506873133,0.5916429802685373,0.9225160305484079,1.8089232658856766,666.2135940507516
4,4,151,17.36111111111111,467.6627063919074,30.329139820964052,4.004627757642688,0.48973667162582923,571.9629007851419,33.974215285106204,1.821434306170546,0.0010363539709502903,0.13566463325328112,18.2335088032386,17.25049666205455,6.091269707694512,0.9897131456191813,68.0918195145193,0.406681913562417,0.7851540643602433,1.1767476602440408,2.368583638166701,669.4188187674102
5,5,153,17.59259259259259,473.64610937541426,29.039069523624303,3.664421262149042,0.4967430712732736,588.0432604097388,32.44258558207191,1.81196107557736,0.0009763788788067216,0.14270754022909635,17.008158216685427,16.497928397733013,5.75281397572462,1.0112438201566272,69.23182857623988,0.3694678330858713,0.7754661685498103,1.1566956560077142,2.301629657643396,681.2053406948005
6,6,149,17.12962962962963,472.8102527130573,20.511016893246378,2.7730124113305097,0.35240231884169637,637.536785660862,23.146601609852414,1.2593029715537487,0.0010656571759852676,0.09627467339632154,12.69169107200417,11.339741667434426,4.130602917382312,0.6894551952698474,71.1687483221859,0.277934326978906,0.5544854609266959,0.815792194284971,1.6482119821905727,703.4844739585363
7,7,150,17.24537037037037,468.8433242868097,31.367178743475915,4.181895355137845,0.5157045231010903,552.2968341296089,35.2764312002436,1.9152700705609902,0.0009017055774549436,0.14499822331947557,19.172769769167544,17.504983238235663,6.257488459271999,1.0923132077784934,66.56044797180387,0.4131299385296057,0.8377047901152905,1.3074835060365753,2.5583182346814715,653.1123170909927
8,8,151,17.36111111111111,472.5439711628832,26.219926895643596,3.6617586067433856,0.4962622572969196,585.5263460674086,29.722567331878025,1.6940523331673014,0.0009908881301287237,0.11654424013791186,16.088670212601237,14.962731187544444,5.324108630351176,0.8820702169774347,68.06782346546623,0.3525658849709205,0.7012515627526306,1.02805322449582,2.081870672219371,670.6892293274983
9,9,153,17.59259259259259,470.9508106668266,24.44113308811438,3.226341772568789,0.4666854543261914,581.0708368635693,27.665678426678905,1.4299746764907004,0.0009593598438918479,0.10810399852711235,14.07561159479828,14.389504111605845,4.895095071107681,0.8490182079475932,66.94353384406433,0.3186879386012491,0.6473265178042806,0.9982993915965653,1.964313848002095,660.5076448787823
10,10,154,17.708333333333332,471.6821336822197,18.651010693110493,2.558901288791528,0.2989362385203639,598.524290557927,20.906613710454096,1.2341514807929428,0.0010098832527958468,0.0951968329036268,12.08622523347007,9.843359728425842,3.765066521558622,0.6144806586441566,66.59313709929533,0.24538582449322854,0.5044444552537504,0.7533812171888145,1.5032114969357933,657.9962290913172
11,11,150,17.24537037037037,474.01179078387776,24.367329454233303,3.083100943843915,0.39986248611254105,582.7048566788328,27.18321869499946,1.4900590426183111,0.0009549554618652974,0.11108885040742279,13.719496060932922,14.395751516424198,4.798032314635696,0.8613660568076429,66.99212804599304,0.3069129248051003,0.655046162607909,0.9335289769600313,1.8954880643730405,661.2911090587505
12,12,151,17.36111111111111,471.75188043081647,32.5329970206313,4.386554896204146,0.522362678121772,532.6347768364624,36.39338487780888,2.118480034260681,0.0008676457797636557,0.1632587712430429,19.962689782145443,18.069933997655827,6.500245814734586,1.1141305574489841,64.98156024792841,0.4365399073850789,0.86657166122585,1.2738777951329174,2.5769893637438464,637.0139824940952
13,13,151,17.36111111111111,469.42099380198385,28.11925845986085,3.603274086037883,0.45798162394429803,603.9151155680488,31.544140251739993,1.5797993478140415,0.0010476246568664662,0.11128746226688392,16.871714637041354,15.756652796234215,5.522242632961982,1.0157083867261478,70.47086049993108,0.3548941812043343,0.7487742062932733,1.1068530593265884,2.2105214468241963,693.8370296871162
14,14,153,17.59259259259259,468.9906367886169,19.434051617336145,2.715636050647644,0.35598656196306344,596.1411475913416,22.145556153450414,1.1179308323155523,0.001038223909769014,0.07960722681030855,11.775115233921973,11.019910709574356,3.8681989297476203,0.7205672254877823,66.66650200341365,0.2514488163284136,0.5408606834147823,0.7841024011976135,1.5764119009408093,659.1760430235249
15,15,150,17.24537037037037,470.9736912322151,33.42270916083028,4.396233942889367,0.5129168559529473,511.8594410808939,37.42550507081111,2.0021466798162297,0.0008322275181650381,0.15302074531744966,19.350735627580296,19.583803143046687,6.6815247060549074,1.1070714136111148,63.18274661516024,0.43355884604866335,0.8792454233895529,1.3112426133550876,2.624046882793304,619.7692519095353
16,16,151,17.36111111111111,472.9833478367822,29.66582547419903,4.029623644109218,0.539462749717363,627.0578835604351,33.43545699124444,1.8965556752351904,0.0010583447759067205,0.1432261396890655,18.6339180210792,16.196217041742692,5.982665692149208,1.0052093795978694,73.444805913185,0.3823241667438137,0.8037826713236212,1.1913475194310181,2.3774543574984532,722.3306390503935
17,17,148,17.01388888888889,470.06798793288385,22.53557892665349,2.9450155571545813,0.3580975376357967,567.0277285249069,25.267830658195347,1.313595823933397,0.0009470302692759785,0.1025962827727681,13.619722247737284,12.581675637153433,4.5057640933383905,0.752296753595904,64.80473664716607,0.30073291982710626,0.5775094215784519,0.910682067914817,1.788924409320375,639.1800512349296
18,18,152,17.47685185185185,473.27053864624486,31.049583262015595,4.012507003067474,0.5013659648522414,587.9801253461234,34.65655275963771,1.9139772232620609,0.0009446636170060531,0.15257939276883456,18.92407897623754,17.259353744595774,6.1295613904521735,1.0935258106477597,69.9320288854054,0.40812226640604254,0.8225401979059858,1.2116733644502562,2.4423358287622845,687.1924123898023
19,19,148,17.01388888888889,468.3761633908164,42.05507630971993,5.600445953060257,0.7082807185558591,532.7630578825266,47.312242476142714,2.4642198444640475,0.0008315013282536759,0.18781942416685954,25.136357765029373,23.603926285824144,8.376044418526426,1.44899074216283,68.4282416281852,0.5828769799004372,1.1209177075267822,1.6943660649099885,3.398160752337208,667.9190963088153
20,20,154,17.708333333333332,474.783727607199,31.108165781752735,3.961127200793925,0.5266756739464701,569.9557520150433,34.691104088823494,2.0079065876143845,0.0009115457361954099,0.15987649489029274,18.259839117239906,17.257517109704064,6.245754415371209,1.011390243440319,68.16951942596413,0.4146847064429294,0.8225483755674227,1.2051396073017244,2.4423726893120765,669.3685538464285
21,21,155,17.824074074074073,473.05276967697586,19.830336286506036,2.9194328872851916,0.36771287791309537,552.3900636023268,22.69063078611021,1.2549071295579537,0.0009498143727743237,0.09019289675871263,12.241419033495417,11.147593839901436,4.048546432201761,0.68562709784039,62.48711342763418,0.26631678135553194,0.5552200855242694,0.7872507352679258,1.6087876021477272,617.0347812529221
22,22,153,17.59259259259259,474.47675086179584,34.34468239869711,4.297652109447947,0.5852166743514242,512.8365699080437,38.376832359746075,2.1039869683736816,0.0008746329329154017,0.15171081204320036,21.523869039853075,18.57995194140983,6.808834716332259,1.1908295203796018,63.61395315540234,0.46363185121464134,0.9158732277806181,1.336142460448417,2.715647539443676,621.9927895812012
23,23,153,17.59259259259259,468.37551760245304,25.178050903511146,3.1047107803668905,0.36844651059803724,536.8380999867495,27.838058370471796,1.612994250560804,0.0009061021681280804,0.11768892267189159,14.94268563624494,14.387095714676983,5.009203134508684,0.8133209050325965,62.67811971397559,0.3194743517896394,0.6439373288274005,1.0183476691049058,1.9817593497219457,617.2503349310383
24,24,153,17.59259259259259,468.8059238503419,26.99231603268552,3.702662255442573,0.4369291776650737,573.4338777638952,30.379817083974967,1.653851711096997,0.0009411392565974685,0.11944365416466289,16.751647904555746,15.009651925450372,5.351760418358296,0.9678207835488546,67.06569015212912,0.34617403330845614,0.7091411543717661,1.076471389786118,2.1317865774663405,660.1808585230054
25,25,152,17.47685185185185,472.4114119805318,23.116345245114797,2.889157197331613,0.3696399368865042,584.6487357308208,25.696110315175776,1.4206996940697698,0.0009089074669485176,0.1082888034659519,14.206839439304268,12.658425366951565,4.596679395603662,0.7606423003659538,66.74129585784966,0.31066100708817396,0.6088180967247901,0.9213271516005827,1.840806255413547,658.1064391486669
26,26,152,17.47685185185185,470.5933852047057,24.502911232563626,3.2857517657844473,0.40295268652220056,602.9523854162699,27.420014303504896,1.6382498087338653,0.0010339388485668059,0.1150102691741343,14.626775003260342,13.857114969765469,4.924084787127712,0.8140662760489644,69.12788693650843,0.3305443285077709,0.6506781461582143,0.9709175509352312,1.9521400256012165,681.8657154799452
27,27,153,17.59259259259259,473.34209354240943,26.56553013756738,3.346711955569186,0.4286111610288526,544.2718026420811,29.59321710463253,1.6049088721759632,0.0009430392969822075,0.11231155977138384,16.25923468247409,14.222203463340144,5.266754327680681,0.8901649998111691,63.914419776052114,0.3321428300690531,0.6908128452869147,1.018763023418031,2.0417186987739986,628.3448779617295
28,28,151,17.36111111111111,469.33550034293745,25.22993750403891,3.1552238354796907,0.4084813774096606,627.4632128456052,28.033872260870403,1.568881246857422,0.000973343236750206,0.12534487182991233,15.375393469141455,13.769528156410654,4.9249644411354065,0.9202095541064154,71.78284671853343,0.32908055796145697,0.6783342637164256,1.017911506586322,2.0253263282642044,707.6259557652448
29,29,149,17.12962962962963,474.18962265862797,27.929550411184515,3.6441813000595706,0.44213571294746784,572.4206624914342,31.243827326980202,1.7120527155852614,0.0010251969474249039,0.12263738249718073,16.533440886980816,15.723373773484171,5.5462822608875015,0.9662504095818231,67.28750538175177,0.3665356162890386,0.754336872667668,1.1214045444389782,2.242277033395685,661.994256014985
