,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,206,23.72685185185185,854.4943441782555,8.683268593028027,1.3925680790583224,0.22723157992331117,167.891966334081,10.141447872145694,0.7643505140456113,0.00040460649510257955,0.07815587596684188,5.908031273725377,4.052589981154272,1.7310660646783398,0.4123624317845006,20.000495937421448,0.10108403618677257,0.2059005081901406,0.2976940866767365,0.6046786310536497,195.98009056341468
1,1,206,23.72685185185185,858.8446190297404,6.380701996811497,1.064014350819732,0.1502577239305091,184.73304528750472,7.457186888844269,0.5314018072192285,0.0004434122635156031,0.0566594498561301,4.672483732582331,2.6244109627979864,1.2779659614937697,0.29093539413995145,20.824782278769046,0.07740994671259935,0.13942714935189787,0.22106046364369966,0.4378975597081969,205.00492079538952
2,2,210,24.189814814814813,855.0183926381857,9.489600592963956,1.3804199604892307,0.2339809182448782,177.27220589676807,10.862294117771043,0.8625052108701562,0.0004168878873907414,0.0905232907454547,6.765193419164941,3.9328557566990736,1.8801454834809161,0.4223280501560696,21.178661165275727,0.10494887644829742,0.20999187566792474,0.29114101353691785,0.6060817656531401,207.03335793172937
3,3,213,24.537037037037035,856.1642078786876,6.413323322952051,1.007450382810236,0.16876302386918307,177.05647919235028,7.501718415771809,0.564645347987887,0.0004055288898074232,0.059816975846196996,4.509688206069696,2.756562188905469,1.270999567515095,0.309500336400979,20.06900132019581,0.07537379993528441,0.14297350677337173,0.2105047076837638,0.42885201439241993,197.53851629769142
4,4,206,23.72685185185185,858.7468466249395,6.194897403208019,0.91041975446658,0.14992222979421882,183.97414953111306,7.126661469779738,0.5256081961621696,0.0004255037445213336,0.05466037948189608,4.1591862270578215,2.855838959021433,1.2109852314722256,0.2886195654431819,20.656876523515063,0.06842113215761646,0.13629467914377208,0.22063883466088696,0.4253546459622755,203.71754286964932
5,5,209,24.074074074074073,857.5349799132673,7.645387705067228,1.2633954262527207,0.19530595528863684,174.14049920144072,8.94950049085762,0.6654129989496368,0.00040443340302502855,0.07239336523752068,5.205263614625402,3.595977422659387,1.5419097569970317,0.3491727989379266,20.23810516331483,0.08558198849332802,0.1641969732045363,0.26062684657207097,0.5104058082699353,198.92976536336138
6,6,200,23.032407407407405,858.9824420165058,7.3575761890238915,1.2563400768888922,0.19073379556320888,151.78729805263555,8.675444130706715,0.6223471329242747,0.0003194160463050282,0.06424024103072475,4.933471578031218,3.525753284878402,1.4686154668535107,0.35794920737203956,17.914769659388632,0.08361649992284864,0.16844211095470185,0.27435824062892045,0.5264168515064709,175.83303384542995
7,7,208,23.958333333333332,857.8064032535234,7.013560528906783,1.104423687263396,0.1705704143850863,159.9421637013199,8.14409905373436,0.5755195195729517,0.0003850935955049149,0.06168074978740444,4.834032066229218,3.000143477128359,1.3893974804457399,0.32337629587799155,18.56816166016492,0.07564098287722634,0.16577901620913296,0.24286927612126202,0.48428927520762133,182.2096092772251
8,8,207,23.84259259259259,853.9906986726822,7.480389250764207,1.3245974675356036,0.19985096257064708,167.20894230271995,8.87983297929467,0.6625359309572459,0.0004011587469798222,0.06819213701515464,5.413283369061792,3.3252558538794026,1.514741730717413,0.3597969304926783,19.51062838615274,0.08180554421657889,0.1702905512894467,0.25443896387042253,0.5065350593764482,191.5310717640704
9,9,211,24.305555555555554,855.1768257072556,5.612804330077368,0.8876512423653394,0.14863335535935537,169.0300883225968,6.517801359951922,0.5166177022652942,0.0004050145487599061,0.053267044162324646,3.8825075943829024,2.4580312661046033,1.0992620172898244,0.27859280875215453,18.968451199264795,0.06510280621338536,0.12091830579036403,0.1967276999822936,0.382748811986043,186.9859032754598
10,10,215,24.76851851851852,856.8100055639686,7.583355089344129,1.3926743048955157,0.21199642536280805,173.76303209219634,9.108769888408721,0.6893005877564397,0.0003906777022269043,0.07519069330906011,5.046936160916379,3.6600082338136697,1.5235041077000928,0.39077258224823413,20.221117756367207,0.08125847237445605,0.18270182228262072,0.2578650031151468,0.5218252977722235,198.92081998050944
11,11,206,23.72685185185185,856.8026376686421,9.950445230917559,1.5891311958044148,0.27502573263500973,159.96671047009983,11.690436824249854,0.8484623074930557,0.00034015076117207784,0.09340788560538531,7.2023327144139655,4.262228300291537,1.980977814313812,0.48402830966927834,19.69259590427069,0.11805082502748508,0.22970530767867206,0.3670142011903953,0.7147703338965524,191.85596455573742
12,12,202,23.26388888888889,852.843937327724,7.620390600822049,1.2406502807652193,0.19478298054567433,159.96937958968476,8.999914288952633,0.6012471845318591,0.0003398253089478985,0.06106146748324839,4.924289617049288,3.8456194567706463,1.5573430808677207,0.3315013736439613,18.8292905905884,0.09032968685447894,0.1852553257043968,0.2743214026715407,0.5499064152304165,184.97213654460714
13,13,207,23.84259259259259,854.9311328945488,9.856959063273138,1.6345502851869353,0.24720762724395887,159.29603020171157,11.654986987994034,0.7814212801612364,0.00033814299013624306,0.08448680863363897,6.751040462077059,4.424471711561958,1.938805178604141,0.4972104663490317,19.57486689857522,0.10782772047480528,0.22802051449750657,0.3415830593415564,0.6774312943138683,191.0938990480236
14,14,208,23.958333333333332,856.5491581600804,6.129102553883218,1.0033231797497093,0.16129126532847665,176.56143972221713,7.193330270241003,0.5107308114782393,0.00040113785766956637,0.05138053169615105,4.2577799398512886,2.824016869815853,1.2255518289904752,0.2861680307887093,19.921861297424044,0.07242988110712151,0.1445312781435699,0.21057584085484682,0.4275370001055382,196.37427320215215
15,15,205,23.61111111111111,854.4893799766184,5.018162157968153,0.848587589079425,0.12532133242904722,179.05132893818717,5.912444687529461,0.4079683297458577,0.0003875768672644594,0.04034337762340385,3.498833236277058,2.274760215559503,0.9943634274782913,0.2431230164893881,19.7552888729666,0.056125807101221815,0.11161126311772704,0.1681820794276854,0.3359191496466343,195.25270979860363
16,16,200,23.032407407407405,853.2975334408259,7.538863471625095,1.3060798389918278,0.1899475610871781,170.87241211255775,8.846585474927224,0.6798394179052859,0.0004008507604603535,0.06695397375655916,5.152683666858459,3.523401004599736,1.5247737598625042,0.34696901864725793,19.88285181326872,0.08302952402994192,0.1668108943345095,0.26525496448606,0.5150953828505114,195.41132186757142
