,Protein / seconds,Polypeptide / seconds,Amino acid / seconds,Heteroploycondensate(HPC) / seconds,Polysaccharides / seconds,Oligosaccharides / seconds,Humic acid / seconds,Monosaccharides / seconds,Inorganic carbon/ seconds,Lipids / seconds,Pigments / seconds,Porphyrin / seconds,V-Phenol / seconds,S-Phenol / seconds,C-Phenol / seconds
0,8971636.085461937,1960451.1028086822,877604.16367335,846179634312.8838,26494088.000397015,7920394.403891693,25027934.178217743,28104160.752925444,2755578.6048538173,1964203.3429829755,8478650.826033317,8399521.13198125,2687678.264504563,2616512.004804044,2608481.9954125024
1,8733551.319470832,1905755.0378406513,846908.2919906522,825066976819.5234,25987022.170032807,8369869.757659387,25966548.202529382,26384342.019425407,2410527.2950275675,2130555.736432798,9041598.151273293,8525998.101714946,2763334.1924184607,2509545.0921796127,2644186.057280514
2,8019541.294268345,2162493.9198013903,809024.6422348468,914858265207.3824,25326574.830969427,7459934.039962435,24367265.45077243,25670603.68896841,2550097.5240794155,2043527.7615393298,8298702.259834761,8081157.165807932,2547194.6121684457,2641596.0781334564,2591756.7226172267
3,8372012.581428085,2028073.9947133434,887320.0357861262,800384109892.5057,25680473.935903005,7711183.523162871,25881886.476028427,27255876.53136486,2662886.1202956825,1921689.1010876177,7894041.389039169,8689573.762409922,2383277.365793959,2651223.9744299455,2651516.2320653745
4,8928836.878473788,1857883.3268791072,837760.939267148,833133984897.1854,24660966.134428017,8073486.103689465,27019808.860790092,24928911.49246641,2587967.5947635183,1981725.6160122699,8860456.69889086,8781238.4863811,2453386.661192782,2553500.6947416454,2511571.8792754095
5,9237808.826035602,1926160.9466386356,872590.851586671,859749815563.6646,26649340.929194532,8287535.119045868,24558860.03172166,24040077.22363524,2609020.017663477,1904932.7856390052,8781512.446863424,8555927.73545188,2580914.2254904658,2774102.9761500754,2554256.4272797243
6,8497242.245693376,1973571.8232666496,855146.8793714909,872936280493.7863,28312977.848834682,7580583.341337007,27415217.79986473,25595725.53711754,2477258.686221162,2100076.7540001003,8624127.227144876,8291174.711782089,2650178.936605352,2567725.706167718,2424061.997836983
7,8247526.769812492,2010897.7310264953,820358.9500639483,901135043321.5094,26949122.221372556,7967767.698856798,26568540.265040785,26729056.76000447,2632936.099881928,2033145.7309059908,9410823.988820799,8882154.55926556,2528019.4433234846,2481368.206088616,2742591.4528039144
8,8655347.165825853,2087955.1511581077,940824.2952694617,876772306923.727,24192296.195631843,7145722.574522298,26261691.215625234,25101372.60032745,2497512.2029736284,1876490.850259295,8399585.418329284,9029679.78765583,2685063.5057101366,2380484.299229304,2459859.2448392455
9,8560911.438425438,2039970.1482418056,896364.2062120574,894686559663.9412,25643635.813953806,7810340.660918845,25351878.80006341,25966404.759807445,2701131.068809945,2013315.6143132779,8722671.59944537,9461925.139919702,2615739.062361312,2732951.501907096,2696086.820788319
