,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,153,17.59259259259259,472.83951362010424,20.817172583288613,2.6465957074779243,0.3477415080221004,570.5877305755337,23.285475428415804,1.2501857922833706,0.000991424419354424,0.09386060309773593,12.906606138400713,11.374232055521349,4.105863361872176,0.7358864053737404,64.52720397536216,0.27902912015638265,0.5495397756026196,0.8228368382834698,1.6514057340424722,636.8971411793482
1,1,155,17.824074074074073,472.2905620708514,36.07091121622815,4.717933284420936,0.634437766420626,548.9342503135337,40.55089633468612,2.2596663547326337,0.0009893825307453737,0.16227379545988693,20.61726041468851,20.88439288509627,7.228149995247579,1.225485388986134,67.89626872220745,0.49087003865869183,0.9279402338510908,1.436090288088851,2.854900560598634,665.5242872779415
2,2,152,17.47685185185185,472.48115680082475,27.035114758249975,3.990087491867118,0.45294569155502784,534.2873869065022,30.747400976645505,1.708662737398483,0.0008514626715527138,0.1353691583118438,16.250638841834913,15.588108809860232,5.419259813688842,0.9842495330303772,63.255980581829895,0.3593427052927973,0.7340731331515638,1.0890722483297437,2.1824880867741046,622.5319254265554
3,3,150,17.24537037037037,472.23130948460147,22.616220595343695,3.0884543626069334,0.3886814032760505,578.2072641824005,25.498524060112338,1.3840576394093815,0.0010425467885212406,0.10462478376509071,14.102310800915278,12.444537290939392,4.456573103620196,0.8490255009996108,65.98929061007912,0.2880432804794527,0.6136611245659477,0.9205487091512435,1.822253114196644,650.8612585834584
4,4,151,17.36111111111111,472.62324145792684,32.41669026655292,4.025708204363252,0.5440883660532899,587.6329734453915,36.083783709420125,2.063608535315797,0.0010244480476057569,0.1496138672862671,19.499970087360747,17.98885392440901,6.448617005468293,1.0914786428122516,70.3781415794444,0.41443975570001423,0.8489885475223601,1.2610552118364275,2.524483515058802,690.9709239301789
5,5,154,17.708333333333332,472.03233127148684,27.034967476756126,3.3257663294054867,0.4458347860114963,571.0702194745281,30.124611931284935,1.6243478667001932,0.0009813349782668687,0.11680589007696203,16.779722850414576,14.290241139341855,5.338869387614978,0.9285848122165241,66.78114592204074,0.35128595124191075,0.732183602668713,1.0473578008796833,2.130827354790307,656.4320577837053
6,6,151,17.36111111111111,473.82043781337404,18.85061621952555,2.522491880487448,0.32276023864814846,617.508069783818,21.329566888392762,1.0521576331461318,0.001030006295018814,0.0813345155637861,10.87822144448334,11.010109066819066,3.764562240683005,0.652869824657319,68.54095105507841,0.2543555002399405,0.49954867834486283,0.7238242741537856,1.4777284527385888,678.5732967507746
7,7,148,17.01388888888889,471.5075227916111,33.74213250034228,4.622852490191906,0.5614543028514022,600.5330029377014,38.18471476066654,1.9535788048649376,0.0009486428366377116,0.1406871064275597,20.124033405240063,19.569358513050727,6.87071501749181,1.0688212289682089,72.2736601537195,0.4490609426446956,0.888356881513852,1.4098863075236077,2.747304131682155,709.9955704370755
8,8,152,17.47685185185185,469.1045402869292,40.276497469761885,5.410952095999371,0.6826950759938677,526.6421964958624,45.051675467257084,2.613176631011319,0.0008756931899199255,0.21645733911039794,25.011210958670567,21.445894601053258,7.98005036882307,1.4444752906932845,67.14214208718153,0.5443080610079399,1.013037135567939,1.5509791400990771,3.108324336674956,654.873270865431
9,9,153,17.59259259259259,468.756292716865,25.67813568906836,3.481053722851574,0.4428743124443256,599.1367801181806,28.902182194931253,1.6025886063430619,0.0009844348843975111,0.12192571421400179,15.702690430237359,14.41425337911626,5.131619447128774,0.9008598306017761,69.2020128824944,0.34163820500861103,0.700519316019791,1.0428183093926735,2.0849758304210755,681.8982332801855
