,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,188,21.64351851851852,883.4496089079032,10.142368910479462,1.597057388566785,0.21608597185124115,276.9785752217303,11.601808244228138,0.8431176774250827,0.0005750668411991155,0.08675910044844741,7.058351130175094,4.660811146846145,2.0351922102052624,0.41985795328815534,31.414247235703478,0.12403138899163402,0.2415076928499589,0.38325685448896096,0.7487959363305539,309.3310048282407
1,1,185,21.296296296296294,882.7942723918985,15.010212847260876,2.3767210180367524,0.328396987263719,254.2342433062698,17.360679522985304,1.2000865154799172,0.00047471834733124824,0.10970133363109569,10.064999210558316,7.280433457766974,3.0628723120969403,0.5939263186043315,30.949796720444592,0.18431934290692709,0.3718936317883415,0.5606127052751884,1.116825679970457,302.67457401771344
2,2,187,21.527777777777775,884.4076476171568,15.898334672306847,2.44408011740885,0.3804977977373009,259.6092366391118,18.438184715640435,1.2559007847822223,0.000591815191406436,0.11682631508179732,10.8850293563073,7.371603564579239,3.229460620578186,0.6468593478114868,31.808527033275848,0.19256534775184084,0.3833043244243064,0.5800392179581171,1.1559088901342642,310.5474852803639
3,3,184,21.180555555555554,883.7636238091754,10.980749198994097,1.7473876877076662,0.24566031552199039,292.2986217662512,12.715911531114592,0.8784779482908465,0.0005765548862991281,0.0810495825924085,7.082615721537654,5.813200681479436,2.2350215382916008,0.44333612002688694,33.27125693265553,0.1308411718808585,0.26736739396317466,0.40470712449694446,0.8029156903409777,328.24290861549804
4,4,184,21.180555555555554,881.57359267652,13.830314335513371,1.925313462734488,0.3053136187949418,263.7381902339712,15.768269972548872,1.0193439056467208,0.0005237483544152395,0.09014132507668375,9.31900183184856,6.3635419784376,2.6988047462045053,0.6040671520910678,31.389121000119417,0.16613233051321394,0.32249959608528006,0.509545785145097,0.9981777117435909,307.34200219111744
5,5,186,21.412037037037035,884.3673868814037,14.60181573209927,2.248873627293412,0.3339864422276503,244.26881606777584,16.840053842461952,1.1451815797636102,0.0005186210096344338,0.10998826861541713,9.909342140177674,6.679918200577692,2.91518429748811,0.622568027144715,29.782304641300588,0.18227653036552127,0.3608284919281518,0.5401953918889101,1.0833004141825833,290.85020512063994
6,6,186,21.412037037037035,883.5543243996799,12.73975886136022,2.013547862957728,0.3032755846071392,275.58782310336125,14.886307279983228,0.9183615371062402,0.0005511399847814454,0.08826919270603631,8.372044573980558,6.638669399672281,2.5319156280771073,0.5736271002798058,32.24569736499646,0.15613732056880036,0.3185186153002272,0.4568484282746129,0.9315043641436405,317.21361105423944
7,7,184,21.180555555555554,877.6924414532745,6.332945853125239,0.9587638657573683,0.14368778055074027,281.07102463329915,7.31203695202525,0.46670397183525214,0.0006010995796821555,0.044148832953898376,3.958344362556554,3.2839820606928476,1.276004582929385,0.2541789037404418,30.426804494189984,0.07784378754417516,0.15640605194193397,0.23915609650696945,0.47340593599307856,301.6174844724824
8,8,186,21.412037037037035,876.6701458944331,9.854825368299146,1.6007764538643627,0.21755220337749215,290.1004618979759,11.511765321123391,0.7275003372321773,0.0006272668845516628,0.06551788883846928,6.7483037872489975,4.800026490372718,1.9806377583615438,0.42268341858643615,32.641669044138254,0.12359477352553605,0.24774485036154084,0.3644759535758844,0.7358155774629613,322.01818998237917
9,9,181,20.833333333333332,875.808088839166,15.97049648164199,2.4208755513193534,0.32488115896679154,258.9847267073313,18.290738517146092,1.1943425338521088,0.0005579492426684723,0.0993520402915488,10.248835911989422,8.200903804718473,3.2138044485650745,0.6273411312646817,31.71092030891624,0.19398026825243578,0.36750331028295585,0.5726146341590241,1.1340982126944157,310.46211853703454
10,10,191,21.99074074074074,877.7079829934022,13.065129455546872,2.062906291648751,0.299609269066504,259.30554528838115,15.222054879335577,0.9891253197990248,0.0005388052374079847,0.08786466256622462,9.102317548743263,5.826429310819649,2.590452695182082,0.5969482484545235,30.730703147884352,0.16267638932683617,0.29700989509541226,0.46829774544120883,0.9279840298634573,300.97458825590127
11,11,185,21.296296296296294,879.193611117878,13.53896099009872,1.9999912915110416,0.31646114468143255,278.35222380007144,15.547311631916353,1.0362340149829112,0.000558662667117384,0.09990052638836366,9.253475522930483,6.570029486217469,2.6789897714693245,0.5866995915621025,32.78652799714252,0.1678319592258752,0.3381639809234641,0.49921665104484453,1.0052125911941838,321.73257350276043
12,12,185,21.296296296296294,883.8775452606722,12.500484367449756,1.9187641887791311,0.302361867980658,275.0858792689565,14.490312670227697,0.9649310681820346,0.0005697639289119884,0.09002966667691002,8.265252059957247,6.333658905971067,2.5434770804247453,0.5028426132639963,32.097122928529146,0.14398727110908707,0.3056261582538459,0.43574072578791295,0.8853541551508459,315.61866561699225
13,13,185,21.296296296296294,880.0665083599214,9.423308207192509,1.3477620595735478,0.2080484024948802,276.51858069137074,10.808475524080384,0.6812114324330378,0.0005729767832590856,0.06436795757393521,6.32175338968965,4.646704398934577,1.8585310628100578,0.40011275243242606,31.074126374497478,0.11146643525143587,0.23406348469881813,0.32505695701540105,0.6705868769656551,306.62826234264503
14,14,183,21.064814814814813,882.3601391312617,12.310841472262549,1.7240653946695164,0.24416219849398932,242.23611878870733,13.990739326220321,0.8541670004595796,0.0005043530126222064,0.08088595016845564,8.02115789269597,5.941861666530361,2.4013236843077084,0.5203332623246225,28.66996299669768,0.14813047190638529,0.29999448497447817,0.44160238847780425,0.8897273453586677,281.1947304425158
15,15,187,21.527777777777775,881.8226501088026,12.881262107349738,2.1547343639396956,0.32119427184087085,275.56811909211706,15.277828047787029,0.9137363096048452,0.0005353331183932437,0.08969583304671369,8.910780586373146,6.289098053302895,2.56997012016102,0.610592301213966,32.3409092082291,0.14898597628913635,0.31874962347594976,0.4880482393483528,0.9557838391134389,317.6325496725957
16,16,187,21.527777777777775,876.8902038830481,17.61402735250443,2.6498516462421478,0.36318839627767485,247.25742917701405,20.289748340508595,1.2457609031171681,0.0005055871929918888,0.11443022168898803,12.37490927634194,7.813356156912974,3.4426866533912333,0.7814484500908663,31.115213329160444,0.21370444002124242,0.3935621328624375,0.6167715262875135,1.2240380991711934,302.7964709841122
17,17,183,21.064814814814813,877.3024693735858,15.616314601110748,2.2893603004878895,0.35487097012535745,241.88507829117054,17.98999550797802,1.1280148093857683,0.0004911258912019311,0.1062296487146305,9.918693514064973,8.188020007513167,3.089841282999963,0.6741446295797411,29.883125591903987,0.1845853865219763,0.38503345717438514,0.5485641565950102,1.1181830002913715,292.44054417524836
18,18,189,21.75925925925926,883.0964712700801,17.09744771236632,2.541984050456249,0.36249953607628954,243.32290850087514,19.606397559628824,1.2535880474375756,0.0005111651024593201,0.12773246449255984,11.195557804959911,7.968797326677096,3.3812673418725225,0.7222864647468514,30.536565344137117,0.2125544087336391,0.40562055929501634,0.5666005355883003,1.1847755036169558,297.5701956733488
19,19,190,21.875,881.906282205052,15.709128495119563,2.493577196119944,0.3515621728504938,270.4814292337042,18.28344294942464,1.1698807378139662,0.0005683819039572274,0.11112954074188093,10.534862312754676,7.743977960949106,3.123369392884206,0.7007840622393751,32.81331476367218,0.18348008274188007,0.36404099063630935,0.5740108528831027,1.1215319262612922,321.2903820500126
20,20,189,21.75925925925926,883.8504404520553,10.487504497354399,1.6676028504503884,0.25095570144463863,300.8309837457572,12.11530780011269,0.8703450048414965,0.0006444565448869905,0.08115024242067076,6.893441898005353,5.183782073506486,2.1138289787077267,0.4424964654130739,33.93941002439076,0.12963645231762777,0.24953151204347038,0.38215250824131985,0.761320472602418,334.8059222891561
21,21,186,21.412037037037035,879.9550807689137,13.65134542483597,2.250969719149911,0.31971509027156414,276.59626945718827,16.027546952784814,1.007085504505426,0.0005996679017787492,0.09806604746711628,9.588636041968815,6.479919836830308,2.7509270065820592,0.5995232459658024,32.71396050836327,0.17106566175459786,0.34929067737116903,0.5061550778832833,1.0265114170090501,320.80847937049214
