,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,197,22.685185185185183,783.578521107722,14.271600851981004,2.4994657999878664,0.34783567768747803,428.4038704086701,16.741533393284577,1.253041200846681,0.0009473837101197692,0.12104325793802692,9.60897086561698,6.737690997916183,2.902086862918964,0.6342914364242479,48.139928008899695,0.17099622746374504,0.3321496328364278,0.5150437866433496,1.0181896469435223,474.9315969183087
1,1,191,21.99074074074074,781.9213732287126,17.758429218028304,2.8575043580907926,0.4270759757185873,435.7626959398917,20.774643226306008,1.3921901701141404,0.0008487263916401343,0.12610137476752695,12.139641851418245,8.594451949943933,3.6006309727060004,0.7588400762386477,50.14273073260152,0.21437684129887546,0.42630140867806116,0.6658283193105583,1.3065065692874949,493.3599185574849
2,2,195,22.453703703703702,782.2292307327208,22.137049743142896,3.469155127072948,0.55322582240522,431.03544684616566,25.821854535688217,1.7472334755913612,0.0009809092464342691,0.16937732419109972,14.982313168789101,10.639178526627346,4.434630162452086,0.9795881340733519,51.24673913305644,0.2743386051869002,0.5243442999728443,0.76274490574975,1.5614278109094943,502.54914841756613
3,3,188,21.64351851851852,779.3546270944706,20.558245964299232,3.4381400119575463,0.4854799000713962,423.5051103297492,24.13489357007124,1.5352306884087847,0.000883823816369293,0.14535541001378494,13.45344299421747,10.167956134972165,4.143137351324403,0.9033844876596729,49.94312357332208,0.2531833487881126,0.5061134671376573,0.7263580475080547,1.4856548634338245,490.5034725357776
4,4,198,22.800925925925924,779.866826026103,18.206043180595355,2.6861480220531933,0.39117508498447917,447.5749543983121,20.758895455797,1.53334192880371,0.0009362587985503674,0.15442252772215842,12.19000144410857,8.135082696060707,3.618190746247361,0.7716786611046436,51.370669133135905,0.20772558804135827,0.4093457405747274,0.6032316043934219,1.2203029330095077,505.05117189348886
5,5,199,22.916666666666664,782.3992888143281,28.86113254779461,4.295422949243057,0.7068875959724256,387.8712386231455,33.3246280197039,2.3119192291318917,0.0008638166801066802,0.2531813607372663,18.781783798730068,14.114497583473204,5.679096633816732,1.325814177919575,49.360327034862344,0.35594304617006817,0.7017813199293539,1.0094850461188192,2.067209412218241,480.81189194983654
6,6,190,21.875,779.3691105556554,18.77281102675595,3.190830385472932,0.45521897066295924,424.25667530255436,21.911820672659083,1.564237463481358,0.0009024808377397317,0.1608606878750945,13.332130135785997,8.811004208078252,3.859080202779297,0.7723568394464035,49.39520900170983,0.22639580030645687,0.4516484771785762,0.7183900454031511,1.3964343228881841,485.1522325634916
7,7,193,22.22222222222222,781.5577769875725,11.624453649714614,1.8264804684095222,0.27307275222981103,447.34144531382526,13.44752897945448,0.9626278146902327,0.0010017447957844775,0.08586356856571531,7.650080597198582,5.851318082077168,2.317996265815994,0.5102160975275528,49.00134751093294,0.13985992950810042,0.2725878377303317,0.425568145596134,0.8380159128345661,485.0800206499407
8,8,201,23.148148148148145,783.2828354878019,20.491189904538665,3.391744036480379,0.5356429718963942,425.66370732107475,24.229653736726966,1.6171809377857858,0.0009351094303863634,0.16096571211717345,14.171998977822716,9.55711646030886,4.137145334890357,0.9329771961412434,50.163699336141555,0.2462489374912914,0.46566606254052473,0.73683373496393,1.4487487349957462,492.1670074563867
9,9,196,22.569444444444443,779.8922960941361,16.96437960423348,2.589694556147505,0.36496258982869045,468.7081777994567,19.466068642645993,1.377388137795797,0.001035722759235073,0.1475959572642998,10.788165165477722,8.32360888952,3.344819848668607,0.756506398385544,53.056564111702166,0.20509677645013033,0.3800916026283902,0.5905150278275412,1.1757034069060617,523.2199415536119
