,Protein / seconds,Polypeptide / seconds,Amino acid / seconds,Heteroploycondensate(HPC) / seconds,Polysaccharides / seconds,Oligosaccharides / seconds,Humic acid / seconds,Monosaccharides / seconds,Inorganic carbon/ seconds,Lipids / seconds,Pigments / seconds,Porphyrin / seconds,V-Phenol / seconds,S-Phenol / seconds,C-Phenol / seconds
0,8536779.927887566,1897649.1215662193,856424.4350204075,912300448669.3623,26431633.79861798,7682363.832519482,27241494.062544193,26731299.052605927,2641289.8736940906,1843212.530225588,9055141.542692674,8374461.3005954055,2766716.467006107,2459370.763365295,2470207.7769189314
1,9047116.351034557,1894445.1207575274,861808.6290055654,871448787169.8436,27210329.31232706,7523140.245255542,25857962.975810263,26954028.924255364,2449667.484467872,1996155.89697211,8146977.399369915,8576837.240312919,2502320.654869399,2579174.2765220753,2755362.065757551
2,8613007.234504981,1910897.2743937394,858272.9398747291,868405459713.9264,25398671.391723894,7658816.424068242,25442988.325696785,23593785.29748675,2622205.4210665184,1987983.2833280284,9113337.563357493,8821019.606097635,2680829.5206154413,2645272.680336877,2619271.833419064
3,8495843.599095833,2021823.0334569032,936171.5823498718,839472386193.5273,24943208.131747596,8043833.022792212,25837288.326691642,26641581.450346224,2718114.5782376206,1968711.9144283873,8964584.687104251,8537342.20130895,2560446.7780870656,2613256.843818944,2601833.304855246
4,8659803.180525945,2112124.357433275,919417.1030069877,866696944667.6538,25049922.82677534,7857873.927624662,25610305.33199792,25541717.342745285,2705973.6913208496,2042787.8580866563,9294856.852547903,9095703.583326124,2471610.445302375,2740218.2968619056,2603537.138540731
5,8160276.770621022,2017782.0323406388,792761.750626775,838328858842.5444,25868309.335170932,7911848.390282729,26299384.15893924,25827137.66249273,2720957.2298871716,2052688.9499706037,8327476.98353816,9203402.030685792,2573682.5765329744,2579437.044433222,2603729.1234953124
6,8726096.752893722,1862988.4890080667,905593.7426013331,855854696850.2015,24644744.12671819,7695886.1015164815,26464837.18898063,26311837.50987193,2627901.763354192,2114623.3082115743,9267684.821081778,8422919.18945268,2674834.7798715737,2513821.6465232098,2594665.1008336362
7,9265245.540506937,1828480.9838336378,784392.8696990217,853285575168.809,26104733.915622517,7307816.409564958,27089782.10315686,24516874.17235173,2601738.0059042363,1954976.5674668807,8212056.3408620935,9276004.238996718,2678645.4032022185,2553954.1688846755,2610176.969713674
8,8738127.338128762,1850381.5416502303,928423.7127765762,803067323360.8215,25229570.53453153,8233216.546723418,25550767.705511887,25876730.93394938,2736503.539206069,2010630.6622738172,8626206.930905506,8541990.659138503,2444424.376631619,2754392.957596468,2560285.1895062714
9,8896818.721529344,1991016.1061704224,894560.4260599805,896820345918.711,28279783.105482534,8303921.013553058,24952797.109421466,26684590.907866396,2704236.931731684,1985169.659719917,8868243.719351565,8712436.212281309,2730456.798242011,2450258.883391052,2623377.392912139
10,8877534.431246186,2012329.0358958743,830956.6879994215,873025669227.6084,24877749.865800098,7933291.981919958,26567511.093606807,26836430.430571083,2763487.4662313536,1852876.2836461393,8728257.774188176,8553234.27132343,2649249.3483261894,2533333.455674278,2475877.017457901
11,9154435.892174022,2056499.3749866278,816154.9528594346,944506873837.0759,27109139.88569143,7814412.343362144,26901806.468770523,27146624.138112947,2449007.382367178,1954660.978789921,8753946.791429125,8464344.934357753,2561286.7293432313,2639280.419250207,2644435.416506085
12,9163378.399176825,2094110.0871383557,829484.5826678696,823998632024.8387,25057793.759220734,7730823.816648957,25740402.745457277,26989523.31364549,2765898.4798764223,2002050.4646403845,8275784.079085464,8007055.609195601,2554386.735212452,2608197.0395382,2557193.2277368237
13,9064758.718529897,1926649.94579745,868646.7663088706,841696533748.8943,28111894.168877102,8246102.655709862,27083648.612833656,26193823.514117878,2528915.486611422,2054249.8304982735,8784589.438162373,8362063.948665508,2564400.3757678107,2708451.946272476,2686193.5122645106
14,8593837.209081555,1893317.4883721445,844360.3138627362,865336434788.727,27183838.571358956,8125145.636707889,24987996.834033594,26780627.0614594,2691863.9977507023,2005927.7179452775,8898045.214644605,8992682.69394844,2548013.192714931,2440403.492581321,2558017.7490729205
15,8512861.435000615,2070794.96817245,897492.8151434,856262818334.1184,24488368.323246274,7438214.705835858,23469065.107116353,25212568.801982578,2465859.4303985713,2043933.9651253496,8299627.422737636,8558813.647424132,2481483.728981822,2774655.620255533,2678186.2220244883
16,9052927.587429231,2041949.833313159,826710.3190085876,899020196298.3215,26718081.9990345,8385558.079376841,26512282.628833205,27618807.168115683,2798695.4663070906,1887250.3376725675,9005365.925229523,8482148.087754643,2634191.951461011,2707278.9643019345,2731228.068668727
17,8419784.041064607,2025467.2761063692,872251.4913978952,841632098565.2335,26478979.65883136,7765785.54888094,25999931.24347345,25507626.40810077,2677862.9663276393,2134717.74160299,8657300.83510229,8659346.837338325,2606307.4998553405,2598432.995590661,2355264.6772388457
18,8317693.977593473,1963723.2704916268,909973.17803358,824885439177.4952,25043527.04220979,8204874.332897886,26478620.99341286,25979263.610009696,2722889.8258276456,1976078.6123925378,8668318.609769763,8629082.631554704,2554587.59824989,2447482.497479814,2792075.25403238
19,8774561.162861288,1985591.226507279,868316.5336701594,829661382864.7563,26584390.007391907,8119161.534301747,24732733.239801843,26532353.787266973,2555334.857931473,1952674.3052070546,8395773.99515793,8582372.518561827,2514962.396344247,2529366.587456192,2630790.33240608
20,9104637.51823836,2031062.009987145,902614.6960655113,815557137540.5419,25366107.61927287,8035166.966538745,24975614.28338672,25024607.30651123,2563861.623213131,2092536.9237128934,8653546.369520077,9018327.524575006,2545197.3363061887,2704288.9195252685,2686732.783732359
21,7935665.267234024,1961253.0384605455,820565.9995084243,839900695018.6692,26338551.494856622,8461199.438903924,26396082.23307169,25192351.27798045,2596890.9858203577,1879224.5800309782,8645047.007250154,8860678.486193143,2741912.5528168404,2590619.1178799225,2556582.910401171
22,9189763.155605476,1860065.8304558808,872868.0135257635,828942038706.9341,27282536.15815349,7366609.689565736,25081284.89559809,25332523.0058118,2493990.938131103,1996236.408705094,9296436.306888457,8118968.317032535,2755457.415920262,2508948.064237901,2452571.6264583436
23,8988179.059533324,2017950.8340988439,915720.0925474837,849558629493.8302,24925995.33081856,8397481.83240357,25369877.350300547,26377661.07846583,2687676.3673142735,2147627.4251849046,8487753.750298647,8605134.879389191,2617465.3735900354,2511245.197584476,2610383.796591743
24,8162254.885938322,1957554.3901749882,822852.831787709,867712260955.4923,26941546.243376415,7412118.658126352,25216984.62582873,25762198.11641606,2503854.9773225086,2043178.9724970586,8822513.126892747,8668007.49180614,2598291.096389727,2621548.937056981,2572297.831691393
25,8348311.321865456,2040663.2049258635,895489.50613295,876466016603.6787,27725493.04255414,7166971.842820526,25394765.29230928,26026944.880098075,2815503.5188199757,2083974.1051730583,8660040.008938499,8632597.840586225,2610894.0452061812,2753205.4593157237,2577818.640781849
26,8623075.856312582,2011802.6867276456,865516.0135602627,901231499914.3279,25595972.22395764,8413578.108797219,28397423.029650845,27062348.399985768,2705194.5838265773,1926668.0869407505,9086917.569028646,8353884.360936694,2542507.064253497,2391736.0085259327,2426676.8157145674
27,8155511.821815579,2024344.7528241,864486.7662901348,890724987256.4753,26470974.58151682,7291647.287412069,25555189.95330376,26228609.655366916,2441752.6915740916,1956548.356897463,8190356.119571202,8394341.87736721,2666228.7836277355,2375666.4882580973,2452061.0110394326
28,8171114.927203516,1976492.8133004534,873671.017431883,797160291155.5022,23831860.880567208,8152633.948777675,26584285.978170898,25277018.654605314,2471855.5039240657,2152291.748607786,8383694.5391548285,8015451.587828937,2756411.1878553787,2465074.041908859,2489127.669781697
29,9236421.341078864,2074560.137057091,837204.5610119742,863591520449.8514,24913197.728840508,7849701.67924853,27285770.10533239,26823645.353750885,2471043.8384725815,1997545.7414308207,8998498.928110348,8782548.212634852,2616429.5697453897,2753963.3843827816,2605786.499689053
30,8383379.3066356685,2021154.6139752069,864604.2746437257,870364331880.2905,25302767.757114448,7493552.582957534,26762465.64960768,27940652.189222164,2392644.3749910416,1814991.370825057,9170843.33851815,9445964.751777492,2500113.77508559,2513427.8556663524,2518628.930130186
31,8746744.55331236,1909527.4594658918,901043.9552312817,790848047001.4144,25519663.104415398,7734583.600004418,25629731.172325436,24268031.78180939,2643711.7001392506,1835071.8546527976,8307234.981062043,9223080.666496364,2676921.9570173845,2641524.1047163894,2553375.9796853554
32,9032779.434104642,1963115.019884217,837110.5893637736,843296986710.862,24394601.89981916,7637734.697558191,27308074.639909886,25604947.77524658,2485635.9697558656,1997068.025399242,8439688.925819261,8890477.679620203,2490341.6662341487,2556203.7195284795,2501553.6652709125
33,8032401.368639912,1915861.0596947488,862197.3760780313,876884050959.9253,25848470.40986415,7944495.7436545305,24781574.199076094,24859126.80977332,2432578.6940905037,2011130.6743954336,8098193.748486966,8707349.872083597,2580011.8741621617,2424058.1096942225,2686498.096943748
34,8152195.030617318,2097306.7111968445,816623.591435133,912022140164.2185,25889730.48931822,7897956.305123974,24363588.307270203,26746227.538050935,2636383.833296085,2104782.2220231034,8714394.449844897,8194677.377444802,2626141.8118934324,2636274.4271913883,2496688.629737034
