,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,140,16.087962962962962,312.90241306858763,25.29264628632714,3.1414187127425683,0.3990325848583239,535.5343206050895,28.240300465405213,1.394024690743526,0.0007924540397771741,0.09842475182120086,15.51726361017005,14.00228339459105,5.085144087265539,0.7761687429143613,62.619121173206416,0.35873964629144695,0.6738176089393247,1.0132356353293812,2.0457928905601532,616.0103496663585
1,1,143,16.435185185185183,315.4885584063158,20.533092707582007,2.432914114466857,0.31449470212554437,624.1078825776951,22.801079643550768,1.1124295449520611,0.0009870107281713895,0.08202866772639444,11.739316625199036,11.794421524638118,4.019610242863714,0.7041101840383968,69.74238862211715,0.2712876410523973,0.5518279302751632,0.8574016004521609,1.6805171717797212,689.5835680921468
2,2,143,16.435185185185183,314.31645725326325,27.73410338247495,3.4743259347035096,0.44465102512199994,591.453187865875,30.92674401481918,1.6221095022703236,0.000937140223096613,0.1172093331092111,16.332646758176903,16.010392254361637,5.574501674939719,0.8668310687298577,69.1130213335191,0.3835622390622151,0.7616820517805477,1.1364510576861204,2.281695348528883,680.5066885451573
3,3,142,16.319444444444443,312.8474324842593,29.021880955682146,3.7384755096679445,0.4651654045208039,594.4225297481638,32.37819343865764,1.7261281095400325,0.0009679157727755097,0.11801761391438413,17.34400453580532,16.740136801430594,5.831164596059955,0.9140677873315454,69.87506360901148,0.39346313302741853,0.7957325114700129,1.190774522882471,2.3799701673799025,687.7366980481215
4,4,143,16.435185185185183,312.45077363463434,25.67768403180468,3.3027061469992636,0.39070672724788935,600.7420634860567,28.585840299934052,1.524286243209761,0.0009543179902736604,0.1074479847884827,14.965835784958957,15.096604204099878,5.172284178607406,0.7892880060586629,69.29815186481028,0.3392485606460249,0.7178047107772112,1.047810147843634,2.10486341926687,683.4947290460638
5,5,143,16.435185185185183,313.74833312895254,33.329951711483304,4.505274124803613,0.5247883652108051,571.6827161779536,37.546370958957745,1.9382059869223278,0.0009383163861246249,0.135651375631365,19.594864092412724,19.859740905636976,6.662128822479483,1.1459814110598927,69.21360819639035,0.4550423564590616,0.9112056022320851,1.3738465076945372,2.740094466385684,680.0718426229109
6,6,144,16.550925925925924,312.8556432144282,31.69980555746071,3.902145559343856,0.5280191483537457,525.7943995426857,35.23931113850681,1.9198782566918233,0.0008511976171731661,0.1393694745942127,17.965019555541193,18.99058674384853,6.374948192094375,0.9766066851130198,63.947150994817825,0.4358217303379513,0.842301418443322,1.286045359084754,2.564168507866027,628.1300900041758
7,7,141,16.203703703703702,314.65475417301855,24.303096313578678,2.744923150508659,0.34967342459810197,569.8051077818309,26.79126636757569,1.3423785131242316,0.0009081337075579073,0.10037921843101118,14.16666492167386,13.812651627302637,4.7479539733407785,0.8178997523084219,65.62765906578265,0.33385701009103586,0.6508912741207801,0.9879333236442694,1.9726816078560854,646.7889198641628
8,8,140,16.087962962962962,313.05860588101376,21.41457208692592,2.5721875617516625,0.34743452869067265,605.4933124844754,23.761117664878334,1.2376415108407341,0.001017241102891631,0.0813634666825886,12.487122061912553,12.576364730232182,4.256709757520163,0.685765754124526,68.21366555537175,0.28320259652248264,0.6038358215883023,0.8717542685162587,1.7587926866270436,674.1862794738521
9,9,143,16.435185185185183,315.93741642976096,30.7255038557599,3.7680499648535375,0.4693171873663227,534.1220790326316,34.27746420873048,1.6215573480039212,0.0008184209081560616,0.1079565515027794,18.170881007490614,17.626378627708974,6.116974021271701,0.9786121142209303,64.40025715013583,0.426793425198234,0.8043031065571987,1.2534874858325573,2.48458401758799,632.2992953505462
10,10,142,16.319444444444443,315.78256977839726,26.163863573090033,3.210048428275424,0.38071668584443574,524.6149597066482,28.97779761301145,1.5471738165511124,0.0008219197849973844,0.10731596514143626,16.216589902532476,14.328177559882262,5.197364054474002,0.838698530791433,61.805590249193706,0.3587550358937358,0.7002478172441992,1.0368921042997936,2.0958949574377286,607.4628328109326
11,11,142,16.319444444444443,313.806824572677,38.499725600416156,4.602008211063712,0.528393232332267,540.0051353344452,42.63445912661985,2.081401034226355,0.0007810808491465621,0.1465427269448982,22.184950843894775,21.83080599827401,7.61479725913114,1.2238424349144896,67.72502310151884,0.5158567971032799,1.048634801422388,1.574591171132122,3.13908276965779,662.306974808875
12,12,144,16.550925925925924,315.3552304153974,30.158787835776277,3.660549295248411,0.4190317842738449,524.311852190846,33.29689864163666,1.7840428749392063,0.0008811886904988929,0.12894322587932103,17.84171463170377,17.257807020069297,5.907529943380191,1.0184426171120677,63.170660875433654,0.4011638791639177,0.811648203941305,1.2042312874377175,2.41704337054294,620.3618099883948
13,13,140,16.087962962962962,313.0256464792766,20.43877247805801,2.3922833842706326,0.3003262891795059,590.7626610560757,22.67650888087016,1.0572275425009607,0.0009485200417503074,0.06933810339503563,11.434898689141084,12.111177262169239,4.051276116639327,0.6388477940143149,66.36887120811666,0.2759988514991122,0.5681427095141444,0.8485976633796223,1.692739224392879,656.1921066516076
14,14,141,16.203703703703702,312.04023270472834,24.88903632777379,3.0832382455453677,0.3919604530103521,610.2922919866496,27.82218286827124,1.349958028475405,0.000957166441714038,0.0906178584005771,14.565843491977217,14.576394518298754,4.985260555703322,0.7854615899549869,69.95115302343484,0.3368191298820108,0.6575135284132374,1.012631118475061,2.0069637767703092,690.2743233752955
15,15,141,16.203703703703702,314.9190439944316,31.615016836249684,4.07222935176523,0.482612353124829,557.6536893360076,35.19553632119638,1.886247352815467,0.0008812628144805069,0.1386585197467904,17.869439528561188,18.786445567947048,6.270748692724742,1.0611094885081904,67.12956302583227,0.4222382041013055,0.8963475889502686,1.3203058050502794,2.6388915981018535,659.8020666810021
16,16,142,16.319444444444443,315.3223696782651,21.365872394800256,2.578875814031113,0.3002206751620532,558.2108823563713,23.68335245014986,1.1806637165681433,0.0008500555630564838,0.07734083362576975,13.090318317091228,11.827495313316495,4.25230449024257,0.6629605772074629,63.457805419756774,0.29117837759209203,0.5908331202139002,0.8903063118594038,1.7723178096653962,625.9131364867035
17,17,144,16.550925925925924,315.4730523560107,28.98030649604795,3.8120416225008897,0.46376338189397404,605.2880604717174,32.53932949897213,1.6480605411261202,0.0009969580486818518,0.11837654930677054,16.50538817629057,17.576746548913132,5.79946027094653,0.9585183476781375,70.94469340227722,0.3952208000307981,0.7891284000889891,1.118311669201553,2.30266086932134,699.4883215564729
18,18,144,16.550925925925924,315.6144731787346,22.067177778757006,2.9115925653522874,0.37329184812144417,548.4003290927023,24.75217599415678,1.3339590334167006,0.0009224697637354904,0.09062094239667483,13.31424387789672,12.709612112171568,4.426167980231576,0.7303259330534552,62.803393078621816,0.298239153617495,0.5820441330747805,0.9383484654011864,1.818631752093462,619.614807502217
19,19,143,16.435185185185183,311.67850063730657,30.440445261678548,3.7856082586175632,0.46693188012869946,564.5702404768895,33.92624184733749,1.7067387046989135,0.0009350784904390703,0.11634073130182894,17.957196403415644,17.2946258379326,6.019231952747519,1.0205307772830943,67.35429801924387,0.40530578035987874,0.8132221896109397,1.2465226826244946,2.465050652595313,661.8129214597013
20,20,142,16.319444444444443,312.45616773328805,28.434264372253747,3.40541193114777,0.4144568227757429,577.033697512932,31.402109131545416,1.6452634315066612,0.0009664113140239427,0.11246598117333385,15.883312898744439,16.922393551953622,5.618197184388456,0.9189774604118335,67.85579218523567,0.3799863917737221,0.7851487398663421,1.1737174499260195,2.3388525815660834,668.2470563729689
21,21,143,16.435185185185183,315.43108421271717,38.09097117665181,5.25774937305964,0.6423277320262769,488.7617762986665,43.16383141800685,2.199875521511665,0.0007992784298893628,0.14360197292604257,23.52905954883679,21.397743267218075,7.699451831641308,1.2679446233523919,62.69271890344056,0.5406048148180743,1.0489981899275165,1.5620566949968926,3.1516596997424835,611.7777321932327
22,22,147,16.89814814814815,316.5914747134866,26.50483362148948,3.131375788757455,0.4229264371162585,530.0091526490419,29.44975115359617,1.4675460528512712,0.0009032292973933326,0.11366099559868971,15.410346187094197,14.95167368931349,5.289051247187722,0.8216962424642122,62.448434816255016,0.36430845559883035,0.6916558383295358,1.023698431980551,2.0796627259089173,614.2422338326228
23,23,146,16.78240740740741,313.3508172892355,20.106867402667287,2.488205677819389,0.31288057849045897,563.8047935342021,22.291651068085148,1.2255160667165839,0.0009327560220084309,0.08248527632761928,11.384721396489333,12.02780140556726,3.9671137578924043,0.678909470146828,63.56813645234788,0.27044596843784235,0.5283652202018563,0.8101195102139623,1.6089306988536611,628.5960876927908
24,24,141,16.203703703703702,312.4389254969188,19.915271431744692,2.6366473055477293,0.31994911808665333,545.1617831651495,22.4444580008868,1.0901935133614404,0.0008531589385571849,0.08038988297485758,11.385552853373838,11.915038452801284,4.018111012041066,0.6370737982260283,61.70628163388294,0.2747471824662647,0.552127379909891,0.819765934370565,1.6466404967467207,609.8664093365053
25,25,142,16.319444444444443,316.33827244778297,27.341384432639604,3.5996397422832715,0.43534523674865183,508.13281297775194,30.766984307331857,1.4561652648077397,0.000791866494917472,0.1119762374007711,15.929378161122331,16.456260788940277,5.4792589439098345,0.8923997173793695,60.6675058682798,0.37574546280960885,0.7727640064643314,1.119452548760732,2.2679620180346722,596.9409815337228
26,26,145,16.666666666666664,313.81638720608515,34.33662723476426,4.415495855896995,0.5414390741739896,559.5050232785375,38.35740344458429,2.038989759030612,0.0008673752608266463,0.1360248817099241,20.970962373082674,19.217130921850746,6.897959156422399,1.086149261310941,68.253856838419,0.4587453442125957,0.8853113600824026,1.3395292634489158,2.6835859677439142,669.2166962112864
27,27,144,16.550925925925924,314.2750568767454,30.739741322479176,4.184318671161388,0.5077694900631579,525.9483148237321,34.70474527392476,1.7480229502826377,0.0008172824808190238,0.1340533507879097,18.163846606305725,17.637351846517582,6.127525770718456,1.0727664300484654,63.67686144722119,0.4267586969395454,0.7993250209460806,1.2216848634269186,2.4477685813125447,625.2531957935091
28,28,141,16.203703703703702,312.1379535640794,15.362663062695411,2.037880827179062,0.2513543147950053,596.1128534065356,17.19348355225378,0.9552631315435365,0.0010178103980777197,0.06391517886787236,8.453091113152329,9.514394865574662,3.073365705571101,0.5115652288419413,65.14532868533583,0.21855276655651834,0.4116391871632968,0.6208568462792198,1.251048799999035,646.328805884255
29,29,140,16.087962962962962,316.1574419155099,27.39949805538869,3.2177154076703682,0.36670451803686344,566.3646281857157,30.12098662876161,1.5829658926507868,0.0008855503586374622,0.10938087822641776,15.466560757350447,15.881612240730766,5.435950738510447,0.838565657356815,66.39516697230287,0.372939608666416,0.7659331476642671,1.116393765866837,2.25526652219752,653.5741602756045
30,30,142,16.319444444444443,315.74976585371513,31.84924409032779,4.161541044338385,0.5007803443401437,546.1999238901607,35.640351024921124,1.8605356024507516,0.0008578226038537763,0.136931644151187,19.36805013051591,17.32828925804078,6.436238042430686,0.9923194252981764,66.08162206116582,0.4270444881479624,0.8566443598562176,1.28645598650521,2.57014483450939,647.6771570235729
31,31,143,16.435185185185183,313.7219322710088,24.2875046387585,2.9918816908658883,0.39134020726583457,542.2230409923034,27.022362210656873,1.4116744118653464,0.0009436433086774243,0.1010265153431094,15.05462732163791,13.177310643658846,4.7963803875988305,0.8273664447538076,62.92772411559624,0.33479120777890703,0.6648395988317876,0.9789228907753991,1.9785536973860935,619.2093854837652
32,32,141,16.203703703703702,312.32942192094487,27.936337942690322,3.319988070721736,0.40373450529349186,548.5636372241172,30.800458749622784,1.6612163657027814,0.000884286604436312,0.11886893037956017,15.916090189472488,16.18187246968087,5.504275759436324,0.9174593041559713,64.8094857930917,0.3703344146637981,0.7514752551615077,1.1138061265948134,2.2356157964201193,637.6443494048256
33,33,139,15.972222222222221,316.13186616885963,24.97573971922164,3.3048224048933745,0.4153188009471363,538.8066319508805,28.11550023940171,1.414521240279969,0.0008217625849767583,0.09566374390326354,14.240130512756732,14.932319171439982,4.981791164662442,0.8545469262511058,62.89930333648743,0.3460166153665264,0.6686240551506851,1.0602929008878417,2.074933571405053,619.9726106958714
34,34,142,16.319444444444443,315.61737658504757,26.71791850959302,3.6398860786164944,0.41044912931018035,594.9663418492884,30.079150238846317,1.540916342974156,0.0008906195754761133,0.10732620671095267,15.26008609948871,16.254844083757376,5.381577247709995,0.8667908211033304,69.13950979865757,0.369830070481621,0.7411881020017803,1.0790293849593877,2.190047557442789,682.1561386849282
35,35,144,16.550925925925924,316.1865365991412,28.670281323771494,3.8613623078013415,0.4402069932168353,567.7961526919006,32.31609202822961,1.5786897459976852,0.0009179253015958538,0.1092313438060998,17.043138964761994,16.12289538892018,5.748836814826545,0.9420228419767342,67.11981591369766,0.38624386299218605,0.8037375273664561,1.180663625784278,2.3706450161429204,659.9573344218916
36,36,143,16.435185185185183,313.27258640758953,29.906129018534077,3.8363975671397257,0.4420468590856824,561.2399836281452,33.43230817879645,1.6619620145057474,0.0008882048990806131,0.11319858904060075,17.36314453768537,17.544558260097812,5.882339081447064,1.0515962625949402,66.84857117627638,0.41140382206670034,0.8267540506164758,1.1861589987302916,2.4243168714134677,657.5357245357
37,37,141,16.203703703703702,315.416541009424,26.326303057366758,3.4552401557759533,0.40791894682322866,533.0472618076506,29.57635977508564,1.410682796843501,0.0007761737095721876,0.10450670389258504,16.245877685738616,14.551251151805676,5.273494221465007,0.8542346229559606,62.775413830770276,0.3698192290412731,0.7158723555345127,1.0668190210229227,2.1525106055987084,617.1605400189733
38,38,141,16.203703703703702,312.82285634672894,18.23870378720283,2.4461551279486695,0.29462601869322785,566.7637427834076,20.57908539722819,1.0085797485642316,0.0009247837582764835,0.0690020585557389,10.591447065472655,10.971862553881516,3.7034642692609374,0.5672800459757968,63.27482513576217,0.2542488827703671,0.5250628231944904,0.7474645469575404,1.526776252922398,626.1702028273993
39,39,143,16.435185185185183,314.5552745446638,22.292067931518872,2.931589144561223,0.36235077103546887,616.8628992145642,24.9704278543306,1.3658565266263232,0.0009466050398849768,0.09230485155505441,13.118315425209314,13.243703788842138,4.511533049550844,0.6981824176369463,69.73367952879921,0.2960308240918386,0.6186849713741043,0.9291246499980339,1.8438404454639767,689.1757026007256
40,40,140,16.087962962962962,312.25216429209814,29.8780969554958,3.6063444993501252,0.4342938857161555,569.8423019349323,33.09932269177154,1.66362059734034,0.0008913828574323584,0.10957521344271028,17.67086255259835,17.116439502553483,5.950808338327913,0.9276693891741479,67.65900794135032,0.417544121521373,0.7793702845832837,1.2530562751239986,2.4499706812286552,665.0793350721905
41,41,141,16.203703703703702,313.03703696143964,25.71127150723394,3.3026828240410278,0.4139952852026795,590.1221920752859,28.830321377147403,1.4365078734360113,0.0009803337449489865,0.09546769557702442,14.796283206366374,15.050156498655097,5.143322129020708,0.8436372149874869,68.27405865302082,0.3407307980850436,0.7037094184382151,1.0881444827514373,2.132584699274696,673.0831195136066
42,42,142,16.319444444444443,313.12015740017995,19.561254935082133,2.329910609104505,0.28355860710143127,623.910594255376,21.545073406396035,1.1883891660519608,0.0010132781845091916,0.08533144510376295,11.539870259636777,11.116516721183887,3.8761873669248743,0.6231466177177373,69.37342040564918,0.27187780263959826,0.5195442485200471,0.8052491669032343,1.5966712180628797,686.1176476262896
43,43,142,16.319444444444443,311.90924778982424,34.94674963631626,4.598598733239032,0.5370519534699191,517.7965759991785,39.060616077339766,2.0482867895670482,0.000829660877501801,0.1405147085283493,21.026716233821897,19.69096060297867,7.011580779402858,1.113345526463753,64.32990641793405,0.47390720911723383,0.9633573056632383,1.3828795716376394,2.8201440864181118,629.7652545537798
44,44,141,16.203703703703702,311.7278018229332,27.69536048181684,3.3445586986332145,0.4365397117754595,546.9052085543461,30.75511886464279,1.5755855622594108,0.00085893784496798,0.11493068776042464,16.894443867599,15.176837948757097,5.509270446381657,0.8828475225862045,64.58498888801036,0.3613873132324943,0.7324919230947436,1.126769295267313,2.2206485315945512,634.6177659483988
45,45,141,16.203703703703702,311.53830663383235,27.17992942441011,3.2592744630754154,0.4080762597316329,525.4108200586858,30.20336197414765,1.4829658643134518,0.0007870929475129964,0.101059630902136,15.25966801387427,16.133455509583214,5.445209293610092,0.825409614920887,62.25812544792886,0.3713860578573207,0.7541480829211216,1.0818343170648808,2.207368457843323,612.6577176441712
46,46,140,16.087962962962962,313.62027019780857,16.181988465857764,2.0893155775396948,0.2498795618053404,602.7691920317702,18.056910037393333,0.9401964583700742,0.0009775893304401122,0.06558573515328549,9.548193520391449,9.155618104494863,3.2219441714967525,0.53673831918872,66.09225412315874,0.21379042885165014,0.44959033460289305,0.6652664568802056,1.3286472203347488,654.5969932727354
