,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,199,22.916666666666664,776.9844958513639,24.28675849077225,3.8583783417696265,0.5627215082090463,428.96331977884904,27.991805827957553,2.0784458832492834,0.0008828144591487585,0.2036136302064415,16.66678410562098,11.338780053359686,4.785528065974539,1.1151199789957549,51.78228732216967,0.2843119649636757,0.5673457681342279,0.835104237317998,1.6867619704159016,506.8721163442182
1,1,197,22.685185185185183,776.9915907839905,18.95327395592158,2.9029036375365074,0.45458232276494753,395.7328764265079,22.01160872277868,1.4554342132665015,0.0008324747766998351,0.13899410507160365,12.705490752826595,9.048084206402079,3.745644867029888,0.864626267465396,46.526567029479025,0.21403745586761988,0.46735901683089703,0.6752121840917229,1.3566086567902398,456.6654698563121
2,2,196,22.569444444444443,781.7010677636487,23.39354691217079,3.9418424972458324,0.528527890336993,428.92114375503206,27.227285168990907,2.007508850465843,0.0009883129830795703,0.19853289169890917,15.724762213888761,11.506915264524833,4.618026516298318,1.1157511728680805,51.512647693038346,0.27626350214839224,0.5495564170724598,0.8329707994205423,1.6587907186413944,505.118859951257
3,3,198,22.800925925925924,777.6020680263639,20.959968516061725,3.110336306806026,0.504791148238086,424.16422227807095,24.198325230333957,1.6324242257370785,0.0008574391759252426,0.1682905496662655,14.237813097706617,9.082528325928978,4.100082168222238,0.9659580663266435,50.041642951048914,0.23933221383159006,0.46487340333284816,0.6993811618863705,1.4035867790508085,490.2913710336187
4,4,190,21.875,776.8956208572006,16.347114355847083,2.390107154911769,0.35336809157677984,419.9363996357113,18.668274680995694,1.2794031967889399,0.0008659519816974211,0.11859362062650947,10.755649770974712,7.590744951285268,3.270325217529255,0.6589430324795208,47.936464424753616,0.19801154293889642,0.3846499922025077,0.5653529363403924,1.1480144714817966,471.76215436121566
5,5,195,22.453703703703702,777.6272948745336,21.96443052467116,3.3363146891867523,0.4485081141807509,431.3170963516295,25.12145579502604,1.7691715278503122,0.0009464686569901679,0.1867955875470361,14.274182580711928,10.364107683507742,4.287490645353339,1.0026747529747773,51.111604409832246,0.2509359693642155,0.48182371568771415,0.7620473569906587,1.4948070420425883,501.29379918262697
6,6,198,22.800925925925924,783.2122631446742,20.479174809124434,3.436858175541041,0.5085829320264869,401.4506543191193,24.102352040519882,1.6488192741178505,0.0008872809243012002,0.16771133211124373,14.568191338204235,9.019029807735937,4.1510575557933285,0.9103063056858506,47.741912554191664,0.23150211874345628,0.4778772138325389,0.7680927276909996,1.4774720602669946,467.3529058929666
7,7,204,23.49537037037037,777.7885079206956,19.825471997436257,3.1092456977477725,0.47820694417598003,410.4567314870244,23.04509176479295,1.6136639844757925,0.0009488806960468092,0.1721704608214654,13.643227025467752,8.799110084623555,3.9471302180736085,0.8999795297277684,48.32338765298983,0.22930702909796344,0.443073784606864,0.6853693582417778,1.3577501719466052,473.70550122154225
8,8,197,22.685185185185183,776.7261704164963,17.5984799438972,2.6700906749863935,0.3870163341815348,433.4891806408431,20.26295950987626,1.4579191096387631,0.000939443577844697,0.13569140375020303,11.337204003890713,8.815475101459493,3.4759913548411494,0.7884169605758956,49.78654454355939,0.20529290723990243,0.4076086513605398,0.639735319182333,1.2526368777827752,490.33479735541056
9,9,197,22.685185185185183,779.4583451738295,19.733518952939555,2.84268918828212,0.4367063202336715,413.7289647408578,22.64001350651645,1.5359392514158487,0.0009126276794277433,0.15017935252956421,13.518851916482014,8.593878907020546,3.8966776984904254,0.8524974987430818,48.558264463063956,0.22240739449129343,0.4752813736503411,0.704859402921117,1.4025481710627516,475.81452621577125
10,10,197,22.685185185185183,780.7468525127016,18.779963017827058,3.0657558432173015,0.44874184375398396,455.51320932649367,21.87162188352625,1.5421831950190215,0.0009887377773194063,0.14695847848630544,12.850707215362029,8.559678260395321,3.685323967660875,0.9135136873659824,52.45601524964143,0.208145762486916,0.41726577436567663,0.6711350091549763,1.296546546007569,515.8244847875307
11,11,198,22.800925925925924,778.5528072725288,20.72167149323282,3.2485108650391896,0.5091640140314776,439.4843633703789,24.040503852827033,1.7469526897374303,0.0009488228509143213,0.165113459699387,14.597936864262202,9.44478789648792,4.1109323176723604,0.9547348981753303,51.566459788891216,0.23163408801848615,0.4825059389242466,0.7409784175492433,1.455118444491976,505.88280212462473
12,12,194,22.337962962962962,781.2181145665185,17.441394420335794,2.9578188709004225,0.43024744856491537,396.7562246880821,20.37827144334,1.5265503226759485,0.0007919347888434165,0.15702457075949783,12.052173619098472,8.070794839396408,3.540200511501164,0.7718823046521232,46.14956447838258,0.20836452601691038,0.4300542721220619,0.6273986303080042,1.2658174284469765,453.2970187834442
13,13,197,22.685185185185183,779.803280828505,19.19988005253736,3.005755601014885,0.4499469799920955,421.6491733595626,22.285923503623245,1.4863534581470836,0.0009267345285272009,0.1608379842682496,13.566232979592225,8.691832400996859,3.824481801168917,0.8482095265355022,49.206189229652125,0.2172815156744096,0.44832049567845245,0.6937693848220345,1.3593713961748966,482.9626927985503
14,14,195,22.453703703703702,776.5361170507797,21.790669421525493,3.3387676524846515,0.52429021487679,408.97622989367505,25.160372033812433,1.8094307327950003,0.0008301750378715277,0.17963033723714464,14.410606532204758,10.725930687855378,4.38647926061283,0.9177380853825952,48.890402266287104,0.26737686608008343,0.5409973554247105,0.7355499868940474,1.5439242083988414,479.3542927036942
15,15,194,22.337962962962962,783.2393372137008,25.328251334705413,3.9374500092447198,0.5707196819942526,375.32870898892526,29.415210360188713,1.9463542394724336,0.0008337285330823627,0.17720098874677231,16.540479113353516,12.181493563675177,5.131339419865141,1.0367426714227648,46.81230304525397,0.29458769071364144,0.6184852640178216,0.8400328683079225,1.7531058230393854,456.8074108098131
16,16,198,22.800925925925924,780.7598497440823,11.470095355507068,1.8635505166337656,0.29817827396425084,439.54780335094597,13.479547693688755,0.9129030060134256,0.0008832112736491973,0.09072547371569531,7.799599670638368,5.446931283716358,2.2964249274230712,0.5282517183752642,48.20118317115521,0.1415619986632576,0.2767721653820412,0.41414054720189064,0.8324747112471894,476.76776952250447
17,17,196,22.569444444444443,781.0834269661133,18.671249814064154,2.913845315594581,0.46506827117710087,452.31393217253657,21.685918710160426,1.4944816938800016,0.0010004260351099835,0.14138791247699753,12.368732025374106,8.75560006581283,3.716668311536382,0.8342487865429966,52.08840211330376,0.222478626514249,0.432793664846379,0.6749301830766692,1.330202474437297,512.3236039542545
18,18,193,22.22222222222222,777.4286121857821,27.002420579224037,4.046253734486315,0.6422143253067263,418.99736135577126,31.210550880070926,2.1256560194575917,0.0008551119295535359,0.19486979313564612,18.17939278592441,13.256862453397037,5.346933548964658,1.1910469952479825,51.76121334896157,0.3256965807583067,0.6263861891966779,0.9365675671644057,1.8886503371193903,505.90367513411115
19,19,199,22.916666666666664,783.140717324712,21.67972589399225,3.411090761931792,0.4947632183950303,402.8038308298023,25.071696856353416,1.8064814568548,0.0008867463459136296,0.1704810524633476,14.82125165403258,10.140004768724106,4.304584915738095,0.9711473156160589,48.22014210843053,0.2576138884396059,0.49391535138536646,0.7516653198626707,1.503194559687643,472.35788837590474
20,20,203,23.37962962962963,777.5074341608864,13.134955215363314,2.189045898606432,0.3366661747449643,457.4763946777042,15.410509496767936,1.106357513323025,0.001070593744922487,0.11929370719775607,9.064956848765421,6.157883744277978,2.6540893986080643,0.588105165419307,50.610613897866095,0.1543284796293714,0.3047602211937405,0.47207597957678094,0.9311646803998929,500.1055362661578
21,21,199,22.916666666666664,780.40661460318,26.614103599652243,4.309002778724976,0.6601474032312066,396.0453084047042,31.1978506210094,2.1195640285705335,0.0008988557241249953,0.19381185494178374,18.395707789535084,12.832273026617017,5.250844210897956,1.2836040506469002,49.42041880386578,0.3118559184986427,0.6099173148697267,0.9571035602233906,1.8788767935917599,482.3862856283122
22,22,201,23.148148148148145,781.0889121246792,18.670738615302486,2.7997669323840917,0.4010924043709733,434.92545898354734,21.523730652188515,1.4385923832411411,0.0010023523516134406,0.1448172922399798,12.589786835213724,7.980030378370686,3.608806716497733,0.8908740070656834,50.28972760428203,0.21443392946798234,0.44684802644392135,0.6430426526748496,1.3043246085867533,493.68923532614707
23,23,197,22.685185185185183,782.6553254856963,20.797973102751445,3.3474937934945213,0.4647636515562024,418.20480899969056,24.19368564238303,1.594235520256155,0.0009171266281652413,0.15709732489076567,13.687965237541462,9.650311537609534,4.050500979963552,0.9997479716104118,49.420643782287776,0.23890616724635771,0.467308018670823,0.718381633687698,1.4245958196048787,484.88613147043924
24,24,193,22.22222222222222,778.3288990252419,18.36158690726988,2.874357919330602,0.4217691323254495,394.5970934918776,21.38415820483082,1.3843031067956506,0.0008700119396085252,0.1409969900094745,11.936115518680385,9.05347903996608,3.6345759670140554,0.8412191348768773,46.19539822661246,0.2056886315439004,0.4202654147023741,0.6580916652893954,1.2840457115356698,453.9784556177718
25,25,200,23.032407407407405,779.0897242395463,25.3276871703883,4.065382713024235,0.5976095524085424,419.65716429298436,29.509574357561366,2.0440069507896483,0.0008980428047936907,0.2154246795983307,17.169249134340877,11.762881872244872,5.05071845255873,1.1378492041568504,51.269690528174856,0.28675239142361264,0.6071648204273924,0.8716516521550757,1.7655688640060807,501.13476615252614
26,26,199,22.916666666666664,778.2184444689547,24.489742844006717,3.725598327674057,0.5887145599706302,405.6768788846581,28.2690113445941,2.1616931943160056,0.0008780128372870519,0.20520214042291496,16.239288761996512,11.924967442206635,4.894247250545026,1.0943541905123981,49.574581223021625,0.2685855983340983,0.5652165415216261,0.8914027361979514,1.725204876053676,484.7564930677975
27,27,199,22.916666666666664,779.1415374740371,16.58917025241904,2.703127951382864,0.39235071288519646,429.9117438601439,19.368960348404464,1.322740546339401,0.0009010578843219071,0.13640541790537405,11.084217863848679,7.90941458161354,3.300921758833759,0.7618315024162075,49.08906913872227,0.19041230877328227,0.3769499623202434,0.5727118689549721,1.1400741400484977,483.5376421302765
28,28,194,22.337962962962962,776.7442887649426,12.345430835459144,1.9153430204037256,0.26930618101808074,467.6893536512377,14.27813116395043,0.977246338038662,0.0009752643512056936,0.09036947809504056,8.106084124782004,6.101651966274866,2.4052934638701275,0.5836385849939077,51.28650436864593,0.1384015380329293,0.3021748106491233,0.4506172001428196,0.8911935488248722,507.5479334965178
29,29,191,21.99074074074074,776.9095983978824,21.742891380294385,3.1300443727977543,0.45253065374551743,447.74841690899035,24.78524059529638,1.669880674676874,0.0009037298489519548,0.15883718753133103,14.586968572513609,9.668781599409328,4.239746461931737,0.9570033096447585,52.648066909827214,0.2547744646050354,0.5032191474104267,0.7637830829004397,1.5217766949159017,516.0760535690832
30,30,198,22.800925925925924,781.4676710756756,23.807093278486775,3.858474677120976,0.5486549246280898,411.5879043648769,27.804785020967532,1.8857020546322192,0.000890798261447531,0.19079558903688196,15.923756498372676,12.076035982344907,4.681771633267732,1.134575485453893,49.912412202327715,0.29127316625323685,0.5365655400303609,0.8587228672610095,1.6865615735446073,489.263245382622
31,31,197,22.685185185185183,779.2535572204724,18.128322981397982,2.7397185351127553,0.4264360448856683,443.0517133967901,20.850759634913565,1.4830762160894684,0.0010179380568468878,0.14113229553273954,12.28931993520091,8.419404204102593,3.588829126254378,0.7988342645384482,50.91427614344163,0.2086488523421743,0.4141668960676859,0.6153936904689149,1.238209438878775,500.8674540765533
32,32,199,22.916666666666664,781.8561023386742,23.511700088058898,3.8810867871006423,0.5663910724074308,400.19732068171015,27.526058561752098,1.885849134208598,0.0009045993744485633,0.182372009533233,16.437644890392075,11.003755859266004,4.684599207841531,1.0898106766107858,48.68360417517376,0.2776271963024827,0.5339057549813808,0.8196555752147499,1.6311885264986135,476.16103720436246
33,33,199,22.916666666666664,782.2571159729264,13.64823764616869,2.049145617129618,0.3086343785029001,472.34849261388496,15.585810103671948,1.1621959422419117,0.0010460853991727825,0.11364356070389395,9.128112184155915,6.157424130773466,2.717015751110387,0.5769249916916434,52.20437503907395,0.14956440240403612,0.31321973269478337,0.4789166838907398,0.9417008189895593,515.610271640268
34,34,198,22.800925925925924,780.7718069906947,29.626518686530353,4.714794708918414,0.6799769864883835,409.58540595570116,34.31311024081711,2.487398289433994,0.0008400712699844321,0.2442805177012036,19.646929498905333,14.4924545035534,5.9240468794290235,1.3130626930177551,51.84474875201035,0.3567127299578915,0.6976979048700752,1.0257309268096637,2.0801415616376304,505.46203109449846
35,35,193,22.22222222222222,783.05654006013,21.27188046875632,3.3977719543748,0.5207045119621568,431.98534391018376,24.740170624703,1.7417195268422947,0.0009171797126751666,0.17382313197755683,14.525071787773465,9.918821356750467,4.330809948326764,0.8867321677461981,51.03970421629964,0.2570359160681138,0.5308793082538362,0.7164473888073577,1.5043626131293077,500.4730573944653
36,36,194,22.337962962962962,779.2642962248489,21.264990596336375,3.3131514506647406,0.45866686859760725,425.0585386215471,24.543850239229656,1.6208679012434741,0.0008892263122158969,0.1492420563538791,13.902454344280308,10.203943844393354,4.203190934830933,0.9437933926791524,50.27318280529901,0.24420289467735834,0.4845363962709183,0.7677623939019509,1.4965016848502275,493.25762681703867
37,37,195,22.453703703703702,778.6639798589592,23.105266055258106,3.326758598112424,0.5387865459494137,418.368248449997,26.619040636409224,1.7340191236849263,0.0008678570997101388,0.17031758353453752,15.67653928042565,10.57585897951664,4.610887867503359,0.9616031711075242,50.245503833287756,0.27172602538840324,0.5496605849771785,0.7715265537294484,1.5929131640950303,491.6045680322679
