,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,373,43.05555555555555,2606.9849298557156,16.583215762388498,3.9868624081519597,0.8116011772357695,381.3895010429523,22.45714872550575,3.24892146464323,0.0016110280525051062,0.7264737138199049,12.032145644918021,3.407358867408852,3.2280294764074093,1.5938609662242205,44.82936356089125,0.10863968857829635,0.21627541299479278,0.31205895214068596,0.6369740537137751,438.07155868650415
1,1,399,46.06481481481481,2610.5072838925007,14.110922586454368,3.270200336928935,0.7255276864325876,396.4545586396857,19.88091215326894,2.7099899872747484,0.0018293203050225811,0.6347787885421323,9.760085965102025,2.7277658310911854,2.7607264206056543,1.4635782251278757,45.457536102075295,0.07901606307415049,0.1916809562994441,0.26470702222566855,0.5354040415992631,445.27619401731636
2,2,417,48.148148148148145,2609.9460621610433,15.549338903860233,4.21241136975591,0.7899446759801925,398.3175959346205,22.329454865409797,3.5055150425073354,0.002089997836941131,0.8882222322342564,10.97281951177362,3.01483003356098,3.031958380879235,1.7419188517861535,46.342471357699914,0.0917129866333277,0.1811822298294375,0.2783188477386261,0.5512140642013913,453.934494352633
3,3,383,44.21296296296296,2610.987486567847,14.759461543166921,3.2364485932773306,0.7394408190646933,393.38310365932773,20.29742129866389,2.720923314115339,0.001684396911961374,0.6663359128116043,9.56392019724622,2.456653641929914,2.824868613600921,1.464640734744199,45.27004704338609,0.08813544763466157,0.16567205377559333,0.2500748464427719,0.5038823478530268,443.05486487546756
4,4,394,45.48611111111111,2605.0514148060784,11.839112209974381,2.6919434571775853,0.5717666163321684,405.48343102197566,16.167354746341406,2.3415746053351683,0.0018799733578952224,0.547285406344398,7.6254987487378045,2.0765313960968976,2.38227533149958,1.1116625877709634,45.3644899684382,0.07540494710880107,0.14125234916162926,0.20242672182852944,0.4190840180989598,445.63390137030507
5,5,391,45.138888888888886,2607.008357366482,14.42675159492378,3.412759894574172,0.6312918189096746,374.60390753191155,19.5656821961111,2.784638549646021,0.0017828581825822332,0.7207839921338423,9.305639548750866,2.7719259581450117,2.745528895057289,1.4634645918408196,43.27596572406998,0.08401953852922377,0.15385361517540058,0.25881267807819347,0.49668583178281783,423.6252037132187
6,6,393,45.37037037037037,2605.9075879164416,14.611669504822785,3.73251547550825,0.7663600866888135,387.82657110186125,21.00051155283604,2.8728341916603837,0.0018275886731348703,0.699169832322007,10.42270353824167,2.508261875725706,3.025260017279357,1.4608436299675631,44.922729717683744,0.08519717565252766,0.18224524628272232,0.3168060925145148,0.5842485144497648,439.09007337179503
7,7,388,44.791666666666664,2607.6414180959864,14.176811328167236,3.277943871185049,0.6895456107506762,385.11084808639356,19.5927429370716,2.6517139698074095,0.0018415716697095874,0.6519700748166791,9.707842295616576,2.6108971839578836,2.8210127778717458,1.3758673376674133,44.299260864521585,0.09008785062340904,0.16781838952018516,0.2681992372089567,0.5261054773525509,433.4873002267115
8,8,393,45.37037037037037,2605.4204330855127,11.962242227481147,2.7263058587240496,0.5352597126799524,389.402044585561,16.387792491671384,2.3957358572689964,0.0018057018882901685,0.5328588170661734,8.13959153958532,2.6710325060289026,2.3385635243203575,1.1744283819210106,43.80178916412715,0.07418897191302085,0.14608604261556019,0.24144794480948598,0.461722959338067,430.5897926239494
9,9,376,43.40277777777778,2606.084982344855,14.43457957948503,3.0642784794371076,0.6430629690911949,393.3996635267453,19.517720809755602,2.6290272815444795,0.0018240462708298919,0.6010754616455485,9.69552196677113,2.457599733929159,2.8211253924177235,1.3383051732385214,45.12912034786779,0.08463275232004756,0.1947025192575109,0.2851055514179053,0.5644408229954637,441.472703276556
