,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,191,21.99074074074074,582.3344998338627,16.151496667014364,2.509828334686869,0.371765885573874,600.5747186232927,18.72201742613037,1.2854851229518875,0.001196019387004033,0.11093292064294658,10.69326604475217,7.594762490637655,3.188483665507684,0.7336388007421866,65.97938891986418,0.20203345567132783,0.37746491269805893,0.5860923121869951,1.1655906805563818,652.4099166371238
1,1,190,21.875,580.9538468478527,30.500844172664774,4.999119186780453,0.7697677166730926,539.7113735888922,35.82181878247458,2.3804510751044194,0.001147159395762773,0.2193913573830356,21.015485610535464,14.210325318850874,6.164967532921675,1.3448410059112235,65.27856617848583,0.3803752090718493,0.7463180921169027,1.1385668912270883,2.26526019241584,638.389307089468
2,2,190,21.875,578.7140166657816,28.13334768298485,4.2805633583669955,0.671564845130791,562.4731577082285,32.633470311094584,2.1152859518086173,0.0011275179952319773,0.19387734252456165,19.33144418298303,12.723376966618268,5.558934429543469,1.2686593927726864,66.54649365299255,0.34255973448077626,0.6709480907403003,0.9811869976730424,1.994694822894119,652.0480603299627
3,3,185,21.296296296296294,581.4122924821102,35.19392784436134,5.592073963731562,0.7555089486728529,586.4250684620868,40.65452284343906,2.7147225283083283,0.0012262938183533196,0.24668324340212802,22.169569267778673,18.287741281745706,7.011972481244752,1.518200917040149,71.55025993222218,0.432495774101966,0.8854545012005417,1.282616098311009,2.6005663736135167,701.0022151814646
4,4,190,21.875,583.1641016775014,40.684758337715344,6.850600831235202,1.005946843002592,545.6468867635347,47.74114869330453,3.250683078106664,0.0012020555804776005,0.29856474014050144,27.9828399878072,18.934018981449263,8.186553443013063,1.8333040503180005,69.63272629743112,0.4725778689984936,0.9594959563924583,1.536727065442493,2.968800890833445,677.4024687082339
5,5,192,22.10648148148148,580.4067437342852,24.583011280578983,3.792783325017309,0.5584373289295586,554.0978432840982,28.48863411806215,1.880959165253839,0.0011657968690452244,0.17494902432499057,16.27321732122926,12.510621038686777,4.9000803581007935,1.0723170460585287,64.41057035088889,0.2941154666059573,0.5886642520377361,0.8447581306346378,1.727537849278331,633.7883396152583
6,6,184,21.180555555555554,578.7954624968086,36.0480290688393,5.38327214778178,0.8022139655775977,531.4397127736622,41.395040283554934,2.8223902838020005,0.0010342476128241366,0.2392951007496643,23.35097529610058,18.278098816785686,7.109025967601108,1.583086474219393,66.28643037437118,0.44004144116613125,0.88286299816475,1.2393493433979228,2.562253782728804,647.6634529129154
7,7,186,21.412037037037035,582.2718984956404,13.501007486134398,2.018425157707005,0.29731546225388156,591.9947492373425,15.423399479137716,1.0719410261742552,0.0011997050705108343,0.10002717568732465,9.187661531649239,6.517320000807079,2.6824838431559637,0.5622865898023379,64.11838445827227,0.1575891244965573,0.3186339668643558,0.5057113115671815,0.9819344029280946,635.152089566201
8,8,188,21.64351851851852,580.0983548287197,28.240271017645476,4.548325055130349,0.6979768373395498,551.8799088120685,33.15414519232473,2.1105547386246757,0.0011417459584576082,0.19874755909588782,18.779540074089056,13.747390646903018,5.722621989124456,1.2102302664674587,65.65277198643194,0.36207634129141847,0.713687978955712,1.0693924914759754,2.1451568117231057,643.6564706724055
9,9,185,21.296296296296294,578.078095074519,33.75530879784785,4.8414114763205305,0.6836857398241127,572.2043385571816,38.61872376207954,2.3951058518534865,0.0012065132109903287,0.2183839837852979,22.40983378007298,16.76721325198477,6.625546345902989,1.438877593392378,69.46839777651434,0.4059230001185517,0.8049822293407164,1.2376071999832252,2.448512429442493,679.9983143028261
10,10,195,22.453703703703702,578.849696040494,19.090563397921045,3.206308561707795,0.49113229564342137,602.6461136738449,22.51035068401477,1.5573873625813037,0.0012271366731557761,0.15427540002939116,13.221610413373922,8.78061418930432,3.9065205372668426,0.8355090293428954,67.36891238737421,0.2275745136917458,0.48139239473595224,0.6644122236567691,1.3733791320844673,664.5533814004142
11,11,195,22.453703703703702,579.8271838980461,27.903534535866136,4.606000777460068,0.7123712073896981,526.6322602627173,32.79379169325334,2.233153391538913,0.0011351101362483704,0.2301239296182364,18.68526017201473,13.83671975958583,5.525701073880549,1.3432687420767664,62.990151857979065,0.3353133128448271,0.6852849339477257,1.002439820369316,2.0230380671618686,617.841098550685
12,12,191,21.99074074074074,580.3108235643788,22.772661625737513,3.476987128554464,0.5459044412351054,582.1715941709183,26.36299383197016,1.832369289254233,0.0012377613664413642,0.16968865813603698,14.704360712979211,11.35625997799028,4.514736603386231,1.0333619348212433,66.57921647426522,0.2722038723796738,0.5470937496660396,0.8070428518699545,1.626340473915668,655.8641358972856
13,13,187,21.527777777777775,583.1632980618881,24.929996034038624,3.8935818526442545,0.578086007613874,576.7769780146546,29.039287931012833,1.878946660681423,0.001119953860092879,0.17752594957468626,16.77006410196907,12.134592852037068,5.043124468494304,1.0350892104673497,66.84752235431877,0.2939267104734483,0.5939561726042929,0.9260906638550251,1.8139735469327665,657.3023024820119
14,14,183,21.064814814814813,578.8078081602721,30.054603928301013,4.3431710230475185,0.6193606447499281,551.1414309058807,34.3149798313829,2.116361152076682,0.0011187318587021111,0.19390606538631588,19.211595188829016,14.871702221828272,5.926799571811251,1.2357904557294206,66.01481267835587,0.3609685794129098,0.7242352936493376,1.1348542099590806,2.220058083021328,647.039282615074
15,15,182,20.949074074074073,577.8518442582755,17.610053984116465,2.4806560391772132,0.36596141946175775,607.5589828490594,20.084655651073707,1.2336638402796931,0.0012864785476593957,0.12391460635194085,11.944078361353723,8.043286149727916,3.47525418517394,0.7252462733793267,67.1415169882494,0.22117029626609971,0.41720399197922065,0.6468161553260527,1.285190443571373,662.9881519199205
16,16,187,21.527777777777775,579.1083756992539,15.798659440194829,2.5706502514706306,0.3623584918519972,580.288928879328,18.44420737225065,1.242688457966142,0.001208772513093247,0.11162879482867324,10.506483200453143,8.059067215796935,3.2198993363730226,0.6567003321734625,63.867493247419674,0.19268912718681844,0.3832624710389531,0.5820324833527274,1.157984081578499,631.9139814263258
17,17,188,21.64351851851852,583.4442028717814,35.3291021859081,6.063992284937791,0.8855823133280745,512.7260153968349,41.97513630868818,2.607695060185585,0.0010780032144021405,0.24846737337755853,24.542039006557737,16.904001077489088,7.2400479298385605,1.5326622787548303,64.43232929677772,0.41513205590801694,0.8522733201054319,1.3207986540169463,2.5882040300303952,628.1019842425874
18,18,198,22.800925925925924,583.1201262352085,31.003568656804877,4.811575557311968,0.750216995675457,608.7019836187284,35.68208690830506,2.6858531270246107,0.001414867792556332,0.250632011022477,20.59060236507859,14.10845702271703,6.171359886276027,1.360168536212759,72.22658899269167,0.3536866085768126,0.7471580464477341,1.094626080277198,2.195470735301745,707.722787923173
19,19,190,21.875,579.4614249635645,28.178511446487132,4.141079784481548,0.602870470501833,603.8975317236267,32.31613345349579,2.088926844687421,0.0013179661958834035,0.19158914371334967,19.36660924342375,13.21112745062799,5.6099635523213385,1.1659628809852214,70.64185988118213,0.3164372413843125,0.6565175591640053,1.0219819596461845,1.9949367601945025,693.3999514773187
20,20,189,21.75925925925926,582.3094442334633,31.880211890649736,4.8639070469363235,0.7329224642838575,617.1726839484102,36.83987635780368,2.444370943379919,0.0013463459068369522,0.2348737792253745,22.019097790409138,14.84824053753174,6.313256432672706,1.417920132902992,73.3894838774535,0.37532422449994035,0.7612182849870832,1.1453293934578905,2.281871902944914,719.0314817826483
21,21,187,21.527777777777775,582.8153445353598,42.3919458369468,6.153745405128888,0.8742579371135426,570.480318692517,48.53964075772026,3.114037748064763,0.0012079477710281346,0.2780635290293082,28.217705008295177,20.00452879343202,8.419226339451736,1.7474607647184293,72.44203814635571,0.5010396629768646,1.0238430449923062,1.4694342291191844,2.994316937088355,704.998750688982
22,22,195,22.453703703703702,582.7167363803111,27.18429525645335,4.717618322893045,0.719911775200963,552.307578914784,32.369197165663074,2.1214301179256,0.0012078173316948586,0.1966703660265788,18.603794620751337,13.7705762818073,5.629609688614999,1.1552339816242119,65.3838837908364,0.3200713968061407,0.6224823596384402,1.026696860141664,1.969250616586245,642.1425803049109
23,23,188,21.64351851851852,582.7736820351503,30.26343674648996,4.988630071572154,0.7369026058777545,539.7127316190443,35.457259838266424,2.2988767927669773,0.0011111841122447043,0.20150174816257588,19.981270448654637,15.389881373258088,6.043762546767417,1.377252218306008,65.15508611018848,0.35216196886408263,0.7525100244128299,1.1270083356976783,2.2316803289745906,638.7030270735986
24,24,196,22.569444444444443,580.8309787078654,29.440248103072246,4.657370566506645,0.6968973545711369,571.6049749741022,34.28553472275111,2.289208952487627,0.0012367937985348252,0.21116117943932375,20.0207811822425,13.679137875422294,5.77220810727867,1.3896077059310958,67.97340710270302,0.36426427753459667,0.7036157496029051,1.074753250970995,2.1426332781084967,666.1702196134694
25,25,183,21.064814814814813,580.4021987073519,38.59422628763535,5.730483392357631,0.7756931285668391,535.5392135224738,44.084555289302905,2.878717952578373,0.001140285310372785,0.25042518937639363,24.554772029867305,19.921880894611505,7.6387515720073615,1.601000858537101,67.55549488753908,0.4481623132499102,0.9200076302362489,1.3663708928280598,2.7345408363142187,659.7506292090718
26,26,185,21.296296296296294,580.8460863947543,28.373540758433695,4.398437197884816,0.6659167375180562,558.2267772970588,32.8358258633366,2.227072557382197,0.001184505906847172,0.2115622721242903,18.6917263750426,14.120643678351964,5.678601077092347,1.2239356175444502,66.21453929682788,0.3432828587706253,0.6573362638344709,0.9750499581277069,1.975669080732803,649.9391666433669
27,27,190,21.875,582.2215570907267,32.406159312946215,4.695764407323812,0.7544946107434307,523.4938156303152,37.33245236349554,2.3591533678827754,0.001193277978818365,0.2296943363652471,21.254287856966467,15.47026821399856,6.319704064520072,1.4677904168711329,64.14178669283163,0.3663923817784519,0.7948437295704494,1.1548084859670584,2.31604459731596,626.8465345997569
28,28,187,21.527777777777775,578.8111707083089,17.747749366854123,2.8727526586940093,0.4201435104391922,619.783423741252,20.669961974987554,1.353222190481353,0.0012886654709438733,0.12434871948429976,12.037202593734783,8.51032691711818,3.6134562787809683,0.7260698415458587,68.52348150409831,0.2135800884366463,0.43397233028439136,0.6580174993421934,1.305569918063231,677.1283137831717
29,29,189,21.75925925925926,582.7164467223088,28.6661084141938,4.129329115501506,0.6067346188296382,604.9303953537341,32.9313007420286,2.0279341577074192,0.001217093837098558,0.177485087811284,19.58751198419096,13.412212360903508,5.725314335028101,1.1619244311496777,70.92038672994607,0.34012219884519307,0.7088668486141164,0.9919127312543586,2.040901778713668,695.8108574894384
30,30,187,21.527777777777775,578.3972033882922,31.597294192401254,4.599587834046716,0.7310154884639984,533.8798324509883,36.09171151598492,2.595144962464163,0.0010487887338514656,0.24605945146471156,22.442166943915602,14.371181851204716,6.268561002498472,1.3348835512577837,64.89955114949862,0.38771270068666386,0.7554138617487779,1.124733835756695,2.267860398192137,633.984181487701
31,31,183,21.064814814814813,578.4114393511849,25.160007775323574,3.535152643325327,0.5032967180740846,614.1460644810826,28.633591502591376,1.715144888086289,0.0012578839299438717,0.16314239756738855,16.103948567676213,12.56763667624838,4.925378164283521,1.033934888271005,70.48957898467859,0.3105101225877971,0.609917733119577,0.8967197396970448,1.817147595404419,694.2017556141878
32,32,186,21.412037037037035,581.8720650535067,30.32642054684149,4.70017984240464,0.7325588711213663,522.257647854167,35.09165301163774,2.431439382798541,0.0010965676485212618,0.21989033589070375,20.662692219071932,15.144347979901118,6.055862636433257,1.3269060697275727,63.36214818871236,0.36330180954916347,0.71002705566025,1.1114367179745008,2.184765583183914,620.4727686817558
33,33,192,22.10648148148148,580.6150670603545,32.41990441130272,4.769104343252873,0.6925080924872329,606.4732694429333,36.78091173772572,2.717735688007232,0.001365084207220881,0.2846272751228839,21.322251382036093,15.95372099368003,6.381486109740944,1.389928637490378,72.43057449665496,0.3648048699375801,0.7795772158360073,1.1884735627113683,2.332855648484956,710.1974174644354
34,34,186,21.412037037037035,582.844069387254,28.204263673149395,4.285034255210698,0.6554596909293958,561.003919690179,32.41886233657947,2.291617217377666,0.0012186661232680657,0.22642065075891207,18.843912489181385,13.744925941958858,5.676418356609126,1.154386670486451,66.44429256450076,0.339167234807288,0.7002293387214502,1.059601005478345,2.098997579007083,651.7615247283693
35,35,189,21.75925925925926,578.8384241715493,32.105424640503195,5.2541504674760215,0.810488276960456,564.3497770776181,37.673076237378744,2.4373991516646583,0.001143802213758104,0.23019570028196668,22.362528015209968,15.144959584563615,6.543304471350693,1.357095486036042,68.31602129956617,0.3980016649515407,0.7814673567621889,1.154170888490198,2.3336399102039276,668.240654806251
36,36,188,21.64351851851852,581.1413499960136,25.365898855126126,3.804082031665267,0.5157083033460279,574.8665849438786,29.16296125284564,1.8227366766527469,0.0012879459098683026,0.16746059748673478,16.79633763409093,12.040939061388688,4.963258258850746,1.1235891537231262,66.68512178734738,0.29541615203695576,0.6064943725369324,0.8405924901928337,1.7425030147667218,655.5770100956405
