,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,147,16.89814814814815,373.5056712539479,18.666578339579964,2.443952430092207,0.2868943446543567,298.95758187054275,20.879786510055094,1.1198035224752434,0.00046665617551905873,0.0866635121574011,11.025932258528007,10.707026131701006,3.699351605747205,0.6489313240659147,36.609612942344754,0.2536861937030975,0.4949583749970401,0.7632160116615474,1.511860580361685,359.0088968276085
1,1,151,17.36111111111111,371.6580484060089,19.277609989823766,2.463954330793393,0.33019639596374967,289.05018018729373,21.532404856171713,1.2333194455469885,0.0005135068370356258,0.09293829249818857,11.735272192920672,10.783371107179368,3.792752517611254,0.7007224556329373,35.83629710483402,0.2598263846535348,0.5122879259926267,0.7734708829237613,1.5455851935699227,350.80354827892205
2,2,150,17.24537037037037,372.2835993042909,15.042422028975107,1.91002033892649,0.2483990883572701,335.07420260999316,16.833803564036376,0.8763648640951883,0.0005624940374207901,0.06888357221404703,8.619782693390553,8.603496870992831,3.001073028207573,0.49661693714071115,38.90966459916706,0.1986813439367531,0.4009851871402649,0.6134006505046419,1.2130671815816598,383.3689125785578
3,3,150,17.24537037037037,370.0680376135134,10.844716581256515,1.3772912163364601,0.16629219178027474,348.12636362644446,12.118073186115373,0.6242628377264634,0.0005572985605382733,0.047116310574829165,6.6550791377395475,5.991889438392358,2.150323567146885,0.3683685350765121,38.705679091398764,0.1425098501001539,0.29787092685273736,0.43804033942671494,0.8784211163796062,382.6936759057903
4,4,147,16.89814814814815,369.361660909568,16.50997741960832,2.0957600817778683,0.27106118867680706,323.57420021035944,18.438768720174398,1.0086373240819164,0.0005107379525323244,0.06791701179461582,9.668645446136772,9.517295906099267,3.300426781096248,0.5407370369412139,38.28969764097834,0.21691211467886293,0.4454480442810672,0.6713248711737333,1.3336850301336636,376.65897744869625
5,5,148,17.01388888888889,369.75296365314296,21.02196770797741,2.7262909905247037,0.3494530813355549,339.8761174027927,23.44943942233885,1.3491630317665506,0.0006100302089814063,0.09625313398786971,12.561834109943574,11.994140484466685,4.139124804970766,0.7616939805714341,41.544204556754096,0.27540057121703765,0.5552979953259013,0.8468082823506629,1.6775068488936018,407.44176091983513
6,6,146,16.78240740740741,368.3403301030071,17.663753320199035,2.214486477329287,0.27002735963617236,331.84162310869266,19.629285282868818,1.0774651811941525,0.0005334084631445369,0.07598555869982158,10.770672199579884,9.884996970685714,3.5312790642779923,0.5654973230392335,39.50866427112123,0.24069020988130774,0.4760554792546295,0.6812853439393172,1.3980310330752543,388.15296408816124
7,7,148,17.01388888888889,369.99345352210867,14.440348472875064,1.884383876608313,0.23060607227191432,315.95706741012333,16.174787884879624,0.8537760131695096,0.0005024262479228163,0.06125572705501296,9.052840267212279,7.761333119431051,2.8552969227713305,0.5051711847941102,36.782940166751246,0.1980459496873591,0.3702824450010235,0.5914609110266639,1.1597893057150466,361.88431841594223
8,8,150,17.24537037037037,370.34952387679465,18.017276494168318,2.433941610900378,0.2977398061596632,314.808496238407,20.200429494479852,1.151248949297056,0.0005047716505761485,0.08194019683450299,11.185961115201376,9.980626497494923,3.6398576680326444,0.5819828300106319,37.9752396813335,0.23343687441046582,0.4911570759704508,0.702139110324195,1.4267330607051116,372.62077761814066
9,9,151,17.36111111111111,369.8306302338014,14.944928622371103,1.8745347248763709,0.25505642405113177,331.42852519244695,16.675998128786873,0.9055548142724539,0.0005441747589321439,0.06557012828683637,8.937167843020644,8.098721707103818,2.993339118171854,0.47891253959176405,38.49473417656251,0.19525581868687356,0.3799461118722996,0.5918803037350288,1.167082234294202,378.8887678090123
10,10,152,17.47685185185185,369.04730450723264,13.949638492590914,1.998843079271974,0.2528903874149704,360.6616927654592,15.868825210182129,0.8556622370049896,0.0006038485484807099,0.06971521005468391,8.714681493666257,7.785830341729121,2.8220895841985216,0.4847409957153939,41.13772105920109,0.18535769830361548,0.36289662241153475,0.5722225080186939,1.1204768287338442,405.8710089809043
11,11,151,17.36111111111111,373.7891288850925,21.457079039991676,2.8340491705805255,0.3416598207098926,324.6354537556722,24.089466923713744,1.238958272967937,0.0005422849670738834,0.09003395908733958,13.544592288814986,11.35081967925981,4.260580721959236,0.742933541866152,40.173092255059125,0.27154137557885394,0.5936354567899311,0.832776839350457,1.697953671719242,392.7395308424948
12,12,148,17.01388888888889,369.24725999527294,20.269410478829336,2.5284747057932595,0.3296986756910207,324.3722015551355,22.5900153999158,1.2095681796840227,0.0005576569705220057,0.0906041685142553,11.661657267986062,11.719359954870832,4.0511337547268385,0.6532794477362703,39.71435833121508,0.26635913767218394,0.5392534582832406,0.8482780869399859,1.6538906828954105,389.468194660763
13,13,146,16.78240740740741,371.6103434123473,14.17958372854265,1.801319901739487,0.2375031275390488,320.41765252106575,15.849674719726984,0.8358986544652742,0.0005620978465026579,0.06175411453382082,8.084566070108128,8.3096444663576,2.8146891965605967,0.4822039374978077,37.12690521956453,0.18513119288178395,0.386705928719317,0.5502491224755073,1.1220862440766082,366.11257270995213
14,14,151,17.36111111111111,370.05859294684285,23.102070408249016,3.1954037807457976,0.3873271704883249,307.0311772808607,25.966925400562356,1.4869798885408902,0.0004912971778079264,0.10778889312875217,14.106979229902008,12.971385337448272,4.646135983720289,0.779969123969766,39.04796570420238,0.31805707070679223,0.6079680967885763,0.9180227949329736,1.8440479624283421,381.51970252732025
15,15,149,17.12962962962963,368.86507753566383,16.52403039262628,2.2989759926946416,0.276163720334368,318.41849199353356,18.620050841347002,1.021831329710236,0.000508823920848325,0.07627561206500269,10.08799864106295,9.247502290847395,3.343045122258691,0.5403829052505024,37.807040783557134,0.22195371368603004,0.44279705046595275,0.6363417129145607,1.3010924770665433,371.668351501655
16,16,153,17.59259259259259,371.2152723277369,12.772228652087252,1.777442561421704,0.23817035071117792,312.8992732765648,14.515708146806217,0.8094953478169695,0.0005350403067962415,0.06120639723528734,7.656231883752452,7.436870134366193,2.5481531297048194,0.47741244752272777,35.9328483543317,0.17658664744687053,0.3368732473542235,0.5172449059229636,1.0307048007240576,354.567200285268
17,17,149,17.12962962962963,372.1659314855276,20.99879563224389,2.5538362563399737,0.3235160236747637,319.44027099641573,23.17516664543698,1.3430258199007539,0.0005208309444018037,0.10540699219833065,12.756317944928199,11.411948683284955,4.128734118957077,0.7176447883789613,39.43596572215909,0.27775893820744235,0.5482811197665716,0.8275361600777686,1.6535762180517826,385.8524430058276
18,18,147,16.89814814814815,368.8078402425944,15.62844357244719,2.0875875246943085,0.26740536511261753,330.35683832947416,17.48750594717341,1.014825489074412,0.0005357781452851732,0.0760141942259427,9.218648023807635,8.788861066363559,3.161719148192311,0.49763897767551407,38.66600051177846,0.20942399651646076,0.4195839924736871,0.6077016950052992,1.2367096839954472,380.6040850765742
19,19,150,17.24537037037037,372.7146566097496,17.31652649618802,2.125122486184917,0.275789489028172,346.7711427714001,19.172839803296363,1.0999833450144834,0.0005740409464467584,0.08673221259042753,10.144597768068968,9.804145471057552,3.426766938592218,0.5838914858075943,40.87204681805198,0.2341846725720745,0.47192285571506865,0.6654726744199985,1.3715802027071415,402.03509474281356
20,20,148,17.01388888888889,369.8921580275603,10.776411922273306,1.2684838256827646,0.16914120501771712,344.47722287857886,11.982864205014662,0.5861434238461364,0.0005309628282501952,0.04313857007117102,6.415275355993305,5.983711798045979,2.1335092947817533,0.3500934730323919,38.29430155968987,0.14424071968484423,0.2984114352450981,0.4220003050412876,0.86465245997123,378.6359040191442
