,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,152,17.47685185185185,467.96305454861346,30.36996919242504,4.0645528292332225,0.527789823090004,564.333543780589,34.2316167280765,1.8621227102319553,0.0009507302987647874,0.1445671914742937,18.40062146449949,17.184201977381075,6.106843994813243,1.0261866127907382,67.39998833071502,0.38549980257059996,0.8207214227692338,1.2077376407499745,2.413958866089808,662.2663044364937
1,1,157,18.055555555555554,469.9939484438015,34.189619334372956,4.582655769904328,0.5980850193959191,553.8747895866354,38.457734460605245,2.159872486601827,0.000971707114971096,0.17666750205990858,20.91529938777126,18.60123848301049,6.90061363104615,1.1291219131420225,67.72699553094624,0.4379332573040399,0.921610726367299,1.3399078183202617,2.699451801991601,663.3708216958807
2,2,157,18.055555555555554,471.01439267892204,41.88542197935805,5.580338753451272,0.7051069802881805,558.9067756410377,47.08994274195516,2.58072352528637,0.0009788145931010652,0.20550370011630606,26.8489142866599,21.738717054166855,8.167820847490644,1.6235878863344406,70.93272475267904,0.5650673615259292,1.0409896110061876,1.6124165329659945,3.2184735054981113,691.7033914295762
3,3,153,17.59259259259259,473.9284723598029,23.124387643990957,3.2496366955150777,0.4092733490222165,644.4323458015858,26.200709861483485,1.4859082408133304,0.001118185261033093,0.1073060104433952,14.455836352959507,12.5981962351671,4.637059273193614,0.8299620157958729,72.82004095265049,0.32382404664525544,0.5975402737271265,0.8887760405468098,1.8101403609191917,718.8860436731909
4,4,149,17.12962962962963,470.84642958605076,23.64539775260505,3.2382215322298964,0.4104990313820516,586.7193139007396,26.72134221046996,1.4214396014181927,0.0009804709285644883,0.09914844237065769,14.905424124155138,12.724792009068166,4.731039407625899,0.8261550049854335,67.21735028747393,0.30662178319230443,0.6147215623506558,0.9686103196937931,1.8899536652367535,662.4282830290603
5,5,150,17.24537037037037,467.7610197364068,29.473673863795177,3.9863661448398853,0.5008324139950803,607.2713375918964,33.2966004861689,1.778342482644449,0.000963287469033658,0.13309419340235387,17.358414722241456,16.94778976532501,5.851668862778624,1.0726135257488434,71.39377734828892,0.3997434381105058,0.8051255582337037,1.204203167874865,2.4090721642190744,702.7223547822829
6,6,153,17.59259259259259,468.2686543976977,16.855943998386298,2.4260093674197245,0.31209503239297853,581.4013929028473,19.12680504771988,1.1207764994962475,0.0009812532283966092,0.08663988347145447,10.233328770112818,9.821236544195507,3.3996899145345663,0.5992591926047907,64.26877006771512,0.23373560870348356,0.4499088341650762,0.662074558502344,1.3457190013709037,636.496548637668
7,7,154,17.708333333333332,473.0567713747832,21.22256507373751,2.6788989747971828,0.3350769877994422,612.3453934924489,23.643991452312257,1.2501795863996692,0.0009585213879907381,0.09687435487772579,12.258998333685435,12.004894670955837,4.121896207298642,0.7899197848983945,68.81881257031601,0.27670871369489763,0.5515075744392895,0.8390586255031716,1.6672749136373588,680.157924020551
8,8,154,17.708333333333332,473.1346266672806,27.50462678231537,3.550792553150109,0.4589343879996597,591.5633990966189,30.69712597904112,1.7787110949560867,0.001027853113178189,0.1399709623741112,17.611366805395996,14.227899447831804,5.464441044595066,0.957192668691704,69.0687130619647,0.3646738139174664,0.7514057475261405,1.127183350024532,2.243262911468139,678.5873847821554
9,9,155,17.824074074074073,472.622520284178,31.962962792130263,4.580541691185941,0.5945587681024781,567.7996999039958,36.32351917237878,2.1004192963173614,0.0009974711906850953,0.16193976093159762,19.995131472715823,17.873474253608318,6.474680538920987,1.117239139742159,68.42199600715117,0.42930282481663523,0.8653788940803158,1.2926214898164154,2.5873032087133665,671.5773359972176
10,10,154,17.708333333333332,470.3501444017318,29.277885144329556,3.955387132774948,0.49615940545580894,521.8792281226009,32.95051151821464,1.8181692892525236,0.0008628697608938817,0.13412330433938874,17.75165773593017,16.219801675449038,5.90198880213533,0.9655755603119488,62.76010829297123,0.3951708279849184,0.7711518457969925,1.1877155196450724,2.354038193426983,615.9537310180519
11,11,152,17.47685185185185,468.8181767559089,31.339086623765184,4.065267569310172,0.529453044304036,572.519544031294,35.13328145749011,1.9393102814417111,0.0009932604157265167,0.14279563043799479,19.295285877727352,17.207067448802054,6.222197745032008,1.0959587303252856,68.54028548635559,0.4204578545567034,0.8177645370900997,1.2959168371179626,2.534139228764766,672.7290950513828
12,12,149,17.12962962962963,474.3377262883471,20.529975567321323,2.8138411163227492,0.3499673881312923,597.2836547402007,23.239100000647994,1.184708987072894,0.000960143968033264,0.08519852120513488,11.728329805590937,12.231116824858526,4.11745206050587,0.7020414733094984,67.15164978168617,0.2747276548817464,0.5411933339022026,0.8531493661208833,1.6690703549048322,664.207087178449
13,13,151,17.36111111111111,472.9135820646625,23.66523056611638,2.9567065179581933,0.37167430655907613,558.3252945735849,26.35905614580187,1.432017022451775,0.0009544194330820663,0.09953233543321163,13.809965084926931,13.40971003656197,4.685199955860669,0.8055152677567646,64.29434692737787,0.3208560058134813,0.5970051870385695,0.9141969580276543,1.8320581508797051,633.9429492983975
14,14,151,17.36111111111111,468.60931966472805,25.280930953622484,3.548342821053819,0.4421684611712613,620.2490014222668,28.653986103386472,1.5402734564102767,0.0011020433805833038,0.11405379388634912,15.008777341806669,14.985940384238113,5.1268905714549575,0.8450066496045687,71.20127968576595,0.32635719237724264,0.6626583848526262,1.0606487473685446,2.0496643245984134,702.8373609850742
15,15,149,17.12962962962963,468.67439778206153,37.23691288937987,4.815156012828909,0.6555652168864524,571.3422172092371,41.721505486457254,2.291870781017723,0.000936608805394836,0.16907654011867151,22.600856966207434,20.11625002077314,7.4135802017080366,1.2838328185878536,70.53372082235666,0.49577410101939945,1.0046676526437004,1.4643909499704397,2.9648327036335393,690.0117364894338
16,16,151,17.36111111111111,471.90434513761204,22.965201371384413,3.149586112989883,0.39856009522668845,613.3585463202553,25.935864322358515,1.4170170205501693,0.0010000066215648078,0.11131852498441974,13.79183565517195,13.202711019487102,4.605352923311127,0.8006895675225139,69.642686534056,0.31055087522550145,0.6068440128867645,0.913724124185858,1.831119012298124,687.7769662969898
17,17,152,17.47685185185185,469.98159568996266,36.85131197730909,4.885910379967715,0.6657976054261788,490.58441938531155,41.63111279230078,2.1686534576038947,0.0008364123287301783,0.16435361110354693,22.05363974341977,21.437282565197084,7.413737721316812,1.23727608982721,62.331789753820516,0.47391519320172665,0.9487439210768382,1.4173493900075465,2.8400085042861116,609.8807005019786
18,18,153,17.59259259259259,468.8315913160233,22.952784160112902,3.1053849593201273,0.3882539796855455,649.5566499459767,25.884491521021133,1.3831987895385636,0.0011556744513034514,0.1059755667879915,13.489018116156615,13.476585963174951,4.592928084103712,0.7908749282743468,73.23286296811781,0.2908984125122451,0.6046665523539538,0.9169094143180081,1.812474379184207,724.0507579516312
19,19,150,17.24537037037037,471.2773843350611,28.131210355262645,3.6234416797733036,0.4865956989812387,535.2667898365045,31.644569122133927,1.652385265637865,0.0009658181400628358,0.12606018103362993,17.730860601774197,15.427041911304778,5.661141946024435,0.9244787698640289,63.67556326230213,0.37045196748012177,0.758159922118003,1.1445472838471797,2.2731591734453045,625.2178397581057
20,20,153,17.59259259259259,467.9889818816787,20.097699129295385,2.6905387237226788,0.33500659867257643,587.2578530963652,22.60119373867067,1.224556833982196,0.0009728500087885729,0.09037435750953811,11.811881762484163,11.642973557189379,4.034553896781521,0.6680272567522917,65.96429005278273,0.2730914229836447,0.5318372966324818,0.7894763612409875,1.594405080857114,652.2381551198074
21,21,150,17.24537037037037,472.79226088282445,20.691552903976888,2.9636301510834624,0.39937554160697125,597.6763639418444,23.688328693005904,1.2258999794735301,0.0009529942164643358,0.08383195643033882,12.32403070503579,12.09085253857714,4.215645834516618,0.7064201351822215,67.31725599131413,0.27504539921525284,0.5528715186718819,0.864199254940534,1.6921161728276686,665.4349708427418
22,22,149,17.12962962962963,468.22226232858793,21.45935974387755,2.981594633139503,0.3782317146223113,589.026374141052,24.204725214215276,1.3854156372240443,0.0010305877980428312,0.09765411603969273,13.269783169543961,12.158424885180635,4.325617870117202,0.7312671761342868,66.68581442424852,0.28722209678855554,0.5713056497276644,0.9001267671325699,1.7586545136487899,658.5083502330493
23,23,152,17.47685185185185,470.9090957121259,24.06394199659449,3.486106358682646,0.45223132282828377,536.281627292536,27.35733028353639,1.5919564437833924,0.0008772650369483638,0.12450113304425747,14.292868950057624,13.865085352629201,4.887417305552437,0.8367182570757761,62.393386997445766,0.32756997646442,0.6330089865674015,0.9627377215272767,1.923316684559098,614.8711096958589
24,24,155,17.824074074074073,472.7795031812212,25.716092317803028,3.3677984625172273,0.42810777606489947,645.5232554511693,28.82679500754939,1.5961616266559777,0.0011283275127159627,0.12590641604928215,16.109425053159523,13.617843499445009,5.120345106061205,0.8870246387447682,73.8172510173722,0.33774604995430896,0.6880114530869891,1.0528682414101829,2.0786257444514806,727.2890843740244
25,25,154,17.708333333333332,473.16190084509964,30.557995111799222,4.207003491726337,0.579673705838335,551.5706908094189,34.58520247105055,2.003553215784889,0.0009338079163748708,0.14527068835802226,18.885427597009627,17.133314183308343,6.146428743041689,1.082480580229987,66.25001444857268,0.40217806121016314,0.8260546897455319,1.2209688647388275,2.4492016156945224,650.4617484241672
26,26,154,17.708333333333332,472.10389439766783,36.46171261935888,4.696980201277784,0.6006476475352783,527.3418624394254,40.79161175479856,2.229694734900834,0.0009356834446354989,0.1649582137394849,22.63306763579023,18.850981248647656,7.318587603388327,1.1848730014050257,65.8119956081617,0.4648545325584495,0.9651311696519768,1.3826733810923446,2.812659083302771,642.4555042312245
27,27,151,17.36111111111111,471.8397205258572,24.564138308397034,3.1197829117179476,0.3499782522428939,617.3363414433938,27.293566339824775,1.4775314830172313,0.001022261204171284,0.1181976980419928,14.53086086582796,13.726864779973143,4.834695238186179,0.8454351601419235,70.5092291914461,0.3317984929828461,0.6518207888855144,0.9528983482495209,1.9365176301178813,695.6040715062593
28,28,153,17.59259259259259,470.4848406593412,29.64914074754642,3.828887256915045,0.48731143898220414,573.5279099352991,33.2058295175913,1.7546674911086884,0.0010089176611048105,0.13043257792123508,18.30603720659227,16.31116552956406,5.921530758768853,0.9813627689440483,67.99634634798475,0.38127479278778337,0.8065608729038567,1.1629150979062257,2.3507507635978655,668.1499977038999
29,29,149,17.12962962962963,470.30905835927007,17.28690593160249,2.239761497121301,0.2850443842932722,576.4985862637684,19.356198822857724,1.0545011718475152,0.0009350725689757687,0.07906380160637201,10.498759731394722,9.775989847249663,3.419010987881677,0.6121389157959458,63.86815383021763,0.22604440214138197,0.4680835331101721,0.6951287526360627,1.3892566878876167,631.9973933844809
30,30,151,17.36111111111111,471.6548859231761,37.57767203895717,5.225682160053393,0.6304856883768106,539.5051772090852,42.303954754863476,2.4233723820539073,0.0008868179136754213,0.18791845774595592,23.466613122430243,20.7891601537033,7.483004675501936,1.3451285266250403,67.49949066452892,0.5250204548520897,0.9753390079227233,1.4180421663090863,2.9184016290838994,660.3908444939636
31,31,153,17.59259259259259,468.121271811251,14.907926261638524,2.1380308901672955,0.27512123982212083,605.5260966961956,16.988076843261055,0.9166157540412545,0.0011174235264454241,0.07155964545280856,9.300801661881163,8.216119902836567,3.001505733325237,0.5323326343742572,65.9761052292793,0.19615846572068954,0.4015603597121414,0.6109616769804526,1.2086805024132836,653.7831835270543
32,32,153,17.59259259259259,472.569264875345,22.58808209473446,2.852920916985252,0.3893819950100108,599.0255204592669,25.27150939946024,1.4174173707571833,0.001025236721672148,0.10871888561599671,14.020868508443813,12.085022365154689,4.428875541059412,0.8402252795817916,68.01435408586626,0.2982888216630764,0.5956375878365125,0.8754463475455857,1.7693727570451747,670.7780723013927
33,33,151,17.36111111111111,468.3593736720346,18.211268237810465,2.2461530950845394,0.30105922908106203,565.601181934511,20.298641059472633,1.091134113885493,0.0009413710431426471,0.08161394225571847,10.666490794998012,10.447899363754724,3.593937064459615,0.6262332524942151,63.07971954157642,0.24521740290874222,0.47938170175353473,0.7248075843996639,1.4494066890619408,623.9494693529144
34,34,152,17.47685185185185,470.66060639096384,27.299454098597728,3.7326785290214364,0.43503923739538464,585.5389705662974,30.632152079611707,1.7402733797001124,0.0010331698396281906,0.13332644865733873,17.318443693018477,14.760384750258403,5.472187342850309,0.9204646254925123,68.38844001673664,0.3481195142892537,0.7146280280589948,1.0946633119072275,2.1574108542554757,672.8233750819774
35,35,155,17.824074074074073,473.58498665153775,24.278111873828298,3.4650509306143222,0.44782140219188454,597.4556779286818,27.58959089096133,1.539004395786441,0.001048112979127965,0.11395800764210971,14.63732196653998,13.72044134729712,4.856176912491498,0.8927047223827044,68.57365120474392,0.318031035144186,0.678603689927465,0.9772761525608124,1.9739108776324632,676.333497402489
36,36,150,17.24537037037037,469.90716391913816,18.54607041273734,2.5295702024191815,0.31742327338799936,563.3692225323471,20.94392448416448,1.1118793152730138,0.0009556644463606961,0.08094141079347812,11.20766735372178,10.440594167536554,3.751395804295551,0.6068079741281897,63.04523521801959,0.24958044722978998,0.49761529603269306,0.7543259085175519,1.501521651780035,623.2003068933091
37,37,155,17.824074074074073,472.677314354646,28.98895095977564,3.8195747833725027,0.4874879281903123,592.2057403748869,32.552153609235056,1.7858813765008075,0.0010057400072340653,0.13622472804644586,17.504891789477195,16.019224721192558,5.740614856734138,1.035686931194195,69.65736989791557,0.39028505136473846,0.7558808563109587,1.1617097787515402,2.3078756864272374,685.0804216955629
38,38,153,17.59259259259259,474.28165252005016,26.32384994619884,3.80746556615815,0.4988654728565611,588.84762770452,30.10473456622756,1.6137688393133012,0.0010409134861036648,0.11753049179907539,15.681162475563413,15.411114561618405,5.33564822781121,0.9289896184475716,68.49772016421863,0.35360953037338816,0.7420460648710901,1.073843049870555,2.1694986451150333,675.160134553552
