,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,187,21.527777777777775,579.1456754326465,30.28774363760295,4.627948611155221,0.7259064089240734,526.5164425993081,35.1245836367271,2.2513049946064307,0.0010909623272588743,0.20964857127558903,20.98282528709304,13.933829976382109,5.962804931812025,1.3846767566167426,63.753942950710716,0.3846498007724887,0.7082978267871205,1.1071815802914171,2.2001292078510266,623.2261102945887
1,1,189,21.75925925925926,578.1148901099509,20.37574768221659,2.8403585401000577,0.43960007983577815,621.9088273395149,23.333044704375773,1.4476342652880458,0.0012909470445418747,0.14260297967788374,13.995886119224373,9.133936582522054,3.991958193734965,0.8835486289230028,69.59276791162371,0.24748857467334065,0.5003108719779286,0.7334235436293216,1.4812229902805907,685.9797729335143
2,2,188,21.64351851851852,579.6843800843269,29.271321347224916,4.241011492479455,0.6251681320443409,586.5225379579188,33.38429503326068,2.4083317588479463,0.0012782896446273955,0.21921444056805947,19.600296144992924,14.308366861849036,5.806690984517356,1.2427817809908404,69.30870881228468,0.34088773698815555,0.6714351848443617,1.0478289456284864,2.0601518674610038,680.0911499468068
3,3,183,21.064814814814813,581.1595093177742,17.568271229601102,2.695700127236099,0.3827862894297803,590.5459739408949,20.187073427672658,1.3536157027634803,0.0012365438582424273,0.13149324066443377,11.077152205489984,9.210982992087526,3.51427603168391,0.731154855539995,65.46952162159351,0.21521583987468224,0.4103214502654217,0.6249663987084266,1.2505036888485306,647.5730680702808
4,4,193,22.22222222222222,582.5320649366533,21.419240813428715,3.3178332796300505,0.4725732420024668,626.8057297230255,24.756182610899764,1.5911430039600938,0.0012896313484280948,0.15711591720682813,14.522112368650365,10.413976047834932,4.207760665601026,0.9739442827164075,70.51181388001555,0.2563682849452034,0.5196086598741221,0.7622408674615457,1.5382178122808712,695.655007029935
5,5,189,21.75925925925926,580.6195636978466,22.000824080278875,3.3395424627573322,0.4532325502559427,594.5246820648327,25.188287179836482,1.7359461439647488,0.001290164890282215,0.15833723082333204,15.15796493817,10.16990172436857,4.31190681121921,0.978167308761997,67.46015594305378,0.25068365403596177,0.5427812970337359,0.7748114385103009,1.5682763895799985,664.4303941115693
6,6,190,21.875,580.8717266332704,34.12891127856549,5.824421697757862,0.8334140315931448,550.3791987777164,40.231985252871944,2.608400654765358,0.0012592167351368874,0.2507197046473043,23.200517138261333,17.030065137328155,6.792577571542356,1.610425870711683,67.67593263552799,0.40555329631799664,0.8374503034551264,1.2482636355170609,2.491267235290184,662.1826464295249
7,7,187,21.527777777777775,583.1934640137504,28.748933012363835,4.352629320797392,0.6134217242083628,531.2017197463798,32.98253844802778,2.2432466564713245,0.0011254709368551696,0.21464054858703252,19.81988708473228,13.412782386866626,5.676464249696306,1.2479296681439966,63.604341644781194,0.32916846875578826,0.7031257611279959,1.043107136984481,2.075401366868265,622.7708325993477
8,8,187,21.527777777777775,578.874309331597,32.35069386042645,5.029932629216655,0.7241132502348621,584.0785392709654,37.599930136479934,2.338223727674729,0.0012349519964283083,0.2141998903767866,21.96813392408675,15.521680790952779,6.38213293505961,1.4651966620815036,70.23751964182172,0.4022146748397257,0.7527727500127523,1.109457216182108,2.264444641034586,687.9703227464997
9,9,190,21.875,582.6531488827147,27.87771831123115,4.3594879631626675,0.6812455296842621,621.2430056766891,32.538677485169714,2.1217624890192495,0.0012712657358825454,0.18425354370673747,18.41366322995083,13.546246551252032,5.626338601111419,1.1844490233091434,72.38733174121829,0.3324243784129189,0.6659372415563768,1.0151890406540576,2.0135506606233533,711.3780071006948
10,10,184,21.180555555555554,583.2974762694611,35.33755034993825,4.945764108834625,0.7359004241247935,596.9043378230267,40.23802422122141,2.5634413408188785,0.0012821879462746088,0.23850873194538796,23.163620426519937,17.151574037094992,6.8684543294267515,1.5434245961879665,72.4960807069853,0.43207163288174877,0.8813632071090604,1.2926650511427535,2.606099891133563,709.1343620416995
11,11,189,21.75925925925926,581.7668315095782,30.669267305466526,4.865170303026422,0.6877958584083956,575.9554963317971,35.38678048837778,2.4493405105116897,0.0012820116578234856,0.2476537636525934,20.32467240997665,14.9266375729361,6.135852873579334,1.3195844846174531,68.8423502238403,0.382271371718841,0.7511406731982314,1.0618500821045616,2.1952621270216337,674.840123631053
12,12,190,21.875,578.3285833393527,27.80678837504333,4.426053698761134,0.672271084413885,622.320981494811,32.4323872267009,2.1985756194664754,0.0013775071880694244,0.2116478512349703,18.232305963254408,14.111819994854365,5.560103119175975,1.2544228415041838,72.48768519854401,0.34463326625691304,0.6606969104545266,0.9958281592837409,2.0011583359951803,712.9975871491495
13,13,185,21.296296296296294,579.4763815007933,27.60584077428061,4.33411622678306,0.6141099656102182,577.9573155011022,31.91231544936621,2.135901354921019,0.0012180112941756805,0.1970947815317833,18.116884983870367,13.86007735162537,5.534287441039725,1.1697402088894922,67.9305208441512,0.35033073765469164,0.6422696277009016,1.0382407458071248,2.030841111162718,667.3528581776065
14,14,192,22.10648148148148,580.10332870213,23.406584791364708,3.6236510512869993,0.5392781345549372,572.7739270981747,27.027703697280568,1.9435190332056989,0.0012108610181686865,0.18757823168187257,14.936462294165533,11.981757409329626,4.608407642791116,1.0789087348905257,65.8745800782481,0.2745781227291169,0.5823912767903452,0.8679169993062971,1.7248863988257592,648.8974130844047
15,15,189,21.75925925925926,579.9030762355065,21.601410126567945,3.6736360954253375,0.5480467396383296,553.6823728402652,25.552666417230476,1.6526308481337848,0.0011496970449612796,0.16127870142928347,14.309929530051647,11.37283489340092,4.387603174806453,0.95793607046731,63.401699495756795,0.2576860207080043,0.5469594214761312,0.7946938117544079,1.5993392539385434,625.1909048583486
16,16,194,22.337962962962962,579.2584495562022,27.473495541390264,4.278127904903526,0.6420933383390716,569.3220311117784,31.927454367441058,2.1104597448443925,0.0012874822667355357,0.18985298527379707,18.10403066670564,13.271750177969059,5.4449650435891765,1.24406215290199,67.00690549375082,0.3371068876524389,0.657156282984052,0.9400569261598754,1.9343200967963663,657.8398999474938
17,17,190,21.875,582.3961534250412,22.448956861632034,3.4503204402995444,0.512866506019898,606.7819980718748,25.983064227583398,1.7724800808436942,0.001330321196212465,0.16151793383172305,14.776870454176558,11.405900128285777,4.460460628347901,0.9873406510429056,68.89926691275824,0.25755079964153466,0.5453590604634811,0.7982117763093676,1.6011216364143834,679.5673574873723
18,18,189,21.75925925925926,580.5390091159103,31.358186036159918,5.117540658169992,0.7230687423012249,592.2222326307298,36.59560616529587,2.4491879108468444,0.0012609404339687896,0.23658340805429637,20.977276321189866,15.442242614644911,6.327782704952197,1.3545224824473536,70.78832230961369,0.3920186969248916,0.7445305140670601,1.1300424724176832,2.2665916834096347,694.094805977446
19,19,188,21.64351851851852,578.4870229680034,22.967687478210426,3.57801366165796,0.546357620362878,615.244527854056,26.508656646669763,1.8720582955595975,0.0012712297774419264,0.17354753364998193,15.050706514435232,11.57727816808086,4.637519511520934,0.9497756013341371,69.95270790763058,0.27950473277497945,0.5592877298704296,0.810271966290624,1.649064428936033,689.705758029816
20,20,183,21.064814814814813,582.043282538698,33.109805796552024,5.070453629184204,0.7172400940716686,557.5087278649385,37.98533090537074,2.6194022080384696,0.0011293439921189934,0.22922055195388635,21.90682202132505,16.333578367044034,6.599704542329709,1.3914281723844713,67.86905865286096,0.411172900444769,0.8053140002826255,1.2564602871445438,2.472947187871938,664.0389686637317
21,21,183,21.064814814814813,578.1397198629893,17.0082288702822,2.770388351290959,0.38334801124343426,635.0340182726246,19.744322509208796,1.3388079748597996,0.0012729514658124822,0.121484922151426,11.036125973910739,8.768544052173755,3.4773244598237394,0.6788383950124189,69.7769583994891,0.2006531315818374,0.42573826630534894,0.6359444516954105,1.262335849582597,690.5889146197196
22,22,186,21.412037037037035,578.3897344268048,25.50340873818948,3.729152033828462,0.516576622650472,603.7409879735035,29.175671266867184,1.8371521663192938,0.0012081585660416237,0.169496993858775,16.533279230721035,12.639386884380718,4.939696198435467,1.1490851904888317,69.62018359237692,0.29563913901890015,0.6084788144052868,0.9351624474343101,1.839280400858497,685.2411026279467
23,23,189,21.75925925925926,578.2603712204913,29.72078387635909,4.75181080456699,0.6858138479484648,552.9180607135218,34.53060915149864,2.378413959112707,0.0011636325059911927,0.21038283566917945,20.02626979941186,14.130248703952612,5.914036592487246,1.3392958855960178,66.23787497741687,0.36475574894300655,0.7156685037656545,1.103387990762598,2.183812243471259,648.7644322466899
24,24,190,21.875,579.1483065838149,24.745489059007554,3.833178947585777,0.5617196022416879,593.9293208203242,28.565317827940845,1.973532587681443,0.0011750085687137887,0.17383841179015957,16.424039598898105,11.98321637888752,4.948703883749157,1.0601595263339112,68.4656243888602,0.29960373182585454,0.5973510996072822,0.8887421105182709,1.7856969419514077,673.5613489960623
25,25,187,21.527777777777775,581.2367663017814,32.2568592015212,5.071501488058097,0.7266513464015276,575.8692135646634,37.55205127198182,2.350005458954076,0.0012274614831438153,0.21523658265798318,22.339057699214774,14.95547407928314,6.476887504368288,1.3680786446465543,69.43845332589771,0.370084455085244,0.786006554850333,1.2102117181383507,2.3663027280739275,679.2094893320931
26,26,186,21.412037037037035,581.3026127275599,31.736753745175772,4.708834866457199,0.705620767636709,561.1071009666092,36.214372092371654,2.5611676163485915,0.0011403557230438793,0.24707807993318853,21.07459211485861,15.57159080051211,6.231208904392281,1.4009707585076394,67.67753577928514,0.3761663763645414,0.7441510272808946,1.1856542484960866,2.3059716521415226,662.7918106058087
27,27,188,21.64351851851852,580.099217094263,26.21311395096707,3.989027738196238,0.5432269889464983,583.4320939105123,30.09148941730887,1.9982279982327862,0.0012394714531783735,0.20213726736548435,18.116237181975812,12.20010332729268,5.102070601670462,1.2112285712708284,67.89875172285424,0.3044069402412878,0.6526824744505595,0.9245219906567093,1.8816114053485564,666.8655706485649
28,28,193,22.22222222222222,582.4323049736942,24.289899999333386,3.851970304852434,0.5409027129108555,583.3617900432274,28.15970221026995,1.9586628287204348,0.0011569390643172573,0.20747185508154997,16.296922284358462,11.636861308395961,4.852496130120765,1.0839721862907084,67.27221739867207,0.2927338093497831,0.5951710732078048,0.8411256568500337,1.7290305394076215,661.6739170576755
29,29,185,21.296296296296294,580.6240964103365,20.754393813108994,3.2768867463867677,0.48350329345825593,596.8428061551732,24.015127266929166,1.61790284727094,0.0011637233399803336,0.15496047985789133,14.146132719769772,10.174248322661622,4.167494922814385,0.8734763388791916,67.31749472645961,0.25900064490311053,0.5239732625482858,0.7830972075116934,1.5660711149630897,663.9280350248436
30,30,190,21.875,582.4618470595863,28.758003215473835,4.147850364359308,0.5731806989004188,559.5065893070812,32.64185456940627,2.195521812327264,0.0010846273081068169,0.20951452345165003,19.1294129107141,13.309578162728307,5.615803786699296,1.2404145025900621,66.35617159284871,0.3450518853213499,0.6660818019573884,1.0297573772784308,2.040891064557169,650.2402866348829
31,31,185,21.296296296296294,580.9089426693117,30.04737759034593,4.713604075065008,0.6886930213997702,545.9136288240529,35.06992460008352,2.139596984610505,0.0011546766629664086,0.18943986835288892,20.997083348495682,14.347910488281462,6.124427627312203,1.2049926279488934,65.65859626152107,0.35636726583381206,0.7323622420045922,1.1327109916163765,2.221440499454781,642.6621908835708
32,32,184,21.180555555555554,582.0607761686925,33.218520069206384,5.1850981919940535,0.6537650134029133,566.4966913323834,38.107649885471325,2.5606676775896924,0.001093077152056098,0.24070279534944117,22.787718172822533,15.830437376855723,6.580488372010391,1.4180736548848638,68.77422969902338,0.41222350615216863,0.8057757648460344,1.2188084016355567,2.4368076726337597,672.729995118934
33,33,185,21.296296296296294,578.3794904905245,33.098373662429594,5.303057446311561,0.7239659397068656,523.7863355118327,38.62296386775969,2.375538284254696,0.0010768724813859127,0.21166113767611938,20.7018048799199,17.320000065840215,6.648171634189733,1.4176899806048333,64.55562757836027,0.4198933074136689,0.8010577439421925,1.2072157551273837,2.428166806483245,631.9370012095707
