,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,209,24.074074074074073,858.7459283862862,10.813720083995854,1.719976113856483,0.25707016310429986,164.7979057677234,12.50550000359825,0.9685657618155723,0.0003735951296395224,0.09453632927848067,7.133457605769604,5.04834912045296,2.1761738435619735,0.4746750248489061,20.458490250121972,0.11649333788065638,0.24846366611302262,0.3819484400644048,0.7469054440580838,199.6037512514239
1,1,216,24.88425925925926,858.178226330083,7.568332712939068,1.122332386253996,0.1908528822468272,178.96859729991544,8.761908403972633,0.6425520295916394,0.0004055994072499153,0.07364464521932702,5.080551184311521,3.0761084089462707,1.4712992729259358,0.36978169557159074,20.657108604975082,0.08208793428001575,0.16913162180992541,0.2407035808558352,0.4919231369457764,202.73773847393576
2,2,202,23.26388888888889,853.5221481136817,4.527810371255863,0.7036867600408601,0.1078796971107585,178.02981148896012,5.259626706171569,0.3577640481389512,0.00040191223666500225,0.036428686386779555,3.0484841756064007,2.131998758027535,0.88154621999466,0.21993545881244667,19.460035088117316,0.054287586264040434,0.10106227240625383,0.15613869674973865,0.31148855542003295,192.56837866255626
3,3,206,23.72685185185185,853.9827646061849,9.61524050746774,1.6010261569588797,0.26051855899982684,164.30620014196614,11.34457204083995,0.8216879670585817,0.00037467991261788317,0.08844639094679473,6.732794230428141,4.299112685738758,1.9080288853117546,0.4744659423334652,19.993533501631113,0.11152526823719514,0.237557056276701,0.31423467258458826,0.6633169970984845,195.38299095463296
4,4,207,23.84259259259259,855.2826041015436,7.039415537685883,1.1457315700381796,0.18366161431133018,167.67723300231293,8.268931634162161,0.579329916225587,0.0003694814504134087,0.05745541407087573,4.959526890445415,3.1904511866081067,1.3852055283027853,0.3500347940297404,19.3641247057805,0.07710902261289063,0.15218024897342156,0.24713354492308087,0.47642281650939305,190.35424249570738
5,5,215,24.76851851851852,854.9247712510529,8.552240916902202,1.4808107035951752,0.2342819932016632,171.11431200618537,10.159909064629362,0.7391153359909947,0.0003854967134626465,0.08175225833111532,5.971016535935991,3.765573591588112,1.7298317212101968,0.4103336968675828,20.2968030251253,0.09251046777468491,0.1979588367457543,0.28523467953642373,0.575703984056863,198.84425076927207
6,6,201,23.148148148148145,858.4062479392477,10.804853704535919,1.7182816572140567,0.27156289952091917,158.58955305070344,12.603579404318893,0.9156883199664323,0.0003481840083919629,0.09167228062366174,7.238993833946298,5.176467061560392,2.1652359941241537,0.4892598533420881,19.836370389356194,0.12494793997123642,0.2618512872144417,0.34784885271134236,0.7346480798970205,193.56115048981536
7,7,210,24.189814814814813,855.993943380927,7.563655347265218,1.2354278136183092,0.20555474933505288,159.06839859716072,8.847087715737516,0.7036718241028976,0.0003721804718371624,0.07299843626204176,5.169342585684977,3.4802892798869958,1.499673932295167,0.3703380775961291,18.707086123736385,0.08531568343933414,0.1690429395461717,0.27251628429476665,0.5268749072802725,183.57434286101216
8,8,206,23.72685185185185,858.9136584499092,5.759631339054297,0.9127627253832842,0.13114290586310665,181.05393859394275,6.6535184954365505,0.48078648278306496,0.00044464712501038995,0.05238443645202567,3.895454208549478,2.7343478066061326,1.1184928085094583,0.28204301302372686,20.21241615599912,0.06358339534815945,0.13403822416454858,0.1979036567485764,0.3955252762612844,199.5750185304407
9,9,205,23.61111111111111,855.3680683736465,4.2486735123825845,0.7247110840648484,0.1061848415391701,180.82099244362786,5.015368772949233,0.35165176777154095,0.00042607069123294444,0.035997352898516764,3.0229633534885356,1.9093226896972155,0.8668675002335468,0.1898331558251711,19.663417003260374,0.04961443246735548,0.10239956834151394,0.15025797373844266,0.3022719745473121,194.57230116622821
