,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,148,17.01388888888889,372.86564628459513,22.91200033876222,2.8526906764281255,0.34593728891692493,325.1860706637002,25.390780387301632,1.422883784061978,0.0005276748586833225,0.09719177612035809,12.99575129808196,13.373906283080231,4.596997049182138,0.7096439572353594,40.72972673157172,0.2955784701521769,0.6186472090946518,0.9441943962319089,1.8584200754787377,398.7470499551266
1,1,150,17.24537037037037,372.5737378341498,15.895825556312584,1.84970397765063,0.2524749651542553,349.55357117604086,17.593746198906363,0.9223921011031663,0.0005567698261062931,0.07241203011864883,9.394476454236642,8.517496815324808,3.113333313039606,0.5428088754087543,40.612106994511585,0.20777748808751598,0.4242083597020098,0.6135448577495088,1.2455307055390348,399.5598524844249
2,2,146,16.78240740740741,370.4549991332836,9.612631922195835,1.1877641817680202,0.14880998049488006,354.56588227667436,10.709790400481879,0.5387943059994944,0.000584015392225688,0.039182648864846244,5.570462437057523,5.583078395788846,1.883469215212312,0.33812618761675084,38.893960324653506,0.13276180569434554,0.25213777003167975,0.38635346044795976,0.7712530361739851,385.3793665666634
3,3,150,17.24537037037037,370.30235694545394,19.290017021641958,2.5801887169683897,0.34520748499528414,307.2339350468592,21.7540077298705,1.1749458071596386,0.0005154554593120023,0.0909907576908697,11.774158466426025,10.745995976491114,3.8318134771851238,0.6927620744360339,37.687077977547645,0.2593577883392753,0.5430236288425879,0.7433980345647141,1.5457794517465775,369.28615900050403
4,4,150,17.24537037037037,371.008930937221,14.78103902060367,1.9214632717027433,0.25176022372348783,328.9023138617641,16.60630303650418,0.8617033571337249,0.0005302942112541176,0.06123959106068578,8.988085064668132,8.339070248921697,2.918397721435504,0.5316365791241363,38.204688162615035,0.19104258589827827,0.37842667649174616,0.6011930825148345,1.170662344904859,376.3461195510901
5,5,149,17.12962962962963,371.7189366617153,17.680830147090884,2.365204541430069,0.29871266467451907,326.152505769233,19.91775270906344,1.0324984480045403,0.0005151804755337317,0.07804212389644351,10.56258048810864,10.025937347375805,3.559357837093906,0.5839668041250639,38.99546454589438,0.23088134467179625,0.4838600323853433,0.7058838139823169,1.4206251910394565,383.11594876350273
6,6,146,16.78240740740741,368.17723463752526,21.779161968041144,2.7746478093367366,0.36068329318602427,298.6591075755619,24.351490443941575,1.3130454180622781,0.0004810842236441258,0.09434154564772027,12.581114056074284,12.774435666935037,4.357180324538846,0.7149030686713167,37.68639594858074,0.2924777505904902,0.6051139319652433,0.8311525629299301,1.7287442454856636,368.9082224436319
7,7,150,17.24537037037037,372.1164155414771,16.557745391026813,2.1491305953716595,0.29057342009240683,323.7582574220368,18.515207208236202,1.0761203089688445,0.0005468692676359686,0.07878241629537783,9.752978632509551,9.520606968700775,3.287299594246249,0.579590931532939,38.34285599297701,0.21988573231788985,0.4368489427651646,0.6898264942850002,1.3465611693680546,377.1604222951437
8,8,148,17.01388888888889,368.8942809078727,11.638984911485682,1.4519751951429583,0.17030485039458618,342.8109677313928,12.907571250864441,0.6870716577955756,0.0006109390930222458,0.053085859134551286,6.727329220625362,6.82201365392106,2.276523646088665,0.41033593654503075,38.44037007525095,0.1518384144497282,0.3153554422174134,0.4677007746340885,0.9348946313012301,380.1643402631596
9,9,151,17.36111111111111,369.53277126950115,8.703206753574813,1.193015098845965,0.14556452213467128,346.91344169005623,9.832339897298391,0.5190025500180763,0.0006077923427532151,0.03870124203428223,5.396746464833075,4.833449919290481,1.7644752042564378,0.28401537819117045,37.84455746624188,0.11706334573650351,0.23960458311656996,0.3536412815443955,0.710309210397469,374.93812925844065
10,10,150,17.24537037037037,372.22970112512695,15.023145049016584,2.007604830455171,0.25047996026881225,332.7496875454237,16.920691237656197,0.9033812719628319,0.0005793906354564556,0.06127159159085282,8.983604204599484,8.574822175322906,2.9508384740819795,0.5682214315093174,38.68756045794401,0.19144953105239948,0.3852248348820135,0.6088325822737167,1.1855069482081295,381.1962299061318
11,11,151,17.36111111111111,371.2897036048379,12.717207062254564,1.7898347683705194,0.23410107149602402,317.6672423868773,14.434055797879896,0.8010301062074161,0.0005247868795010591,0.061906410098932683,8.09354696566326,6.9486691857289395,2.5610778815311135,0.44843433960964074,36.38826330806378,0.16770191453617825,0.34403695777597987,0.5194918610509798,1.0312307333631379,358.695314530297
12,12,150,17.24537037037037,369.3305099960887,16.136055196979967,2.221961433796555,0.2619046559768671,345.13569426540136,18.171831972662076,0.9805227470743038,0.0005845492279944962,0.07545892400679019,9.266304246909737,9.448780178794099,3.200960256477523,0.5793167591978537,40.33349029225904,0.21792790759690642,0.44008488528097167,0.6330124505934218,1.2910252434712999,397.5040961830666
13,13,147,16.89814814814815,373.42935678788314,14.998201232469462,1.8622455322644504,0.22936449231766798,357.74485687161274,16.590328900207183,0.9495773809340955,0.0005831870072023265,0.07265092573720225,8.827854360928418,8.655679706007506,2.992836008511044,0.47771705697302647,41.13425188309328,0.1985878949576575,0.3971946580032125,0.5841962567390999,1.17997880969997,405.75402010374154
14,14,152,17.47685185185185,369.90313303111066,17.278680676460166,2.2689396042020413,0.32172563317415553,312.1609314864649,19.42276166584784,1.092160741310212,0.000539282844944197,0.0804891238867344,10.582147668837477,9.41775683944621,3.45888639658514,0.5931496017225725,37.45940526937389,0.22316059402212438,0.4782819952420585,0.7028242433832921,1.404266832647475,367.5002878845924
