,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,189,21.75925925925926,882.2442050221476,12.544526467670703,1.8778137639234174,0.27800119644860566,276.42204886007084,14.444697441591497,0.91725037877656,0.0005998462123742114,0.08148602596070291,8.233364151678096,6.02668063285085,2.4887057563583728,0.5283494141084558,32.21303993804901,0.15621229026118322,0.2926256501047156,0.4582142863250831,0.907052226690982,316.51721201066334
1,1,191,21.99074074074074,877.6486731335066,13.855488405584676,2.2325611381589763,0.3501678788530365,268.342896881283,16.11897280574114,1.1762110771949599,0.0005877390195961309,0.11925598267071132,9.791569080144368,6.593059807506395,2.7942834707928235,0.6109912210486851,31.942134368512043,0.16517222146276345,0.32963711951381947,0.4658608044287582,0.9606701454053411,313.1551465532593
2,2,189,21.75925925925926,876.9485396880227,14.093307371211344,2.094956184820422,0.30489537711463005,239.19895010551005,16.210362593584417,1.0383736311739944,0.0005009432539795378,0.09002840875853599,9.624753636271187,6.512309913929751,2.747892031449172,0.6374751814884804,29.04626019048834,0.1696578731095922,0.33672482537521325,0.49866951326836567,1.005052211753171,283.93410395404794
3,3,191,21.99074074074074,876.446994848585,14.861822293253875,2.364011406366145,0.30653069401547284,241.69190336540134,17.157639419789145,1.1679024467401715,0.0005262841206393436,0.11693678956427242,10.14577605831075,6.612421376063355,2.965043608746687,0.6450837868099456,29.621120781426445,0.18062396707161985,0.35217944647375143,0.5448354349524869,1.077638848497858,288.96746031936885
4,4,193,22.22222222222222,879.0235687289451,17.704928259692363,2.5462584059140103,0.41204256652474325,262.56895350954784,20.311924177939403,1.3769435924611664,0.0005428683419611233,0.1329863553216267,11.77953947058486,8.392793308151004,3.5268837773967543,0.7366930923131706,32.69589622173402,0.19196977703913756,0.41903154080150284,0.6160628491292724,1.227064166969913,318.93801408057385
5,5,191,21.99074074074074,882.5679349332056,8.821824831381285,1.2902769448238656,0.1937602653623411,278.64928967100775,10.081922389972338,0.6999906952347361,0.0005879066990676706,0.06739994611911705,5.96440751251877,4.043729743533694,1.725019272471928,0.39634451037922663,31.073910321047382,0.0984287757301108,0.21226120115232416,0.3118405926852123,0.6225305695676473,306.59267674655297
6,6,182,20.949074074074073,875.738567447835,13.384237571780355,1.89927522948831,0.2945856772483709,277.57293002514257,15.255243338295909,1.0145216616859387,0.0005920422252398634,0.0905215687507975,8.794732491658323,6.596449020562816,2.607506986352985,0.5876166629741992,32.60988031441556,0.16701677420065614,0.3230776581645631,0.4766931597441081,0.9667875921093273,320.2702673766168
7,7,187,21.527777777777775,884.0994023986573,14.903789518903126,2.226448589334514,0.33360217139507153,250.596074710228,17.1590429588528,1.1091283230870683,0.000531871827466452,0.10097361732052021,9.654511029521931,7.332169159363338,2.9665189005039876,0.6307623135854865,30.502726462001352,0.18377089005822392,0.35799559113413215,0.5353814733493453,1.0771479545417013,298.4361900889431
8,8,187,21.527777777777775,876.7172035732684,9.789540752106738,1.4622363628157196,0.21154828773248724,279.5180439268757,11.179422186231601,0.803345226754612,0.0005960324205974417,0.07006986563377679,6.251164628802746,4.830734179327004,1.956327370162812,0.4047288933017926,31.529085612619244,0.11834362087319143,0.23636839678477498,0.3642906528159602,0.7190026704739265,310.9455957538368
9,9,188,21.64351851851852,881.2731697501263,12.525390657153,2.061928528413312,0.3031557275071017,266.1554502415851,14.639998651997296,0.9977885821368501,0.0005477156218207536,0.09920531761485062,8.25568340690079,6.330463257385894,2.5247676554720733,0.5498414026831956,31.24551005492233,0.1504526059702008,0.3070197216781074,0.4601546629373055,0.9176269905856138,307.10616472815616
10,10,184,21.180555555555554,878.4078666286438,10.682254201135338,1.6199722076777183,0.23689263395410534,297.48427514838335,12.246941489171535,0.8234283890549101,0.0005587733860151221,0.0778960417485591,7.075137121066104,5.423739361006922,2.1366313922933533,0.43786342776378967,33.644305680787795,0.12688380505953836,0.25380229517189556,0.38645912940125543,0.7671452296326893,331.93759829520826
11,11,187,21.527777777777775,880.1774256402103,14.888637956074552,2.2181877555195304,0.3361834536360649,251.92768804017487,17.195602312086432,1.0573604669458807,0.0005168344599450483,0.10092050228863532,9.861699573541333,7.213127856722115,2.9781054145965635,0.6088363530215253,30.62475732358943,0.17343721873027157,0.3548124777007139,0.5510925955277973,1.079342291958783,299.6045092374849
12,12,192,22.10648148148148,876.3554726476342,14.173282659024979,2.2668115769013886,0.3261034193488159,270.7245905691812,16.53368818072132,1.0975465588527773,0.0005839668468372932,0.10369348268501047,9.653292475520058,6.741156397151885,2.8287979644035146,0.6380666246762673,32.28237406395463,0.17347995326209983,0.3304045770519687,0.4831522940926727,0.9870368244067412,316.4213582242007
13,13,181,20.833333333333332,880.4968218902999,11.931882152016692,1.8995945391999467,0.2724253149543827,260.77573729568957,13.932295782400208,0.8315211611018332,0.000540733537480201,0.07746502265644628,8.033250272118321,5.832759948179093,2.3966029748681428,0.5085738111752814,30.469678998126618,0.14834981401907701,0.2976379840994643,0.44413422404076486,0.8901220221593061,299.34952075793836
14,14,185,21.296296296296294,878.7612622949321,17.471416360713768,2.441104372408313,0.34997470603598263,261.9709397656826,19.7630328916183,1.3351115417099588,0.00052986554411132,0.12298019229103312,10.965246016928544,8.722892465314553,3.397203233239218,0.7505438474560563,32.50716230250108,0.20662658982713636,0.43429962980414655,0.6171938081449722,1.258120027776255,317.5838492697902
15,15,190,21.875,878.6052022198962,9.841620593516803,1.4644511442037307,0.2140335123828141,253.21119319147792,11.212939142663737,0.8090269972013636,0.0005562867681831682,0.07796734692253618,6.320841393368492,4.744724540834353,1.9525771117538429,0.414682530358857,28.90671079574889,0.11282304908193941,0.23811458427028093,0.35866774584995453,0.7096053792021748,284.6533777772864
16,16,183,21.064814814814813,880.3483955461363,14.777165002860515,2.265397014674975,0.34349357127771646,260.5817478523465,17.11148116763117,1.124097707357086,0.0005289264523284492,0.10435291999564932,10.183614319117046,6.892687949157658,2.9520576946916393,0.6327986330203398,31.471285673284864,0.18265192804001276,0.346230605936752,0.5333540116359086,1.0622365456126732,307.8480449850783
17,17,186,21.412037037037035,882.2249065429894,14.082883852357991,2.17342199876242,0.3192155940495679,263.2614845391105,16.361567772494784,1.0333294383201603,0.0005368397141753348,0.09618568439167646,9.142384007487832,6.988913616301687,2.8436929408658864,0.5826827519513971,31.50502283291528,0.16712723223925838,0.35221492608530963,0.5237193597092168,1.0430615180337848,308.78697654635397
18,18,188,21.64351851851852,877.8241541316786,12.192960127819518,1.7484248125731932,0.273625578947738,279.682631710216,13.915944230791617,0.9472192798399395,0.0005964052335751711,0.09525716326618867,8.241872581622296,5.856634095713274,2.42674691778832,0.4986964928043587,32.412278323138224,0.14363147236017032,0.30446678425697127,0.4587978910858563,0.9068961477029979,318.5456329626968
19,19,187,21.527777777777775,879.6759056728481,13.335362313264447,2.068568380223261,0.2985694724209694,236.16353849716296,15.383464115059358,1.021917155219016,0.0004973727475034891,0.09403731829125003,8.98677298578881,6.1910790206004265,2.681652914438849,0.5460778272329646,28.493847326059853,0.16753066088149157,0.3344698325472825,0.4562616379206152,0.9582621313493893,278.7430265180104
20,20,186,21.412037037037035,877.9766479821515,10.84538524027252,1.6853368888321412,0.23649362836909316,297.8967979986052,12.473157948819205,0.8710473820362119,0.000617305775078789,0.07875357272932647,7.1650230804099415,5.301957802746941,2.1890001976095004,0.43938407214218517,33.765028212030046,0.13179713962789863,0.26819870459214623,0.3952333024181119,0.7952291466381567,332.81316118457556
21,21,185,21.296296296296294,880.6621342546626,16.26874134738228,2.4921498501542803,0.38270275635723366,236.2085471003768,18.81230271130597,1.3129263842917762,0.00046341337024930856,0.126620987400336,10.845050984278007,8.421499016321228,3.2686759390554534,0.6906598312480736,29.6069831920813,0.20169422469218828,0.4056970235012805,0.60448322756978,1.2118744757632487,289.19716381302686
22,22,181,20.833333333333332,874.9556426632483,9.121543105802573,1.3598040788280257,0.20355311090408132,267.01651014102765,10.446418553078438,0.7107291291419295,0.0005256127462123298,0.06645876521507312,6.009815433542968,4.50328297442013,1.834648864954912,0.36074954811454846,30.028539099871168,0.1081062112182688,0.21751428152819113,0.3390321197344169,0.6646526124808768,296.2888764967145
23,23,187,21.527777777777775,879.7107682376168,10.010455499557562,1.5704591579270935,0.21276849563887312,270.6636777424408,11.570864838790738,0.7629225381810174,0.0005482633174109263,0.07037451097278215,6.423884440812389,5.163169626179218,1.9989354624748648,0.4288276776148963,30.734177269317183,0.1263365004336202,0.233113881711383,0.36479448157494115,0.7242448637199443,303.17724867681534
24,24,187,21.527777777777775,877.3056489714321,19.536371200464117,3.011006300387205,0.44630625503348237,252.89818457812814,22.69633743916589,1.3691596118137026,0.0005385844183171953,0.13388867342794883,13.377482069340694,9.234309613993148,3.909399794502744,0.8259713278818399,32.4527533205916,0.22486537361843975,0.4895767088791158,0.7216991912836229,1.4361412737811785,315.4976146529978
25,25,183,21.064814814814813,880.2623599422761,13.941790387735155,2.0732958968564743,0.26889160223371855,284.00049399180716,15.94210465618136,1.0224732476461444,0.0005411963660754939,0.0900551026085738,9.081236292006501,6.622550048374319,2.7298902714859445,0.6082362304280853,33.45969564735522,0.16400674594735104,0.33858837503255385,0.48934641685936436,0.9919415378392693,328.29226416956226
26,26,190,21.875,878.6761013602736,12.699348682312372,2.0915870301391073,0.2911094337859244,271.1918821899506,14.838383759302854,0.9885851855127475,0.0006045065591486513,0.09848566949891414,8.158400583942177,6.549970356635851,2.5160859763040104,0.5934757348396357,31.798087742246427,0.14984742970031,0.2858799614460752,0.4715542569641565,0.9072816481105417,312.7668001729518
27,27,184,21.180555555555554,875.6181485387095,15.383523199104687,2.3017062432090105,0.3205732171696583,279.6050256885321,17.693373413270262,1.1156038488899365,0.0005709918877173581,0.1035048481584887,9.97137890692242,7.5609097363705375,3.042930857000847,0.6500724934452542,33.55400800955233,0.18382013391637408,0.3556026120545644,0.5580008005216238,1.0974235464925624,328.875218083531
28,28,189,21.75925925925926,875.7164898073596,12.895721392744834,2.0807722281338563,0.2955215118379335,282.0043093947695,15.005538440486543,0.9960161402775644,0.0006037912360787608,0.09432197389494164,8.894075046693564,6.137747729920059,2.5636495549897385,0.5816985506895099,32.94442423580261,0.15873544079367236,0.2936478205308137,0.4842017428328437,0.9365850041573297,323.5924857131379
29,29,184,21.180555555555554,882.258513950542,11.007968793034333,1.6838092241952176,0.23508735409888384,250.4629577770447,12.682395562692054,0.8217286775273172,0.0004911899715825255,0.0802332406204867,7.324561434296857,5.196253800766721,2.21625057905081,0.4439083377948645,29.06842779785592,0.1308147514869021,0.2663431752134421,0.3942851763370459,0.7914431030373901,285.6225276398344
30,30,187,21.527777777777775,882.0928335727342,16.12589862747198,2.48811115885755,0.36482283638989044,276.8004881719179,18.68504772995616,1.1690561431182724,0.0005897472753313588,0.11158254676090325,10.739237234271776,7.905798699718915,3.169609768256148,0.7227562205393093,33.56563944912258,0.2056461383913326,0.36530311283885536,0.5824894772186724,1.1534387284488603,328.69720037871116
31,31,191,21.99074074074074,883.2340253320136,12.934798075250326,1.977974441922688,0.2972546549703233,240.7914284232697,14.978595543199726,0.9534619652681643,0.0005170961461668905,0.08863580397286823,8.769380432910452,5.873783113225112,2.5599945573933756,0.5718932152735863,28.811508986495088,0.16062003483135381,0.3083581780126883,0.46132046587148323,0.9302986787155253,281.9586355686076
32,32,184,21.180555555555554,883.4521151211884,12.255891779647817,1.7036298070840075,0.25486357723265796,287.5681014966933,13.882100295182042,0.9358228771704241,0.0006158068781550774,0.08254931616377537,7.952681905899004,5.89274398607662,2.4153198774847633,0.4981377817970163,33.18491414104914,0.14718048222883612,0.29441354324569696,0.4343367446261989,0.875930770100732,326.36570737151135
33,33,184,21.180555555555554,882.541843544744,13.180439366539435,2.0389746136984783,0.31949237946667547,239.59373826729532,15.308616661571106,0.9817315632552897,0.0004674652448546712,0.08985083204986753,8.788129904307295,6.303476632456461,2.62402952458369,0.5796354612492368,28.800263890574097,0.15413092624078878,0.3249528846167223,0.4881317690142974,0.9672155798718085,281.9876683472822
34,34,193,22.22222222222222,882.8033074550938,15.66901171574479,2.3668433452968847,0.36464798999782544,258.913753032301,18.06776581355317,1.2466508350022354,0.0005352476754379812,0.12500101843252676,10.68073027901982,6.901380208512572,3.068365024928667,0.7261169060798328,31.626627965223058,0.18329843039177907,0.3602593517185118,0.5893802767078269,1.1329380588181177,308.583009196343
35,35,185,21.296296296296294,879.4613956037147,10.218542304851892,1.5961156003202122,0.22600225920974004,275.9680638285545,11.755893332063055,0.8147010670406042,0.0005650564489301878,0.08043173229302447,6.982664863634787,4.899523487713682,2.0540751254055465,0.419896971320239,31.335483426931912,0.1203440876532154,0.2535860568280064,0.36198111874754113,0.735911263228763,308.76972202845025
36,36,189,21.75925925925926,881.974484373272,9.660825706086868,1.4920704954230741,0.21131085094122784,287.7794993827331,11.120289348664155,0.7876676518803937,0.0006024006445481112,0.0763799987824891,6.284589257924686,4.798951220666259,1.9326252445354741,0.40847283582404503,32.3190060991472,0.11457320524443718,0.23078893165026396,0.3633515294861796,0.7087136663808807,318.9774088025624
37,37,185,21.296296296296294,875.4173812724551,14.29782476703169,2.3106666168017207,0.3087033965865428,269.1367936971226,16.60295781425072,1.0830635692812516,0.0005464400646666796,0.10718720386992021,9.84693955745749,6.714275832918885,2.867922906426466,0.614838894572293,32.171530552533625,0.16329534952143368,0.35070499364180013,0.5323842178047585,1.0463845609679923,315.0911656998947
38,38,187,21.527777777777775,878.3681650881409,14.114112227618588,2.307434072905642,0.3458919730596307,264.0648929582908,16.59452490044121,1.0526430332248682,0.0005622178214021369,0.09914337196900808,10.018134383464284,6.672419017424302,2.8658610999539325,0.6045330997750973,31.6335760721763,0.18104146567315715,0.3323514304228515,0.5329142368019754,1.0463071328979838,309.76832510538253
39,39,191,21.99074074074074,882.0947388121043,12.176703131596911,1.9962335129682034,0.29800913108405264,286.76815191461634,14.299272637995967,0.9380239580754777,0.0006418529721061263,0.09035252641456165,7.824910564204208,6.293705224231903,2.474542162320056,0.5203318710428149,33.180299379411075,0.14022529815350696,0.3035006518469302,0.4379099331113012,0.8816358831117383,326.7376038064301
40,40,185,21.296296296296294,877.3379231563727,10.454286979580493,1.5431187991576603,0.21025876179907466,261.0555714852831,11.96911100603085,0.7496631395681932,0.000540160665892988,0.07098146889643747,6.802095512692799,5.115746980851497,2.0405451669329957,0.46149400890057324,29.901483060809902,0.12867141854906763,0.24775549153338022,0.37647623685686216,0.75290314693931,294.4242211046061
