,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,204,23.49537037037037,858.6432516970048,9.133257345171932,1.4768138298190991,0.22320025306439178,153.27359942692627,10.633011622076538,0.7826108105957648,0.0003290360853231641,0.08423277716953934,6.087399906170684,4.308802535126387,1.7985023248667833,0.4409984429700109,18.689172723393607,0.10222671015537944,0.21313063745082528,0.31793440496044856,0.6332917525666533,182.78865015643868
1,1,200,23.032407407407405,857.3684162371676,4.598640069665939,0.723797487677708,0.10785625109446006,185.07830898691395,5.355882369415619,0.3558852114444619,0.0003900862214794027,0.03489650483099409,3.1704063888805893,2.1306900000610693,0.9123117553688307,0.20953707472209798,20.19318571717778,0.0545706740431825,0.10780080035303578,0.15169513599426368,0.314066610390482,199.82226240780707
2,2,208,23.958333333333332,856.120425291352,6.748181589306612,1.1313856141645835,0.17806370502782579,157.2149669027167,7.996563353660114,0.5428936660439889,0.0003659479989746704,0.057885645036180586,4.573164291409326,3.1868266138659083,1.3749308628562784,0.30356682307324134,18.223798954198895,0.07271381451745713,0.1492065955364988,0.22955358711889848,0.4514739971728544,179.1871047209233
3,3,207,23.84259259259259,854.0352897605691,5.768403876212083,1.0077683642377786,0.15891267746123805,167.05292589794112,6.828265596544996,0.5097700281420224,0.00038082618197878053,0.05752501049016756,3.9270141826048057,2.794737538226366,1.1581247139756754,0.2847039502176479,18.861640738044276,0.06477387580639143,0.14005524345408013,0.20934996084751728,0.4141790801079889,186.03569755973905
4,4,211,24.305555555555554,857.4543582514112,10.596386599550016,1.719003507900637,0.27152388939748584,153.93707390695494,12.36634337349698,0.9079807997128098,0.0003596315275266377,0.09941985298870891,7.094472738089799,4.827740430826703,2.099405730859984,0.5058917113588537,19.28275045416064,0.11204454169519512,0.21981888081722478,0.34724858140063325,0.6791120039130532,188.0102414384877
5,5,207,23.84259259259259,854.7072377052781,9.012419077390607,1.5790510052783928,0.25507330307564513,147.77526917081082,10.774889119198038,0.7308702863805934,0.00036201572043911715,0.07861995861436322,6.420489065513483,3.9777835637028915,1.8164171362369625,0.43885644966204695,18.146333064382652,0.10750706745493997,0.20375121603789453,0.33204672760867776,0.6433050111015123,177.0829160971723
6,6,210,24.189814814814813,859.4976567632435,6.657157980293044,1.1851256220136697,0.1843561670248786,165.2497793364181,7.926148569940045,0.5928374432848703,0.00035567098795348566,0.06289573781623978,4.8293631355150985,2.928078063771952,1.360384881862295,0.3128167521596222,19.01777581005073,0.07567356999851825,0.1587659575090233,0.23186484933396193,0.4663043768415035,186.92624060241414
7,7,203,23.37962962962963,853.9627975298947,6.760359273970815,1.0970192148852504,0.16458126839771614,173.2191602116787,7.846321502188998,0.602341477538278,0.0003776400658779727,0.056852187813273954,4.723064517047384,3.0496905375561676,1.364327617064383,0.2986398609787355,19.813532395792375,0.0792882977436607,0.1549048782310215,0.2282703670080585,0.4624635429827407,194.92213433512094
8,8,206,23.72685185185185,854.8429141589368,9.207578441541125,1.3805633470024767,0.21223431634320625,154.87673621887674,10.590505725851417,0.7727227609928572,0.000334829999871187,0.07534954973993635,6.213797124580132,3.912064098533891,1.8040313931222591,0.42479850962222504,18.841177583006225,0.10352886861191352,0.19890574483521098,0.3154933084315368,0.6179279218786613,183.87484711350467
9,9,203,23.37962962962963,853.622788890106,6.057230955057565,1.0685096538831207,0.15052001264237813,168.94291138959437,7.177242317466562,0.5116715856651814,0.0003613810478508742,0.048132792382816744,4.134683578837311,2.964763779670732,1.2301568219144128,0.27691853198384025,19.144050344629886,0.06618082855693058,0.14147076707362338,0.2073809991162285,0.41503259474678245,188.84345181605562
10,10,198,22.800925925925924,855.4167801953982,8.92651194640671,1.422477979620689,0.2142554904586175,162.3056481434958,10.40871107810051,0.718812164942674,0.0003829995086776582,0.07293133391714235,6.053507989984434,4.282171469904876,1.7670802003246235,0.416436050038013,19.511033365924995,0.10737477342571586,0.20720945876610547,0.30451003014789796,0.6190942623397193,191.15451311905804
11,11,205,23.61111111111111,858.1484169530814,3.876123226023863,0.6382831103913147,0.09851428159478406,168.037350394007,4.519069015144824,0.345863447429366,0.00037738751113183436,0.035560010640974554,2.6192719991653632,1.7845693826633358,0.7748812077110883,0.18117716718149485,18.233748769065986,0.042714220001144526,0.08633867116675288,0.13259266086334792,0.26164555203124534,180.55341418233036
12,12,208,23.958333333333332,859.8654815324506,8.818124003370373,1.5022342607113832,0.2149887935415736,157.77054035194126,10.425946325163954,0.712198198086762,0.00035949821955911864,0.07821376619583718,6.215916151376252,4.014110901037393,1.762470240779994,0.4228958065857548,19.044924514732188,0.10590447869782904,0.209963911053615,0.292289282476675,0.608157672228119,186.33023981786195
13,13,205,23.61111111111111,854.6998377792133,6.892439753515209,1.130272263337281,0.1706023863836575,157.2589388328841,8.080140717992377,0.5614719348263958,0.00033690084819541327,0.05614881546087733,4.772117705744561,3.11843064871795,1.3622287105668298,0.33209100505577716,18.268217853020218,0.08080836021376706,0.15845033685255297,0.24183305674484487,0.48109175381116487,179.44419372339982
14,14,213,24.537037037037035,855.859287838839,8.288499790501078,1.3500474815026944,0.23209503577969856,173.83555165863982,9.799012796298324,0.7275587163233851,0.00038748388856094383,0.07575836935827254,5.579922503258745,3.770534646920812,1.6792495006934929,0.38783644158750247,20.465408061759987,0.0891866591402161,0.18732998971059128,0.2868681225579813,0.5633847714087887,200.70991669290245
15,15,209,24.074074074074073,859.3699998748483,6.1423949878869335,0.9937569662435373,0.1432749445774869,172.00204875151863,7.125559700640816,0.5318804365859549,0.0004155479802426687,0.05249405445765299,4.138669247146713,2.831268561705476,1.2053345228577474,0.2953824042016374,19.452745080302797,0.06896117364482114,0.1330111806316871,0.2149481890654729,0.41692054334198114,191.7407314219981
16,16,206,23.72685185185185,854.272614448089,8.34276962907285,1.3867801413624166,0.20191248609392407,161.97329051847015,9.763125570683867,0.7204272178584694,0.00038789108507483576,0.07124846518320112,5.66045407348994,3.8929960574901057,1.6509720876342173,0.4037310733651853,19.274014745662985,0.09433397245200577,0.18509953186126726,0.28937125298757815,0.5688047573008512,188.97644589560025
17,17,202,23.26388888888889,859.1051064965903,8.564194834656105,1.3341884772803887,0.19156433925811212,161.59566005721746,9.891604088931434,0.7012673064596149,0.0003391490511987697,0.07235008444861697,5.993363839753781,3.6756860475319844,1.6986774604841943,0.3826440113146771,19.290168894255846,0.09740645999206499,0.20114753422482443,0.2858761066001281,0.5844301008170175,188.69260595745087
18,18,214,24.652777777777775,853.8923360366293,8.224355507462544,1.3810254991601378,0.2235439087450854,172.32180678789942,9.707731265737177,0.7367837956092904,0.00040765309858853144,0.07395309661706857,5.759717395187575,3.835223637253103,1.6483753145157045,0.39888506790341394,20.285412257604353,0.09326471968900929,0.18701185252406066,0.2758920509658402,0.5561686231789101,199.10826015718044
19,19,210,24.189814814814813,857.1441060502182,7.165136676210424,1.1485403245147185,0.18433903189822723,176.75582300024652,8.355292634781575,0.6437852059592369,0.0004188368535946492,0.06977727128805519,5.032513171998456,3.1174271770154918,1.4282022846822675,0.33900100368375075,20.324700070353046,0.07969552473135745,0.16799945730308577,0.25351960687867475,0.501214588913118,199.708958036047
