Protein_micromolar,Polypeptide_micromolar,Amino acid_micromolar,Heteropolycondensate_micromolar,Polysaccharide_micromolar,Oligosaccharide_micromolar,Humic acid_micromolar,Monosaccharide_micromolar,Inorganic carbon_micromolar,Lipid_micromolar,Pigment_micromolar,Porpherin_micromolar,CDOM_micromolar,VPhenol_micromolar,SPhenol_micromolar,CPhenol_micromolar,Phenol_micromolar,DOC_micromolar,,,Sam #500,Protein_micromolar,Polypeptide_micromolar,Amino acid_micromolar,Heteropolycondensate_micromolar,Polysaccharide_micromolar,Oligosaccharide_micromolar,Humic acid_micromolar,Monosaccharide_micromolar,Inorganic carbon_micromolar,Lipid_micromolar,Pigment_micromolar,Porpherin_micromolar,CDOM_micromolar,VPhenol_micromolar,SPhenol_micromolar,CPhenol_micromolar,Phenol_micromolar,DOC_micromolar
18.81178905,4.797650719,0.950213599,369.9590324,26.44505275,3.895974992,0.001876754,0.935415935,13.4928324,3.588140111,3.742850162,1.92706334,44.77860249,0.105366741,0.236153436,0.360318758,0.701838935,435.7568987,,,Average,13.65375099,3.309442212,0.693672537,395.3020802,19.19409911,2.704226756,0.001857217,0.643404737,9.527985301,2.625434867,2.718494176,1.383780041,45.16618888,0.08495987,0.17006859,0.255067135,0.510095594,442.7403385
14.58145099,3.830199458,0.772142808,396.6131406,20.90111664,2.883403065,0.001788179,0.652671574,10.51770591,2.706991214,3.037369249,1.429296722,45.79023717,0.103438229,0.214797804,0.300285319,0.618521351,448.0280918,,,Max,20.45476403,5.190866477,1.0942781,437.6161962,28.94518757,4.137826222,0.002226245,1.000813708,14.29879349,4.45704367,4.061728144,2.113139465,47.76142079,0.142198632,0.287667967,0.426987469,0.85679439,471.1658104
18.99900555,4.54258928,1.044570847,355.3017322,26.77753439,3.691380679,0.001577776,0.929055175,12.82365071,3.212436246,3.806174864,1.934316377,43.39830389,0.111909154,0.248173106,0.330035538,0.690117797,420.9304912,,,Min,6.716534901,1.73328493,0.349456972,351.5956903,9.735064628,1.337917327,0.001577776,0.298502459,4.85967651,1.258215851,1.365358057,0.694016048,42.61153067,0.036150168,0.082348466,0.112037888,0.233801486,414.1490906
13.63416922,3.577053072,0.741196034,395.8537328,19.98839089,2.824239976,0.001951343,0.713983417,10.49687999,3.133662898,2.851274606,1.468474789,45.43635479,0.079388597,0.188648013,0.240494301,0.508530911,445.2966599,,,% Max,49.81058347,56.8501924,57.75139445,10.70424824,50.80253264,53.01328608,19.86996773,55.54963304,50.0715318,69.76401609,49.41095628,52.70775725,5.745961677,67.3715275,69.14820521,67.40199373,67.96741622,6.420348324
8.561029758,2.077090901,0.460558454,410.220222,11.86412686,1.826878209,0.001898183,0.432544297,6.06428808,1.848193262,1.652382452,0.903082423,44.53692476,0.050709009,0.094291851,0.1681346,0.313135461,440.1611423,,,% Min,50.80813394,47.62607053,49.62219879,11.05645331,49.2809505,50.52495785,15.04622169,53.6058034,48.99575979,52.07590685,49.77520759,49.84636089,5.656129688,57.45030231,51.5792623,56.07513764,54.16516274,6.457791488
14.73568415,3.513260072,0.774180827,403.0659041,20.22945474,3.047695985,0.001816923,0.758638487,10.12848277,2.544943861,2.915669784,1.449972709,46.31168747,0.080134625,0.176034347,0.246516322,0.502685294,453.5399069,,,SD,2.897921709,0.701365266,0.148943896,15.85630002,4.040889566,0.575894123,0.000115312,0.141058226,2.02687449,0.595681031,0.573015614,0.296595185,0.859241541,0.018869307,0.038558438,0.057553464,0.111943053,9.108552262
11.96208547,3.034080018,0.63925309,395.0420502,17.13433224,2.218166528,0.001706184,0.500807092,8.4777174,2.501783906,2.474232927,1.176105494,44.49806448,0.073992245,0.139806833,0.232602411,0.446401489,437.1310046,,,Variance,8.39795023,0.491913236,0.022184284,251.4222503,16.32878849,0.331654041,1.32969E-08,0.019897423,4.108220197,0.354835891,0.328346894,0.087968704,0.738296025,0.000356051,0.001486753,0.003312401,0.012531247,82.96572431
13.10977805,3.236674865,0.728216791,407.6314522,18.5449514,2.755857455,0.001979664,0.672297319,8.949546328,2.663077677,2.628130482,1.358315489,46.21001155,0.080435112,0.143752021,0.228669059,0.452856193,453.7835876,,,,,,,,,,,,,,,,,,,,,
17.63965871,4.539060437,0.902839769,379.0033102,25.65554798,3.619099574,0.001657898,0.860366766,13.27799363,3.288762272,3.647712822,1.834647079,45.36959161,0.11269134,0.250629745,0.312238973,0.675560058,441.6682235,,,SD,Sample standard deviation has taken into account,,,,,,,,,,,,,,,,,
16.31930774,3.805554536,0.798832356,385.6257874,22.7693355,3.13466013,0.001969891,0.799882295,10.02461643,2.855012493,3.117396989,1.693750565,45.19035223,0.096659994,0.198640334,0.264382003,0.559682331,441.4811722,,,Variance,Sample variance has taken into account,,,,,,,,,,,,,,,,,
