,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,151,17.36111111111111,471.5553071469541,38.37648879807744,5.172715428252387,0.6206464309327673,525.3261550581344,43.0326140579659,2.412538907215844,0.0009477236486821964,0.1794222417267839,23.32369815913653,21.581381843281825,7.641190698902346,1.3336912490419532,66.35833823938131,0.49336357709245326,1.0270681462122189,1.549846779167524,3.070278502472196,648.7480709396527
1,1,152,17.47685185185185,473.9930537509348,29.957820467790253,4.2141716292596225,0.5158848256527361,570.5467804449827,33.939748757975096,1.8240068726718812,0.0009407507566134307,0.13275596257695738,18.70685218901683,16.402578904582953,6.060929414360322,1.003807002107384,67.9338823040397,0.41403418800735287,0.839331567766495,1.2275002936040427,2.4808660493778905,667.0802910820944
2,2,152,17.47685185185185,470.1379756308019,40.362671184007134,5.307126970860825,0.7158099236134626,528.3728648002956,45.36377847022986,2.432695067040724,0.0008444099481858421,0.19157085339493735,25.033128618517086,21.56794993234384,8.0555522654906,1.3932698015486042,67.37241636442667,0.5253639460642205,1.0900664284224557,1.5665111375048215,3.1819415119914978,656.9460751907652
3,3,149,17.12962962962963,469.14613947591255,28.13121056724923,3.9851566816977364,0.5053961117904261,556.6669973636964,31.978254812907213,1.729774420858266,0.0009645902192204233,0.13442193782245632,16.671404138430887,16.930699118109086,5.696028603684205,0.9738241469939277,65.89279933290074,0.3670777011586428,0.7798181547846111,1.1050004747477429,2.2518963306909967,648.9846246857193
4,4,152,17.47685185185185,470.2732808329241,18.011146251900417,2.3940651756189686,0.31518359980332744,611.8878711826248,20.145437820846777,1.1986714427237348,0.0010185579712846525,0.08994677366985565,10.580277013402759,10.469570604253835,3.5488029710215057,0.6641750803040244,67.67089566729507,0.23411408783632373,0.4561180529655333,0.7279977759163514,1.4182299167182084,670.1441193774568
5,5,154,17.708333333333332,470.67238246757387,28.80379818106472,3.7792031300665125,0.4967434893652726,561.091827982966,32.14786067649509,1.9049170638815118,0.0009216809868333615,0.15132235158840007,17.93328508907565,15.357359353309581,5.724045374022313,1.000998099287139,66.44223905861342,0.36166763384503825,0.7483500566243877,1.0949307001393207,2.2049483906087466,652.6639457736422
6,6,152,17.47685185185185,474.6445332089171,25.23012993926829,3.5214456991893734,0.45162490292746615,591.37487845773,28.665160290715722,1.4830822247851905,0.0009505266146276725,0.11041725171342677,15.264762454226767,14.228581303546173,5.09359673930002,0.8637973519945459,68.26934635845701,0.3284320565014866,0.6431603506202118,1.0025028276135128,1.9740952347352112,672.99775992252
7,7,150,17.24537037037037,473.8842907312755,26.801660181772085,3.5511615293491037,0.4649238309168629,578.4751120980402,30.05750751066466,1.6764411686229916,0.0009778815730879526,0.12462063239714673,15.595421216983894,15.580071069724037,5.349948820926886,0.9199587692146556,67.49190526512095,0.3585075922170683,0.6897227052672333,1.0557710570555843,2.1040013545398857,665.1063848477418
8,8,153,17.59259259259259,468.75586703843516,37.99810713467102,5.325215509394621,0.6644180016380117,559.2844762668338,43.13906652351219,2.3358514220383197,0.0008797469700598938,0.1744127776450186,23.917644698953737,21.08910973967306,7.665903051250696,1.3167975926505853,69.71951560920627,0.5099588367078133,1.0589115002320022,1.4873618604980872,3.056232197437903,682.0504699637154
9,9,153,17.59259259259259,470.810696408059,33.68963709458004,4.209546102907329,0.5296087660715142,558.9229616955748,37.56643709028967,1.9465886837741697,0.0009889655615625747,0.1504066267783869,19.573248182222123,18.70632103946817,6.61885283565807,1.1813948358698303,67.93590362003616,0.447174670587784,0.9026638269466961,1.299846561534524,2.649685059069004,666.1724287956025
