,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,154,17.708333333333332,469.821810419454,29.98850577471609,4.124268957304476,0.5400685787144232,532.0479483665657,33.82863720817067,1.9574284479866983,0.0008436089581105688,0.13975368593524787,18.685821861269996,16.145615032053136,5.996809440032154,1.0638404608468492,64.06265187070463,0.39635473317918496,0.7813682147549271,1.2415393420581595,2.4192622899922718,628.2529818512759
1,1,157,18.055555555555554,471.7043589178248,31.93775408240287,3.923319697451982,0.5523242920077156,588.7481200696889,35.546358351438876,2.0110568437996266,0.0010510566820265883,0.1532997773181605,20.309955697801882,16.61350333507911,6.269254829687529,1.1425631160601444,70.27263792114861,0.4109964536921837,0.7900083469301478,1.1996999272315174,2.400704727853849,689.2993101794709
2,2,154,17.708333333333332,470.2692080129867,30.5476834970004,4.07279405487195,0.5265583017750194,562.7407102766822,34.34634304630503,1.922260335840572,0.0009609516263197933,0.14347205285248904,19.543143646616468,16.30293473125112,6.013948820318689,1.1411644464852808,67.2811948450918,0.40234011157658195,0.8220604053682744,1.1914849403872059,2.4158854573320623,660.174715972341
3,3,153,17.59259259259259,472.13325704784876,19.670540519053915,2.648685635573983,0.3243147836018636,581.5931036362651,22.07792078975228,1.2409587448663029,0.0010113945670332833,0.09880413409960775,11.364904254441116,11.583288524537224,3.9364234877781636,0.6717340254694161,65.25639512590122,0.2625392282397612,0.5384930950218444,0.7804016074103212,1.5814339306719267,645.4282196062369
4,4,153,17.59259259259259,473.1034503150704,17.505279415749527,2.438241343378373,0.30382155616755807,589.7558376102404,19.809045794465415,1.0827619566088573,0.000965509359070131,0.08358440154743597,10.596947014219692,10.122238111381908,3.513121304934393,0.6100582899129705,65.31213487359108,0.23294651210308412,0.4779514821991609,0.6916582970453777,1.4025562913476226,646.6275115850935
5,5,149,17.12962962962963,467.68590445058715,24.70099148204045,3.342043316649167,0.40406455382437784,636.025068600436,27.7279795802276,1.5233740478812143,0.0010004374070443642,0.11377897945962968,14.81859408308991,13.950865190725809,4.912678528035453,0.8668384721958106,72.51685553105644,0.3242208089452922,0.6585710853417954,1.031549083220562,2.0143409775076497,715.5830241663903
6,6,155,17.824074074074073,470.8543252601422,21.105832518322327,2.568809802669823,0.34728483256684317,618.2844111529005,23.434393732074895,1.3281538327193978,0.0011390055879455933,0.09541872151492675,12.794966162397918,11.562424804707987,4.125590631092822,0.7624319550983294,69.37349592083338,0.2775406934680919,0.5410169826554018,0.8373482860581264,1.65590596218162,685.2717969514373
7,7,151,17.36111111111111,468.2424633516182,24.87513848393833,3.128729763900767,0.3870645373310269,530.645559266763,27.633663613180904,1.5201477388950055,0.0008691528927370533,0.1075706209602612,14.748534787469614,13.948390338842657,4.8836417503653955,0.8704518180749976,61.96262059678326,0.33313954137943064,0.6656636339045158,0.9904612285727967,1.989264403856743,609.9904914890019
8,8,151,17.36111111111111,469.06036665529757,27.87198168794429,3.724294788729195,0.4292802152310099,576.5602150742611,31.2635465152499,1.6608852319578609,0.0010022540903037369,0.12119740327994423,16.821739494329222,15.570740851565292,5.518162983818703,0.9745045778127776,67.65960987565911,0.36456745468455704,0.7249995344545886,1.1035319133065498,2.1930989024456955,665.8889104863862
9,9,153,17.59259259259259,472.6667387537606,36.50036432776408,4.9630053384574175,0.6075011679724097,530.5376145924042,41.12072345317021,2.2367236857056443,0.0008540987094768392,0.158551184000197,21.825830338869302,20.463980619726822,7.342433377751356,1.2170618243428084,66.20419776533552,0.48958142957421136,0.9490257714285453,1.4126190754351713,2.851226276437928,648.0000399464426
