,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,143,16.435185185185183,316.3939904217721,29.726089864758187,3.8678140338639597,0.481891933971534,520.207122820186,33.243381819547636,1.7929348823457085,0.0007673224666647522,0.11857318155821636,17.836501948062065,16.732862765405148,5.9426570233524245,0.9787203612449631,62.72872947710786,0.4046447091282369,0.7985378413182943,1.2635775223294083,2.46676007277594,615.5595760814764
1,1,143,16.435185185185183,314.0679640800274,29.671475321873878,3.4066480928436134,0.4501814507700744,538.4048958312527,32.708274733346876,1.6944009517453305,0.000877514960172913,0.11726176360472743,17.99011413319533,16.367000451599065,5.832040233579136,0.9674857545691092,64.37444807106834,0.3970997824827075,0.7660200022893572,1.161986177674714,2.325105962446779,631.9456480625915
2,2,141,16.203703703703702,312.8862973165114,28.374235288310192,3.541925675622532,0.4319558513748145,514.5334733515131,31.58648950200814,1.6264655360060907,0.0008062409214124114,0.11081655205612426,17.317048601203926,15.972883460005761,5.5916142778704145,0.9704285905096384,61.619765424024,0.38708224230127247,0.7894508851912958,1.1475629078456993,2.3240960353382674,605.0651903615365
3,3,143,16.435185185185183,315.18509234853553,18.79787925374765,2.4046522128878145,0.281663120775289,549.2182235896533,20.938806567345004,1.1045749502798514,0.0008942351126653461,0.08199866479807269,10.459289648715256,11.461857106192362,3.760634987998852,0.5996468650743986,61.673788210086144,0.25758848283178315,0.5274625017041802,0.7661492356846021,1.5512002202205655,610.202031774086
4,4,144,16.550925925925924,316.2755622706231,17.421050274468286,2.317780278409353,0.27752686272786947,580.4650781509465,19.56994308723961,1.0104032878948084,0.0008957009842699354,0.07324763156661439,10.188793934136697,10.405610753646082,3.494662351131442,0.5711337861008692,64.32605798685192,0.2374289283600473,0.48641184011815364,0.705398646910062,1.4292394153882628,637.0365715805041
5,5,141,16.203703703703702,316.34938227158034,23.510618049403938,3.0487491021723327,0.3550460173767917,599.5117905592315,26.227335067550342,1.3678224822349156,0.0008935172664586705,0.09648415312036314,13.692364962854846,13.695009218123747,4.676312442903693,0.7803894113251463,68.40483845671054,0.31563241467795455,0.6405890222424913,1.0010383861648537,1.9572598230852996,675.2277098437946
6,6,146,16.78240740740741,313.9397595088502,19.4522304081748,2.2670499404200504,0.29466590539204596,564.2084956385062,21.466656104132294,1.1496050039759054,0.0009803894859998238,0.0776441260458788,11.430229178321126,11.03798370480688,3.8065448001695272,0.6621566948362837,63.3509479637767,0.2620793178851523,0.5116445525326265,0.790439354136119,1.564163224553898,625.9881759404998
7,7,140,16.087962962962962,312.9666885797159,26.23180446738012,3.1144075886354528,0.365785355092939,552.6361265561828,28.916902818234135,1.480615154335161,0.0008407637854203667,0.096894665151696,14.935913869738862,15.34656283950969,5.155457216335585,0.8514964973669417,64.60670561353514,0.361685860568114,0.7227525145454083,1.076042829360168,2.1604812044736903,636.3573751264836
8,8,143,16.435185185185183,313.1805465949017,26.240205753676687,3.3618888875744166,0.37396497631489883,537.6592898784394,29.25350283548522,1.4762223561296632,0.0008862584556028584,0.1018205260425227,15.384343243160481,15.121485426366567,5.196780906151034,0.8690762319130971,63.15251699518941,0.3510093352551449,0.6982488683818319,1.0619851112529246,2.1112433148899012,621.7663673514392
9,9,144,16.550925925925924,312.4354184242272,36.453921813005486,4.73341930919412,0.5566781068949375,524.0144887212033,40.77959030212858,2.0943480602398585,0.0007952533847785081,0.13944691963748104,21.119009343414344,21.150332484581206,7.328811352141086,1.1434794227705134,65.48279488610363,0.5005418677194368,0.9720696342325778,1.4475795822029323,2.920191084154947,641.3155028293363
10,10,144,16.550925925925924,315.47033208501256,29.58114356990666,3.739974295575758,0.4824168531240808,523.142751440289,33.151402284711274,1.644491607372818,0.0008422474195042164,0.12255754008672448,16.926369321470865,17.720006222207232,5.849427673327191,1.0204855820378869,62.92793970130079,0.3853321665189373,0.7940311250854414,1.2013547232930426,2.3807180148974214,618.8362173309556
11,11,140,16.087962962962962,313.80219398296606,37.43867592804745,4.669067740462106,0.5212610265139636,526.0066055518357,41.3846699121516,2.2454918652043814,0.000857288327733516,0.14268885152562663,22.16803778454953,21.406998743982353,7.418269857803899,1.2078466094717872,65.96950851657839,0.523374042438007,1.0096558481492195,1.4938304164260945,3.026860307013321,645.46929368234
12,12,141,16.203703703703702,315.95816038402194,20.278693184230868,2.6573808862544395,0.3359703877841364,650.9897956771559,22.859109514519357,1.1378159935223402,0.0010306269447910717,0.07637712984090285,11.879860775749284,12.081700798475188,4.0502551240207545,0.6864114479280411,72.42139983541695,0.2783946376407382,0.5554575959618784,0.8567064855775983,1.690558719180215,716.845099489857
13,13,146,16.78240740740741,316.06925682402533,34.6987563728852,4.265628732764827,0.5576122198027426,547.4617897268243,38.59372143685396,2.0280374763915314,0.0009378753278982576,0.14499002303105926,21.449837511703645,18.917928359078225,6.911974090967006,1.1242896207417377,67.16083865558645,0.4594402406432434,0.9117248689960377,1.3819268112902727,2.753091920929554,657.458757855598
14,14,143,16.435185185185183,315.9979336691839,37.017129944903125,4.535544981870609,0.5673123109147815,541.0087013289382,41.21221069787837,2.038183592574524,0.0008600040728145546,0.1400483355457123,21.619955124634895,21.15166914278365,7.324716497703196,1.2270145791556732,67.35359446955115,0.5203439170751062,1.0077469737015587,1.5000311253086154,3.0281220160852804,659.2515134324261
15,15,139,15.972222222222221,312.2872528355514,25.758908094525616,3.2218085867848503,0.367822757421662,561.9035712465214,28.610695215967525,1.4430886175711697,0.0009153114754868011,0.09565435883300398,14.709985749676674,14.889557598466864,5.147255829771847,0.796444499148021,65.42081512195003,0.36341010414178687,0.7084148927754313,1.0823169998266369,2.154141996743855,644.3898641132314
16,16,139,15.972222222222221,313.0870910993649,28.93855876232183,3.7523420206313327,0.4399341773172054,571.8659107822523,32.33696364299631,1.6927136886425846,0.0008647318880601665,0.11966002309549048,16.73891674077469,16.985775727003883,5.809281331438189,0.9246538548204275,67.60408683872271,0.3932868300530594,0.8119978025166749,1.1877599068444253,2.3930445394141593,665.2597032818219
17,17,141,16.203703703703702,315.9940295904838,32.72365058830799,4.487661357978418,0.5169080514296985,568.6503265437094,36.83894617533003,1.9024962026675998,0.0009549279567188693,0.12095698803580202,18.596599854461786,19.56610221992282,6.598625658279738,1.055376364747489,68.66575901978813,0.4491182455459188,0.887427158302721,1.3130281826942676,2.6495735865429073,675.1115786649087
18,18,141,16.203703703703702,314.09993100889926,31.263332061768793,3.8934361020319814,0.475842625864299,580.4337772320389,34.8134921404553,1.8066808641001122,0.0008778746606983532,0.13208160512749662,17.23048545605877,19.291693315289802,6.231566862290696,1.0037797664205543,69.2487106065926,0.4375688394272255,0.8592587354835941,1.2596968144849048,2.556524389395724,681.9030848394442
19,19,145,16.666666666666664,313.9825296839256,33.19757511437643,4.1932159386606145,0.5257167814388011,544.2960785730864,37.17511957779014,1.8123986143526327,0.0009328174616231426,0.12896749529582532,20.348459928480338,18.151871628628445,6.531738967617346,1.1667188024344013,66.32165388272044,0.45153391147699806,0.9083867975503682,1.2880512422526842,2.6479719512800504,649.8283062624228
20,20,144,16.550925925925924,314.1731125061348,37.23828930528424,4.987335965593113,0.6171971110910172,561.1843652868054,42.00701568231802,2.087649713491248,0.0008719085546139105,0.1457682851624651,23.10322721230981,20.557871920755474,7.474233803489036,1.2467899843733061,69.55361377694881,0.5052553215788029,0.998579053165648,1.497149049126764,3.000983423871215,680.5483723907892
