,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,207,23.84259259259259,858.524459749319,8.174071160562189,1.3826808615227357,0.21710776935884163,154.90129880803522,9.613806198988897,0.7337440206135581,0.0003270358768142061,0.07114740922948208,5.744520723146035,3.5513193976543467,1.6367949098978485,0.39041385704590603,18.52469053938935,0.09372638487989811,0.1838508528358581,0.2980129913322912,0.5755902290480475,181.24830165783382
1,1,215,24.76851851851852,856.3051862650926,8.493827841713026,1.286794204044039,0.21968037790674066,167.1201773923463,9.83737475140827,0.7451178411400006,0.00040435584426098243,0.07869583216037335,6.120649350664455,3.4652045599029457,1.6582664805613128,0.4145950957020697,19.811599422636903,0.09291750288788292,0.1759878694524261,0.2684804548341896,0.5373858271744986,193.85752455990388
2,2,204,23.49537037037037,855.3513186170683,8.145533764836765,1.3217887404739557,0.2024875661316356,159.39828902062158,9.516044889341153,0.691989452815853,0.00035730569839958164,0.06910280985553773,5.894299000422122,3.54066898167013,1.5975005546691492,0.40290138768407946,18.940545186058838,0.09371881313292203,0.19282795273295122,0.27636524976980853,0.5629120156356817,185.4495764894339
3,3,204,23.49537037037037,855.655568955524,5.35595973582308,0.8857341935099297,0.1288699347172645,168.25014623495107,6.248893164233651,0.4582558893213258,0.0003864056304126766,0.049180065699410885,3.5407191505208444,2.6405053924541115,1.0735001589935826,0.2443826174205765,18.80289883474451,0.0624989714935515,0.12928103217971607,0.1852062425477579,0.37698624622102545,185.71280003897544
4,4,208,23.958333333333332,856.4520448587192,5.18128189253544,0.8974556433155704,0.13441022808740946,186.74318450982125,6.1314143212073375,0.4454062310774328,0.0004116599613054309,0.047306107967943274,3.6330094475900476,2.4573397213311847,1.042658422951123,0.24601267056483714,20.59966527564132,0.05958529948637354,0.12339066586326379,0.17625901007366057,0.3592349754232979,203.68611638424414
5,5,209,24.074074074074073,853.1774551811333,6.398057466589959,1.1050381925134585,0.16470169424478853,177.19053097048982,7.526704816404397,0.566170094855233,0.000386887910306334,0.06008775039826631,4.444286925436589,2.866476875105373,1.2717031298233037,0.3157872750809418,20.09383892668643,0.07091559333364307,0.14495480438881028,0.23106802068422072,0.4469384184066741,197.9125835718225
6,6,203,23.37962962962963,855.0888592773968,5.755800995983569,0.8415790412213633,0.1339419742839176,177.77493308179928,6.602731294713596,0.4816764009381874,0.00042554009478532815,0.04573838436764049,3.9224637100727873,2.61391434422538,1.1185119720363919,0.2715767954826313,19.8738697256364,0.06649991367020529,0.12859713855289073,0.2009864336529396,0.39608348587603565,196.03691331102283
7,7,206,23.72685185185185,857.9914353347638,7.185540783462371,1.1284790758963963,0.16968385455959517,163.14360330709513,8.296199170901009,0.6101484300029189,0.0003609771985109787,0.05955075009410051,4.873753910427934,3.259088784726838,1.4032469249188384,0.3418547727154326,18.94166927324723,0.08319681351936829,0.16618360662390086,0.24653826639371848,0.4959186865369877,186.09367551810814
8,8,211,24.305555555555554,857.8542264220963,6.979503012222661,1.18888267802889,0.16702106308850595,155.04163174951998,8.19677570682736,0.5943773101766822,0.00037269011139225155,0.061366233849765355,4.862528730961586,3.089032653587395,1.378470434289614,0.3400068476453571,18.073920156421764,0.07715679463831478,0.15308968983987026,0.23438805586281666,0.4646345403410017,177.5020749196886
9,9,201,23.148148148148145,854.5722676905897,10.145592731477505,1.6785747645734141,0.24250109637853412,156.43248087050995,11.868268295769091,0.8333506841439842,0.000327853021009031,0.07833600353621686,6.8270697684612935,4.738165318217728,2.047257169319254,0.4452530097542917,19.37899536501979,0.12010846403492532,0.23053625452943288,0.3423183897614016,0.6929631083257598,189.20307090502678
10,10,207,23.84259259259259,855.2253789893716,7.994994579270396,1.2992977202110674,0.20917927974448478,152.70758702423305,9.42121811290903,0.6536943381813218,0.00034949214858896917,0.07103021359872733,5.44612841430737,3.8213788978642893,1.5758805505503046,0.3960848478286351,18.220624735993425,0.08637367559013344,0.18034276253436798,0.2738931899486439,0.5406096280731454,178.69130468461302
11,11,207,23.84259259259259,854.926876226988,9.946588104731326,1.6543780929229552,0.2355386510388479,151.4240331862718,11.539046933813978,0.9049448282582401,0.00036057686135038656,0.08615915054139087,7.024204776264541,4.3440354372808905,1.965883845269318,0.47450218879415373,18.79728061165398,0.11723217688397986,0.2222569874733858,0.32666977046140594,0.6661589348187715,183.241629930603
12,12,211,24.305555555555554,859.5008093785431,5.050017649655331,0.8737351146289445,0.14005640973091796,177.106857753956,6.043964597126044,0.43829566363229827,0.00041409412129970996,0.04465908365768144,3.5884992599581085,2.3223360496317955,1.0100108357429645,0.25638647109270657,19.598127068196337,0.05755641847216527,0.11470010892614822,0.17938656653966484,0.3516430939379783,193.63837681691396
13,13,204,23.49537037037037,858.431138304139,9.656687266854822,1.4985308007612341,0.24214621997045702,163.14427974517002,11.207584306235136,0.8043432365085648,0.00038626668778575973,0.08137049120792106,6.90361448990102,4.130586302269156,1.9236552691218984,0.43837826341499214,19.856759737664333,0.10859377917827044,0.21482342064747323,0.32697523631048864,0.6503924361362323,193.77834060433827
14,14,198,22.800925925925924,855.9765219631175,9.538859701126922,1.472374967540575,0.22617161835853686,148.8461044879684,11.070771790898633,0.7420577874407153,0.00032421830509261315,0.07145092110979072,6.443205686694917,4.38829829203851,1.8826595695202046,0.43843196209843804,18.381936916895782,0.11715308286230179,0.22408058193546607,0.33255108177072124,0.6737847465684891,179.35129006297433
15,15,210,24.189814814814813,859.4327312354812,7.083222012136986,1.1971215249069322,0.17692119058146044,168.14105438971524,8.30411165167546,0.6160554934834438,0.00040888965731914476,0.06265088944510046,4.799811609033499,3.0882498856397476,1.4177280464032918,0.3315854322200746,19.434418830141272,0.08368233703229971,0.16098795737822702,0.24829246720366704,0.4929627616141938,190.91207216747927
16,16,206,23.72685185185185,858.3570740278304,7.417280146992354,1.2746877935198264,0.18903961739546252,159.45604371929292,8.747406689372152,0.660336069646924,0.00035277548291658367,0.07024498205343645,5.1194492096048165,3.361328160336474,1.4946290226922587,0.3535600195078231,18.704802081493348,0.08372770049319811,0.17555860356409694,0.2536853706843307,0.5129716747416257,183.5378806710342
17,17,210,24.189814814814813,857.6858443117496,7.954478302079655,1.4624756948082747,0.2163980416097109,151.09940913645374,9.493195202806403,0.7129285549462787,0.00037300397803424767,0.06841685274188887,5.401987819000692,3.6912288258558084,1.6137295626078667,0.3843170647221544,18.07886945082776,0.09086258456002938,0.17847018354662567,0.26228565505819407,0.5316184231648491,177.22856866577465
18,18,203,23.37962962962963,859.3552506326374,7.568288280303403,1.217186620508801,0.18476987653315094,151.50729491570337,8.838872708838922,0.6432759327736192,0.0003262855716665706,0.0686242038021046,4.997310479408685,3.771213736523936,1.509012968179538,0.3495051674016267,17.93873142523421,0.09060267064941845,0.1764805218710033,0.2561136864261477,0.5231968789465694,176.18156757508672
19,19,199,22.916666666666664,852.9227076871766,9.779083904233305,1.546012997172357,0.23612007808497595,171.114732135436,11.425466433934389,0.7478826370215835,0.0003986826081793226,0.0738820454723292,6.8672288488178905,4.263770938556231,1.9152200848390473,0.47145024267535535,20.697285029334566,0.11527982852761649,0.23242892831105977,0.3226945699892986,0.6704033268279748,202.2444235068617
20,20,208,23.958333333333332,853.4802218526316,10.012677842963793,1.7424581296062898,0.27093103299382143,163.73988290805102,11.920753645990835,0.834300233470913,0.00036322146326660574,0.08526214979895633,7.278545694846477,4.237063469833179,2.0165605986273363,0.4881995074022742,20.103243626269787,0.11440542346547099,0.2249103781520916,0.33713100183302647,0.676446803450589,196.02489954365225
21,21,207,23.84259259259259,853.0468126885347,8.45504066211008,1.4869981716203087,0.23716338097370654,169.4490723457557,10.089155533458898,0.7374591007824914,0.0004014544545309739,0.07217995340950994,6.037407055094955,3.8902209773722882,1.7269362516456845,0.3990566693120682,20.112648435504436,0.09851230945068297,0.19708370729780625,0.29908341888820333,0.5946794356366926,197.138363936532
22,22,205,23.61111111111111,856.114654356433,10.665621596463666,1.6968752008103787,0.2787312657727905,163.26846721409706,12.504693714134747,0.90107716319573,0.00037337734542149944,0.0913596573228569,7.677171744126244,4.488393372635618,2.125068296812503,0.5069849599048243,20.26213378988334,0.11839316844804428,0.23580534868974903,0.3629883074377888,0.7171868245755821,197.24483264307125
23,23,209,24.074074074074073,857.5858416816409,5.993980751636889,0.9613210344822293,0.15451090999059533,166.41811238693643,7.028677747521029,0.49585304493847493,0.0003802181284581989,0.04879087923583712,4.118352952498799,2.569131916056117,1.1800119266399773,0.2939201833791882,18.85464513640157,0.06832832828919166,0.14397883044239362,0.21043136407165602,0.4227385228032413,185.56742952174847
24,24,203,23.37962962962963,856.1394289865432,8.041956160089724,1.2417226847215912,0.18641979692455432,162.9715809140306,9.275404321885185,0.6740646394890082,0.00035525859834658057,0.0717213456890262,5.534430930255423,3.6589379639584423,1.5901106450671025,0.3636456872773536,19.238550930357093,0.09501442501405484,0.1795644878817313,0.2813025737727238,0.5558814866685099,188.63180090439943
25,25,207,23.84259259259259,854.7680492515592,6.134681398952189,1.0902050476200098,0.16817279696678242,175.42652408972916,7.26892592120854,0.5637224654367133,0.00041836486717459467,0.058880981854956736,4.3708611576290375,2.7374138381082873,1.2287870651334831,0.30991940826199055,19.831136755483755,0.07146946114901999,0.13899106918051243,0.20259926730727776,0.4130597976368102,195.4007111757761
26,26,207,23.84259259259259,857.9600636508898,5.560087639913215,0.859114203084387,0.13334063265172,179.91475978092424,6.447911351697077,0.46863720572215317,0.0004243044316996306,0.04837673762103791,3.7758504404390436,2.3759808764868815,1.0903397798358205,0.2660616037424197,20.027185830196157,0.06305738446396478,0.1260305129201301,0.18454757090127874,0.37363546828537364,197.53866958439608
27,27,208,23.958333333333332,854.9070545519955,9.569142045910818,1.5814069574004435,0.24163887074626117,150.61382563998666,11.217072448972454,0.831684730492057,0.0003166848407509,0.09011570110629565,6.386870424229384,4.546610916761986,1.9003538411530565,0.4621687687663962,18.60083009117387,0.11214453031114238,0.21594920979810867,0.33860538917761956,0.6666991292868707,181.72103573542404
28,28,203,23.37962962962963,852.7095998137936,9.064142965920905,1.542323393915372,0.24756575409794762,168.16529849475148,10.752094383831096,0.7657748091188549,0.0003703268592971115,0.07785628041925337,6.117506834573062,4.211215815919524,1.84480645847954,0.41520274408896807,20.194682405679348,0.10432777970735473,0.21224733289234052,0.3250280905627293,0.6416032031624246,197.72825463056466
