,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,191,21.99074074074074,780.4280170963459,22.458039609648214,3.599531342506125,0.5394898874976868,417.2169673308604,26.08293193101785,1.8474831233037623,0.0008151461514574608,0.16481300052763748,15.35490817597181,10.409825480324303,4.4952044815714345,0.9893460438474991,49.995782357210594,0.2687964027929583,0.5280580871388939,0.8508156244341963,1.6476701143660484,489.4521174916225
1,1,196,22.569444444444443,777.2352049179862,22.453049361815058,3.2078677783239558,0.5191966669623878,432.4606178410191,25.667806636401096,1.7857014113426057,0.0009572166175315836,0.17131460970013357,15.69314140529663,9.919080027441828,4.39136489955441,1.0004256878479345,51.37916818991667,0.2590461937363649,0.4930168053088417,0.7510002804423858,1.5030632794875922,503.0804454165136
2,2,198,22.800925925925924,776.8635372254975,21.26853404653341,3.3835812942909786,0.5097216173420411,413.1992079095182,24.73308699326096,1.7497628035414254,0.0008999918058849295,0.169406226472091,15.223401275252325,9.47540850480121,4.173094536994326,1.0211613703889293,49.13397813336412,0.248707983723126,0.5112920024999379,0.7337819240063531,1.493781910229417,481.17764720517886
3,3,195,22.453703703703702,782.6548863059668,14.599214418223042,2.341175943419626,0.3321411236143559,453.7409082404007,16.917117134484513,1.1904784144684226,0.0009978295789294014,0.12190746156225796,9.47801791294523,7.426714703918405,2.925327017268803,0.6365506528582832,50.74304326677225,0.17444589801515262,0.3603080748578589,0.5172258173778443,1.0519797902508559,501.28451273004816
4,4,197,22.685185185185183,782.5228288344183,12.227350053289326,2.0415856863773554,0.29665200724209634,434.79441746630465,14.340688474734215,0.9912065951994465,0.0009095831893314935,0.09948537920267435,8.384457755568068,6.0335960370283415,2.459240674747556,0.5496674543307444,47.99905568286748,0.14478091032433932,0.29926185812181944,0.42859602497740446,0.8726387934235632,474.7074382050694
5,5,203,23.37962962962963,782.5191153354322,16.993760953995576,2.8774648531956877,0.42183783796375834,467.2220382157085,19.89807033511153,1.4573744174175445,0.000991949240830741,0.15005289892361415,11.687521093975894,7.791991244285819,3.377954100683068,0.8145015384030704,53.01188883413444,0.19156951454104726,0.3913310985633484,0.6227153810710148,1.2056159941754103,522.2116543391043
6,6,200,23.032407407407405,776.9365030262646,14.85145681900799,2.150820993016946,0.3394627142860173,457.19278636312123,17.00205813116419,1.2233351775347625,0.0010787622557301346,0.11438679356110167,10.067052055830112,6.824108795533922,2.8871092781100502,0.6905144793823836,51.122082767543475,0.172980609383356,0.33467615561129965,0.5227513920905251,1.0304081570851809,504.30752646405944
7,7,194,22.337962962962962,776.576863295553,18.558422534408546,2.797784257654451,0.40610298975543346,415.67525622906726,21.247455719231453,1.4782397068307602,0.0008680822232636196,0.13557251370774076,12.31871602199894,8.816112119088697,3.62842636112423,0.8321846639646358,48.32045887509921,0.22180958863080558,0.4430920024712284,0.6577649957548479,1.3226665868568819,474.8990917639135
8,8,194,22.337962962962962,779.7167078203248,18.912984265875213,3.0393726914752186,0.407719786670281,411.7455952463984,21.92434540890983,1.471612422207832,0.0009127995643545911,0.1392372738332706,12.78858307242784,8.941602640199621,3.737933507551172,0.8479119339738872,48.08734729492217,0.2192856323987641,0.4353734040570448,0.665474000422199,1.320133036878008,472.489361013537
9,9,196,22.569444444444443,778.3602258335794,26.66352091624838,4.335841371757381,0.6175168501704741,408.6041437615821,31.068814344952003,2.1312356897228657,0.0008358673627239217,0.19517912956847336,17.78027321007989,12.691617142273158,5.378629423213401,1.140875378104501,50.65571952074441,0.3197884731983179,0.6144337101678997,0.9125907004018103,1.846812883768028,494.6750227587235
10,10,197,22.685185185185183,779.1568721253204,22.32328359253002,3.513472860613096,0.5502187912102493,421.21457380806316,26.096744630104315,1.7308708633375052,0.0009191308372592509,0.17862210848891752,14.911689146816498,11.05918230327714,4.402347860387513,1.0527657589864852,50.32098305792788,0.24843870276250624,0.517641894750853,0.7856881858034811,1.5517687833168403,493.67477049115246
11,11,196,22.569444444444443,782.2455271204311,25.227777961556885,4.040108099638422,0.5576551212453497,379.049225765209,29.03560335891189,2.1643570305396405,0.0008563851532550604,0.19473613044085564,17.474578552399706,11.51621648514118,4.988190819072539,1.1396495213747722,47.1306085431389,0.30578803423658246,0.5813920098004227,0.8554497438872491,1.7426297879242543,459.65700646620803
12,12,199,22.916666666666664,778.3058880670908,13.563298725970238,2.260416262887022,0.3512642972725081,468.52350495163216,16.067027681185063,1.1040470734135508,0.0010355987689118205,0.10586371970498909,9.423073810564574,6.520421288382313,2.7120469123868536,0.6492607822922981,51.89142036837277,0.15959565219539712,0.31811215471304816,0.4963294837987617,0.974037290707207,512.8322245846031
13,13,201,23.148148148148145,777.6766391703329,24.946836375794863,3.8341141739794256,0.6142332689411643,419.9785901622008,28.889724950971317,2.0453183750645456,0.0009803094310468705,0.20374814985042208,17.74497498378552,10.805615299487025,4.969514874871841,1.1157150390084427,51.136959944478036,0.2829185889764292,0.5597684408606238,0.8518201725816861,1.694507202418739,499.09889818201964
14,14,191,21.99074074074074,779.2636265157091,24.904952458787967,3.7526089741265083,0.5644348721830857,385.40408839562036,28.752050936353942,1.8642381930352117,0.0008109255094162838,0.17291533723559135,16.604028048609415,11.777880238846997,4.917027912663406,1.104095630817808,47.64350310748397,0.31117524359081905,0.5961343564623789,0.8850403349829048,1.7923499350361027,465.00745381021636
15,15,198,22.800925925925924,778.0680419351112,17.895040563785887,2.9051647376093266,0.4152274953902162,418.7781138838671,20.788813910042073,1.460879930451553,0.0009622360508731184,0.1397488064964639,11.909911674574506,8.183025209737481,3.5807510364308337,0.7896584065814355,48.46167063401206,0.21785171067386203,0.4200385977533024,0.6467937710712677,1.2846840794984322,476.2220702959417
16,16,197,22.685185185185183,780.9911763920035,19.950703308226835,3.3276664283170683,0.4817634187839046,424.08314349714595,23.358659230690982,1.6926115245596896,0.0008988551837829437,0.17186996716754732,13.55765743579066,9.360847982754517,4.01815058248184,0.9087230255803119,49.79664602540543,0.23089293012716572,0.4831284149833565,0.699274827028842,1.4132961721393642,488.7683339930318
