,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,183,21.064814814814813,878.4922337549865,14.16014277548661,2.203747607769496,0.32193064961244794,260.45950380897017,16.342406339984542,1.112254814785458,0.000488267778655046,0.09492389896222143,9.524960241521272,6.779526778022091,2.8337146760015965,0.5975350716469396,31.243153917548288,0.1731543154495997,0.34042292353038056,0.5468455230020614,1.0604227619820414,305.96659745100226
1,1,195,22.453703703703702,881.6760010068552,14.065588434319052,2.002891076949257,0.32318769768473826,270.6086347495086,16.068425215078182,1.112608950046441,0.0005960224799510413,0.10617502371431459,9.812707748315155,6.23984031943891,2.7512040498561685,0.6235552591633362,32.153829591604115,0.16273313473136497,0.3097925630632106,0.4718620725140311,0.9443877703086068,314.8470945685475
2,2,190,21.875,876.1789453961941,13.548070543654335,2.0962536999514914,0.30840704782510814,260.6798156860998,15.658734607547835,1.0663623990974775,0.0005456581353121485,0.09892102214834736,9.54362575428027,6.237309744773387,2.65989021629363,0.6242708860885953,31.02780769648781,0.1618910612812609,0.33244277070465106,0.47796305022671964,0.9722968822126317,303.95087839382796
3,3,184,21.180555555555554,883.0639938816441,9.245439101731012,1.4238828349032264,0.19535133080634912,283.6174147770485,10.62418741309066,0.7088018853764277,0.0005897631331184032,0.06833445349126764,5.853753796766526,4.886955736471456,1.851935957374701,0.3802220895007234,31.744685824729288,0.11372146863147659,0.2344567977975128,0.3374047334980241,0.6855829999270135,313.6886983428545
4,4,192,22.10648148148148,879.30717655709,8.675282613854703,1.423145022584057,0.20377857599131577,306.6003691929075,10.13339614597779,0.6840503655805986,0.0006256826435853785,0.06684492626844267,5.882820177081164,4.358659337504789,1.7443955880552278,0.38002415747293755,33.85900353403307,0.10409380534406903,0.21498091037990638,0.30825439890840284,0.6273291146323783,334.8979007234733
5,5,192,22.10648148148148,876.9987744287848,9.928371463404064,1.617505260178677,0.22955769110071675,269.35098621587844,11.525721144397076,0.8020193506155633,0.0005419344855625912,0.07792862475959536,6.689445331282151,4.749827283826986,1.9737452094035073,0.44988709989220177,30.59069720681873,0.11544565943940151,0.2355565784179463,0.37363148818741654,0.7246337260447644,301.4307250039871
6,6,182,20.949074074074073,879.3034538116275,9.129490409404239,1.2424782472282976,0.18564702970895997,275.52782900018946,10.324439759256968,0.6804613789352733,0.0005934026479742319,0.05771047736643604,5.963540726675299,4.500608555228254,1.7786745616678663,0.386693273807076,30.850661684177197,0.1116228813480279,0.21661240774442894,0.33710382527990745,0.6653391143723644,304.47996520981303
7,7,188,21.64351851851852,883.227568580256,11.779935385565473,1.737576941071333,0.247478338077268,262.0628596839207,13.430180955902234,0.9074955032309052,0.000530939026599909,0.08056279445930964,7.724453386669979,5.7270188314670865,2.3044721855886077,0.5120971536084633,30.482392242656427,0.14304681026482496,0.2857642044315783,0.4243507929119096,0.8531618076083128,299.6433705195263
8,8,185,21.296296296296294,878.6338405883625,12.981663336751886,2.016903625406701,0.2633050759506924,279.61481397037164,14.945301912074818,0.960022631281744,0.0005920646478636033,0.08646315370767686,8.61412671958854,6.355608851807888,2.5666101669347854,0.5552565128737975,32.68812867939959,0.15436168615743198,0.30657690927749087,0.4681955526822044,0.9291341481171274,321.27567544992667
9,9,181,20.833333333333332,878.5471509622349,17.082709033727,2.6271507968447803,0.35715842722873686,257.0050897803615,19.672324581979996,1.2531100513242612,0.00048691484202659035,0.10568175567349228,11.041131716443841,8.609070217458626,3.4426139111264336,0.674645128328408,31.93322672276077,0.21303423972907104,0.4105834768409908,0.6102847134210843,1.233902429991146,312.06394302888646
