,no_of_the sample,total_timesteps,total_time / km,total_distance/km,Protein / micromolar,Polypeptide / micromolar,Amino acid / micromolar,Heteropolycondensate / micromolar,Polysaccharide / micromolar,Oligosaccharide / micromolar,Humic acid / micromolar,Monosaccharide / micromolar,Inorganic carbon / micromolar,Lipid / micromolar,Pigment / micromolar,Porpherin / micromolar,CDOM / micromolar,VPhenol / micromolar,SPhenol / micromolar,CPhenol / micromolar,Phenol / micromolar,DOC / micromolar
0,0,152,17.47685185185185,373.20438042384706,18.945455772556663,2.5804419848147013,0.33499182911436615,335.2882287511802,21.33785134493194,1.219483013346076,0.0005249020911295376,0.08589861352566262,11.728944635283064,10.283000563968699,3.7883334513441187,0.6633040645159428,40.381968985056695,0.2517461277492223,0.4963823134902124,0.7881231248907012,1.536251566130136,396.0637658575196
1,1,149,17.12962962962963,369.6363047722521,17.168513081943058,2.0312397623269307,0.2760907038941495,313.64746780896587,19.003748986910395,1.0234603676470637,0.0005321192573253044,0.07390607621620315,10.635820855848987,9.235184860290692,3.3726389071603573,0.583134826642519,37.47349201951047,0.22594149048856388,0.4351845937069956,0.6604502691883612,1.3215763533839207,367.73749385463844
2,2,147,16.89814814814815,368.86084792175217,17.349270244025675,2.2346573437383874,0.2802319631395329,316.9049054942773,19.40236065969172,1.0392644966793347,0.0005171784899260615,0.07392529272379395,10.831771476203043,9.528965656055732,3.4173940128603717,0.6186399624489943,37.92286991877323,0.23287097216832886,0.4753364971747718,0.6900300143950002,1.3982374837381009,372.24836978786885
3,3,152,17.47685185185185,369.75184658290954,11.121744403481252,1.4902072285650556,0.18169419832065936,328.44245203959565,12.4734016259477,0.6968145774271126,0.0005675315088816915,0.05510417800042426,6.402877685172277,6.572060393788601,2.2255897435032157,0.3772970526823185,36.85514447776149,0.14883147570149036,0.3052169470077483,0.442430478103683,0.8964789008129217,364.53341187363384
4,4,149,17.12962962962963,373.52688391359015,9.694091244603168,1.3236108840749823,0.16210552577549486,324.9949095398084,10.934239907412618,0.5829759783299067,0.0005184881540477911,0.04378391497023954,5.7818448972551355,5.686891389879967,1.94511521059119,0.3289376910005783,36.00197749438067,0.13037793708344242,0.26732505414241353,0.38721977952485404,0.78492277075071,356.4821025453514
5,5,149,17.12962962962963,369.8452796869212,13.097339638580747,1.772069612542823,0.21424932279326867,337.2429948072431,14.702355827211244,0.8077468192402968,0.000530467310056281,0.06032964056513147,7.857342884944756,7.397242324780382,2.6048759728379993,0.4596284278868601,38.451002547922066,0.1719133442776736,0.3491976905923667,0.5469638215384813,1.0680748564085216,379.42743771740055
6,6,149,17.12962962962963,373.89738509612755,11.987404613740269,1.4179688141308748,0.1868090279560446,348.8463426851496,13.25578867699965,0.7237177395081744,0.0006183418429483996,0.04991712154617271,7.120371465723103,6.722862125535629,2.344916627809395,0.4163850074053744,39.1601709497584,0.160204774398236,0.3126035705514563,0.48323585097348665,0.9560441959231789,386.90877497754724
7,7,146,16.78240740740741,369.37705656108585,16.022583270371577,1.964493350675766,0.23752441876949876,339.8638183844987,17.737118385541734,0.9451033308533581,0.0005386867297905169,0.06459088545414214,9.333289046110941,9.159374919973217,3.147170347704656,0.5422429723578979,39.70659167619953,0.21744022570318722,0.43449213199064723,0.6466682200332855,1.29860057772712,390.9831595306575
8,8,151,17.36111111111111,371.9656377604432,15.61477670887597,2.086469206787353,0.24049652376421404,323.0074961444227,17.514839935989826,0.9304810948304134,0.0005614948373914747,0.06789866652109934,9.424077161059737,8.72322765962959,3.0914516161864256,0.5459486718486817,37.90508017142707,0.20424236295637704,0.40616795645514053,0.6182339171402967,1.2286442365518142,373.05229196024544
9,9,149,17.12962962962963,368.4405224345649,21.18642076988155,2.8236007473855813,0.3396823183408428,306.4326000290902,23.793533476210467,1.2621838641731664,0.00048076707723081826,0.08705510742814744,12.497429325881317,12.060459484028254,4.260766440545003,0.6878291564070648,38.262784756140185,0.28714722639387724,0.5570766858649938,0.8293732977136783,1.6735972099725493,374.6082093705401
